L B' U L B U2
B2 L D B' L2 U' R'
B2 L D2 B' U' R' F2
B2 L D2 B' U' F2 R'
B' L B U' B2 U' B2
B2 L B' L2 U' R' F
B2 L B' L2 U' F R'
F' L B' U L B U2
F2 L B' U L B U2
F L B' U L B U2
B2 L' D L2 B' U' R'
U L' F U R2 B R'
B' L2 U L' B U2 L
B' L2 U B L' U2 L2
B L2 U' R' F' L' F2
B L2 U' F R' D2 L2
B L2 U' F' L' R' F2
B L2 U' F' L' F2 R'
B L2 U' F' R' L' F2
B L2 F2 U' F' L' R'
B L2 F2 U' F' R' L'
L' U F U R2 B R'
L U' B' U L U2 B
L U' B' U' B2 R' B'
L' U2 F U D2 F' R
L' U2 F D2 U F' R
L' U2 F B U F' R'
L' U2 B F U F' R'
B' U L B U' B2 U'
B' U L B U2 D L2
B' U L B D U2 L2
B' U L B D' R2 U2
B' U D' L B R' U2
B U' R' D L2 F L'
B U' D L2 R' F L'
B U' D L2 F L' R'
B U' D L2 F R' L'
B U' D R' L2 F L'
D2 U2 R F' U R F
U2 D2 R F' U R F
L D2 B' U' R2 F' R
B D L2 U' R' F L'
B D L2 U' F L' R'
B D L2 U' F R' L'
L F B' U L B U2
B D U' L2 R' F L'
B D U' L2 F L' R'
B D U' L2 F R' L'
B D U' R' L2 F L'
B' D' U L B R' U2
L F' B' U L B U2
L F2 B' U L B U2
D B L' F U' L' F
D B L2 U' F L' R
D B L2 U' F R L'
U' B U' R' D' B' L
U' B U' D' R' B' L
L B U' R' D L2 F
L B U' D L2 R' F
L B U' D L2 F R'
L B U' D R' L2 F
U' B D' U' R' B' L
L B D U' L2 R' F
L B D U' L2 F R'
L B D U' R' L2 F
L B' L' U L2 B U2
L B' L' U B L2 U2
L B' L' U' D2 R2 F'
L B' L' D2 U' R2 F'
L B' L2 U L' B U2
L B' L2 U B L' U2
L2 B' U L B U2 L
L B' U L D B U2
L B' U L D' B U2
L B' U L D2 B U2
L B' U L B U2 D
L B' U L B U2 D'
L B' U L B U2 D2
L B' U L B D U2
L B' U L B D' U2
L B' U L B D2 U2
L B' U L' B L2 U2
L B' U L2 B L' U2
L B' U D L B U2
L B' U D' L B U2
L B' U D2 L B U2
L B' D U L B U2
L B' D' U L B U2
L B' D2 U L B U2
L B' F U L B U2
L B' F' U L B U2
L B' F2 U L B U2
L' B2 D L2 B' U' R'
