F' L' D' R' B U2 B
D L' D' F B2 L R
D L' D' F B2 R L
D L' D' B2 F L R
D L' D' B2 F R L
F L' D' B2 L R F'
F L' D' B2 R L F'
F L' D' B2 R F' L
D L' F D' B2 L R
D L' F D' B2 R L
B2 R' F U' L R F
B2 R' F U' R L F
L' D' F B2 L R F'
L' D' F B2 R L F'
L' D' F B2 R F' L
L' D' B2 L F R F'
L' D' B2 F L R F'
L' D' B2 F R L F'
L' D' B2 F R F' L
L' F D' B2 L R F'
L' F D' B2 R L F'
L' F D' B2 R F' L
B2 F R' U' L R2 F
B2 F R' U' L F R2
B2 F R' U' R2 L F
U' B2 R' F' U' L F
U B2 R' U' L F R
F B2 R' U' L R2 F
F B2 R' U' L F R2
F B2 R' U' R2 L F
