U' B R U B
B L R U L' B'
U' L B R U B
U' L' B R U B
U' L2 B R U B
B R L U L' B'
U' R U D B R'
U' R D U B R'
B R F' L' U L
U' D B R U B
B2 U' R B' U B2
B' U' R B2 U B'
U' D' B R U B
D2 U' B R U B
D' U' B R U B
D U' B R U B
B2 U' B' R U B
B' U' B2 R U B
U' D2 B R U B
U' B L R U B
U' B L' R U B
U' B L2 R U B
U' B R L U B
U' B R L' U B
U' B R L2 U B
U' B R U D B
U' B R U D' B
U' B R U D2 B
U' B R U B D
U' B R U B D'
U' B R U B D2
U' B R D U B
U' B R D' U B
U' B R D2 U B
L B R U L' B'
F' B L' U L F
U' B D R U B
U' B D R U B
U' B D' R U B
U' B D2 R U B
U' B' R B2 U B'
B F' L' U L F
U' B2 R B' U B2
U' L R U D B R'
B2 L R U L' B' R'
B L R U L' D B'
B L R U L' D' B'
B L R U L' D2 B'
B L R U L' B' D
B L R U L' B' D'
B L R U L' B' D2
B L R U D L' B'
B L R U D' L' B'
B L R U D2 L' B'
B L R U B L' B'
B L R U B' L' B'
B L R U B2 L' B'
U' L R D U B R'
B L R D U L' B'
B L R D' U L' B'
B L R D2 U L' B'
B' L R B2 U L' B'
U2 L U B R U B
B L D R U L' B'
U' L D B R U B
B L D' R U L' B'
U' L D' B R U B
B L D2 R U L' B'
U' L D2 B R U B
U' L B L R U B
F' L B L2 U L F
U' L B L' R U B
D2 L B R U L' B'
D' L B R U L' B'
U' L B L2 R U B
U' L B R L U B
U' L B R L' U B
U' L B R L2 U B
U' L B R U D B
U' L B R U D' B
U' L B R U D2 B
U' L B R U B D
U' L B R U B D'
U' L B R U B D2
U' L B R D U B
U' L B R D' U B
U' L B R D2 U B
D L B R U L' B'
U' L B D R U B
U' L B D' R U B
U' L B D2 R U B
U' L B' R B2 U B'
B' L B2 R U L' B'
U' L B2 R B' U B2
U' L' R U D B R'
B L' R U L' B' L2
U' L' R D U B R'
B L' R F' L' U L2
F' L' R' U L F R
F2 L' R2 F' R U' L
U2 L' U B R U B
U L' U2 B R U B2
U' L' D B R U B
U' L' D' B R U B
U' L' D2 B R U B
U' L' B L R U B
U' L' B L' R U B
U' L' B L2 R U B
U' L' B R L U B
U' L' B R L' U B
U' L' B R L2 U B
U' L' B R U D B
U' L' B R U D' B
U' L' B R U D2 B
U' L' B R U B D
U' L' B R U B D'
U' L' B R U B D2
U' L' B R D U B
U' L' B R D' U B
U' L' B R D2 U B
U' L' B D R U B
U' L' B D' R U B
U' L' B D2 R U B
U' L' B' R B2 U B'
U' L' B2 R B' U B2
U' L2 R U D B R'
U' L2 R D U B R'
B L2 R U L' B' L'
B L2 R F' L' U L'
U2 L2 U B R U B
U' L2 D B R U B
U' L2 D' B R U B
U' L2 D2 B R U B
U' L2 B L R U B
U' L2 B L' R U B
U' L2 B L2 R U B
U' L2 B R L U B
U' L2 B R L' U B
U' L2 B R L2 U B
U' L2 B R U D B
U' L2 B R U D' B
U' L2 B R U D2 B
U' L2 B R U B D
U' L2 B R U B D'
U' L2 B R U B D2
U' L2 B R D U B
U' L2 B R D' U B
U' L2 B R D2 U B
U' L2 B D R U B
U' L2 B D' R U B
U' L2 B D2 R U B
U' L2 B' R B2 U B'
U' L2 B2 R B' U B2
U' R L U D B R'
B2 R L U L' B' R'
U' R L D U B R'
B R L U L' D B'
B R L U L' D' B'
B R L U L' D2 B'
B R L U L' B' D
B R L U L' B' D'
B R L U L' B' D2
B R L U D L' B'
B R L U D' L' B'
B R L U D2 L' B'
B R L U B L' B'
B R L U B' L' B'
B R L U B2 L' B'
B R L D U L' B'
B R L D' U L' B'
B' R L B2 U L' B'
B R L D2 U L' B'
U' R L' U D B R'
U' R L' D U B R'
B R L' U L' B' L2
U' R L2 U D B R'
B R L' F' L' U L2
U' R L2 D U B R'
B R L2 U L' B' L'
B R L2 F' L' U L'
U' R U D B R' D
U' R U D B R' D'
U' R U D B R' D2
U' R U D B D R'
U' R U D B D' R'
U' R U D B D2 R'
U' R D L U B R'
U' R D L' U B R'
U' R D L2 U B R'
B R D L U L' B'
U' R D U B R' D
U' R D U B R' D'
U' R D U B R' D2
U' R D U B D R'
U' R D U B D' R'
U' R D U B D2 R'
U' R D B' U B2 R'
B R D F' L' U L
B R D' L U L' B'
U' R D2 L B' U B2
B R D' F' L' U L
B R D2 L U L' B'
B R D2 F' L' U L
B R F' L' U L D
B R F' L' U L D'
B R F' L' U L D2
B R F' L' U D L
B R F' L' U D' L
B R F' L' U D2 L
B R F' L' D U L
B R F' L' D' U L
B R F' L' D2 U L
B R F' L' F U L
B R F' L' F' U L
B R F' L' F2 U L
B' R F' B2 L' U L
B2 R F' B' L' U L
B R F' D L' U L
B R F' D' L' U L
B R F' D2 L' U L
R' U' R2 B' U R' B
B2 R B' L U L' B'
B' R B2 L U L' B'
B2 R B' F' L' U L
B' R B2 F' L' U L
F' R' L' U L F R
L2 U' B R U L2 B
L2 U' B R U B L2
L U' B R U L' B
L U' B R U B L'
B R' F' L' R2 U L
B R' F' R2 L' U L
F2 R2 L' F' R U' L
F2 R2 U L' F' R U'
L2 U2 B L R U L
L2 U2 B R L U L
L U2 B L R U L2
L U2 B R L U L2
B R2 F' L' R' U L
B R2 F' R' L' U L
U' D L B R U B
F2 U L' R2 F' R U'
U' D L' B R U B
U' D L2 B R U B
U' D R U D B R'
U' D R D U B R'
F2 U R2 L' F' R U'
L D B R U L' B'
B' U D2 F2 L' U' B'
U' D B L R U B
U' D B L' R U B
U' D B L2 R U B
U' D B R L U B
U' D B R L' U B
U' D B R L2 U B
U' D B R U D B
U' D B R U D' B
U' D B R U D2 B
U' D B R U B D
U' D B R U B D'
U' D B R U B D2
U' D B R D U B
U' D B R D' U B
U' D B R D2 U B
U' D B D R U B
U' D B D' R U B
U' D B D2 R U B
U' D B' R B2 U B'
U' D B2 R B' U B2
D' U' L B R U B
U' D' L B R U B
D2 U' L B R U B
U' D' L' B R U B
D' U' L' B R U B
D2 U' L' B R U B
D U' L B R U B
B' U' L R B2 U B'
U' D' L2 B R U B
D' U' L2 B R U B
D2 U' L2 B R U B
D U' L' B R U B
U' D' R U D B R'
D' U' R U D B R'
D2 U' R U D B R'
U' D' R D U B R'
D' U' R D U B R'
D2 U' R D U B R'
B' U' L B2 R U B
B' U' L' R B2 U B'
D U' L2 B R U B
D U' R U D B R'
F' U' L' B R' U F'
D U' R D U B R'
B' U' L' B2 R U B
B' U' L2 R B2 U B'
B' U' L2 B2 R U B
B' U' R L B2 U B'
B' U' R L' B2 U B'
B' U' R L2 B2 U B'
B' U' R U D' B R2
B2 U' R U B D' R2
B' U' R D' U B R2
R D' F' L' U L R
R D' F' L' U R L
B2 U' R D B' U B2
B2 U' R D' B' U B2
B2 U' R D2 B' U B2
B' U' R B2 U D B'
B' U' R B2 U D' B'
B' U' R B2 U D2 B'
B' U' R B2 U B' D
B' U' R B2 U B' D'
B' U' R B2 U B' D2
B' U' R B2 D U B'
B' U' R B2 D' U B'
B' U' R B2 D2 U B'
B2 U' R B' L U B2
B2 U' R B' L' U B2
B2 U' R B' L2 U B2
B2 U' R B' U B2 D
B2 U' R B' U B2 D'
B2 U' R B' U B2 D2
B2 U' R B' D L2 U
B' U' R' B2 R2 U B
B2 U' R' B' R2 U B
L D' B R U L' B'
D' U' B L R U B
U' D' B L R U B
D' U' B L' R U B
U' D' B L' R U B
U' D' B L2 R U B
D' U' B L2 R U B
D2 U' B L R U B
U' D' B R L U B
D' U' B R L U B
U' D' B R L' U B
D' U' B R L' U B
U' D' B R L2 U B
D' U' B R L2 U B
U' D' B R U D B
D' U' B R U D B
U' D' B R U D' B
D' U' B R U D' B
D' U' B R U D2 B
U' D' B R U D2 B
D' U' B R U B D
D' U' B R U B D'
D' U' B R U B D2
U' D' B R U B D
U' D' B R U B D'
U' D' B R U B D2
D' U' B R D U B
U' D' B R D U B
D' U' B R D' U B
U' D' B R D' U B
D2 U' B L' R U B
D' U' B R D2 U B
U' D' B R D2 U B
B2 U' D R B' U B2
D2 U' B L2 R U B
D2 U' B R L U B
D2 U' B R L' U B
D2 U' B R L2 U B
D2 U' B R U D B
D2 U' B R U D' B
D2 U' B R U D2 B
D2 U' B R U B D
D2 U' B R U B D'
D2 U' B R U B D2
D2 U' B R D U B
D2 U' B R D' U B
D2 U' B R D2 U B
U' D' B D R U B
D' U' B D R U B
U' D' B D' R U B
D' U' B D' R U B
B2 U' D B' R U B
U' D' B D2 R U B
D' U' B D2 R U B
D2 U' B D R U B
B' U' D' R U B R
D2 U' B D' R U B
D2 U' B D2 R U B
B2 U' D' R B' U B2
U' D' B' R B2 U B'
D' U' B' R B2 U B'
D U' B L R U B
D U' B L' R U B
D U' B L2 R U B
D2 U' B' R B2 U B'
D U' B R L U B
D U' B R L' U B
D U' B R L2 U B
D U' B R U D B
D U' B R U D' B
D U' B R U D2 B
D U' B R U B D
D U' B R U B D'
D U' B R U B D2
D U' B R D U B
D U' B R D' U B
B2 U' D' B' R U B
D U' B R D2 U B
B2 U' D2 R B' U B2
D U' B D R U B
D U' B D' R U B
D U' B D2 R U B
D' U' B2 R B' U B2
U' D' B2 R B' U B2
B2 U' D2 B' R U B
D2 U' B2 R B' U B2
D U' B' R B2 U B'
R D2 L B' U L' B'
D U' B2 R B' U B2
U' D2 L B R U B
U' D2 L' B R U B
F' U' B L' R' U F'
F' U' B R' L' U F'
B2 U' B R B2 U B'
U' D2 L2 B R U B
U' D2 R U D B R'
U' D2 R D U B R'
B2 U' B' L R U B
B' U' B' R B' U B2
B2 U' B' L' R U B
B2 U' B' L2 R U B
B2 U' B' R L U B
B2 U' B' R L' U B
B2 U' B' R L2 U B
B2 U' B' R U D B
B2 U' B' R U D' B
B2 U' B' R U D2 B
B2 U' B' R U B D
B2 U' B' R U B D'
B2 U' B' R U B D2
B2 U' B' R D U B
B2 U' B' R D' U B
B2 U' B' R D2 U B
B2 U' B' D R U B
B2 U' B' D' R U B
B' U' B2 L R U B
B2 U' B' D2 R U B
B' U' B2 L' R U B
B' U' B2 L2 R U B
B' U' B2 R L U B
B' U' B2 R L' U B
B' U' B2 R L2 U B
B' U' B2 R U D B
B' U' B2 R U D' B
B' U' B2 R U D2 B
B' U' B2 R U B D
B' U' B2 R U B D'
B' U' B2 R U B D2
B' U' B2 R D U B
B' U' B2 R D' U B
B' U' B2 R D2 U B
B' U' B2 D R U B
B' U' B2 D' R U B
B' U' B2 D2 R U B
U' D2 B L R U B
U' D2 B L' R U B
U' D2 B L2 R U B
U' D2 B R L U B
U' D2 B R L' U B
U' D2 B R L2 U B
U' D2 B R U D B
U' D2 B R U D' B
U' D2 B R U D2 B
U' D2 B R U B D
U' D2 B R U B D'
U' D2 B R U B D2
U' D2 B R D U B
U' D2 B R D' U B
U' D2 B R D2 U B
U' D2 B D R U B
U' D2 B D' R U B
U' D2 B D2 R U B
U' D2 B' R B2 U B'
L D2 B R U L' B'
U' D2 B2 R B' U B2
R F U R F' U' F
B D L R U L' B'
B D R L U L' B'
B D R F' L' U L
B2 D U' R B' U B2
B2 D U' B' R U B
B D F' L' U L F
F' D B L' U L F
U F' R2 F' L' U' B'
R2 F' U' L' R' U R
R2 F' U' R' L' U R
B D' L R U L' B'
B D' R L U L' B'
D2 F' B L' U L F
D' F' B L' U L F
B D' R F' L' U L
D F' B L' U L F
B' D' U' R U B R
B2 D' U' R B' U B2
B2 D' U' B' R U B
U F2 L' R' U' B' R'
U F2 L' R2 F' U' B'
U F2 L' U' B' D' R2
U F2 L' U2 B U B2
B D' F' L' U L F
F' D' B L' U L F
U F2 R' L' U' B' R'
U F2 R2 L' F' U' B'
B D2 L R U L' B'
B D2 R L U L' B'
B D2 R F' L' U L
B' D2 U F2 L' U' B'
U' B L R U D B
U' B L R U D' B
U' B L R U D2 B
U' B L R U B D
U' B L R U B D'
U' B L R U B D2
U' B L R D U B
U' B L R D' U B
U' B L R D2 U B
D2 B L R U L' B'
D' B L R U L' B'
U' B L D R U B
U' B L D' R U B
U' B L D2 R U B
B2 D2 U' R B' U B2
U' B L' R U D B
U' B L' R U D' B
U' B L' R U D2 B
U' B L' R U B D
U' B L' R U B D'
U' B L' R U B D2
U' B L' R D U B
U' B L' R D' U B
U' B L' R D2 U B
U2 B L R U' R' U2
B2 D2 U' B' R U B
U' B L' D R U B
U' B L' D' R U B
U' B L' D2 R U B
D B L R U L' B'
U' B L2 R U D B
U' B L2 R U D' B
U' B L2 R U D2 B
U' B L2 R U B D
U' B L2 R U B D'
U' B L2 R U B D2
U' B L2 R D U B
U' B L2 R D' U B
U' B L2 R D2 U B
L2 B L' R U L' B'
U' B L2 D R U B
U' B L2 D' R U B
U' B L2 D2 R U B
U' B R L U D B
U' B R L U D' B
U' B R L U D2 B
U' B R L U B D
U' B R L U B D'
U' B R L U B D2
U' B R L D U B
U' B R L D' U B
U' B R L D2 U B
U' B R L' U D B
U' B R L' U D' B
U' B R L' U D2 B
U' B R L' U B D
U' B R L' U B D'
U' B R L' U B D2
U' B R L' D U B
U' B R L' D' U B
U' B R L' D2 U B
U' B R L2 U D B
U' B R L2 U D' B
U' B R L2 U D2 B
U' B R L2 U B D
U' B R L2 U B D'
U' B R L2 U B D2
U' B R L2 D U B
U' B R L2 D' U B
U' B R L2 D2 U B
U' B R U L B L'
U' B R U L2 B L2
U' B R U D B D
U' B R U D B D'
U' B R U D B D2
U' B R U D' B D
U' B R U D' B D'
U' B R U D' B D2
U' B R U D2 B D
U' B R U D2 B D'
U' B R U D2 B D2
U' B R U B2 D B'
U' B R U B2 D' B'
U' B R U B2 D2 B'
D2 B R L U L' B'
U' B R U' F U2 B
U' B R U' F' U2 B
U' B R U' F2 U2 B
D' B R L U L' B'
U' B R D L U B
U' B R D L' U B
U' B R D L2 U B
U' B R D U B D
U' B R D U B D'
U' B R D U B D2
U' B R D' L U B
U' B R D' L' U B
U' B R D' L2 U B
U' B R D' U B D
U' B R D' U B D'
U' B R D' U B D2
U' B R D2 L U B
U' B R D2 L' U B
U' B R D2 L2 U B
U' B R D2 U B D
U' B R D2 U B D'
U' B R D2 U B D2
L' B R U L' B' L
D2 B R F' L' U L
D' B R F' L' U L
U2 B R L U' R' U2
L2 B R L' U L' B'
B D2 F' L' U L F
L2 B R U L' B' L'
D B R L U L' B'
L2 B R F' L' U L'
F' D2 B L' U L F
D B R F' L' U L
L B R U L' D B'
L B R U L' D' B'
L B R U L' D2 B'
L B R U L' B' D
L B R U L' B' D'
L B R U L' B' D2
L B R U D L' B'
L B R U D' L' B'
L B R U D2 L' B'
L B R U B L' B'
L B R U B' L' B'
L B R U B2 L' B'
L B R D U L' B'
L B R D' U L' B'
L B R D2 U L' B'
U2 B U L R U R'
U2 B U R L U R'
U' B D L R U B
F' B L' R U L F
U' B D L' R U B
