B' L' U' B' R' U2
F2 L R B U' F R
B' L R' F' L2 U F2
F L U' F R B L
B' L F2 L2 U F' L'
B' L' R' F' U' B' U2
B' L' U L' F' L' F
B' L' U L2 F' L' F2
B' L' U F' L2 F L
B' L' U F2 L2 F L'
B' L' U' R B' R' U2
B' L' U' R' B' R' U2
B' L' U' R2 B' R' U2
B' L' U' D B' R' U2
B' L' U' D' B' R' U2
B' L' U' D2 B' R' U2
B' L' U' B' R' U2 D
B' L' U' B' R' U2 D'
B' L' U' B' R' U2 D2
B' L' U' B' R' D U2
B' L' U' B' R' D' U2
B' L' U' B' R' D2 U2
B' L' U' B' D R' U2
B' L' U' B' D' R' U2
B' L' U' B' D2 R' U2
B' L' D U' B' R' U2
B' L' D' U' B' R' U2
B' L' D2 U' B' R' U2
B' L' F U' B' R' U2
B' L' F' U' B' R' U2
B' L' F2 U' B' R' U2
B L' B2 U' B U2 L
F2 R L B U' F R
R' U B' L' F' R' U
L' U' D' B' L R' U2
L' U' D' B' R' L U2
B' R' L F' L2 U F2
B' R' L' F' U' B' U2
R2 D B' L' U L2 F
L' D' U' B' L R' U2
L' D' U' B' R' L U2
B2 U' L' B U L F
B' D L' U' B' R' U2
B' D' L' U' B' R' U2
R' F' D2 B' L U F
B' D2 L' U' B' R' U2
R' B' L F' L2 U F2
U' B' L' U' R' U2 F'
D2 B' L' U' B' R' U2
D' B' L' U' B' R' U2
R' B' L' F' U' B' U2
D B' L' U' B' R' U2
U B' L' R' F' U L'
U B' L' F' R' U L'
R B' L' U D L2 F
R B' L' D U L2 F
U B' R' L' F' U L'
