D2 F' D' R U' F'
D L R U' F' B' R'
D L R U' B' F' R'
B' L R2 F' B R U
B' L R2 B F' R U
D L F' R U' F' B'
D L F' R U' B' F'
D2 L F' D' R U' F'
D' L' D' F' R U' F2
D' L' F' R' U' F2 B
D' L' F' R' U' B F2
D2 L' F' D' R U' F'
F L' F' D2 F' R U'
F L' F2 D' R' U' B
F L' F2 B R' B' U'
F L' B R' F2 B' U'
F L' B R' B' F2 U'
F L' B F2 R' B' U'
F2 L2 U2 B' L R' U
F2 L2 U2 B' R' L U
F L2 D L U' R2 B'
F L2 D L U' B' R2
D2 L2 F' D' R U' F'
F L2 F2 D L U' B'
D R L U' F' B' R'
D R L U' B' F' R'
D' R U F' L' U2 F
F' R' D' R' U' F2 B
F' R' D' R' U' B F2
B' R2 L F' B R U
B' R2 L B F' R U
F' R2 U2 D' R' U B
F' R2 D' U2 R' U B
B' R2 F' L B R U
F' U B' U L R U
F' U B' U R L U
F' U B2 U R U B
F' U' B' U' L R U
F' U' B' U' R L U
L' D2 F' D' R U' F'
F2 U2 L2 B' L R' U
F2 U2 L2 B' R' L U
L2 D2 F' D' R U' F'
F' U2 R D L U B'
F' U2 R B' L B U
L D2 F' D' R U' F'
F' U2 R2 D' R' U B
F' U2 D L R U B'
F' U2 D R L U B'
F' U2 D' R U' F' U2
F' U2 B' L B R U
F' D L U2 R U B'
F' D L2 U2 R U B
F D L' U F U2 R2
F D L' F2 U' R2 B
D2 F' L D' R U' F'
F' D U2 L R U B'
D' F' L' R' U' F B
D' F' L' R' U' B F
F' D U2 R L U B'
D F' L R U' F' B'
D F' L R U' B' F'
D2 F' L' D' R U' F'
D2 F' L2 D' R U' F'
D2 F' R D L' U' F
D2 F' R B' L B U'
D' F' R' L' U' F B
D' F' R' L' U' B F
D F' R L U' F' B'
D F' R L U' B' F'
D2 F' D L' R U' F
D2 F' D R L' U' F
D2 F' D' L R U' F'
D2 F' D' L' R U' F'
D2 F' D' L2 R U' F'
D2 F' D' R L U' F'
D2 F' D' R L' U' F'
D2 F' D' R L2 U' F'
D2 F' D' R U' D F'
D2 F' D' R U' D' F'
D2 F' D' R U' D2 F'
D2 F' D' R U' F' D
D2 F' D' R U' F' D'
D2 F' D' R U' F' D2
D2 F' D' R D U' F'
D2 F' D' R D' U' F'
D2 F' D' R D2 U' F'
F' D' R U F' U2 F
F' D' R' U' D' F2 B
F' D' R' U' D' B F2
F' D' R' U' B D' F2
F' D' R' D' U' F2 B
F' D' R' D' U' B F2
F' D' R' D2 L2 U' B
D2 F' B' L B R U'
F' D' U2 R U' F' U2
D2 F2 D' F R U' F'
D2 F2 D2 F L' R U'
D2 F2 D2 F R L' U'
F2 D2 F U2 L' R U
F2 D2 F U2 R L' U
F2 D2 F' L' R F2 U'
F2 D2 F' R L' F2 U'
B D2 F' R' B' L U'
F' B R' D' B' U' F2
F' B R' D2 B' L2 U'
F' B R' B' U' D' F2
F' B R' B' U2 R2 U
F' B R' B' D' U' F2
F' B R' B' D2 L2 U'
B F R' B' L' F2 U'
F B R' B' L' F2 U'
D2 B' L F' B R U'
D2 B' L B F' R U'
B F' R' D' B' U' F2
B F' R' D2 B' L2 U'
B F' R' B' U' D' F2
B F' R' B' U2 R2 U
B F' R' B' D' U' F2
B F' R' B' D2 L2 U'
D2 B' F' L B R U'
