F2 L B' U F'
F2 L D B' U F'
F2 L D' B' U F'
F2 L D2 B' U F'
F' L F' B' U F'
F2 L B' U D F'
F2 L B' U D' F'
F2 L B' U D2 F'
F2 L B' U F' D
F2 L B' U F' D'
F2 L B' U F' D2
F' L B' F' U F'
F2 L B' D U F'
F2 L B' D' U F'
F2 L B' D2 U F'
F U' F L B' U
F2 D L U F' R
R' F2 L B' U F'
U' F2 L B' U F'
U2 F2 L B' U F'
R2 F2 L B' U F'
U F2 L B' U F'
R F2 L B' U F'
F2 L R B' R' U F'
F2 L R' B' R U F'
F2 L R2 B' U D2 F2
F2 L R2 B' U' B2 U2
F2 L R2 B' D' R2 U
F2 L R2 B' D2 U F2
F2 L U F' U' B' U
F2 L U2 L2 F U' F2
F' L D F' R2 B' U
F' L D F' B' R2 U
F' L D B' F' R2 U
F2 L D B' U D F'
F2 L D B' U D' F'
F2 L D B' U D2 F'
F2 L D B' U F' D
F2 L D B' U F' D'
F2 L D B' U F' D2
F2 L D B' D U F'
F2 L D B' D' U F'
F2 L D B' D2 U F'
F2 L D' B' U D F'
F2 L D' B' U D' F'
F2 L D' B' U D2 F'
F2 L D' B' U F' D
F2 L D' B' U F' D'
F2 L D' B' U F' D2
F2 L D' B' D U F'
F2 L D' B' D' U F'
F2 L D' B' D2 U F'
F2 L D2 B' U D F'
F2 L D2 B' U D' F'
F2 L D2 B' U D2 F'
F2 L D2 B' U F' D
F2 L D2 B' U F' D'
F2 L D2 B' U F' D2
F2 L D2 B' D U F'
F2 L D2 B' D' U F'
F2 L D2 B' D2 U F'
F' L F' D B' U F'
F' L F' D' B' U F'
F' L F' D2 B' U F'
F' L F' B' U D F'
F' L F' B' U D' F'
F' L F' B' U D2 F'
F' L F' B' U F' D
F' L F' B' U F' D'
F' L F' B' U F' D2
F' L F' B' D U F'
F' L F' B' D' U F'
F' L F' B' D2 U F'
F2 L B U D' F' R2
F2 L B U F' D' R2
F2 L B D' U F' R2
F2 L B' R2 U' B U2
F2 L B' U L' F' L
F2 L B' U L2 F' L2
F2 L B' U D F' D
F2 L B' U D F' D'
F2 L B' U D F' D2
F2 L B' U D' F' D
F2 L B' U D' F' D'
F2 L B' U D' F' D2
F2 L B' U D2 F' D
F2 L B' U D2 F' D'
F2 L B' U D2 F' D2
F2 L B' U F2 D F
F2 L B' U F2 D' F
F2 L B' U F2 D2 F
F2 L B' U' B U2 F'
F2 L B' U' B' U2 F'
F2 L B' U' B2 U2 F'
F2 L B' U2 L U' F'
F2 L B' U2 L' U' F'
F2 L B' U2 L2 U' F'
F' L B' D F' R2 U
F2 L B' D U F' D
F2 L B' D U F' D'
F2 L B' D U F' D2
F2 L B' D' U F' D
F2 L B' D' U F' D'
F2 L B' D' U F' D2
F2 L B' D2 U F' D
F2 L B' D2 U F' D'
F2 L B' D2 U F' D2
F' L B' F' U D F'
F' L B' F' U D' F'
F' L B' F' U D2 F'
F' L B' F' U F' D
F' L B' F' U F' D'
F' L B' F' U F' D2
F' L B' F' D U F'
F' L B' F' D' U F'
F' L B' F' D2 U F'
F2 L B2 D B U F'
F2 L B2 D' B U F'
F2 L B2 D2 B U F'
F2 L' B L2 B' U F'
F2 L' B' L2 B' U F'
F2 L' B2 L2 B' U F'
F2 L2 D L' B' U F'
F2 L2 D' L' B' U F'
F2 L2 D2 L' B' U F'
L' U L2 F2 B' R' U
L' U L2 B' R' F2 U
L' U L2 B' F2 R' U
F2 L2 B L' B' U F'
F2 L2 B' L' B' U F'
F2 L2 B2 L' B' U F'
F2 R L B' R' U F'
R' U F2 L B' U F'
R2 U F2 L B' U F'
R U F2 L B' U F'
F R U' F L B' U
F R F L B' U F'
D2 R F' B2 R' U' F2
U' R F2 L B' U F'
U2 R F2 L B' U F'
U R F2 L B' U F'
D2 R B2 F' R' U' F2
F2 R' L B' R U F'
R' U' F2 L B' U F'
R2 U' F2 L B' U F'
R U' F2 L B' U F'
F R' U' F L B' U
F R' F L B' U F'
U' R' F2 L B' U F'
U2 R' F2 L B' U F'
U R' F2 L B' U F'
F2 R2 L B' U D2 F2
F2 R2 L B' U' B2 U2
F2 R2 L B' D' R2 U
F2 R2 L B' D2 U F2
R' U2 F2 L B' U F'
R2 U2 F2 L B' U F'
R U2 F2 L B' U F'
F R2 U' F L B' U
F R2 F L B' U F'
U' R2 F2 L B' U F'
U2 R2 F2 L B' U F'
U R2 F2 L B' U F'
D2 R2 B2 R' F' U' F2
F' U L F' B' U F'
F' U L B' F' U F'
F2 U L B' U L' F'
L2 D' L' B' U L' F
F' U F' L B' U F'
F2 U F' U' L B' U
F' U' L F' B' U F'
F' U' L B' F' U F'
F U' L D' B' U L
L D' B R' B2 U L2
L D' B' U2 L U' L
F' U' F' L B' U F'
F U' F L D B' U
F U' F L D' B' U
F U' F L D2 B' U
F U' F L B' U D
F U' F L B' U D'
F U' F L B' U D2
F U' F L B' D U
F U' F L B' D' U
F U' F L B' D2 U
F U' F' L F2 B' U
F U' F' L B' F2 U
F U' F2 L F' B' U
F U' F2 L B' F' U
F' U2 L F' B' U F'
F' U2 L B' F' U F'
F' U2 F' L B' U F'
U' F U' F L B' U
R' F U' F L B' U
F2 D L U F' R D
F2 D L U F' R D'
F2 D L U F' R D2
F2 D L U F' D R
F2 D L U F' D' R
F2 D L U F' D2 R
U2 F U' F L B' U
F' D L F' R2 U R'
R2 F U' F L B' U
F2 D L B U F' R
F2 D L B' U F' R
F2 D L B2 U F' R
U F U' F L B' U
R F U' F L B' U
D' F B L2 D' R' B
U' F' L F' B' U F'
R' F' L F' B' U F'
U' F' L B' F' U F'
R' F' L B' F' U F'
U2 F' L F' B' U F'
D F' L U R F2 L'
U2 F' L B' F' U F'
R2 F' L F' B' U F'
R2 F' L B' F' U F'
U F' L F' B' U F'
F' D F' L R2 U R'
U F' L B' F' U F'
R F' L F' B' U F'
R F' L B' F' U F'
F' D F' R2 L U R'
D F' R F2 L' D' B2
F2 D B' U F' R B
F2 D' L U D2 F' R
F2 D' L D2 U F' R
F2 D' L B U F' R'
L F' D F' R B' U
L F' D F' B' R U
L F' D B' F' R U
B D' R' F L2 B R'
B D' R' F B L2 R'
B D' R' F B R' L2
B D' R' B R' F L2
B D' R' B F L2 R'
B D' R' B F R' L2
U' F2 L D B' U F'
U' F2 L D' B' U F'
U' F2 L D2 B' U F'
R' F2 L D B' U F'
R' F2 L D' B' U F'
R' F2 L D2 B' U F'
U' F2 L B' U D F'
U' F2 L B' U D' F'
U' F2 L B' U D2 F'
U' F2 L B' U F' D
U' F2 L B' U F' D'
U' F2 L B' U F' D2
U' F2 L B' D U F'
U' F2 L B' D' U F'
U' F2 L B' D2 U F'
R' F2 L B' U D F'
R' F2 L B' U D' F'
R' F2 L B' U D2 F'
R' F2 L B' U F' D
R' F2 L B' U F' D'
R' F2 L B' U F' D2
R' F2 L B' D U F'
R' F2 L B' D' U F'
R' F2 L B' D2 U F'
L F' B' D F' R U
U2 F2 L D B' U F'
U2 F2 L D' B' U F'
U2 F2 L D2 B' U F'
R2 F2 L D B' U F'
U2 F2 L B' U D F'
U2 F2 L B' U D' F'
U2 F2 L B' U D2 F'
U2 F2 L B' U F' D
U2 F2 L B' U F' D'
U2 F2 L B' U F' D2
U2 F2 L B' D U F'
U2 F2 L B' D' U F'
U2 F2 L B' D2 U F'
R2 F2 L D' B' U F'
R2 F2 L D2 B' U F'
R2 F2 L B' U D F'
R2 F2 L B' U D' F'
R2 F2 L B' U D2 F'
R2 F2 L B' U F' D
R2 F2 L B' U F' D'
R2 F2 L B' U F' D2
R2 F2 L B' D U F'
R2 F2 L B' D' U F'
R2 F2 L B' D2 U F'
U F2 L D B' U F'
U F2 L D' B' U F'
U F2 L D2 B' U F'
R F2 L D B' U F'
R F2 L D' B' U F'
U F2 L B' U D F'
U F2 L B' U D' F'
U F2 L B' U D2 F'
U F2 L B' U F' D
U F2 L B' U F' D'
U F2 L B' U F' D2
U F2 L B' D U F'
U F2 L B' D' U F'
U F2 L B' D2 U F'
R F2 L D2 B' U F'
B D' F L2 R' B R'
B D' F L2 B R' B
R F2 L B' U D F'
R F2 L B' U D' F'
R F2 L B' U D2 F'
R F2 L B' U F' D
R F2 L B' U F' D'
R F2 L B' U F' D2
B D' F R' L2 B R'
R F2 L B' D U F'
R F2 L B' D' U F'
R F2 L B' D2 U F'
B D' F R' B L2 R'
B D' F R' B R' L2
B D' F B L2 R' B
B D' F B R' L2 B
B D' F B R' B L2
B D' B R' F L2 B
B D' B R' F B L2
B D' B R' B F L2
B D' B F L2 R' B
B D' B F R' L2 B
B D' B F R' B L2
F2 D2 L U D' F' R
F2 D2 L D' U F' R
U' F2 D L U F' R
R' F2 D L U F' R
U2 F2 D L U F' R
R2 F2 D L U F' R
U F2 D L U F' R
R F2 D L U F' R
L F2 D' B R' B2 U
L F2 D' B' U2 L U'
L F2 D2 R B' U F'
L F2 D2 B' R U F'
L F2 B' U L' F L
L F2 B' U2 L' U' F
L F2 B' D2 R U F'
L F2 B2 D' B R' U
F2 B L B' L U F'
D' B F L2 D' R' B
L B' L' F2 L U F'
L B' U L D' L2 F
L B' U L' D' F L2
F2 B' U D F' R B
F2 B' D U F' R B
L B' F' D F' R U
L B' F2 U L' F L
L B' F2 U2 L' U' F
L B' F2 D2 R U F'
D2 B2 R F' R2 U' F2
D2 B2 R' U2 B U F
B F2 L B' L U F'
B' F2 U D F' R B
B' F2 D U F' R B
L B2 D' B R' U L2
L B2 F2 D' B R' U
