L' B' U' R' U' L'
F2 L U R F L B
B L U D2 R2 F L
B L U D2 F L R2
B L U D2 F R2 L
B L U F D2 L R2
B L U F D2 R2 L
B L U' L2 B' U2 L'
B L D2 U R2 F L
B L D2 U F L R2
B L D2 U F R2 L
L' R B' U' R' U' L'
D2 L' R2 B' U' R' U'
B L' U L2 U F L
B L' D F2 R B' U2
B L' D F2 B' R U2
B L' D B' F2 R U2
B L' D' B' U2 B' L'
R' L' B' U' R' U' L'
L' R' B' U' R' U' L'
R2 L' B' U' R' U' L'
R L' B' U' R' U' L'
D2 L' B' R2 U' R U'
D' L' B' U' R' B' U'
B2 L' B' U L U L2
B L' B' U L2 U L
B2 L' B' U2 L' D' B2
B L' B' U2 D' L' B2
B L' B' U2 D' B2 L'
B L' B' D F2 R U2
B L' B' D' U2 L' B2
B L' B' D' U2 B2 L'
L' R2 B' U' R' U' L'
L U L2 B' U2 L' B'
L' U' L2 U' F L B'
D2 R2 L' B' U' R' U'
L' D B' U' R' U' L'
L' D' B' U' R' U' L'
L' D2 B' U' R' U' L'
L F L B2 D' R' B
B D F2 L U R F
D F2 L U R F B
D F2 L U R B F
L' F2 R B' U' R' U'
L' F2 B' R U' R2 U'
L' F2 B' R U2 D B2
L' F2 B' R D U2 B2
L' F2 B' R D' F2 U2
D F2 B L U R F
F2 B L U R F L
D B F2 L U R F
L' B' R U' R2 U' L'
L' B' R U2 L' D B2
L' B' R U2 D L' B2
L' B' R U2 D B2 L'
L' B' R D U2 L' B2
L' B' R D U2 B2 L'
L' B' R D' F2 R U2
L' B' R2 U' R U' L'
L' B' U' R' U' L' D
L' B' U' R' U' L' D'
L' B' U' R' U' L' D2
L' B' U' R' U' D L'
L' B' U' R' U' D' L'
L' B' U' R' U' D2 L'
L' B' U' R' D U' L'
L' B' U' R' D' U' L'
L' B' U' R' D2 U' L'
L' B' U' R' B U' L'
L' B' U' R' B' U' L'
L' B' U' R' B2 U' L'
L' B' U' D R' U' L'
L' B' U' D' R' U' L'
L' B' U' D2 R' U' L'
L' B' U' B U' L' B'
L' B' U2 L' U R' U'
L' B' U2 B2 L' D' B2
L' B' D U' R' U' L'
L' B' D' U' R' U' L'
L' B' D2 U' R' U' L'
L' B' F2 R U' R2 U'
L' B' F2 R U2 D B2
L' B' F2 R D U2 B2
L' B' F2 R D' F2 U2
B F2 L U R F L
