D2 L U' F L B
D L B2 U' F B'
D L B2 U' B' F
L' U R2 F' B' U2
L' U R2 B' F' U2
L U R2 F' U2 F2
L' U B' R2 U2 B2
L' U' D2 L2 F B
L' U' D2 L2 B F
L U' D2 F L2 B
L U' D2 F B L2
L U' D2 B F L2
L U' F D2 L2 B
L U' F D2 B L2
L U' F B D2 L2
L' U' B D2 L2 F2
L' U' B D2 F2 L2
L U' B D2 F L2
L U' B F D2 L2
L D B2 U' F B'
L D B2 U' B' F
L' D2 U' L2 F B
L' D2 U' L2 B F
L D2 U' F L2 B
L D2 U' F B L2
L D2 U' B F L2
L' R U R F' B' U2
L' R U R B' F' U2
L R U R F' U2 F2
R L U R F' U2 F2
L' R U B' R F' U2
B' L R' U' F B2 L
B' L R' U' B2 F L
B' L U R2 U2 F B2
B' L U R2 U2 B2 F
D2 L U' D F L B
D2 L U' D' F L B
D' L U' D' F L2 B
D' L U' D' F B L2
D' L U' D' B F L2
B' L U' D2 F L2 B'
D2 L U' D2 F L B
D L U' D F L2 B
D L U' D F B L2
D2 L U' F L D B
D2 L U' F L D' B
D2 L U' F L D2 B
D2 L U' F L B D
D2 L U' F L B D'
D2 L U' F L B D2
D L U' D B F L2
D2 L U' F L' B L2
D2 L U' F L2 B L'
B' L U' F B2 D2 L2
D2 L U' F D L B
D2 L U' F D' L B
D2 L U' F D2 L B
D2 L U' F' L F2 B
D2 L U' F' L B F2
D2 L U' F2 L F' B
D2 L U' F2 L B F'
D L U' F D L2 B
D L U' F D B L2
D' L U' B D' F L2
D2 L U' B D2 F L'
B' L U' B2 D2 F L2
B' L U' B2 F D2 L2
D' L U2 F2 U F' B
D' L U2 F2 U B F'
D2 L D U' F L B
D L D U' F L2 B
D L D U' F B L2
D L D U' B F L2
B L D B2 U' F B2
B L D B2 U' B2 F
D' L D' U' F L2 B
D' L D' U' F B L2
D2 L D' U' F L B
D' L D' U' B F L2
R2 L F' U' F U' F
D2 L D2 U' F L B
B' L D2 U' F L2 B'
D' L D2 B2 U' F B'
D' L D2 B2 U' B' F
R L' U R F' B' U2
R L' U R B' F' U2
R L' U B' R F' U2
D L B2 R U' F B'
D L B2 R U' B' F
D L B2 R' U' F B'
D L B2 R' U' B' F
D L B2 R2 U' F B'
D L B2 R2 U' B' F
D L B2 U' D F B'
D L B2 U' D B' F
D L B2 U' D' F B'
D L B2 U' D' B' F
D L B2 U' D2 F B'
D L B2 U' D2 B' F
D L B2 U' F D B'
D L B2 U' F D' B'
D L B2 U' F D2 B'
D L B2 U' F B' D
D L B2 U' F B' D'
D L B2 U' F B' D2
D L B2 U' B' D F
D L B2 U' B' D' F
D L B2 U' B' D2 F
D L B2 U' B' F D
D L B2 U' B' F D'
D L B2 U' B' F D2
D L B2 D U' F B'
D L B2 D U' B' F
D L B2 D' U' F B'
D L B2 D' U' B' F
D L B2 D2 U' F B'
D L B2 D2 U' B' F
B' L' U R2 B' U2 B'
D2 L' U B' U2 L' B2
D2 L' U B' U2 B2 L'
B' L' U B' R2 U2 B'
D2 L' U' L2 F L B
D' L' U' D' L2 F B
D' L' U' D' L2 B F
D L' U' D L2 F B
D L' U' D L2 B F
D2 L' U' B L' D2 F2
D2 L' U' B D2 L' F2
R2 L' F' B' U' F U'
D L' D U' L2 F B
D L' D U' L2 B F
D' L' D' U' L2 F B
D' L' D' U' L2 B F
R2 L' B' F' U' F U'
D L' B2 R2 U' F' B'
D L' B2 R2 U' B' F'
D L' B2 U B U2 B2
D L' B2 U' B' D2 F2
L' R2 F' B' U' F U'
L R2 F' U' F U' F
L' R2 B' F' U' F U'
L' U R B' R F' U2
L' U R2 D F' B' U2
L' U R2 D B' F' U2
L' U R2 D' F' B' U2
L' U R2 D' B' F' U2
L' U R2 D2 F' B' U2
L' U R2 D2 B' F' U2
L' U R2 F' D B' U2
L' U R2 F' D' B' U2
L' U R2 F' D2 B' U2
L' U R2 F' B' U2 D
L' U R2 F' B' U2 D'
L' U R2 F' B' U2 D2
L' U R2 F' B' D U2
L' U R2 F' B' D' U2
L' U R2 F' B' D2 U2
L' U R2 B' D F' U2
L' U R2 B' D' F' U2
L' U R2 B' D2 F' U2
L' U R2 B' F' U2 D
L' U R2 B' F' U2 D'
L' U R2 B' F' U2 D2
L' U R2 B' F' D U2
L' U R2 B' F' D' U2
L' U R2 B' F' D2 U2
L U R2 U2 F D2 B2
L U R2 D F' U2 F2
L U R2 D' F' U2 F2
L U R2 D2 F' U2 F2
L U R2 F' U2 F2 D
L U R2 F' U2 F2 D'
L U R2 F' U2 F2 D2
L U R2 F' D2 B2 U2
L U R2 F' B U2 F2
L U R2 F' B' U2 F2
L U R2 F' B2 U2 F2
L U R2 B F' U2 F2
L U R2 B' F' U2 F2
L U R2 B2 F' U2 F2
L' U D2 B' U2 L2 B2
L' U D2 B' U2 B2 L2
L' U F R2 F' B' U2
L' U F R2 B' F' U2
L' U F B' R2 U2 B2
L U F R2 F' U2 F
L' U F' R2 F' B' U2
L' U F' R2 B' F' U2
L' U F' B' R2 U2 B2
L U F' R2 F' U2 F'
L' U F2 R2 F' B' U2
L' U F2 R2 B' F' U2
L' U F2 B' R2 U2 B2
L U F2 R2 F' B U2
L U F2 R2 B F' U2
L' U B R2 B2 U2 B2
U2 R U' B R F' U2
L' U B' R' U2 B2 L
L' U B' R2 U2 B2 D
L' U B' R2 U2 B2 D'
L' U B' R2 U2 B2 D2
L' U B' R2 D2 F2 U2
L' U B' R2 F U2 B2
L' U B' R2 F' U2 B2
L' U B' R2 F2 U2 B2
L' U B' U2 B2 D2 L2
L' U B' D2 F2 U2 L2
L' U B' F R2 U2 B2
L' U B' F' R2 U2 B2
L' U B' F2 R2 U2 B2
L U B' R2 U2 F B2
L U B' R2 U2 B2 F
L' U B2 R2 U2 F' B'
L' U B2 R2 U2 B' F'
L U B2 R2 U2 F B'
L U B2 R2 U2 B' F
L2 U' L D2 L2 F B
L2 U' L D2 L2 B F
L2 U' L B D2 L2 F2
L2 U' L B D2 F2 L2
L2 U' L' D2 F L2 B
L2 U' L' D2 F B L2
L2 U' L' D2 B F L2
L2 U' L' F D2 L2 B
L2 U' L' F D2 B L2
L2 U' L' F B D2 L2
L2 U' L' B D2 F L2
L2 U' L' B F D2 L2
L' U' L2 D2 F L2 B
L' U' L2 D2 F B L2
L' U' L2 D2 B F L2
L' U' L2 F D2 L2 B
L' U' L2 F D2 B L2
L' U' L2 F B D2 L2
L' U' L2 B D2 F L2
L' U' L2 B F D2 L2
L U' L2 D2 L2 F B
L U' L2 D2 L2 B F
L U' L2 B D2 L2 F2
L U' L2 B D2 F2 L2
L' U' R2 F' B' U2 R2
L' U' R2 B' U2 R2 B
L' U' R2 B' F' U2 R2
L U' R2 U2 R2 F B
L U' R2 U2 R2 B F
L U' R2 F' U2 R2 F2
L U' R2 F' U2 F2 R2
L U' D F D L2 B
L U' D F D B L2
B' R' L U' F B2 L
B' R' L U' B2 F L
L' U' D2 L' B L' F
L' U' D2 L2 D F B
L' U' D2 L2 D B F
L' U' D2 L2 D' F B
L' U' D2 L2 D' B F
L' U' D2 L2 D2 F B
L' U' D2 L2 D2 B F
L' U' D2 L2 F D B
L' U' D2 L2 F D' B
L' U' D2 L2 F D2 B
L' U' D2 L2 F B D
L' U' D2 L2 F B D'
L' U' D2 L2 F B D2
L' U' D2 L2 B D F
L' U' D2 L2 B D' F
L' U' D2 L2 B D2 F
L' U' D2 L2 B F D
L' U' D2 L2 B F D'
L' U' D2 L2 B F D2
L' U' D2 F L2 F B
L' U' D2 F L2 B F
L' U' D2 F' L2 F B
L' U' D2 F' L2 B F
L' U' D2 F2 L2 F B
L' U' D2 F2 L2 B F
L U' D' B D' F L2
L' U' D2 B L2 D2 F2
L U' D2 L2 B D2 F2
L U' D2 F L' B L'
L U' D2 F L2 D B
L U' D2 F L2 D' B
L U' D2 F L2 D2 B
L U' D2 F L2 B D
L U' D2 F L2 B D'
L U' D2 F L2 B D2
L U' D2 F B L2 D
L U' D2 F B L2 D'
L U' D2 F B L2 D2
L U' D2 F B' L2 B2
L U' D2 F' L2 F2 B
L U' D2 F' L2 B F2
L U' D2 F' B L2 F2
L U' D2 F2 L2 F' B
L U' D2 F2 L2 B F'
L U' D2 F2 B L2 F'
L U' D2 B F L2 D
L U' D2 B F L2 D'
L U' D2 B F L2 D2
L U' D2 B F' L2 F2
L U' D2 B F2 L2 F'
L U' D2 B' F L2 B2
L' U' F D2 L2 F B
L' U' F D2 L2 B F
L U' F L D2 L2 B
L U' F L D2 B L2
L U' F L B D2 L2
L' U' F B D2 L2 F2
L' U' F B D2 F2 L2
L U' F L' D2 L2 B
