R F' R D B2
F' L U' L' R F'
F' L U' R L' F'
F' L' U' L R F'
F' L' U' R L F'
F' L' U' R F' L
D' L' F L' U' L2
F' L2 U' L2 R F'
F' L2 U' R L2 F'
F' L2 U' R F' L2
L' U' L R F' R
L' U' L F' R F'
L U' L' R F' R
L' U' R L F' R
L U' L' F' R F'
L2 U' L2 R F' R
L' U' R F' L R
L' U' R F' R L
F' R F' U R' U'
B' R F' R D B2
L2 U' L2 F' R F'
B2 R F' R D B2
L2 U' R L2 F' R
B R F' R D B2
L U' R L' F' R
L2 U' R F' L2 R
L2 U' R F' R L2
L' U' F' L R F'
L' U' F' R L F'
L' U' F' R F' L
L2 U' F' L2 R F'
L2 U' F' R L2 F'
L2 U' F' R F' L2
F' R2 D R' F' B2
F' R2 D R' B2 F'
D' F L' F U' L
U' F' R F' D' L2
L' F' U' L R F'
L' F' U' R L F'
L' F' U' R F' L
R F' R U R2 U'
R F' R D B2 D
R F' R D B2 D'
R F' R D B2 D2
R F' R B D B2
R F' R B' D B2
R F' R B2 D B2
L2 F' U' L2 R F'
L2 F' U' R L2 F'
L2 F' U' R F' L2
L2 F' U' R F' L2
R F' U R' U' R2
R F' D R D B2
R F' D' R D B2
R F' D2 R D B2
D2 L U B' L U2 L2
F' L U' L R F' L2
F' L U' L' R D F'
F' L U' L' R D' F'
F' L U' L' R D2 F'
F' L U' L' R F' D
F' L U' L' R F' D'
F' L U' L' R F' D2
B' L U' L' R F' R
B' L U' L' F' R F'
F' L U' L2 R F' L
B2 L U' L' R F' R
B2 L U' L' F' R F'
F' L U' R L F' L2
F' L U' R L' D F'
F' L U' R L' D' F'
F' L U' R L' D2 F'
F' L U' R L' F' D
F' L U' R L' F' D'
F' L U' R L' F' D2
F' L U' R L2 F' L
B' L U' R L' F' R
F' L U' R D L' F'
F' L U' R D' L' F'
F' L U' R D2 L' F'
B L U' L' R F' R
B2 L U' R L' F' R
B L U' L' F' R F'
F L U' L' F2 R F'
B L U' R L' F' R
F' L U' D2 L' R F
F' L U' D2 R L' F
F L U' D2 L' R2 F
F L U' D2 L' F R2
F L U' D2 R2 L' F
L' R F' L R D B2
L' R F' R L D B2
L' R F' R D L B2
L2 R F' L2 R D B2
L2 R F' R L2 D B2
F' L D2 U' L' R F
F' L D2 U' R L' F
F L D2 U' L' R2 F
F L D2 U' L' F R2
F L D2 U' R2 L' F
U' L F' R F' D' L2
F' L B U' L' R F'
F' L B U' R L' F'
F' L B' U' L' R F'
F' L B' U' R L' F'
F' L B2 U' L' R F'
F' L B2 U' R L' F'
F' L' U' L R D F'
F' L' U' L R D' F'
F' L' U' L R D2 F'
F' L' U' L R F' D
F' L' U' L R F' D'
F' L' U' L R F' D2
F' L' U' L' R F' L2
B' L' U' L R F' R
B' L' U' L F' R F'
B2 L' U' L R F' R
F' L' U' R L D F'
F' L' U' R L D' F'
F' L' U' R L D2 F'
F' L' U' R L F' D
F' L' U' R L F' D'
F' L' U' R L F' D2
F' L' U' R L' F' L2
F' L' U' R D L F'
F' L' U' R D F' L
F' L' U' R D' L F'
B2 L' U' L F' R F'
F' L' U' R D' F' L
F' L' U' R D2 L F'
F' L' U' R D2 F' L
F' L' U' R F L F2
F' L' U' R F' L D
F' L' U' R F' L D'
F' L' U' R F' L D2
F' L' U' R F' D L
F' L' U' R F' D' L
F' L' U' R F' D2 L
B' L' U' R L F' R
B L' U' L R F' R
B' L' U' R F' L R
B' L' U' R F' R L
B L' U' L F' R F'
B2 L' U' R L F' R
B2 L' U' R F' L R
B2 L' U' R F' R L
B L' U' R L F' R
B L' U' R F' L R
B L' U' R F' R L
B' L' U' F' L R F'
B' L' U' F' R L F'
B' L' U' F' R F' L
B2 L' U' F' L R F'
B2 L' U' F' R L F'
B2 L' U' F' R F' L
B L' U' F' L R F'
B L' U' F' R L F'
B L' U' F' R F' L
R L' F' L R D B2
R L' F' R L D B2
R L' F' R D L B2
D' L' F L' U' L2 D
D' L' F L' U' L2 D'
D' L' F L' U' L2 D2
D' L' F L' D' B2 U'
D' L' F L' B U' L2
D' L' F L' B' U' L2
D' L' F L' B2 U' L2
D' L' F U' L D F2
D' L' F D L' U' L2
F2 L' F U' L R F'
F2 L' F U' R L F'
F2 L' F U' R F' L
D' L' F D' L' U' L2
D' L' F D2 L' U' L2
U' L' F' R F' D' L2
B' L' F' U' L R F'
B' L' F' U' R L F'
B' L' F' U' R F' L
B2 L' F' U' L R F'
B2 L' F' U' R L F'
B2 L' F' U' R F' L
B L' F' U' L R F'
B L' F' U' R L F'
B L' F' U' R F' L
R L2 F' L2 R D B2
R L2 F' R L2 D B2
F' L2 U R F' L2 B'
F' L2 U' L R F' L
B' L2 U' L2 R F' R
F' L2 U' L2 R D F'
F' L2 U' L2 R D' F'
F' L2 U' L2 R D2 F'
F' L2 U' L2 R F' D
F' L2 U' L2 R F' D'
F' L2 U' L2 R F' D2
B' L2 U' L2 F' R F'
B' L2 U' R L2 F' R
F' L2 U' R L F' L
F' L2 U' R L2 D F'
F' L2 U' R L2 D' F'
F' L2 U' R L2 D2 F'
F' L2 U' R L2 F' D
F' L2 U' R L2 F' D'
F' L2 U' R L2 F' D2
B' L2 U' R F' L2 R
B' L2 U' R F' R L2
F' L2 U' R F L2 F2
F' L2 U' R F' L2 D
F' L2 U' R F' L2 D'
F' L2 U' R F' L2 D2
B2 L2 U' L2 R F' R
B2 L2 U' L2 F' R F'
B2 L2 U' R L2 F' R
B2 L2 U' R F' L2 R
B2 L2 U' R F' R L2
B L2 U' L2 R F' R
B L2 U' L2 F' R F'
B L2 U' R L2 F' R
B L2 U' R F' L2 R
B L2 U' R F' R L2
B' L2 U' F' L2 R F'
B' L2 U' F' R L2 F'
B' L2 U' F' R F' L2
F L2 U' L2 F2 R F'
B2 L2 U' F' L2 R F'
B2 L2 U' F' R L2 F'
B2 L2 U' F' R F' L2
B L2 U' F' L2 R F'
B L2 U' F' R L2 F'
B L2 U' F' R F' L2
F2 L2 F U' L2 R F'
F2 L2 F U' R L2 F'
F2 L2 F U' R F' L2
U' L2 F' R F' D' L2
B' L2 F' U' L2 R F'
B' L2 F' U' R L2 F'
B' L2 F' U' R F' L2
R' U R U' R F' R
R' U R U' F' R F'
L' U R U2 L F' R
B2 L2 F' U' L2 R F'
B2 L2 F' U' R L2 F'
B2 L2 F' U' R F' L2
L' U R U2 F' L R
L' U R U2 F' R L
B L2 F' U' L2 R F'
B L2 F' U' R L2 F'
B L2 F' U' R F' L2
R' U R F' U' R F'
L2 U R U2 L2 F' R
L2 U R U2 F' L2 R
L2 U R U2 F' R L2
L U R U2 L' F' R
L2 U R F' L2 R B'
L2 U R F' L2 B' R
L2 U R F' R L2 B'
R U R' U' R F' R
R U R' U' F' R F'
F' L2 B U' L2 R F'
F' L2 B U' R L2 F'
F' L2 B U' R F' L2
R U R' F' U' R F'
R2 U R2 U' R' F' R
F' L2 B' U' L2 R F'
F' L2 B' U' R L2 F'
F' L2 B' U' R F' L2
R2 U R2 F' L' U' R
F' L2 B2 U' L2 R F'
F' L2 B2 U' R L2 F'
F' L2 B2 U' R F' L2
R U F R' U' F2 R
L2 U F' L2 R F' B'
L2 U F' L2 R B' F'
L2 U F' L2 B' R F'
L2 U F' R L2 F' B'
L2 U F' R L2 B' F'
R2 U F' L' R2 U' R'
R2 U F' R2 L' U' R'
U2 R U F' R D2 L2
F' R D F' U R' U'
L' U' L R F' R D
L' U' L R F' R D'
L' U' L R F' R D2
L' U' L R F' D R
L' U' L R F' D' R
L' U' L R F' D2 R
F' R D' F' U R' U'
L2 U' L R F' L R
L2 U' L R F' R L
L' U' L F' R D F'
L' U' L F' R D' F'
L' U' L F' R D2 F'
L' U' L F' R F' D
L' U' L F' R F' D'
L' U' L F' R F' D2
L U' L R F' L2 R
L U' L R F' R L2
L2 U' L F' L R F'
L2 U' L F' R L F'
L2 U' L F' R F' L
L' U' L' R F' L2 R
L' U' L' R F' R L2
F' R D2 F' U R' U'
L U' L F' L2 R F'
L U' L F' R L2 F'
L U' L F' R F' L2
L' U' L' F' L2 R F'
L' U' L' F' R L2 F'
L' U' L' F' R F' L2
L U' L' R F' R D
L U' L' R F' R D'
L U' L' R F' R D2
L U' L' R F' D R
L U' L' R F' D' R
L U' L' R F' D2 R
F' R F U R' U' F2
F2 R F R F2 D B2
L U' L' F' R D F'
L U' L' F' R D' F'
L U' L' F' R D2 F'
L U' L' F' R F' D
L U' L' F' R F' D'
L U' L' F' R F' D2
L2 U' L2 R F' R D
L2 U' L2 R F' R D'
L2 U' L2 R F' R D2
L2 U' L2 R F' D R
L2 U' L2 R F' D' R
L2 U' L2 R F' D2 R
L U' L2 R F' L R
L U' L2 R F' R L
B' R F' R U R2 U'
B' R F' R D B2 D
B' R F' R D B2 D'
B' R F' R D B2 D2
B' R F' R B D B2
B' R F' R B' D B2
B' R F' R B2 D B2
U' R F' R U' F U
F' R F' R D R' B2
B2 R F' R U R2 U'
B' R F' U R' U' R2
B2 R F' R D B2 D
B2 R F' R D B2 D'
B2 R F' R D B2 D2
B2 R F' R B D B2
B2 R F' R B' D B2
B2 R F' R B2 D B2
F' R F' U R' U' D
F' R F' U R' U' D'
F' R F' U R' U' D2
F' R F' U R' D U'
F' R F' U R' D' U'
F' R F' U R' D2 U'
L2 U' L2 F' R D F'
L2 U' L2 F' R D' F'
L2 U' L2 F' R D2 F'
L2 U' L2 F' R F' D
L2 U' L2 F' R F' D'
L2 U' L2 F' R F' D2
F' R F' U D R' U'
F' R F' U D' R' U'
F' R F' U D2 R' U'
L' U' R L F' R D
L' U' R L F' R D'
L' U' R L F' R D2
L' U' R L F' D R
L' U' R L F' D' R
L' U' R L F' D2 R
L' U' R L' F' L2 R
L' U' R L' F' R L2
B' R F' D R D B2
B2 R F' U R' U' R2
B' R F' D' R D B2
F' R F' D U R' U'
B R F' R U R2 U'
B R F' R D B2 D
B R F' R D B2 D'
B R F' R D B2 D2
B' R F' D2 R D B2
B R F' R B D B2
F' R F' D' U R' U'
B R F' R B' D B2
B R F' R B2 D B2
L U' L2 F' L R F'
B2 R F' D R D B2
F' R F' D2 U R' U'
L U' L2 F' R L F'
L U' L2 F' R F' L
L2 U' R L F' L R
L2 U' R L F' R L
B2 R F' D' R D B2
B R F' U R' U' R2
L2 U' R L2 F' R D
L2 U' R L2 F' R D'
L2 U' R L2 F' R D2
L2 U' R L2 F' D R
L2 U' R L2 F' D' R
L2 U' R L2 F' D2 R
B2 R F' D2 R D B2
F' R F' B2 U' L U
L' U' R F' L R D
L' U' R F' L R D'
L' U' R F' L R D2
L' U' R F' L D R
L' U' R F' L D' R
L' U' R F' L D2 R
B R F' D R D B2
L' U' R F' R L D
L' U' R F' R L D'
L' U' R F' R L D2
L' U' R F' R D L
L' U' R F' R D' L
L' U' R F' R D2 L
L' U' R F' D L R
L' U' R F' D R L
L' U' R F' D' L R
L' U' R F' D' R L
