B U L U F' R'
B' L U2 F' U R' U'
B' L F U' R' U' F2
B' L F2 U' R' U' F
B' L B2 U L U F'
B L' U L2 U F' R'
U' L' U' D2 F' R B'
U' L' U' D2 F' B' R
U' L' U' D2 B' F' R
U' L' U' F' B R' B2
U' L' U' B F' R' B2
B L' U2 D' F' R' B2
B L' U2 F' R' D' B2
B L' U2 F' D' R' B2
B L' D F2 U2 R' F
B L' D F2 U2 F R'
B L' D' U2 F' R' B2
U' L' D2 U' F' R B'
U' L' D2 U' F' B' R
U' L' D2 U' B' F' R
B L2 U L' U F' R'
B L2 U2 F' D R' B
R' U R U2 F' B R'
R' U R U2 B F' R'
F2 L2 B' L U' R' U'
B' R D B2 L R' F'
B' R D B2 R' L F'
B' R D B2 R' F' L
F' R B2 D L B' R'
B' R' U L R U2 F'
B' R' U R L U2 F'
U R' U R2 B R' F'
R2 U' B R2 U2 R B
U R2 U R' B R' F'
U R2 U' B U2 R' B
B U L U D F' R'
B U L U D' F' R'
B U L U D2 F' R'
B U L U F R' F2
B U L U F' R' D
B U L U F' R' D'
B U L U F' R' D2
B U L U F' D R'
B U L U F' D' R'
B U L U F' D2 R'
B U L U F2 R' F
B U L D U F' R'
B U L D' U F' R'
B U L D2 U F' R'
U' D L' F U' F2 B'
U' D L' F U' B' F2
F2 U R U F B R'
F2 U R U B R' F
F2 U R U B F R'
F U R U F2 B R'
F U R U B R' F2
F U R U B F2 R'
B U D L U F' R'
B U D' L U F' R'
B U D2 L U F' R'
D2 U' L' U' F' R B'
D2 U' L' U' F' B' R
D2 U' L' U' B' F' R
B' U B2 L U F' R'
D U' L' F U' F2 B'
D U' L' F U' B' F2
U' D2 L' U' F' R B'
U' D2 L' U' F' B' R
U' D2 L' U' B' F' R
B U2 L U L' F' R'
D2 U2 F' R U' L' U
D2 U2 F' U' L' U R
U2 D2 F' R U' L' U
U2 D2 F' U' L' U R
B' U2 R D B2 R' F'
B' U2 F' R D B2 R'
F2 U2 F B R' D B2
B U2 F' R' U' L U
B U2 F' U' L U R'
F2 U2 B F R' D B2
F U2 F2 B D R' B
F U2 B F2 D R' B
U2 F B R' F2 D B2
B D U L U F' R'
D2 F' R B2 D L B'
B2 D B L U2 F' B'
B2 D B L U2 B' F'
U2 F' U' L' B U R'
U2 F' U' B L' U R'
D2 F' B' R D B2 L
U2 F' B R' U' L' U
U2 F' B U' L' U R'
U2 F' B2 U' L' B' U
B D' U L U F' R'
B2 D' B' U2 F' R' B
U2 F2 B D R' F B
U2 F2 B D R' B F
U2 F2 B D F R' B
B D2 U L U F' R'
D2 B U L U F' R
L' B U L U F' R'
R2 B R2 U L U R
L2 B U L U F' R'
D B U L B' U F'
B' F L U' R' U' F2
L B U L U F' R'
U2 B F R' F2 D B2
B F R' F2 L' D' B2
U2 B F' R' U' L' U
F B R' F2 L' D' B2
U2 B F' U' L' U R'
B F U L U R' F2
B F U L U F2 R'
U2 B F2 D R' F B
U2 B F2 D R' B F
U2 B F2 D F R' B
F B U L U R' F2
F B U L U F2 R'
F B' L U' R' U' F2
B' F' R D B2 L R'
B' F' R D B2 R' L
D2 B' U2 F' R D B2
F' B' R D B2 L R'
F' B' R D B2 R' L
D2 B' F' R D B2 L
R B2 D L B' R' F'
U2 B2 F' U' L' B' U
