B' L' F U' F U2 F'
D L2 R2 F L U' L2
D L2 F L R2 U' L2
D L2 F R2 L U' L2
L' U2 F L2 U B' R'
D R2 L2 F L U' L2
F2 U R D' B' U L
F2 U D' R B' U L
F2 U D' B' R U L
F2 U D2 R F' B' U
F2 U D2 R B' F' U
F2 U D2 B' R F' U
F2 U B' D2 R F' U
F2 D' U R B' U L
F2 D' U B' R U L
D2 F2 R F' B' U B'
D' F2 R B' L2 U L'
D2 F2 R B' F' U B'
L2 F2 U' L F' U' L'
L2 F2 U' F' L U' L2
D' F2 B' L2 R U L'
D' F2 B' R L2 U L'
D2 F2 B' R F' U B'
F2 D2 U R F' B' U
F2 D2 U R B' F' U
F2 D2 U B' R F' U
D' B L2 B2 R' U L
B' D2 F2 R F' U B2
D' B' L2 U L' D F2
D' B' L2 U2 L U' L2
D2 B' F2 R F' U B'
D' B' F2 L2 R U L'
D' B' F2 R L2 U L'
