R' L B2 U' R' F
R' L B2 U' F R'
L R' B2 U' R' F
L R' B2 U' F R'
D L R' F2 U' L F'
D L R' F2 U' F' L
F' L R' B2 U' R' F
F' L R' B2 U' F R'
U' L R' B2 U' R' F'
U2 L R' B2 U' F' R'
F2 L R' B2 U' R' F
F2 L R' B2 U' F R'
F L R' B2 U' R' F
F L R' B2 U' F R'
L' R D L2 F B2 R'
L' R D L2 B2 R' F
L' R D L2 B2 F R'
B2 L U' L U2 L' F
L R D F B2 L2 R'
L R D F B2 R' L2
R L D F B2 L2 R'
R L D F B2 R' L2
L R D B2 R' F L2
L R D B2 F L2 R'
L R D B2 F R' L2
R L D B2 R' F L2
R L D B2 F L2 R'
R L D B2 F R' L2
L R F D B2 L2 R'
L R F D B2 R' L2
R L F D B2 L2 R'
R L F D B2 R' L2
R' L F' B2 U' R' F2
R' L F' B2 U' F2 R'
R' L F2 B2 U' F' R'
R2 L B2 R U' R2 F
R2 L B2 R U' F R2
R' L B2 U' R F R2
R' L B2 U' R' D F
R' L B2 U' R' D' F
R' L B2 U' R' D2 F
R' L B2 U' R' F D
R' L B2 U' R' F D'
R' L B2 U' R' F D2
R' L B2 U' D R' F
R' L B2 U' D F R'
R' L B2 U' D' R' F
R' L B2 U' D' F R'
R' L B2 U' D2 R' F
R' L B2 U' D2 F R'
R' L B2 U' F R' D
R' L B2 U' F R' D'
R' L B2 U' F R' D2
R' L B2 U' F D R'
R' L B2 U' F D' R'
R' L B2 U' F D2 R'
R' L B2 U' F' R' F2
L R B2 R2 U' R F
R L B2 R2 U' R F
R' L B2 D U' R' F
R' L B2 D U' F R'
R' L B2 D' U' R' F
R' L B2 D' U' F R'
R' L B2 D2 U' R' F
R' L B2 D2 U' F R'
R' L B2 F' U' R' F2
R' L B2 F' U' F2 R'
R' L B2 F2 U' F' R'
R L' D L2 F B2 R'
R L' D L2 B2 R' F
R L' D L2 B2 F R'
L R' F' B2 U' R' F2
L R' F' B2 U' F2 R'
L R' F2 B2 U' F' R'
R' L' B2 U L' B U2
L' R' B2 U L' B U2
R' L' B2 U B L' U2
L' R' B2 U B L' U2
L R' B2 U' R F R2
L R' B2 U' R' D F
L R' B2 U' R' D' F
L R' B2 U' R' D2 F
L R' B2 U' R' F D
L R' B2 U' R' F D'
L R' B2 U' R' F D2
L R' B2 U' D R' F
L R' B2 U' D F R'
L R' B2 U' D' R' F
L R' B2 U' D' F R'
L R' B2 U' D2 R' F
L R' B2 U' D2 F R'
L R' B2 U' F R' D
L R' B2 U' F R' D'
L R' B2 U' F R' D2
L R' B2 U' F D R'
L R' B2 U' F D' R'
L R' B2 U' F D2 R'
L R' B2 U' F' R' F2
L R' B2 D U' R' F
L R' B2 D U' F R'
L R' B2 D' U' R' F
L R' B2 D' U' F R'
L R' B2 D2 U' R' F
L R' B2 D2 U' F R'
L R' B2 F' U' R' F2
L R' B2 F' U' F2 R'
L R' B2 F2 U' F' R'
U' L2 U' R' B2 U' F'
L R2 B2 R U' R2 F
L R2 B2 R U' F R2
L U R' B2 U' R' F
L U R' B2 U' F R'
L2 U' L' R' B2 U' F
L2 U' R' L' B2 U' F
L2 U' R' B2 L' U' F
L U' R' B2 U' R' F
L U' R' B2 U' F R'
U' R' L B2 U' R' F'
F' R' L B2 U' R' F
F' R' L B2 U' F R'
D R' L F2 U' L F'
D R' L F2 U' F' L
F2 R' L B2 U' R' F
F2 R' L B2 U' F R'
U2 R' L B2 U' F' R'
F R' L B2 U' R' F
F R' L B2 U' F R'
U2 R' D F2 U' F L2
D R' F2 L U' F L
L U2 R' B2 U' R' F
L U2 R' B2 U' F R'
U2 R' B2 U L2 U2 F'
U2 R' B2 U' D2 F' R2
U2 R' B2 U' F' D2 R2
U2 R' B2 D F2 U' F
U2 R' B2 D2 U' F' R2
R' D L F2 U' L F'
R' D L F2 U' F' L
R' D F2 L U' F L
U2 D R' F2 U' F L2
U2 D F2 R' U' L2 F'
U2 D F2 R' U' F' L2
D U2 R' F2 U' F L2
D U2 F2 R' U' L2 F'
D U2 F2 R' U' F' L2
R' F L B2 U' R' F
R' F L B2 U' F R'
L F R D B2 L2 R'
L F R D B2 R' L2
L F U R' B2 U' R'
R' F' L B2 U' R' F
R' F' L B2 U' F R'
L F' R' B2 U' R' F2
L F' R' B2 U' F2 R'
R' F2 L B2 U' R' F
R' F2 L B2 U' F R'
D F2 L R' U' F L
L' F2 R D L2 F B2
L' F2 R D L2 B2 F
L' F2 R' B2 U' R2 F'
D F2 R' L U' F L
B2 D2 L U' F R2 B
D2 F2 U2 R' U' F' R'
D2 F2 D B2 L U F
D2 F2 B2 L U R2 F
D2 F2 B2 L U F R2
D' B2 L U D2 F L2
D' B2 L U F D2 L2
D' B2 L U' R2 U2 F
D' B2 L D' F2 U F'
D' B2 L D2 U F L2
D2 B2 L F2 U F' R2
R' B2 L' U B' L' U2
R' B2 D L F2 U' F'
R' B2 D F2 L U' F
D' B2 D' L F2 U F'
D' B2 D' F2 L U F
R' B2 D2 L U' R2 F
R' B2 D2 L U' F R2
D' B2 D2 L U F L
D2 B2 F2 L U R2 F
D2 B2 F2 L U F R2
