U' L F B2 L' R'
U' L F B2 R' L'
U' L B2 R' F L'
U' L B2 F L' R'
U' L B2 F R' L'
U' L R F B2 L' R'
U' L R F B2 R' L'
U' L R B2 R' F L'
U' L R B2 F L' R'
U' L R B2 F R' L'
U' L R' F B2 L' R'
U' L R' F B2 R' L'
U' L R' B2 R' F L'
U' L R' B2 F L' R'
U' L R' B2 F R' L'
U' L R2 F B2 L' R'
U' L R2 F B2 R' L'
U' L R2 B2 R' F L'
U' L R2 B2 F L' R'
U' L R2 B2 F R' L'
U' L U F B2 L' R'
U' L U F B2 R' L'
U' L U B2 R' F L'
U' L U B2 F L' R'
U' L U B2 F R' L'
F L U B2 L2 R' F'
F L U B2 R' L2 F'
F L U B2 R' F' L2
U' L U' F B2 L' R'
U' L U' F B2 R' L'
U' L U' B2 R' F L'
U' L U' B2 F L' R'
U' L U' B2 F R' L'
U' L U2 F B2 L' R'
U' L U2 F B2 R' L'
U' L U2 B2 R' F L'
U' L U2 B2 F L' R'
U' L U2 B2 F R' L'
U' L F L' B2 D2 R2
U' L F R B2 L' R'
U' L F R B2 R' L'
U' L F R' B2 L' R'
U' L F R' B2 R' L'
U' L F R2 B2 L' R'
U' L F R2 B2 R' L'
U' L F B L' B R'
U' L F B2 L' R' D
U' L F B2 L' R' D'
U' L F B2 L' R' D2
U' L F B2 L' D R'
U' L F B2 L' D' R'
U' L F B2 L' D2 R'
U' L F B2 R' L' D
U' L F B2 R' L' D'
U' L F B2 R' L' D2
U' L F B2 R' D L'
U' L F B2 R' D' L'
U' L F B2 R' D2 L'
U' L F B2 D L' R'
U' L F B2 D R' L'
U' L F B2 D' L' R'
U' L F B2 D' R' L'
U' L F B2 D2 L' R'
U' L F B2 D2 R' L'
U L F B2 L' R' F'
U L F B2 R' L' F'
U L F2 B2 R' F' L'
U' L B F L' B R'
U' L B2 R F L' R2
U' L B2 R F R2 L'
U' L B2 R' F L' D
U' L B2 R' F L' D'
U' L B2 R' F L' D2
U' L B2 R' F D L'
U' L B2 R' F D' L'
U' L B2 R' F D2 L'
U L B2 R' F L' F2
U' L B2 F L' R' D
U' L B2 F L' R' D'
U' L B2 F L' R' D2
U' L B2 F L' D R'
U' L B2 F L' D' R'
U' L B2 F L' D2 R'
U' L B2 F R' L' D
U' L B2 F R' L' D'
U' L B2 F R' L' D2
U' L B2 F R' D L'
U' L B2 F R' D' L'
U' L B2 F R' D2 L'
U' L B2 F D L' R'
U' L B2 F D R' L'
U' L B2 F D' L' R'
U' L B2 F D' R' L'
U' L B2 F D2 L' R'
U' L B2 F D2 R' L'
U L B2 F L' R' F'
U L B2 F R' L' F'
U L B2 F2 R' F' L'
B2 L' F D L' F R
B2 L' F2 D' R F' L'
F L' F2 B2 D' R F'
F L' B2 D' F2 R F'
F L' B2 F2 D' R F'
U' L2 U2 L' F L' B2
U' L2 U2 L' F B2 L'
U' L2 U2 L' B2 F L'
U' L2 U2 F L' F B2
U' L2 U2 F L' B2 F
U L2 U2 L F L' B2
U L2 U2 L F B2 L'
U L2 U2 L B2 F L'
U' L2 U2 F B2 L' F
U' L2 U2 B2 L' F L'
U' L2 U2 B2 F L' F
U L2 U2 B2 L F L'
U' L2 F L' F B2 R'
U' L2 F L' B2 R' F
U' L2 F L' B2 F R'
B' L2 F U R' U L'
U' L2 F U2 L' F B2
U' L2 F U2 L' B2 F
U' L2 F U2 B2 L' F
U L2 F L' B2 R' F'
U L2 F' R B U2 B
U' R L F B2 L' R'
U' R L F B2 R' L'
U' R L B2 R' F L'
U' R L B2 F L' R'
U' R L B2 F R' L'
L U F B2 L' R' F'
L U F B2 R' L' F'
L U F2 B2 R' F' L'
L U B2 R' F L' F2
L U B2 F L' R' F'
L U B2 F R' L' F'
R' U' L F B2 L' R'
R' U' L F B2 R' L'
L2 U' L U' F L' B2
L2 U' L U' F B2 L'
L U B2 F2 R' F' L'
L2 U' L U' B2 F L'
R' U' L B2 R' F L'
R' U' L B2 F L' R'
R' U' L B2 F R' L'
L U' L U2 F L' B2
L U' L U2 F B2 L'
L U' L U2 B2 F L'
R2 U' L F B2 L' R'
R2 U' L F B2 R' L'
L U' L F L' B2 R'
R U' L F B2 L' R'
R U' L F B2 R' L'
R2 U' L B2 R' F L'
R2 U' L B2 F L' R'
R2 U' L B2 F R' L'
R U' L B2 R' F L'
R U' L B2 F L' R'
R U' L B2 F R' L'
U' R' L F B2 L' R'
U' R' L F B2 R' L'
U' R' L B2 R' F L'
U' R' L B2 F L' R'
U' R' L B2 F R' L'
B' R' U D2 R2 B' L
B' R' U D2 B' L R2
B' R' U D2 B' R2 L
B' R' U' L2 F U2 L'
L U' B2 L R' F L'
L U' B2 L F L' R'
L U' B2 L F R' L'
L U' B2 R' L F L'
B' R' D2 U R2 B' L
B' R' D2 U B' L R2
B' R' D2 U B' R2 L
U R' F L' F2 R B2
U R' F L' F2 B2 R
U R' F L' B2 F2 R
U R' F B2 L' F2 R
U' R2 L F B2 L' R'
U' R2 L F B2 R' L'
U' R2 L B2 R' F L'
U' R2 L B2 F L' R'
U' R2 L B2 F R' L'
U R' B2 F L' F2 R
F' U L2 R B U2 B
F U L B2 L2 R' F'
F U L B2 R' L2 F'
F U L B2 R' F' L2
F' U R L2 B U2 B
F U L2 U2 L F B2
F U L2 U2 L B2 F
F' U R B L2 U2 B
F U' L F B2 L2 R'
F U' L F B2 R' L2
F U' L B2 R' F L2
F U' L B2 F L2 R'
F U' L B2 F R' L2
U' F L F B2 L2 R'
U' F L F B2 R' L2
U' F L B2 R' F L2
U' F L B2 F L2 R'
U' F L B2 F R' L2
U F L B2 L2 R' F'
U F L B2 R' L2 F'
U F L B2 R' F' L2
U F L2 U2 L F B2
U F L2 U2 L B2 F
L F U B2 L' R' F'
L F U B2 R' L' F'
L' F B2 D L' F R
L F B2 R' D L' F
L F B2 D L' R' F
L F B2 D L' F R'
L F B2 D R' L' F
U F' L2 R B U2 B
U F' R L2 B U2 B
U F' R B L2 U2 B
U F2 L B2 R' F' L'
B' D2 R' U R' B' L
L' F2 B2 D' R F' L'
D' B L R2 F' B' U'
D' B L R2 B' F' U'
D' B R2 L F' B' U'
D' B R2 L B' F' U'
D' B R2 F' L B' U'
B2 F L' D' F2 R F'
B2 F L' F2 D' R F'
B F L' D F2 B R
B F L' D B F2 R
B F L' B D F2 R
F B L' D F2 B R
F B L' D B F2 R
F B L' B D F2 R
U' B' L2 F U2 L' F
B2 F D L' D R2 F
B2 F D L' D F R2
B2 F D2 R2 D' L' F
U' B' D2 R2 B' L F
U' B' D2 B' L R2 F
U' B' D2 B' L F R2
U' B' D2 B' R2 L F
U' B2 L F L' D2 R2
F B2 L' D' F2 R F'
F B2 L' F2 D' R F'
L B2 R' F D L' F
U B2 R' F L' F2 R
L' B2 F D L' F R
F B2 D L' D R2 F
F B2 D L' D F R2
L' B2 F2 D' R F' L'
L B2 F R' D L' F
L B2 F D L' R' F
L B2 F D L' F R'
L B2 F D R' L' F
F B2 D2 R2 D' L' F
