B' R2 U' R' F2
B' R2 U' F2 R'
B' L R2 U' R' F2
B' L R2 U' F2 R'
B' L' R2 U' R' F2
B' L' R2 U' F2 R'
B' L2 R2 U' R' F2
B' L2 R2 U' F2 R'
R U R B' U' F2
R U B' R U' F2
B' R2 L U' R' F2
B' R2 L U' F2 R'
B' R2 L U' F2 R'
B' R2 L' U' R' F2
B' R2 L' U' F2 R'
B' R2 L2 U' R' F2
B' R2 L2 U' F2 R'
B' R2 U' R F2 R2
B' R2 U' R' F2 D
B' R2 U' R' F2 D'
B' R2 U' R' F2 D2
B' R2 U' F R' F
B' R2 U' F2 R' D
B' R2 U' F2 R' D'
B' R2 U' F2 R' D2
B' R2 U' F2 D R'
B' R2 U' F2 D' R'
B' R2 U' F2 D2 R'
B' R2 D' L2 U' R'
B' R2 F U' R' F
B' R2 F U' F R'
B' R2 F' U' F' R'
F2 B D L2 B2 R'
U' B' R2 U' R' F2
U' B' R2 U' F2 R'
U2 B' R2 U' R' F2
U2 B' R2 U' F2 R'
R B' R U' R' F2
R B' R U' F2 R'
U B' R2 U' R' F2
U B' R2 U' F2 R'
B F2 D L2 B2 R'
R2 L U' R' F' L' F'
B' L R2 U' R F2 R2
B' L R2 U' R' F2 D
B' L R2 U' R' F2 D'
B' L R2 U' R' F2 D2
R2 L U' F' L' F' R'
B' L R2 U' F R' F
B' L R2 U' F2 R' D
B' L R2 U' F2 R' D'
B' L R2 U' F2 R' D2
B' L R2 U' F2 D R'
B' L R2 U' F2 D' R'
B' L R2 U' F2 D2 R'
B' L R2 D' L2 U' R'
B' L R2 F U' R' F
B' L R2 F U' F R'
B' L R2 F' U' F' R'
R2 L F' U' F' L' R'
R2 L F' U' F' R' L'
L' R F2 U' L' F U
L2 R F2 U' L' F' U
B L F2 D L2 B2 R'
B2 L B R2 U' R' F2
B2 L B R2 U' F2 R'
B L B2 R2 U' R' F2
B L B2 R2 U' F2 R'
B' L' R2 U' R F2 R2
B' L' R2 U' R' F2 D
B' L' R2 U' R' F2 D'
B' L' R2 U' R' F2 D2
B' L' R2 U' F R' F
B' L' R2 U' F2 R' D
B' L' R2 U' F2 R' D'
B' L' R2 U' F2 R' D2
B' L' R2 U' F2 D R'
B' L' R2 U' F2 D' R'
B' L' R2 U' F2 D2 R'
B' L' R2 D' L2 U' R'
B' L' R2 F U' R' F
B' L' R2 F U' F R'
B' L' R2 F' U' F' R'
R L' F2 U' L' F U
L R2 U' R' F' L' F'
L R2 U' F' L' F' R'
B L' F2 D L2 B2 R'
B2 L' B R2 U' R' F2
B2 L' B R2 U' F2 R'
L2 R2 U2 F U R' F
L2 R2 U2 F U F R'
R2 L2 U2 F U R' F
R2 L2 U2 F U F R'
B L' B2 R2 U' R' F2
B L' B2 R2 U' F2 R'
B' L2 R2 U' R F2 R2
B' L2 R2 U' R' F2 D
B' L2 R2 U' R' F2 D'
B' L2 R2 U' R' F2 D2
B' L2 R2 U' F R' F
B' L2 R2 U' F2 R' D
B' L2 R2 U' F2 R' D'
B' L2 R2 U' F2 R' D2
B' L2 R2 U' F2 D R'
B' L2 R2 U' F2 D' R'
B' L2 R2 U' F2 D2 R'
B' L2 R2 D' L2 U' R'
B' L2 R2 F U' R' F
B' L2 R2 F U' F R'
B' L2 R2 F' U' F' R'
D L2 R2 F U R' B2
L R2 F' U' F' L' R'
L R2 F' U' F' R' L'
R L2 F2 U' L' F' U
D2 L2 D' R2 F U R'
R U R D' B' L2 U'
R U R B' L U' F2
R U R B' L' U' F2
B L2 F2 D L2 B2 R'
R U R B' L2 U' F2
R U R B' U' F2 D
R U R B' U' F2 D'
R U R B' U' F2 D2
R U R B' D' L2 U'
B2 L2 B R2 U' R' F2
B2 L2 B R2 U' F2 R'
R U R' B' R2 U' F2
B L2 B2 R2 U' R' F2
B L2 B2 R2 U' F2 R'
R U D' R B' L2 U'
R U D' B' L2 R U'
R U D' B' R L2 U'
U' R U R B' U' F2
U2 R U R B' U' F2
B R U R B2 U' F2
U' R U B' R U' F2
U R U R B' U' F2
U2 R U B' R U' F2
B R U B2 R U' F2
U R U B' R U' F2
R U B R B2 U' F2
R U B' L R U' F2
R U B' L' R U' F2
R U B' L2 R U' F2
R U B' R L U' F2
R U B' R L' U' F2
R U B' R L2 U' F2
R U B' R U' F2 D
R U B' R U' F2 D'
R U B' R U' F2 D2
R U B' R D' L2 U'
R U B' D' L2 R U'
R U B' D' R L2 U'
B' R D' L2 R U' R'
B' R D' R L2 U' R'
B' R F2 U' L' U L
R2 U' R' U B' U' F2
R2 U' R' F2 U B' U'
U' R B' R U' R' F2
U' R B' R U' F2 R'
U2 R B' R U' R' F2
U2 R B' R U' F2 R'
U R B' R U' R' F2
U R B' R U' F2 R'
B R B2 R U' R' F2
B R B2 R U' F2 R'
R2 U' F2 R' U B' U'
R2 U' B' U' F2 B R'
R2 U' B' U' B R' F2
R2 U' B' U' B F2 R'
B' R' D' L2 R' F2 U'
B' R' D' L2 F2 R' U'
B' R' D' R' L2 F2 U'
B' R' D' R' F2 L2 U'
B' R' D' F2 L2 R' U'
B' R' D' F2 R' L2 U'
B' R' F R' U' R' F
B' R' F R' U' F R'
B' R2 L U' R F2 R2
B' R2 L U' R' F2 D
B' R2 L U' R' F2 D'
B' R2 L U' R' F2 D2
B' R2 L U' F R' F
B' R2 L U' F2 R' D
B' R2 L U' F2 R' D'
B' R2 L U' F2 R' D2
B' R2 L U' F2 D R'
B' R2 L U' F2 D' R'
B' R2 L U' F2 D2 R'
B' R2 L D' L2 U' R'
B' R2 L F U' R' F
B' R2 L F U' F R'
B' R2 L F' U' F' R'
B' R2 L' U' R F2 R2
B' R2 L' U' R' F2 D
B' R2 L' U' R' F2 D'
B' R2 L' U' R' F2 D2
B' R2 L' U' F R' F
B' R2 L' U' F2 R' D
B' R2 L' U' F2 R' D'
B' R2 L' U' F2 R' D2
B' R2 L' U' F2 D R'
B' R2 L' U' F2 D' R'
B' R2 L' U' F2 D2 R'
B' R2 L' D' L2 U' R'
B' R2 L' F U' R' F
B' R2 L' F U' F R'
B' R2 L' F' U' F' R'
B' R2 L2 U' R F2 R2
B' R2 L2 U' R' F2 D
B' R2 L2 U' R' F2 D'
B' R2 L2 U' R' F2 D2
B' R2 L2 U' F R' F
B' R2 L2 U' F2 R' D
B' R2 L2 U' F2 R' D'
B' R2 L2 U' F2 R' D2
B' R2 L2 U' F2 D R'
B' R2 L2 U' F2 D' R'
B' R2 L2 U' F2 D2 R'
B' R2 L2 D' L2 U' R'
B' R2 L2 F U' R' F
B' R2 L2 F U' F R'
B' R2 L2 F' U' F' R'
B' R2 U L U2 R' F2
B' R2 U L U2 F2 R'
B' R2 U L' U2 R' F2
B' R2 U L' U2 F2 R'
B' R2 U L2 U2 R' F2
B' R2 U L2 U2 F2 R'
D R2 L2 F U R' B2
B' R2 U D2 B2 L U2
B' R2 U B2 L U2 F2
B' R2 U' L' R' F2 L
B' R2 U' L' F2 L R'
B' R2 U' L' F2 R' L
B' R2 U' L2 R' F2 L2
B' R2 U' L2 F2 L2 R'
B' R2 U' L2 F2 R' L2
B' R2 U' R F R2 F
B' R2 U' R F2 R2 D
B' R2 U' R F2 R2 D'
B' R2 U' R F2 R2 D2
B' R2 U' R' L' F2 L
B' R2 U' R' L2 F2 L2
B' R2 U' R' F D F
B' R2 U' R' F D' F
B' R2 U' R' F D2 F
B' R2 U' R' F' D F'
B' R2 U' R' F' D' F'
B' R2 U' R' F' D2 F'
B' R2 U' D' R' D F2
B' R2 U' D2 R' D2 F2
B' R2 U' F R F R2
B' R2 U' F R' D F
B' R2 U' F R' D' F
B' R2 U' F R' D2 F
B' R2 U' F R' F D
B' R2 U' F R' F D'
B' R2 U' F R' F D2
B' R2 U' F D R' F
B' R2 U' F D F R'
B' R2 U' F D' R' F
B' R2 U' F D' F R'
B' R2 U' F D2 R' F
B' R2 U' F D2 F R'
B' R2 U' F' D F' R'
B' R2 U' F' D' F' R'
B' R2 U' F' D2 F' R'
B' R2 U' F2 R2 D R
B' R2 U' F2 R2 D' R
B' R2 U' F2 R2 D2 R
B' R2 U' F2 D R' D
B' R2 U' F2 D R' D'
B' R2 U' F2 D R' D2
B' R2 U' F2 D' R' D
B' R2 U' F2 D' R' D'
B' R2 U' F2 D' R' D2
B' R2 U' F2 D2 R' D
B' R2 U' F2 D2 R' D'
B' R2 U' F2 D2 R' D2
B R2 U' R' F2 D L2
B' R2 U2 R U R2 F2
B' R2 U2 R U F2 R2
B' R2 U2 R2 U R F2
B R2 U' F2 R' D L2
B' R2 U2 D R2 U R
B R2 U' F2 D L2 R'
B R2 U' F2 D R' L2
B2 R2 U2 F' U F' R'
B' R2 D U2 R2 U R
D R2 D L2 F U R'
B' R2 D' L2 U' R' D
B' R2 D' L2 U' R' D'
B' R2 D' L2 U' R' D2
B' R2 D' L2 U' D R'
B' R2 D' L2 U' D' R'
B' R2 D' L2 U' D2 R'
B' R2 D' L2 D U' R'
B' R2 D' L2 D' U' R'
B' R2 D' L2 D2 U' R'
B' R2 D' L2 F U' R'
B' R2 D' L2 F' U' R'
B' R2 D' L2 F2 U' R'
B' R2 D' U' R' D F2
B' R2 D' F L2 U' R'
B' R2 D' F' L2 U' R'
B' R2 D' F2 L2 U' R'
B' R2 D2 U B2 L U2
B' R2 D2 U' R' D2 F2
B' R2 F U' R F R2
B' R2 F U' R' D F
B' R2 F U' R' D' F
B' R2 F U' R' D2 F
B' R2 F U' R' F D
B' R2 F U' R' F D'
B' R2 F U' R' F D2
B' R2 F U' D R' F
B' R2 F U' D F R'
B' R2 F U' D' R' F
B' R2 F U' D' F R'
B' R2 F U' D2 R' F
B' R2 F U' D2 F R'
