R' B U F L B'
F L D B L R' B2
F L D B R' L B2
B R F L D R2 B'
B R F L D B' R2
B R F L B' D R2
B R F' U' L F2 B'
B R F' U' L B' F2
B R F' U' F2 L B'
D2 R' D' F B L R'
D2 R' D' F B R' L
D2 R' D' B R' F L
D2 R' D' B F L R'
D2 R' D' B F R' L
D2 R' F D' B L R'
D2 R' F D' B R' L
B R' F L B' D' R2
F' R' B U L F2 B'
F' R' B U L B' F2
F' R' B U F2 L B'
B R2 U F L R B'
B R2 U F L B' R
B R2 U F R L B'
B R2 U' F L B' R'
L2 D B' L R' F U2
L2 D B' L F R' U2
L2 D B' R' L F U2
L' D' F L' B' R' U2
D2 F R' D' B L R'
D2 F R' D' B R' L
D F B L R' D' B2
D F B L D' R' B2
D F B R' L D' B2
R F B L D R2 B'
R F B L D B' R2
R F B L B' D R2
F D B L D R' B
F D B R' D' L B'
F D B D L R' B
F D B D R' L B
F D B D' L R' B'
F D B D' R' L B'
R' F' B U L F2 B'
R' F' B U L B' F2
R' F' B U F2 L B'
R F' B U' L F2 B'
R F' B U' L B' F2
R F' B U' F2 L B'
R' F2 B U L F' B'
R' F2 B U L B' F'
R' F2 B U F' L B'
F D2 R' D' B L R'
F D2 R' D' B R' L
R' B R U F L B'
R' B R' U F L B'
R' B R2 U F L B'
D B R' D' F L B'
D B R' F L D' B2
R' B U F L D B'
R' B U F L D' B'
R' B U F L D2 B'
R' B U F L B' D
R' B U F L B' D'
R' B U F L B' D2
R' B U F' L F2 B'
R' B U F' L B' F2
R' B U F2 L F' B'
R' B U F2 L B' F'
R2 B U F L R B'
R2 B U F L B' R
R2 B U F R L B'
F2 B L D' F' R B'
F2 B L D' F' B' R
F2 B L D' B' F' R
R2 B U' F L B' R'
F2 B L B' D' F' R
B F L R' B' D' R2
B F L D B R' B2
F B L R' B' D' R2
F B L D B R' B2
B F L B2 D B R'
F B L B2 D B R'
D B D R' F L B
D B D F L R' B
D B D F R' L B
D B D' R' F L B'
D B D' F L R' B'
D B D' F R' L B'
B F R' L B' D' R2
R' B F' U L F2 B'
R' B F' U L B' F2
R' B F' U F2 L B'
F B R' L B' D' R2
D B F L R' D' B2
D B F L D' R' B2
D B F R' L D' B2
R' B F2 U L F' B'
R' B F2 U L B' F'
R' B F2 U F' L B'
R B F L D R2 B'
R B F L D B' R2
R B F L B' D R2
R B F' U' L F2 B'
R B F' U' L B' F2
R B F' U' F2 L B'
L2 B' R' U B L U
B F2 L D' F' R B'
B F2 L D' F' B' R
B F2 L D' B' F' R
B F2 L B' D' F' R
