D' L U2 L F
R' L U F2 U F
D L R B R U2
D' L R' U2 L F'
D' L R' U2 F' L
R' L U2 D' L2 F'
R' L U2 D' F' L2
R' L D R2 B U2
L R D R2 U2 F'
R L D R2 U2 F'
L R D B R2 U2
R' L D' U2 L2 F'
R' L D' U2 F' L2
R L D B R2 U2
D' L U2 L D F
D' L U2 L D' F
D' L U2 L D2 F
D' L U2 L F D
D' L U2 L F D'
D' L U2 L F D'
D' L U2 L F D2
L R D' B U2 L2
D' L U2 D L F
D' L U2 D' L F
D' L U2 D2 L F
D' L U2 F L F
D' L U2 F' L F
D' L U2 F2 L F
R L D' B U2 L2
D' L D U2 L F
D' L D' U2 L F
D' L D2 U2 L F
L R B U F2 U
L R B U2 D' L2
L R B D R2 U2
R L B U F2 U
L R B D' U2 L2
R L B U2 D' L2
R L B U2 D' L2
R L B D R2 U2
R L B D' U2 L2
L R' U F2 U F
D' L B2 R' U2 F'
L R' U2 D' L2 F'
L R' U2 D' F' L2
L R' D R2 B U2
L R' D' U2 L2 F'
L R' D' U2 F' L2
D R L B R U2
L U F R F U
D' R' L U2 L F'
D' R' L U2 F' L
B2 R' D' F' L2 B'
L U2 L D' F L2
L U2 L' D' L2 F
L U2 D' L F L
R' D L R2 B U2
R D L R2 U2 F'
D R2 D2 L B' U2
R D L B R2 U2
R' D R2 L B U2
L D R B R U2
R D R2 L U2 F'
R' D' L U2 L F'
R' D' L U2 F' L
L D' R B U2 L2
L D' R' U2 L2 F'
L D' R' U2 F' L2
L D' U2 L F L
B2 D R2 U2 R F'
B2 D' R' F' L2 B'
D' B2 R' F' L2 B'
D B2 R2 U2 R F'
D2 L R D B U2 L2
R2 L U R F2 U F
D2 L R D' R2 U2 F'
D2 L R D' B R2 U2
D L R D B R U2
D L R D' B R U2
L R U R2 F2 U F
D L R D2 B R U2
R L U R2 F2 U F
D2 L R B U' B U'
R' L U F2 R U F
R' L U F2 R' U F
R' L U F2 R2 U F
R' L U F2 U D F
R' L U F2 U D' F
R' L U F2 U D2 F
R' L U F2 U F D
R' L U F2 U F D'
R' L U F2 U F D2
R' L U F2 D U F
R' L U F2 D' U F
R' L U F2 D2 U F
D L R B R U2 D
D L R B R U2 D'
D L R B R U2 D2
D L R B R D U2
D L R B R D' U2
D L R B R D2 U2
R2 L U F2 R U F'
D L R B D R U2
D L R B D' R U2
D' L R B2 R' B' U2
D L R B D2 R U2
L R U F2 R2 U F'
L R U F2 U' B U2
D L R B' R B2 U2
D L R B2 R B' U2
D2 L R' U' B2 U' F'
D' L R' U2 L D F'
D' L R' U2 L D' F'
D' L R' U2 L D2 F'
D' L R' U2 L F' D
D' L R' U2 L F' D'
D' L R' U2 L F' D2
D' L R' U2 L' F' L2
R L U F2 R2 U F'
D2 L R' U2 D L2 F'
D2 L R' U2 D F' L2
D' L R' U2 D L F'
D' L R' U2 D F' L
D' L R' U2 D' L F'
D' L R' U2 D' F' L
R L U F2 U' B U2
D' L R' U2 D2 L F'
D' L R' U2 D2 F' L
D' L R' U2 F L F2
D2 L R' U2 F' D L2
D' L R' U2 F' L D
D' L R' U2 F' L D'
D' L R' U2 F' L D2
D' L R' U2 F' D L
D' L R' U2 F' D' L
D' L R' U2 F' D2 L
D2 L R' D U2 L2 F'
D' L R' D U2 L F'
D2 L R' D U2 F' L2
D' L R' D U2 F' L
D2 L R' D' R2 B U2
D' L R' D' U2 L F'
D' L R' D' U2 F' L
B2 L R' D' F' L2 B'
D' L R' D2 U2 L F'
D' L R' D2 U2 F' L
R' L U' D2 B2 U' F'
D' L R' B' U2 F' L'
D L R' B U2 F' L'
D L R' B2 U2 L F'
D L R' B2 U2 F' L
D L R2 U R U F'
D L R2 U2 R F' R'
R' L U2 L D' L2 F'
R' L U2 L D' F' L2
R' L U2 L' D' L2 F'
R' L U2 L' D' F' L2
R' L U2 L2 D' L2 F'
R' L U2 L2 D' F' L2
R' L U2 D F' D2 L2
R' L U2 D' L F' L
R' L U2 D' L2 D F'
R' L U2 D' L2 D' F'
R' L U2 D' L2 D2 F'
R' L U2 D' L2 F' D
R' L U2 D' L2 F' D'
R' L U2 D' L2 F' D2
R' L U2 D' F L2 F2
R' L U2 D' F' L2 D
R' L U2 D' F' L2 D'
R' L U2 D' F' L2 D2
D' L R2 B2 R' B U2
R' L U2 D2 F' D L2
R' L U2 F' U' F' U
D' L U R U L F
D' L U R' U L F
D' L U R2 U L F
D' L U F R U L
L2 R D L' R2 U2 F'
L2 R D L' B R2 U2
R' L D R2 D B U2
R' L D R2 D' B U2
R' L D R2 D2 B U2
R' L D R2 B U2 D
R' L D R2 B U2 D'
R' L D R2 B U2 D2
R' L D R2 B D U2
R' L D R2 B D' U2
R' L D R2 B D2 U2
L2 R D R2 L' U2 F'
L R D R2 U2 D F'
L R D R2 U2 D' F'
L R D R2 U2 D2 F'
L R D R2 U2 F' D
L R D R2 U2 F' D'
L R D R2 U2 F' D2
L R D R2 D U2 F'
L R D R2 D' U2 F'
L R D R2 D2 U2 F'
R' L D U2 F' D2 L2
L R D R2 B U2 F'
L R D R2 B' U2 F'
L R D R2 B2 U2 F'
R L D R2 U2 D F'
R L D R2 U2 D' F'
R L D R2 U2 D2 F'
R L D R2 U2 F' D
R L D R2 U2 F' D'
R L D R2 U2 F' D2
R L D R2 D U2 F'
R L D R2 D' U2 F'
R L D R2 D2 U2 F'
R L D R2 B U2 F'
R L D R2 B' U2 F'
R L D R2 B2 U2 F'
R' L D B R2 B U2
R' L D B' R2 B U2
L2 R D B L' R2 U2
R' L D B2 R2 B U2
L2 R D B R2 L' U2
L R D B R2 U2 D
L R D B R2 U2 D'
L R D B R2 U2 D2
L R D B R2 D U2
L R D B R2 D' U2
L R D B R2 D2 U2
L R D B U2 D2 L2
L R D B D2 U2 L2
L R D B' R2 B2 U2
L R D B2 R2 B' U2
R L D B R2 U2 D
R L D B R2 U2 D'
R L D B R2 U2 D2
R L D B R2 D U2
R L D B R2 D' U2
R L D B R2 D2 U2
R L D B U2 D2 L2
R L D B D2 U2 L2
R L D B' R2 B2 U2
L2 R D' L' B U2 L'
R L D B2 R2 B' U2
D2 L U' B L B U'
R' L D' R2 B U2 L2
R' L D' U2 L F' L
L R D' R2 U2 L2 F'
L R D' R2 U2 F' L2
R' L D' U2 L2 D F'
R' L D' U2 L2 D' F'
R' L D' U2 L2 D2 F'
R' L D' U2 L2 F' D
R' L D' U2 L2 F' D'
