U' L' U' B' U'
B U L D2 R2
B' U' L' R' U2
B U' L' U2 L2
B' U' R' L' U2
F2 B U L R
F2 B U R L
B F2 U L R
B F2 U R L
U' L' R U' B' U'
U' L' R' U' B' U'
U' L' R2 U' B' U'
U' L' U' D B' U'
U' L' U' D' B' U'
U' L' U' D2 B' U'
U' L' U' B' U' D
U' L' U' B' U' D'
U' L' U' B' U' D2
U' L' U' B' D U'
U' L' U' B' D' U'
U' L' U' B' D2 U'
U' L' D U' B' U'
U' L' D' U' B' U'
U' L' D2 U' B' U'
U' R L' U' B' U'
U' R' L' U' B' U'
U' R2 L' U' B' U'
B U L R D2 R2
B U L R' D2 R2
B U L R2 D2 R2
U' D L' U' B' U'
B U L U2 L2 U2
B U L D2 R2 D
B U L D2 R2 D'
B U L D2 R2 D2
F2 U R U B U'
B U R L D2 R2
B U R' L D2 R2
B U R2 L D2 R2
B U D L D2 R2
B U D' L D2 R2
B U D2 L D2 R2
B U F2 L R F2
B U F2 R L F2
B U F2 R F2 L
U' D' L' U' B' U'
D2 U' L' U' B' U'
D' U' L' U' B' U'
D U' L' U' B' U'
B' U' L' R' U2 D
B' U' L' R' U2 D'
B' U' L' R' U2 D2
B' U' L' R' D U2
B' U' L' R' D' U2
B' U' L' R' D2 U2
B' U' L' D R' U2
B' U' L' D' R' U2
B' U' L' D2 R' U2
B U' L' R U2 L2
B U' L' R' U2 L2
B U' L' R2 U2 L2
B U' L' U2 L2 D
B U' L' U2 L2 D'
B U' L' U2 L2 D2
B U' L' D2 R2 U2
B' U' R' L' U2 D
B' U' R' L' U2 D'
B' U' R' L' U2 D2
B' U' R' L' D U2
B' U' R' L' D' U2
B' U' R' L' D2 U2
B U' R L' U2 L2
B' U' R' D L' U2
B' U' R' D' L' U2
B' U' R' D2 L' U2
B U' R' L' U2 L2
B' U' D L' R' U2
B' U' D R' L' U2
B U' R2 L' U2 L2
B' U' D' L' R' U2
B' U' D' R' L' U2
B U' D L' U2 L2
B' U' D2 L' R' U2
B' U' D2 R' L' U2
B U' D' L' U2 L2
B U' D2 L' U2 L2
U' D2 L' U' B' U'
F' U2 F' U' L' R
F' U2 F' U' R L'
B U2 F2 U' L R
B U2 F2 U' R L
B' D U' L' R' U2
B' D U' R' L' U2
B D U L D2 R2
B D U' L' U2 L2
B D F2 U L R
B D F2 U R L
F2 D B U L R
F2 D B U R L
B' D' U' L' R' U2
B' D' U' R' L' U2
B D' U L D2 R2
B D' U' L' U2 L2
F2 D' B U L R
F2 D' B U R L
B D' F2 U L R
B D' F2 U R L
D2 F2 B U L R
D' F2 B U L R
D2 F2 B U R L
D' F2 B U R L
D F2 B U L R
D F2 B U R L
B' D2 U' L' R' U2
B' D2 U' R' L' U2
B D2 U L D2 R2
B D2 U' L' U2 L2
F' D2 B U L R'
F' D2 B U R' L
F2 D2 B U L R
F2 D2 B U R L
B D2 F2 U L R
B D2 F2 U R L
D2 B U L D2 R2
D' B U L D2 R2
D2 B U' L' U2 L2
D' B U' L' U2 L2
D B U L D2 R2
D B U' L' U2 L2
D2 B F2 U L R
D2 B F2 U R L
F2 B U L R D
F2 B U L R D'
F2 B U L R D2
F2 B U L D R
F2 B U L D' R
F2 B U L D2 R
F2 B U R L D
F2 B U R L D'
F2 B U R L D2
F2 B U R D L
F2 B U R D' L
F2 B U R D2 L
D' B F2 U L R
D' B F2 U R L
F2 B U D L R
F2 B U D R L
