F' L' F' U R' F2 U2
F' L' F' U F2 R' U2
F' L' F' U' D2 B2 L
F' L' F' D2 U' B2 L
B2 U L D R2 F B'
B2 U L D R2 B' F
B2 U L D F R2 B'
B2 U L D F B' R2
B2 U L D B' R2 F
B2 U L D B' F R2
B2 U L B' D R2 F
B2 U L B' D F R2
L D2 B2 U L F B
L D2 B2 U L B F
B2 U2 F2 U' L F B'
B2 U2 F2 U' L B' F
U2 F2 U' B2 L F B'
U2 F2 U' B2 L B' F
U B2 L D R2 F B'
U B2 L D R2 B' F
U B2 L D F R2 B'
U B2 L D F B' R2
U B2 L D B' R2 F
U B2 L D B' F R2
U B2 L B' D R2 F
U B2 L B' D F R2
D2 B2 R' U L F B
D2 B2 R' U L B F
D2 B2 U D2 L F B'
D2 B2 U D2 L B' F
D2 B2 D2 U L F B'
D2 B2 D2 U L B' F
