F' U' L F'
F' U' F' L
F' L' U' L2 F'
F' L' U' F' L2
F' L2 U' L' F'
F' U' L D F'
F' U' L D' F'
F' U' L D2 F'
F' U' L F' D
F' U' L F' D'
F' U' L F' D2
F' U' L' F' L2
F' U' D L F'
F' U' D F' L
F' U' D' L F'
F' U' D' F' L
F' U' D2 L F'
F' U' D2 F' L
F' U' F L F2
F' U' F' L D
F' U' F' L D'
F' U' F' L D2
F' U' F' D L
F' U' F' D' L
F' U' F' D2 L
F' D U' L F'
F' D U' F' L
D' F' L2 U' L'
L' F' U' L2 F'
L' F' U' F' L2
F' D' U' L F'
F' D' U' F' L
F' D2 U' L F'
F' D2 U' F' L
U' L U F' U' F'
U' L F D R2 F
U' L F D F R2
D' L F' L U' L'
U' L F2 U F U'
F' L' U' L F' L
F' L' U' L2 D F'
F' L' U' L2 D' F'
F' L' U' L2 D2 F'
F' L' U' L2 F' D
F' L' U' L2 F' D'
F' L' U' L2 F' D2
F' L' U' F L2 F2
F' L' U' F' L2 D
F' L' U' F' L2 D'
F' L' U' F' L2 D2
F' L' D' B2 U' F'
F' L' B U' L2 F'
F' L' B U' L2 F'
F' L' B U' F' L2
F' L' B' U' L2 F'
F' L' B' U' F' L2
F' L' B2 U' L2 F'
F' L' B2 U' F' L2
F' L2 U' L F' L2
F' L2 U' L' D F'
F' L2 U' L' D' F'
F' L2 U' L' D2 F'
F' L2 U' L' F' D
F' L2 U' L' F' D'
F' L2 U' L' F' D2
F' L2 U' L2 F' L
F' L2 U' D L' F'
F' L2 U' D' L' F'
F' L2 U' D2 L' F'
F' L2 D U' L' F'
F' L2 D' U' L' F'
F' L2 D2 U' L' F'
F' L2 B U' L' F'
F' L2 B' U' L' F'
F' L2 B2 U' L' F'
F' U R U2 L F
L' D' L2 F' B2 U'
L' D' L2 B2 F' U'
L D' L2 F' U' L2
L2 D' L2 F' U' L
F' U B' U2 F' L'
L' D' F' L2 B2 U'
F' U' L D F' D
F' U' L D F' D'
F' U' L D F' D2
F' U' L D' F' D
F' U' L D' F' D'
F' U' L D' F' D2
F' U' L D' F' D2
F' U' L D2 F' D
F' U' L D2 F' D'
F' U' L D2 F' D2
L' D' F' B2 L2 U'
F' U' L F2 D F
F' U' L F2 D' F
F' U' L F2 D2 F
F' U' L' F L2 F2
F' U' L' F' L2 D
F' U' L' F' L2 D'
F' U' L' F' L2 D2
F' U' L2 D L' F'
F' U' L2 D' L' F'
F' U' L2 D2 L' F'
L D' F' L2 U' L2
L' D' B2 L2 F' U'
L' D' B2 F' L2 U'
F' U' D L D F'
F' U' D L D' F'
F' U' D L D2 F'
F' U' D L F' D
F' U' D L F' D'
F' U' D L F' D2
F' U' D L' F' L2
F' U' D F L F2
F' U' D F' L D
F' U' D F' L D'
F' U' D F' L D2
F' U' D F' D L
F' U' D F' D' L
F' U' D F' D2 L
F' U' D' L D F'
F' U' D' L D' F'
F' U' D' L D2 F'
F' U' D' L F' D
F' U' D' L F' D'
F' U' D' L F' D2
F' U' D' L' F' L2
F' U' D' F L F2
F' U' D' F' L D
F' U' D' F' L D'
F' U' D' F' L D2
F' U' D' F' D L
F' U' D' F' D' L
F' U' D' F' D2 L
F' U' D2 L D F'
F' U' D2 L D' F'
F' U' D2 L D2 F'
F' U' D2 L F' D
F' U' D2 L F' D'
F' U' D2 L F' D2
F' U' D2 L' F' L2
F' U' D2 F L F2
F' U' D2 F' L D
F' U' D2 F' L D'
F' U' D2 F' L D2
F' U' D2 F' D L
F' U' D2 F' D' L
F' U' D2 F' D2 L
F U' D R2 F L
F U' D F L R2
F U' D F R2 L
F' U' F L F2 D
F' U' F L F2 D'
F' U' F L F2 D2
F' U' F L' F2 L2
F' U' F' L2 D L'
F' U' F' L2 D' L'
F' U' F' L2 D2 L'
F' U' F' D L D
F' U' F' D L D'
F' U' F' D L D2
F' U' F' D' L D
F' U' F' D' L D'
F' U' F' D' L D2
F' U' F' D2 L D
F' U' F' D2 L D'
F' U' F' D2 L D2
F' U' F2 D F L
F' U' F2 D' F L
F' U' F2 D2 F L
F' U2 F U L F2
F' U2 F U F2 L
F' U2 F2 U F L
F' D L' U' L2 F'
F' D L' U' F' L2
U' F D R2 F L
U' F D F L R2
U' F D F R2 L
F' D L2 U' L' F'
L' F' L U' L F'
L' F' L U' F' L
L' F' L' U' L' F'
F' D U' L D F'
F' D U' L D' F'
F' D U' L D2 F'
F' D U' L F' D
F' D U' L F' D'
F' D U' L F' D2
F' D U' L F' D2
F' D U' L' F' L2
F' D U' F L F2
F' D U' F' L D
F' D U' F' L D'
F' D U' F' L D2
F' D U' F' D L
F' D U' F' D' L
F' D U' F' D2 L
L F' L U' L' F'
F D U' R2 F L
F D U' F L R2
F D U' F R2 L
L F' L' U' L F'
L F' L' U' F' L
D' F' L2 U' L' D
D' F' L2 U' L' D'
D' F' L2 U' L' D2
D' F' L2 U' D L'
D' F' L2 U' D' L'
D' F' L2 U' D2 L'
D' F' L2 D U' L'
D' F' L2 D' U' L'
F2 D F U' L F'
D' F' L2 D2 U' L'
F2 D F U' F' L
D' F' L2 B U' L'
D' F' L2 B' U' L'
D' F' L2 B2 U' L'
L F' L2 U' L2 F'
L F' L2 U' F' L2
L' F' U' L F' L
L' F' U' L2 D F'
L' F' U' L2 D' F'
L' F' U' L2 D2 F'
L' F' U' L2 F' D
L' F' U' L2 F' D'
L' F' U' L2 F' D2
L' F' U' F L2 F2
L' F' U' F' L2 D
L' F' U' F' L2 D'
L' F' U' F' L2 D2
D2 F' U B2 R' U2
D2 F' U' L D2 F2
D2 F' U' D2 L F2
D2 F' U' D2 F2 L
D' F' U' D L F2
D' F' U' D F2 L
L2 F' U' F L' F2
L' F' D' B2 U' F'
F' D' L' U' L2 F'
F' D' L' U' F' L2
D F' U' L D' F2
D F' U' D' L F2
D F' U' D' F2 L
D2 F' D L2 U' L'
F' D' L2 U' L' F'
D' F' D U' L F2
D' F' D U' F2 L
L' F' B U' L2 F'
L' F' B U' F' L2
D F' U2 R2 U L
L' F' B' U' L2 F'
L' F' B' U' F' L2
L' F' B2 U' L2 F'
L' F' B2 U' F' L2
D2 F' D2 U' L F2
D2 F' D2 U' F2 L
D F' D' U' L F2
D F' D' U' F2 L
D F' D2 L2 U' L'
F' D' U' L D F'
F' D' U' L D' F'
F' D' U' L D2 F'
F' D' U' L F' D
F' D' U' L F' D'
F' D' U' L F' D2
F' D' U' L' F' L2
F' D' U' F L F2
F' D' U' F' L D
F' D' U' F' L D'
F' D' U' F' L D2
F' D' U' F' D L
F' D' U' F' D' L
F' D' U' F' D2 L
F2 D' F U' L F'
F2 D' F U' F' L
U' F2 U F U' L
F' D2 L' U' L2 F'
F' D2 L' U' F' L2
F' D2 L2 U' L' F'
F' D2 U' L D F'
F' D2 U' L D' F'
F' D2 U' L D2 F'
F' D2 U' L F' D
F' D2 U' L F' D'
F' D2 U' L F' D2
F' D2 U' L' F' L2
F' D2 U' F L F2
F' D2 U' F' L D
F' D2 U' F' L D'
F' D2 U' F' L D2
F' D2 U' F' D L
F' D2 U' F' D' L
F' D2 U' F' D2 L
F2 D2 F U' L F'
F2 D2 F U' F' L
L' B F' U' L2 F'
L' B F' U' F' L2
L' B' F' U' L2 F'
L' B' F' U' F' L2
L' B2 F' U' L2 F'
L' B2 F' U' F' L2
R' L U R F' U' F'
R2 L U R2 F' U' F'
U' L R' F' D' F' R
U' L R2 U' B U F2
U' L R2 F2 U' B U
U' L U L F' U' F'
U' L U L' F' U' F'
U' L U L2 F' U' F'
U' L U D' L2 F' U'
U' L U D' F' L2 U'
U' L U F' L U' F'
U' L U F' L' U' F'
U' L U F' L2 U' F'
U' L U F' U' D F'
U' L U F' U' D' F'
U' L U F' U' D2 F'
U' L U F' U' F' D
U' L U F' U' F' D'
U' L U F' U' F' D2
U' L U F' D U' F'
U' L U F' D' U' F'
U' L U F' D2 U' F'
F2 L U' L B' U B
U' L U' R2 B U F2
U' L U' D R2 B U
D L U' R2 B U B'
F' L U' F' U' F U
F' L U' F2 D' F L2
F' L D L U' L' F'
F' L D L' U' L F'
F' L D L' U' F' L
F' L D L2 U' L2 F'
F' L D L2 U' F' L2
D2 L D L2 F' U' L2
U' L D U' R2 B U
D2 L D F' L2 U' L2
D' L D F' L U' L'
F' L D' L U' L' F'
F' L D' L' U' L F'
F' L D' L' U' F' L
F' L D' L2 U' L2 F'
F' L D' L2 U' F' L2
U' L D' U L2 F' U'
U' L D' U F' L2 U'
D' L D' F' L U' L'
U' L D' F D R2 F2
U' L D' F D F2 R2
F' L D2 L U' L' F'
F' L D2 L' U' L F'
F' L D2 L' U' F' L
F' L D2 L2 U' L2 F'
F' L D2 L2 U' F' L2
D L D2 L2 F' U' L2
D' L D2 F' L U' L'
D L D2 F' L2 U' L2
R2 L F2 U R2 F' U'
U' L F R D R2 F
U' L F R D F R2
U' L F R' D R2 F
U' L F R' D F R2
U' L F R2 D R2 F
U' L F R2 D F R2
U' L F U F2 U' F'
U' L F D R' F R'
U' L F D R2 D F
U' L F D R2 D' F
U' L F D R2 D2 F
U' L F D R2 F D
U' L F D R2 F D'
U' L F D R2 F D2
U' L F D F R2 D
U' L F D F R2 D'
U' L F D F R2 D2
U' L F D F' R2 F2
U' L F D' F D2 R2
U' L F D2 F D' R2
U L F D R2 F B
U L F D R2 B F
D' L F' L U' L' D
D' L F' L U' L' D'
D' L F' L U' L' D2
D' L F' L U' D L'
D' L F' L U' D' L'
D' L F' L U' D2 L'
D' L F' L D U' L'
D' L F' L D' U' L'
D' L F' L D2 U' L'
D' L F' L B U' L'
D' L F' L B' U' L'
D' L F' L B2 U' L'
D2 L F' D L2 U' L2
D' L F' D L U' L'
D' L F' D' L U' L'
D' L F' D2 L U' L'
D L F' D2 L2 U' L2
B' L F' B U' L F'
B' L F' B U' F' L
B2 L F' B2 U' L F'
B2 L F' B2 U' F' L
B L F' B' U' L F'
B L F' B' U' F' L
F L F2 L' U' F L
U' L F2 R U F U'
U' L F2 R' U F U'
U' L F2 R2 U F U'
U2 L F2 U R F U'
U' L F2 U D F U'
U' L F2 U D' F U'
U' L F2 U D2 F U'
U' L F2 U F U' D
