L' F2 U R' F' R
L' R F2 U R' F' R
U L' R' F2 B' U F
U L' R' B' F2 U F
U' L' U D' L2 F R
R' L' F2 U R' F' R
L' R' F2 U R' F' R
R2 L' F2 U R' F' R
R L' F2 U R' F' R
U' L' D' U L2 F R
B' L' F R' F U R2
U' L' F2 U' B' U2 R'
B' L' F2 D R' B U
U L' F2 R' B' U F'
U L' F2 B' R' U F'
U L' B' R' F2 U F
U L' B' F2 R' U F'
L' R2 F2 U R' F' R
D' L2 U' L U F R
U R' L' F2 B' U F
U R' L' B' F2 U F
L2 U' F2 L U F R
B' U L' R' F2 B' U
B' U L' R' B' F2 U
B' U L' F2 R' B' U
B' U R' L' F2 B' U
B' U R' L' B' F2 U
F2 U R' F' D R B2
F2 U R' F' D B2 R
F2 U2 R U' R' F' R
F2 U2 R F' L' U' R
F2 U2 D R F' L' U'
F2 U2 F' L' U' R B
L' F R2 F U R' F'
L' F B' R' F U R2
F2 D U2 R F' L' U'
L2 F2 L U R' F' R
L' F2 R U R' F' R
L F2 L2 U R' F' R
L' F2 R' U R' F' R
L' F2 R2 U R' F' R
L' F2 U R' F' R D
L' F2 U R' F' R D'
L' F2 U R' F' R D2
L' F2 U R' F' D R
L' F2 U R' F' D' R
L' F2 U R' F' D2 R
L' F2 U R2 F' R F'
L' F2 U F' R' F' R2
L' F2 U2 F' L' U' R
L' F2 D B' R' B U
L2 F2 D' L B' R' U
L' F2 B' D R' B U
L' B' F R' F U R2
L' B' F2 D R' B U
