F2 R F' B' D L2
F2 R B' D L2 F'
F2 R B' D F' L2
F2 R B' F' D L2
F2 U R F' B' L'
F2 U R B' F' L'
F2 U B' R F' L'
U' L' R' B U2 L B'
U L2 F L R U2 F'
U L2 F R L U2 F'
L2 U F L R U2 F'
L2 U F R L U2 F'
F2 R U B U' F' B2
F2 R U B U' B2 F'
F2 R D F' B' D L2
F2 R D B' D L2 F'
F2 R D B' D F' L2
F2 R D B' F' D L2
F2 R D' F' B' D L2
F2 R D' B' D L2 F'
F2 R D' B' D F' L2
F2 R D' B' F' D L2
F2 R D2 F' B' D L2
F2 R D2 B' D L2 F'
F2 R D2 B' D F' L2
F2 R D2 B' F' D L2
F' R F' R D B' L
F2 R F' U B U' B2
F' R F' B' R D L2
F2 R F' D B' D L2
F' R F' B' D L2 R
F' R F' B' D R L2
F2 R F' D' B' D L2
F2 R F' D2 B' D L2
F2 R F' B' L D L2
F2 R F' B' L' D L2
F2 R F' B' L2 D L2
F2 R F' B' U B2 U'
B' R F2 R D' F L'
F2 R F' B' D L2 D
F2 R F' B' D L2 D'
F2 R F' B' D L2 D2
U R F2 R F B' L'
U R F2 R B' F L'
F2 R F2 B' D F L2
F' R B U' F' R B2
F' R B U' F' B2 R
F' R B U' B2 F' R
U R F2 B' R F L'
F2 R B' L D L2 F'
F2 R B' L D F' L2
F2 R B' L F' D L2
F2 R B' L' D L2 F'
F2 R B' L' D F' L2
F2 R B' L' F' D L2
F2 R B' L2 D L2 F'
F2 R B' L2 D F' L2
F2 R B' L2 F' D L2
F2 R B' U B2 U' F'
F2 R B' D L F' L
F2 R B' D L2 D F'
F2 R B' D L2 D' F'
F2 R B' D L2 D2 F'
F2 R B' D L2 F' D
F2 R B' D L2 F' D'
F2 R B' D L2 F' D2
F2 R B' D F L2 F2
F2 R B' D F' L2 D
F2 R B' D F' L2 D'
F2 R B' D F' L2 D2
F' R B' F' R D L2
F' R B' F' D L2 R
F' R B' F' D R L2
F2 R B' D' F' D2 L2
F2 R B' F' L D L2
F2 R B' F' L' D L2
F2 R B' F' L2 D L2
F2 R B' F' U B2 U'
F2 R B' F' D L2 D
F2 R B' F' D L2 D'
F2 R B' F' D L2 D2
F2 R B' F2 D F L2
U R B' F2 R F L'
U' R' L' B U2 L B'
F2 R' F' U R2 F' B'
F2 R' F' U R2 B' F'
U' R' B L' U2 L2 B2
U' R' B L' U2 B2 L2
F2 R2 D R' F' B' L
F2 R2 D R' B' L F'
F2 R2 D R' B' F' L
F2 U L R F' L' B'
F2 U R L F' L' B'
F' U R F' R B' L'
F' U R F' B' L' R
F' U R F' B' R L'
F2 U R D F' B' L'
F2 U R D B' F' L'
F2 U R D' F' B' L'
F2 U R D' B' F' L'
F2 U R D2 F' B' L'
F2 U R D2 B' F' L'
F' U R B' F' L' R
F' U R B' F' R L'
F2 U R F' D B' L'
F2 U R F' D' B' L'
F2 U R F' D2 B' L'
F2 U R F' B L' B2
F2 U R F' B' L' D
F2 U R F' B' L' D'
F2 U R F' B' L' D2
F2 U R F' B' D L'
F2 U R F' B' D' L'
F2 U R F' B' D2 L'
F2 U R F' B2 L' B
F2 U R B F' L' B2
F2 U R B' L F' L'
F2 U R B' L' F' L'
F2 U R B' L2 F' L'
F2 U R B' D F' L'
F2 U R B' D' F' L'
F2 U R B' D2 F' L'
F2 U R B' F' L' D
F2 U R B' F' L' D'
F2 U R B' F' L' D2
F2 U R B' F' D L'
F2 U R B' F' D' L'
F2 U R B' F' D2 L'
F2 U R B2 F' L' B
F' U F' R B' L' F'
F' U F' B' L' R F'
F' U F' B' R L' F'
F2 U B R F' L' B2
F2 U B R F' B2 L'
F2 U B R B2 F' L'
F' U B' R F' L' R
F' U B' R F' R L'
F2 U B' L R F' L'
F2 U B' L' R F' L'
F2 U B' L2 R F' L'
F2 U B' R L F' L'
F2 U B' R L' F' L'
F2 U B' R L2 F' L'
F2 U B' R D F' L'
F2 U B' R D' F' L'
F2 U B' R D2 F' L'
F2 U B' R F' L' D
F2 U B' R F' L' D'
F2 U B' R F' L' D2
F2 U B' R F' D L'
F2 U B' R F' D' L'
F2 U B' R F' D2 L'
F' U B' F' L' R F'
F' U B' F' R L' F'
F2 U' R F' B L B2
F2 U' R B L F' B2
F2 U' R B L B2 F'
F2 U' R B F' L B2
B2 U' F2 B L R F'
B2 U' F2 B R L F'
B2 U' F2 B R F' L
F2 U' B L R F' B2
F2 U' B L R B2 F'
F2 U' B L B2 R F'
F2 U' B R L F' B2
F2 U' B R L B2 F'
F2 U' B R F' L B2
B2 U' B F2 L R F'
B2 U' B F2 R L F'
B2 U' B F2 R F' L
F2 U' B' R D2 L2 F'
F2 U' B' R D2 F' L2
F2 U' B' R F' D2 L2
U F R U2 F' B' R'
U F R U2 B' F' R'
R' F' R2 U F' R B'
R' F' R2 U F' B' R
R' F' R2 U B' F' R
U F' R B' L' F' R
R' F' U R2 F' R B'
R' F' U R2 F' B' R
R' F' U R2 B' F' R
U F' B' L' R F' R
U F' B' L' F' R F'
U F' B' R L' F' R
U' F2 R F' B L B2
U' F2 R B L F' B2
U' F2 R B L B2 F'
U' F2 R B F' L B2
U F2 R D2 F' B' L
U F2 R D2 B' L F'
U F2 R D2 B' F' L
U F2 R F B' L' F2
R F2 R D F B' L
R F2 R D B' F L
R F2 R D' F B' L'
R F2 R D' B' F L'
U F2 R B' F L' F2
R F2 R F D B' L
R F2 R B' D' F L'
U' F2 U2 R F' B' L'
U' F2 U2 R B' F' L'
U2 F2 U' R F' B' L'
U2 F2 U' R B' F' L'
U' F2 U2 B' R F' L'
U2 F2 U' B' R F' L'
U' F2 B L R F' B2
U' F2 B L R B2 F'
U' F2 B L B2 R F'
U' F2 B R L F' B2
U' F2 B R L B2 F'
U' F2 B R F' L B2
U' F2 B' R D2 L2 F'
U' F2 B' R D2 F' L2
U' F2 B' R F' D2 L2
R F2 B U' R F B2
R F2 B U' R B2 F
R F2 B U' B2 R F
U F2 B' R F L' F2
R F2 B' R D F L2
R F2 B' R F D L2
R' B L' U F' U B2
R F2 B' D R F L2
R B L2 U' F' B2 R'
R B L2 U' B2 F' R'
R B U L' U2 F' B2
R B U L' U2 B2 F'
R B U' F2 R F B2
R B U' F2 R B2 F
R B U' F2 B2 R F
R B U' B2 F2 R F
U' B F2 L R F' B2
