F L2 U F R U'
B' R U F L2 B
B' R U F B L2
B' R U B F L2
F R B L2 D' R2
R F B L2 D' R2
R B F L2 D' R2
R B' U F L2 B2
R B' U F B2 L2
R B' U B2 F L2
F L' R D' L' B R'
F L' R D' B L' R'
F L' R D' B R' L'
F2 L' D L' F' R B
F L' D' L' R B R'
F L' D' R L' B R'
F L' D' R B L' R'
F L' D' R B R' L'
F L2 R U F U' B
F L2 R B U F U'
F' L2 U F R U' F
F L2 U R F R U'
F2 L2 U F R U' F2
F L2 U R' F R U'
F L2 U R2 F R U'
F L2 U D F R U'
F L2 U D' F R U'
F L2 U D2 F R U'
F L2 U F R U' D
F L2 U F R U' D'
F L2 U F R U' D2
F L2 U F R D U'
F L2 U F R D' U'
F L2 U F R D2 U'
F L2 U F D R U'
F L2 U F D' R U'
F L2 U F D2 R U'
F L2 D U F R U'
F L2 D' U F R U'
F L2 D2 U F R U'
F2 L2 F' R D B R2
F2 L2 F' R B D R2
F2 L2 F' R' D R2 B
F2 L2 F' D R B R
F L2 B U F R U'
F L2 B' U F R U'
F L2 B2 U F R U'
L2 U F L2 R U' F
L2 U F R L2 U' F
L2 U F R U B' U2
F R L' D' L' B R'
F R L' D' B L' R'
F R L' D' B R' L'
F R L2 U F U' B
R U F B L2 D' R2
B' R U L2 B D2 F2
F R L2 B U F U'
B' R U F L' B L'
B' R U F L2 D B
B' R U F L2 D' B
B' R U F L2 D2 B
B' R U F L2 B D
B' R U F L2 B D'
B' R U F L2 B D2
B' R U F B L2 D
B' R U F B L2 D'
B' R U F B L2 D2
B' R U F B' L2 B2
B' R U F' L2 F2 B
B' R U F' L2 B F2
B' R U F' B L2 F2
B' R U F2 L2 F' B
B' R U F2 L2 B F'
B' R U F2 B L2 F'
B' R U B F L2 D
B' R U B F L2 D'
B' R U B F L2 D2
B' R U B F' L2 F2
B' R U B F2 L2 F'
B' R U B' F L2 B2
F R U' B' U L2 B2
F R U' B' U B2 L2
R U B F L2 D' R2
R U B' U F L2 B2
R U B' U F B2 L2
B' R D F2 U F' B
B' R D F2 U B F'
R U B' U B2 F L2
F R D B D' L2 R2
F R D B D' R2 L2
B2 R F L2 D B R'
B R F L2 D' B R2
B' R F' U L2 F2 B
B' R F' U L2 B F2
B' R F' U F2 L2 B
B' R F' U F2 B L2
B' R F' U B L2 F2
B' R F' U B F2 L2
B' R F2 U L2 F' B
B' R F2 U L2 B F'
B' R F2 U F' L2 B
B' R F2 U F' B L2
B' R F2 U B L2 F'
B' R F2 U B F' L2
F' R F2 B L2 D' R2
F' R B L2 F2 D' R2
D R F2 B' U F' B2
D R F2 B' U B2 F'
F R B L D' L R2
F R B L D' R2 L
F R B L' D' L' R2
F R B L' D' R2 L'
F R B L2 R D' R2
F R B L2 R' D' R2
F R B L2 R2 D' R2
F R B L2 U' B2 U
F R B L2 D' R2 D
F R B L2 D' R2 D'
F R B L2 D' R2 D2
F R B R L2 D' R2
F' R B F2 L2 D' R2
F R B R' L2 D' R2
F R B R2 L2 D' R2
D R B D' R2 F L2
D R B D' F L2 R2
D R B D' F R2 L2
F R B U' B2 U L2
F R B D' R2 D L2
F' R B' U L2 F2 B2
F' R B' U L2 B2 F2
F' R B' U F2 L2 B2
F' R B' U F2 B2 L2
F' R B' U B2 L2 F2
F' R B' U B2 F2 L2
F R B' L2 B2 D' R2
D R B' F2 U F' B2
D R B' F2 U B2 F'
B R B2 U F B' L2
B R B2 U B' F L2
R U' F B L2 D' R2
B' R' U F L2 D2 B2
B' R' U F2 L2 F' B'
B' R' U F2 L2 B' F'
B' R' U' F' U2 L2 F2
B' R' U' F' U2 F2 L2
R U' B F L2 D' R2
R U' B' U F L2 B2
R U' B' U F B2 L2
R U' B' U B2 F L2
B' R' F2 U L2 F' B'
B' R' F2 U L2 B' F'
F R' B L2 D' R2 B
F' R' B' U F2 L2 B'
R U2 F B L2 D' R2
L2 U2 B' U' F R U'
R U2 B F L2 D' R2
R U2 B' U F L2 B2
R U2 B' U F B2 L2
R U2 B' U B2 F L2
R2 D F2 B' L U F'
R D F2 B' U F' B2
R D F2 B' U B2 F'
R D B D' R2 F L2
R D B D' F L2 R2
R D B D' F R2 L2
R2 D B' F2 L U F'
R D B' F2 U F' B2
R D B' F2 U B2 F'
B' U F L2 U R U'
B' U F U R U' L2
F U' B' U2 R' U' L2
R F L' D' L' B R'
R F L' D' B L' R'
R F L' D' B R' L'
U F L2 U R F U'
R F L2 U F U' B
R F L2 B U F U'
R2 F R' B L2 D' R2
R F U' B' U L2 B2
R F U' B' U B2 L2
B' D R F2 U F' B
B' D R F2 U B F'
R F D B D' L2 R2
R F D B D' R2 L2
F D R B D' L2 R2
F D R B D' R2 L2
R F B L D' L R2
R F B L D' R2 L
R F B L' D' L' R2
R F B L' D' R2 L'
R F B L2 R D' R2
R F B L2 R' D' R2
R F B L2 R2 D' R2
R F B L2 U' B2 U
R F B L2 D' R2 D
R F B L2 D' R2 D'
R F B L2 D' R2 D2
R F B R L2 D' R2
R F B R' L2 D' R2
R F B R2 L2 D' R2
R F B U' B2 U L2
R F B D' R2 D L2
R F B' L2 B2 D' R2
R' F' U B' U L2 F2
R' F' U B' U F2 L2
R F' B L2 F2 D' R2
U F' B' L' U L' F2
R F' B' U L2 F2 B2
R F' B' U L2 B2 F2
R F' B' U F2 L2 B2
R F' B' U F2 B2 L2
R F' B' U B2 L2 F2
R F' B' U B2 F2 L2
R' F2 L2 F' D R2 B'
R' F2 L2 F' D B' R2
R' F2 L2 F' B' D R2
R' F2 L2 B' F' D R2
R F2 L2 F' D B R2
R F2 L2 F' B D R2
R F2 L2 B F' D R2
R' F2 B' U L2 F' B'
R' F2 B' U L2 B' F'
R F2 B L2 D' F' R2
R F2 B L2 F' D' R2
R F2 B' U L2 F' B2
R F2 B' U L2 B2 F'
R F2 B' U F' L2 B2
R F2 B' U F' B2 L2
R F2 B' U B2 L2 F'
R F2 B' U B2 F' L2
R B R F L2 D' R2
R B R' F L2 D' R2
R B R2 F L2 D' R2
B2 F L2 R D B R'
B2 F L2 U' B L U
R B U' B2 U F L2
B F L2 R D' B R2
B F L2 R' D' R2 B
B2 F R L2 D B R'
B F L2 D' R B R
F B L2 R D' B R2
F B L2 R' D' R2 B
F B L2 D' R B R
B F R L2 D' B R2
F B R L2 D' B R2
R B D' R2 D F L2
R B D' R2 F D L2
B F R' L2 D' R2 B
R B D' F R2 D L2
F B R' L2 D' R2 B
R B F L D' L R2
R B F L D' R2 L
R B F L' D' L' R2
R B F L' D' R2 L'
R B F L2 R D' R2
R B F L2 R' D' R2
R B F L2 R2 D' R2
