B' L U L' F2 U B'
B' L U F2 L' U B'
B' L F' U L' F' U
F' L' D2 F' U R F'
D' L2 F U R F' U'
F2 U' B' D' L U2 B'
D' F R F' U' L2 F
B' U2 B2 D' L2 R' B
B' U2 B2 D' R' L2 B
B' U2 B2 D' R' B L2
U2 F2 U' B' L F U2
B D2 F2 D L2 R' B
B D2 F2 D R' L2 B
B D2 F2 D R' B L2
U B' L U2 D' L2 B'
U B' L D R2 F U2
U B' L D F R2 U2
U B' L D' U2 L2 B'
U B' L D' F U2 L2
U B' L F U F U
B' F' L U L2 F' U
B' F' L U F' L2 U
F' B' L U L2 F' U
F' B' L U F' L2 U
U B' D L R2 F U2
U B' D L F R2 U2
U B' D R2 L F U2
U B' D' L F U2 L
D2 B2 R2 U' F' R B
