R2 B L U F2 L'
B L R2 B U L F2
B L R2 B U F2 L
B L U2 F' U' L' F'
B L D R2 B U L
R2 L B L U F2 L'
R2 L' B L U F2 L'
L' R2 B L U F2 L'
L2 R2 B L U F2 L'
R2 L2 B L U F2 L'
L R2 B L U F2 L'
D' L2 F' U R' F' U2
R U' R F2 L' B' R'
R2 U' F2 L' B' D' R2
U R' F' U2 D' F' R
U R' F' D' U2 F' R
B R2 L B U L F2
B R2 L B U F2 L
F' R2 U B R U2 B
R' U2 F2 D R' B R'
R' U2 F2 D B R' B
R2 U2 B U F2 L' B'
U' R2 F2 L' B' D' R2
F R2 F2 U' L' F' B'
F R2 F2 U' L' B' F'
D R2 F2 B L U L2
D R2 B L U' R U2
D R2 B L F2 U L'
U2 R2 B U F2 L' B'
D R2 B F2 L U L2
F' U R2 B R F' U2
F' U F R' F' U2 F'
F' U F' R' F' U2 F
F' U F2 R' F' U2 F2
F' U B U2 F' L' B'
F' U' L F' D2 B2 L
F' U' L' F' B2 L B
F' U' L' B2 L F' B
F' U' L' B2 L B F'
F' U' L' B2 F' L B
F' U' L2 F' B2 L B'
F' U' L2 B2 L F' B'
F' U' L2 B2 L B' F'
F' U' L2 B2 F' L B'
F' U' R' U2 R F' B
F' U' R' U2 R B F'
F' U' F' L' B2 L B
F' U' F' L2 B2 L B'
F' U' F' U2 R' F' U2
F' U' F' B' L' B' L
F' U' F' B2 L' B' L2
F' U' B' L' F' B' L
F' U' B' L' B' L F'
F' U' B' L' B' F' L
F' U' B' F' L' B' L
F' U' B2 L F' D2 B2
F' U' B2 L' F' B' L2
F' U' B2 L' B' L2 F'
F' U' B2 L' B' F' L2
F' U' B2 F' L' B' L2
B D L R2 B U L
B D R2 L B U L
D' F' L2 U R' F' U2
D2 F' U R' F' B2 U2
D2 F' U R' B2 F' U2
B' D' L2 F' R' B U'
B' D' F' L2 R' B U'
B' D' F' R' L2 B U'
B' D' F' R' B L2 U'
R2 B L U L F2 L'
R2 B L U L' F2 L'
R2 B L U L2 F2 L'
R2 B L U F2 L' D
R2 B L U F2 L' D'
R2 B L U F2 L' D2
R2 B L U F2 D L'
R2 B L U F2 D' L'
R2 B L U F2 D2 L'
R2 B L U' R U2 F2
D B L R2 B U L
R2 B L F U F L'
D B R2 L B U L
R2 B U F2 L' D' B2
B2 F D R2 F L B'
B2 F D F L R2 B'
B2 F D F L B' R2
B2 F D F R2 L B'
B2 F' U' D L F' B'
B2 F' U' D L B' F'
B2 F' U' D F' L B'
B2 F' U' F' D L B'
B2 F' D U' L F' B'
B2 F' D U' L B' F'
B2 F' D U' F' L B'
B2 F2 L D' R' B R'
B2 F2 L D' B R' B
F2 B2 L D' R' B R'
F2 B2 L D' B R' B
F' B2 U' D L F' B'
F' B2 U' D L B' F'
F' B2 U' D F' L B'
F' B2 U' F' D L B'
F' B2 D U' L F' B'
F' B2 D U' L B' F'
F' B2 D U' F' L B'
F B2 D R2 F L B'
F B2 D F L R2 B'
F B2 D F L B' R2
F B2 D F R2 L B'
