U' L' D' R2 B U
D' R2 B L' U L
U' D' L' R2 B U
D' U' L' R2 B U
U' D' R2 L' B U
D' U' R2 L' B U
U' D' R2 B L' U
D' U' R2 B L' U
D2 F2 U R F U'
D' L R2 B L2 U L
U' L D' R2 B U B
U L F' D2 R2 U' F2
U' L' R2 D' B R2 U
U' L' R2 D2 B U F2
U' L' R2 B R2 U F'
U' L' R2 B U' B U2
U' L' U' B2 U' F' U'
D L' U2 L' F' U' L2
U' L' U2 D L2 F' U'
U' L' U2 D F' L2 U'
D2 L' U2 F' U' L F'
D2 L' U2 F' U' F' L
U' L' U2 D2 F' U' F'
U' L' U2 F' U B2 U2
U' L' U2 F' U' D2 F2
U' L' U2 F' D L2 U'
U' L' U2 F' D2 U' F2
B2 L' U2 F' U' F L
U' L' D U2 L2 F' U'
U' L' D U2 F' L2 U'
U' L' D' R2 D B U
U' L' D' R2 D' B U
U' L' D' R2 D2 B U
U' L' D' R2 B U D
U' L' D' R2 B U D'
U' L' D' R2 B U D2
U' L' D' R2 B D U
U' L' D' R2 B D' U
U' L' D' R2 B D2 U
R2 L' B U' B R' U2
U' L' D' B R2 B U
U' L' D' B' R2 B U
U' L' D' B2 R2 B U
U' L' D2 R2 B U F2
U' L' D2 U2 F' U' F'
U L' F' U B2 U2 B2
U' L' B R2 B U F'
D' L' B' R2 B U L
U' L' B2 U2 F' U' F
L' R2 B U' B R' U2
U' L2 D' L R2 B U
U' L2 D' R2 L B U
D L2 D' F' B2 R' U'
D L2 D' B2 F' R' U'
D L2 F' U2 L U L
D L2 F' D' B2 R' U'
D L2 F' B2 R' U' L2
U2 L2 B2 U' F' R' U'
D L2 B2 F' R' U' L2
F2 R D F L2 U' L2
R2 U' L' D' B R2 U
R2 U' L' D2 B U F2
R2 U' L' B R2 U F'
R2 U' L' B U' B U2
F2 R F D L2 U' L2
R2 U' D' L' B R2 U
R2 U' D' B L' R2 U
R2 U' D' B R2 L' U
R2 U' D2 L' B U F2
R2 U' D2 B L' U F2
D' R' U' L' R' B U
D' R' U' R' L' B U
D' R' U' R' B L' U
R2 U' B L' R2 U F'
R2 U' B L' U' B U2
R2 U' B R2 L' U F'
D2 R' F2 U R F' U'
L' U2 D F' L2 U' L'
D' R2 L B L2 U L
L' U2 D2 F' U' L F'
L' U2 D2 F' U' F' L
U' R2 L' D' B R2 U
U' R2 L' D2 B U F2
U' R2 L' B R2 U F'
U' R2 L' B U' B U2
L' U2 F' U B2 R' U2
L' U2 F' U' L D2 F2
L' U2 F' U' D2 L F2
L' U2 F' U' D2 F2 L
L' U2 F' D L2 U' L'
L' U2 F' D2 U' L F2
L' U2 F' D2 U' F2 L
D2 R2 U' L' B U F2
D2 R2 U' B L' U F2
B R2 U' L' B U F'
B R2 U' B L' U F'
D' R2 D B L' U L
U' R2 D' L' B R2 U
R2 U2 B2 U B' L' U
D' R2 D' B L' U L
U' R2 D' B L' R2 U
U' R2 D' B R2 L' U
U' R2 D2 L' B U F2
D' R2 D2 B L' U L
U' R2 D2 B L' U F2
D' R2 B L' U L D
D' R2 B L' U L D'
D' R2 B L' U L D2
D' R2 B L' U D L
D' R2 B L' U D' L
D' R2 B L' U D2 L
D2 R2 B L' U L F2
D' R2 B L' D U L
D2 R2 B L' U F2 L
D' R2 B L' D' U L
D' R2 B L' D2 U L
D' R2 B L' F U L
D' R2 B L' F' U L
D' R2 B L' F2 U L
U' R2 B L' R2 U F'
U' R2 B L' U' B U2
U' R2 B R2 L' U F'
D' R2 B D L' U L
D' R2 B D' L' U L
D' R2 B D2 L' U L
B R2 B L' U L F'
B R2 B L' U F' L
L' D U2 F' L2 U' L'
U' D L' U2 L' F' U'
D U L2 F' U2 L U
F2 U R D F L2 U'
F2 U R D2 F U' F
F2 U R F U B2 U2
F2 U R F U' D2 F2
F2 U R F D L2 U'
F2 U R F D2 U' F2
U D L2 F' U2 L U
F2 U D R F L2 U'
D2 U F2 R F U' F'
F2 U D2 R F U' F
D U F2 R F L2 U'
U D F2 R F L2 U'
D' U' L R2 B L2 U
U' D' L R2 B L2 U
U' D' L' R2 D B U
D' U' L' R2 D B U
U' D' L' R2 D' B U
D' U' L' R2 D' B U
U' D' L' R2 D2 B U
D' U' L' R2 D2 B U
U' D' L' R2 B U D
U' D' L' R2 B U D'
U' D' L' R2 B U D2
U' D' L' R2 B D U
D' U' L' R2 B U D
D' U' L' R2 B U D'
D' U' L' R2 B U D2
U' D' L' R2 B D' U
U' D' L' R2 B D2 U
D' U' L' R2 B D U
D' U' L' R2 B D' U
D' U' L' R2 B D2 U
D2 U' L' R2 B U F2
D2 U' L' U2 F' U' F'
D2 U' L' D R2 B U
U' D' L' B R2 B U
D' U' L' B R2 B U
U' D' L' B' R2 B U
D' U' L' B' R2 B U
U' D' L' B2 R2 B U
D' U' L' B2 R2 B U
L D' R2 B U L' B
L D' R2 B U B L'
D U' L' U2 L' F' U'
R2 D' U' L' B R2 U
R2 D' U' B L' R2 U
R2 D' U' B R2 L' U
B2 U' L' U2 L F' U'
B2 U' L' U2 F' L U'
B U' L' R2 B U F'
U' D' R2 L B L2 U
D' U' R2 L B L2 U
U' D' R2 L' D B U
D' U' R2 L' D B U
D' U' R2 L' D' B U
U' D' R2 L' D' B U
U' D' R2 L' D2 B U
D' U' R2 L' D2 B U
U' D' R2 L' B U D
U' D' R2 L' B U D'
U' D' R2 L' B U D2
D' U' R2 L' B U D
D' U' R2 L' B U D'
D' U' R2 L' B U D2
U' D' R2 L' B D U
U' D' R2 L' B D' U
U' D' R2 L' B D2 U
D' U' R2 L' B D U
D' U' R2 L' B D' U
D' U' R2 L' B D2 U
D2 U' R2 L' B U F2
U' D' R2 D L' B U
D' U' R2 D L' B U
U' D' R2 D B L' U
D' U' R2 D B L' U
U' D' R2 D' L' B U
D' U' R2 D' L' B U
U' D' R2 D' B L' U
D' U' R2 D' B L' U
D' U' R2 D2 L' B U
U' D' R2 D2 L' B U
U' D' R2 D2 B L' U
D' U' R2 D2 B L' U
D' U' R2 B L' U D
D' U' R2 B L' U D'
D' U' R2 B L' U D2
D' U' R2 B L' D U
D' U' R2 B L' D' U
D' U' R2 B L' D2 U
U' D' R2 B L' U D
U' D' R2 B L' U D'
U' D' R2 B L' U D2
U' D' R2 B L' D U
U' D' R2 B L' D' U
U' D' R2 B L' D2 U
U' D' R2 B D L' U
D' U' R2 B D L' U
U' D' R2 B D' L' U
D' U' R2 B D' L' U
U' D' R2 B D2 L' U
D' U' R2 B D2 L' U
U' D' R2 B' L' B2 U
D' U' R2 B' L' B2 U
D2 U' R2 B L' U F2
R2 D' B L' R2 U L
R2 D' B R2 L' U L
L' D' B' R2 B U L
B U' R2 L' B U F'
D' U' B L' R2 B U
U' D' B L' R2 B U
D' U' B R2 L' B U
U' D' B R2 L' B U
D' U' B R2 B L' U
U' D' B R2 B L' U
B U' R2 B L' U F'
U' D' B' L' R2 B U
D' U' B' L' R2 B U
U' D' B' R2 L' B U
D' U' B' R2 L' B U
U' D' B' R2 B L' U
D' U' B' R2 B L' U
D' U' B2 L' R2 B U
U' D' B2 L' R2 B U
D' U' B2 R2 L' B U
U' D' B2 R2 L' B U
U' D' B2 R2 B L' U
D' U' B2 R2 B L' U
B2 U' F' U2 F L' U
U' D2 L' R2 B U F2
U' D2 L' U2 F' U' F'
U' D2 L' D R2 B U
U' D2 R2 L' B U F2
R2 D2 U' L' B U F2
U' D2 R2 B L' U F2
L' D2 U2 F' U' L F'
L' D2 U2 F' U' F' L
R2 D2 U' B L' U F2
U D2 F2 R F U' F'
R2 D2 B L' U L F2
R2 D2 B L' U F2 L
F2 U2 B2 U' R F U'
F' D L2 R' U' L2 B
F' D L2 R' U' B L2
F2 D R F L2 U' L2
F' D R' L2 U' L2 B
F' D R' L2 U' B L2
F2 D U R F L2 U'
L' F' U L D2 F2 R
L' F' U D2 L F2 R
L' F' U B2 R' U2 B2
L' F' U B2 U2 B2 L
L' F' U' B2 R' U2 R
U F' D L2 R' U' B
U F' D R' L2 U' B
L' F' D2 U L F2 R
D2 F2 R' U R2 F U'
D2 F2 R' U F R2 U'
D F2 R F L2 U' L2
D2 F2 R2 U R' F U'
D2 F2 R2 U F R' U'
U F2 R D F L2 U'
U F2 R D2 F U' F
U F2 R F U B2 U2
U F2 R F U' D2 F2
U F2 R F D L2 U'
U F2 R F D2 U' F2
D2 F2 U R D F U'
D2 F2 U R D' F U'
D2 F2 U R D2 F U'
D2 F2 U R F U' D
D2 F2 U R F U' D'
D2 F2 U R F U' D2
D2 F2 U R F D U'
D2 F2 U R F D' U'
D2 F2 U R F D2 U'
D2 F2 U R' F R2 U'
D2 F2 U R2 F R' U'
D2 F2 U D R F U'
D2 F2 U D' R F U'
D2 F2 U D2 R F U'
D F2 U R F L2 U'
D2 F2 D U R F U'
D2 F2 D' U R F U'
U F2 D R F L2 U'
D2 F2 D2 U R F U'
D2 F2 B U R F U'
D2 F2 B' U R F U'
U F2 D2 R F U' F
D2 F2 B2 U R F U'
F2 D2 U R F U' F
U2 F2 B2 U' R F U'
U' B L' R2 B U F'
R2 B L' R2 U L F'
R2 B L' R2 U F' L
U' B R2 L' B U F'
U' B R2 B L' U F'
D' B R2 B L' U L
R2 B R2 L' U L F'
R2 B R2 L' U F' L
D' B U' L' R2 B U
D' B U' R2 L' B U
D' B U' R2 B L' U
D2 B F2 U R F U'
D' B' R2 B L' U L
D' B' U' L' R2 B U
D' B' U' R2 L' B U
D' B' U' R2 B L' U
D2 B' F2 U R F U'
U' B2 L' U2 F' U' F
D' B2 R2 B L' U L
U2 B2 U L' U2 F' U'
D' B2 U' L' R2 B U
D' B2 U' R2 L' B U
D' B2 U' R2 B L' U
L2 B2 U' F' R' U' L2
U2 B2 U' F2 R F U'
D2 B2 F2 U R F U'
U2 B2 F2 U' R F U'
