R' L U B U B2
R' L U2 B' D' R2
R' L U2 B' D' R2
L R' U B U B2
L2 R' U B L U
L R' U2 B' D' R2
L' R' F U B U
R' L' F U B U
R' L2 U B L U
R' U L B U B2
R' U B L U B'
D2 R' U2 D' B R'
D2 R' D' U2 B R'
L' D' R' F L' U2
L' D' F L' R' U2
L' D' F R' L' U2
L' F R' U B U
R' L U D B U B2
R' L U D' B U B2
R' L U D2 B U B2
R' L U B L U B2
R' L U B L' U B2
R' L U B L2 U B2
R' L U B U B2 D
R' L U B U B2 D'
R' L U B U B2 D2
R' L U B D L2 U
F' L R' U B U B2
D2 L R' U B' U B2
F2 L R' U B U B2
F' L R' U2 B' D' R2
F L R' U B U B2
D2 L R' U2 B D' R2
F2 L R' U2 B' D' R2
F L R' U2 B' D' R2
R' L U' R' U' B' R'
R' L U' R2 F' U' B'
R' L U2 D B' D' R2
R' L U2 D' B' D' R2
R' L U2 D2 B' D' R2
R' L U2 B' R D' R2
R' L U2 B' R' D' R2
R' L U2 B' R2 D' R2
R' L U2 B' U' B2 U
R' L U2 B' D' R2 D
R' L U2 B' D' R2 D'
R' L U2 B' D' R2 D2
R' L D U B U B2
R' L D U2 B' D' R2
R' L D' U B U B2
R' L D' U2 B' D' R2
R' L D2 U B U B2
R' L D2 U2 B' D' R2
L' R F R2 U' F2 U'
L' R F R2 U2 D R2
L' R F R2 D U2 R2
L' R F R2 D' L2 U2
R' L F U B U B2
R' L F U2 B' D' R2
R' L F' U B U B2
R' L F' U2 B' D' R2
R' L F2 U B U B2
R' L F2 U2 B' D' R2
L' R' U L2 B U B2
R' L' U L2 B U B2
L2 R' U L B L U
L2 R' U L' B L U
L2 R' U L2 B L U
L R' U D B U B2
L2 R' U D B L U
L R' U D' B U B2
L2 R' U D' B L U
L R' U D2 B U B2
L2 R' U D2 B L U
L' R' U B L2 U B'
R' L' U B L2 U B'
L' R' U B U' F U2
R' L' U B U' F U2
L R' U B L U B2
L R' U B L' U B2
L R' U B L2 U B2
L2 R' U B L U D
L2 R' U B L U D'
L2 R' U B L U D2
L2 R' U B L D U
L2 R' U B L D' U
L2 R' U B L D2 U
L R' U B U B2 D
L R' U B U B2 D'
L R' U B U B2 D2
L R' U B D L2 U
L2 R' U B D L U
L2 R' U B D' L U
L2 R' U B D2 L U
L R' U' R' U' B' R'
L R' U' R2 F' U' B'
U2 L B2 L D B R'
U2 L B2 D L B R'
L2 R' U2 R D B R'
L R' U2 D B' D' R2
L R' U2 D' B' D' R2
L R' U2 D2 B' D' R2
L R' U2 B' R D' R2
L R' U2 B' R' D' R2
L R' U2 B' R2 D' R2
L R' U2 B' U' B2 U
L R' U2 B' D' R2 D
L R' U2 B' D' R2 D'
L R' U2 B' D' R2 D2
D2 L' R' U' F U' B
R' L' D F U B U
L' R' D F U B U
L R' D U B U B2
L2 R' D U B L U
L R' D U2 B' D' R2
F' L' R' F U B U
F2 L' R' F U B U
F L' R' F U B U
R' L' D' F U B U
L' R' D' F U B U
L R' D' U B U B2
L2 R' D' U B L U
L R' D' U2 B' D' R2
R' L' D2 F U B U
L' R' D2 F U B U
L2 R' D2 U B L U
L R' D2 U B U B2
L R' D2 U2 B' D' R2
R' L' F L U B U
L' R' F L U B U
R' L' F L' U B U
L' R' F L' U B U
R' L' F L2 U B U
L' R' F L2 U B U
R' L' F U D B U
R' L' F U D' B U
R' L' F U D2 B U
R' L' F U B U D
R' L' F U B U D'
R' L' F U B U D2
R' L' F U B D U
R' L' F U B D' U
R' L' F U B D2 U
L' R' F U D B U
L' R' F U D' B U
L' R' F U D2 B U
L' R' F U B U D
L' R' F U B U D'
L' R' F U B U D2
L' R' F U B D U
L' R' F U B D' U
L' R' F U B D2 U
R' L' F D U B U
L' R' F D U B U
R' L' F D' U B U
L' R' F D' U B U
L2 R' F U B L U
R L' F R2 U' F2 U'
L R' F U B U B2
R L' F R2 U2 D R2
R' L' F D2 U B U
R L' F R2 D U2 R2
R L' F R2 D' L2 U2
L' R' F D2 U B U
L R' F U2 B' D' R2
L2 R' F' U B L U
L R' F' U B U B2
L R' F' U2 B' D' R2
L2 R' F2 U B L U
L R' F2 U B U B2
L R' F2 U2 B' D' R2
F' L' D' R' F L' U2
F2 L' D' R' F L' U2
F' L' D' F L' R' U2
F' L' D' F R' L' U2
F L' D' R' F L' U2
F2 L' D' F L' R' U2
F2 L' D' F R' L' U2
F L' D' F L' R' U2
F L' D' F R' L' U2
F' L' F R' U B U
F2 L' F R' U B U
F L' F R' U B U
R' L2 U L B L U
R' L2 U L' B L U
R' L2 U L2 B L U
R' L2 U D B L U
R' L2 U D' B L U
R' L2 U D2 B L U
R' L2 U B L U D
R' L2 U B L U D'
R' L2 U B L U D2
R' L2 U B L D U
R' L2 U B L D' U
R' L2 U B L D2 U
R' L2 U B D L U
R' L2 U B D' L U
R' L2 U B D2 L U
R' L2 U2 R D B R'
R' L2 D U B L U
R' L2 D' U B L U
R' L2 D2 U B L U
F' L2 R' U B L U
F2 L2 R' U B L U
R' L2 F U B L U
F L2 R' U B L U
R' L2 F' U B L U
R' L2 F2 U B L U
