R2 U2 D R F' B
R2 U2 D R B F'
R2 D U2 R F' B
R2 D U2 R B F'
D' L R' D' L2 F B'
D' L R' D' L2 B' F
B2 L R2 F U' L' U'
D' L D' L2 R' F B'
D' L D' L2 R' B' F
D' L D' L2 F R' B'
D' L D' R' L2 F B'
D' L D' R' L2 B' F
B2 L F R2 U' L' U'
R2 L' U2 D R F' B'
R2 L' U2 D R B' F'
R2 L' U2 D B' R F'
R2 L' U2 B' D R F'
D2 L' R' D B' L' F
D' L' R' D' F B' L2
R2 L' D U2 R F' B'
R2 L' D U2 R B' F'
D' L' R' D' B' F L2
R2 L' D U2 B' R F'
D2 L' R' B' L' D F2
D' L' R' B' D' F L2
F L' U R2 U2 R B'
F L' U R2 U2 B' R
F L' U' R' B2 L B
F L' U' D2 R' B' L2
D2 L' D R' B' L' F
D' L' D' R' F B' L2
D' L' D' R' B' F L2
D' L' D' F R' B' L2
F L' D2 U' R' B' L2
D' L' F2 U F' R' B'
L' R2 U2 D R F' B'
L' R2 U2 D R B' F'
L' R2 U2 D B' R F'
L' R2 U2 B' D R F'
L' R2 D U2 R F' B'
L' R2 D U2 R B' F'
L' R2 D U2 B' R F'
D' R' L D' L2 F B'
D' R' L D' L2 B' F
D2 R' L' D B' L' F
D' R' L' D' F B' L2
D' R' L' D' B' F L2
D2 R' L' B' L' D F2
D' R' L' B' D' F L2
R' U2 R' F' U R U
R' U2 D R' F' B U2
R' U2 D R' B F' U2
R2 U2 D R D F' B
R2 U2 D R D B F'
R2 U2 D R D' F' B
R2 U2 D R D' B F'
R2 U2 D R D2 F' B
R2 U2 D R D2 B F'
R2 U2 D R F' D B
R2 U2 D R F' D' B
R2 U2 D R F' D2 B
R2 U2 D R F' B D
R2 U2 D R F' B D'
R2 U2 D R F' B D2
R2 U2 D R B D F'
R2 U2 D R B D' F'
R2 U2 D R B D2 F'
R2 U2 D R B F' D
R2 U2 D R B F' D'
R2 U2 D R B F' D2
R2 U2 D B R F' B
R2 U2 D B R B F'
R2 U2 D B' R F' B
R2 U2 D B' R B F'
R2 U2 D B2 R F' B
R2 U2 D B2 R B F'
B2 R2 L F U' L' U'
F R2 U' L' U' R B
F' R2 U2 R D' F2 B
F' R2 U2 R D' B F2
F' R2 U2 R B D' F2
R2 U2 B D R F' B
R2 U2 B D R B F'
R2 U2 B' D R F' B
R2 U2 B' D R B F'
B2 R2 D' L F B' U2
B2 R2 D' L B' F U2
R2 U2 B2 D R F' B
R2 U2 B2 D R B F'
R2 D L' U2 R F' B'
R2 D L' U2 R B' F'
R2 D L' U2 B' R F'
R' D R' B U2 R B
R' D U2 R' F' B U2
R' D U2 R' B F' U2
R2 D U2 R D F' B
R2 D U2 R D B F'
R2 D U2 R D' F' B
R2 D U2 R D' B F'
R2 D U2 R D2 F' B
R2 D U2 R D2 B F'
R2 D U2 R F' D B
R2 D U2 R F' D' B
R2 D U2 R F' D2 B
R2 D U2 R F' B D
R2 D U2 R F' B D'
R2 D U2 R F' B D2
R2 D U2 R B D F'
R2 D U2 R B D' F'
R2 D U2 R B D2 F'
R2 D U2 R B F' D
R2 D U2 R B F' D'
R2 D U2 R B F' D2
R2 D U2 B R F' B
R2 D U2 B R B F'
R2 D U2 B' R F' B
R2 D U2 B' R B F'
R2 D U2 B2 R F' B
R2 D U2 B2 R B F'
R2 D B U2 R F' B
R2 D B U2 R B F'
R2 D B' U2 R F' B
R2 D B' U2 R B F'
R2 D B2 U2 R F' B
R2 D B2 U2 R B F'
R' D' L' F B2 L B
R' D' L' B' D2 F L'
R' D' L' B2 F L B
R2 D' L' U2 R F B'
R2 D' L' U2 R B' F
R2 D' L' U2 B' R F
R' D' L2 B2 L F B'
R' D' L2 B2 L B' F
R2 D' F2 L' U2 F B'
R2 D' F2 L' U2 B' F
R' D' B' L' F B' L
R' D' B' L' B' F L
R' D' B2 L' F B' L2
R' D' B2 L' B' F L2
L F R2 U' L' U' R
D' F2 L' U R' F B'
D' F2 L' U R' B' F
D' F2 L' U F R' B'
F D2 L' U' R' B' L'
R2 B U2 D R F' B
R2 B U2 D R B F'
R2 B D U2 R F' B
R2 B D U2 R B F'
R2 B' U2 D R F' B
R2 B' U2 D R B F'
R2 B' D U2 R F' B
R2 B' D U2 R B F'
R2 B2 U2 D R F' B
R2 B2 U2 D R B F'
R' B2 D' L' F B' L2
R' B2 D' L' B' F L2
R2 B2 D U2 R F' B
R2 B2 D U2 R B F'
