U' L R' F L U'
U' L F L R' U'
U' L F R' L U'
L U' L R' F U'
L U' L F R' U'
L U' R' L F U'
U' R' L F L U'
U R' F' L2 B' U'
U2 F R D F2 B2
U2 F R D B2 F2
U' L R F L R2 U'
U' L R F R2 L U'
U' L R' D F L U'
U' L R' D' F L U'
U' L R' D2 F L U'
U' L R' F L U' D
U' L R' F L U' D'
U' L R' F L U' D2
U' L R' F L D U'
U' L R' F L D' U'
U' L R' F L D2 U'
U' L R' F D L U'
U' L R' F D' L U'
U' L R' F D2 L U'
U' L R' F' L F2 U'
U' L R' F2 L F' U'
F' L U' L R' F U'
F' L U' L F R' U'
F2 L U' L R' F U'
F2 L U' L F R' U'
B L U' L U F U2
F L U' L R' F U'
F L U' L F R' U'
F' L U' R' L F U'
F2 L U' R' L F U'
F L U' R' L F U'
U L U2 L R' F U'
U L U2 L F R' U'
U L U2 R' L F U'
U' L D R' F L U'
U' L D F L R' U'
U' L D F R' L U'
U' L D' R' F L U'
U' L D' F L R' U'
U' L D' F R' L U'
U' L D2 R' F L U'
U' L D2 F L R' U'
U' L D2 F R' L U'
U' L F L R' U' D
U' L F L R' U' D'
U' L F L R' U' D2
U' L F L R' D U'
U' L F L R' D' U'
U' L F L R' D2 U'
U' L F L D R' U'
U' L F L D' R' U'
U' L F L D2 R' U'
U' L F R' L U' D
U' L F R' L U' D'
U' L F R' L U' D2
U' L F R' L D U'
U' L F R' L D' U'
U' L F R' L D2 U'
U' L F R' D L U'
U' L F R' D' L U'
U' L F R' D2 L U'
U' L F D L R' U'
U' L F D R' L U'
U' L F D' L R' U'
U' L F D' R' L U'
U' L F D2 L R' U'
U' L F D2 R' L U'
U' L F' L R' F2 U'
U' L F' L F2 R' U'
U' L F' R' L F2 U'
U' L F' R' F2 L U'
U' L F2 L F' R' U'
L2 R' U R U B U
L2 R' F2 B' U' L' R'
L2 R' F2 B' U' R' L'
L2 R' B U L R U2
L2 R' B U R L U2
L2 R' B' U R U2 R2
L2 R' B' U' R' D2 L2
L2 R' B' F2 U' L' R'
L2 R' B' F2 U' R' L'
R' L2 U R U B U
U' L2 R' D F' U' R
U2 L2 R' F U' L2 R
U2 L2 R' F U' R L2
U L2 R' F' U2 F U
