U2 R' F' B' U'
U2 R' B' F' U'
B2 L U2 F B U'
B2 L U2 B F U'
U2 R' D F' B' U'
U2 R' D B' F' U'
U2 R' D' F' B' U'
U2 R' D' B' F' U'
U2 R' D2 F' B' U'
U2 R' D2 B' F' U'
U2 R' F' D B' U'
U2 R' F' D' B' U'
U2 R' F' D2 B' U'
U2 R' F' B' U' D
U2 R' F' B' U' D'
U2 R' F' B' U' D2
U2 R' F' B' D U'
U2 R' F' B' D' U'
U2 R' F' B' D2 U'
U2 R' B' D F' U'
U2 R' B' D' F' U'
U2 R' B' D2 F' U'
U2 R' B' F' U' D
U2 R' B' F' U' D'
U2 R' B' F' U' D2
U2 R' B' F' D U'
U2 R' B' F' D' U'
U2 R' B' F' D2 U'
U2 R2 B' R F' U'
U2 D R' F' B' U'
U2 D R' B' F' U'
U2 D' R' F' B' U'
U2 D' R' B' F' U'
D2 U2 R' F' B' U'
U2 D2 R' F' B' U'
D' U2 R' F' B' U'
D2 U2 R' B' F' U'
U2 D2 R' B' F' U'
D' U2 R' B' F' U'
D U2 R' F' B' U'
D U2 R' B' F' U'
F' U2 R' F' B' U'
F' U2 R' B' F' U'
F2 U2 R' F' B' U'
F2 U2 R' B' F' U'
F U2 R' F' B' U'
F U2 R' B' F' U'
U2 F R' F' B' U'
U2 F R' B' F' U'
L2 F B2 L B' U
U2 F' R' F' B' U'
U2 F' R' B' F' U'
U2 F2 R' F' B' U'
U2 F2 R' B' F' U'
R' B' U2 R B U
L2 B2 F L B' U
U' L U' R' F' U' L'
B2 L U2 D F B U'
B2 L U2 D B F U'
B2 L U2 D' F B U'
B2 L U2 D' B F U'
B2 L U2 D2 F B U'
B2 L U2 D2 B F U'
B2 L U2 F D B U'
B2 L U2 F D' B U'
B2 L U2 F D2 B U'
B2 L U2 F B U' D
B2 L U2 F B U' D'
B2 L U2 F B U' D2
B2 L U2 F B D U'
B2 L U2 F B D' U'
B2 L U2 F B D2 U'
B L U2 F R B2 U'
B L U2 F B2 R U'
B2 L U2 B D F U'
B2 L U2 B D' F U'
B2 L U2 B D2 F U'
B2 L U2 B F U' D
B2 L U2 B F U' D'
B2 L U2 B F U' D2
B2 L U2 B F D U'
B2 L U2 B F D' U'
B2 L U2 B F D2 U'
B L U2 B2 F R U'
B2 L D U2 F B U'
B2 L D U2 B F U'
B2 L D' U2 F B U'
B2 L D' U2 B F U'
R' L F2 L' F' B' U'
R' L F2 L' B' F' U'
B2 L D2 U2 F B U'
B2 L D2 U2 B F U'
B2 L F' U2 F2 B U'
B2 L F' U2 B F2 U'
B2 L F2 U2 F' B U'
B2 L F2 U2 B F' U'
B2 L B' U2 F B2 U'
B2 L B' U2 B2 F U'
B2 L B2 U2 F B' U'
B2 L B2 U2 B' F U'
U2 L' R' F' L B' U'
L R' F2 L' F' B' U'
L R' F2 L' B' F' U'
B' L' B' L U2 B U'
B2 L' B' L2 U D L2
B2 L' B' L2 U2 B2 U'
B2 L' B' L2 D U L2
B2 L' B' L2 D2 F2 U
B L' B' U2 R' B' U'
B2 L' B2 L2 F B U
B2 L' B2 L2 B F U
D2 L2 F B2 L B' U
D' L2 F B2 L B' U
F' L2 F B2 L B' U
F2 L2 F B2 L B' U
D L2 F B2 L B' U
F L2 F B2 L B' U
D2 L2 B2 F L B' U
D' L2 B2 F L B' U
F' L2 B2 F L B' U
F2 L2 B2 F L B' U
D L2 B2 F L B' U
F L2 B2 F L B' U
U2 R F R2 F' B' U'
U2 R F R2 B' F' U'
U2 R F' R2 F' B' U'
U2 R F' R2 B' F' U'
U2 R F2 R2 F' B' U'
U2 R F2 R2 B' F' U'
U R B D B2 L2 R'
U R B D B2 R' L2
U2 R B' R2 U' D' R2
U2 R B' R2 U2 B2 U
U2 R B' R2 D' U' R2
U2 R B' R2 D2 F2 U'
U2 R' L' F' L B' U'
U2 R' D F' D B' U'
U2 R' D F' D' B' U'
U2 R' D F' D2 B' U'
U2 R' D F' B' U' D
U2 R' D F' B' U' D'
U2 R' D F' B' U' D2
U2 R' D F' B' D U'
U2 R' D F' B' D' U'
U2 R' D F' B' D2 U'
U2 R' D B' D F' U'
U2 R' D B' D' F' U'
U2 R' D B' D2 F' U'
U2 R' D B' F' U' D
U2 R' D B' F' U' D'
U2 R' D B' F' U' D2
U2 R' D B' F' D U'
U2 R' D B' F' D' U'
U2 R' D B' F' D2 U'
U2 R' D' F' D B' U'
U2 R' D' F' D' B' U'
U2 R' D' F' D2 B' U'
U2 R' D' F' B' U' D
U2 R' D' F' B' U' D'
U2 R' D' F' B' U' D2
U2 R' D' F' B' D U'
U2 R' D' F' B' D' U'
U2 R' D' F' B' D2 U'
U2 R' D' B' D F' U'
U2 R' D' B' D' F' U'
U2 R' D' B' D2 F' U'
U2 R' D' B' F' U' D
U2 R' D' B' F' U' D'
U2 R' D' B' F' U' D2
U2 R' D' B' F' D U'
U2 R' D' B' F' D' U'
U2 R' D' B' F' D2 U'
U2 R' D2 F' D B' U'
U2 R' D2 F' D' B' U'
U2 R' D2 F' D2 B' U'
U2 R' D2 F' B' U' D
U2 R' D2 F' B' U' D'
U2 R' D2 F' B' U' D2
U2 R' D2 F' B' D U'
U2 R' D2 F' B' D' U'
U2 R' D2 F' B' D2 U'
U2 R' D2 B' D F' U'
U2 R' D2 B' D' F' U'
U2 R' D2 B' D2 F' U'
U2 R' D2 B' F' U' D
U2 R' D2 B' F' U' D'
U2 R' D2 B' F' U' D2
U2 R' D2 B' F' D U'
U2 R' D2 B' F' D' U'
U2 R' D2 B' F' D2 U'
U2 R' F D B' U' R2
U2 R' F B' U' D R2
U2 R' F B' D U' R2
U2 R' F' R' B' R U'
U2 R' F' R2 B' R2 U'
U R' F B' U' F' R'
U2 R' F' D B' U' D
U2 R' F' D B' U' D'
U2 R' F' D B' U' D2
U2 R' F' D B' D U'
U2 R' F' D B' D' U'
U2 R' F' D B' D2 U'
R' U2 R B U D L2
U2 R' F' D' B' U' D
U2 R' F' D' B' U' D'
U2 R' F' D' B' U' D2
U2 R' F' D' B' D U'
U2 R' F' D' B' D' U'
U2 R' F' D' B' D2 U'
R' U2 R B U2 B2 U'
R' U2 R B D U L2
R' U2 R B D2 F2 U
U2 R' F' D2 B' U' D
U2 R' F' D2 B' U' D'
U2 R' F' D2 B' U' D2
U2 R' F' D2 B' D U'
U2 R' F' D2 B' D' U'
U2 R' F' D2 B' D2 U'
U2 R' F' B U' D L2
U2 R' F' B D U' L2
U2 R' F' B2 D B U'
U2 R' F' B2 D' B U'
U2 R' F' B2 D2 B U'
U R' F' B' U' R' F
U R' F' B' U' F R'
L U2 R F B R2 U'
U2 R' F2 D F B' U'
U2 R' F2 D B' F U'
U2 R' F2 D' F B' U'
U2 R' F2 D' B' F U'
U2 R' F2 D2 F B' U'
U2 R' F2 D2 B' F U'
L U2 R B R2 F U'
L U2 R B F R2 U'
U2 R' F2 B' D F U'
U2 R' F2 B' D' F U'
U2 R' F2 B' D2 F U'
U R' F2 B' U' R' F2
U R' F2 B' U' F2 R'
L U2 R' F U' D' L2
L U2 R' F U2 F2 U
L U2 R' F D' U' L2
L U2 R' F D2 B2 U'
U2 R' B D F' U' L2
U2 R' B F' U' D L2
U2 R' B F' D U' L2
D2 R' B' U2 R B U
D' R' B' U2 R B U
U2 R' B' L' F' L U'
U2 R' B' L2 F' L2 U'
F' R' B' U2 R B U
F2 R' B' U2 R B U
U2 R' B' D F' U' D
U2 R' B' D F' U' D'
U2 R' B' D F' U' D2
U2 R' B' D F' D U'
U2 R' B' D F' D' U'
U2 R' B' D F' D2 U'
U2 R' B' D' F' U' D
U2 R' B' D' F' U' D'
U2 R' B' D' F' U' D2
U2 R' B' D' F' D U'
U2 R' B' D' F' D' U'
U2 R' B' D' F' D2 U'
D R' B' U2 R B U
U2 R' B' D2 F' U' D
U2 R' B' D2 F' U' D'
U2 R' B' D2 F' U' D2
U2 R' B' D2 F' D U'
U2 R' B' D2 F' D' U'
U2 R' B' D2 F' D2 U'
U2 R' B' F U' D R2
U2 R' B' F D U' R2
U2 R' B' F2 D F U'
U2 R' B' F2 D' F U'
U2 R' B' F2 D2 F U'
F R' B' U2 R B U
U R' B' F U' F' R'
U R' B' F' U' R' F
U R' B' F' U' F R'
U R' B' F2 U' R' F2
U R' B' F2 U' F2 R'
U2 R' B2 D F' B U'
U2 R' B2 D B F' U'
U2 R' B2 D' F' B U'
U2 R' B2 D' B F' U'
U2 R' B2 D2 F' B U'
U2 R' B2 D2 B F' U'
U2 R' B2 F' D B U'
U2 R' B2 F' D' B U'
U2 R' B2 F' D2 B U'
L U2 F R B R2 U'
L U2 F R' U2 F' U
U2 R2 B R F' B2 U'
U2 R2 B R B2 F' U'
U2 R2 B' R D F' U'
U2 R2 B' R D' F' U'
U2 R2 B' R D2 F' U'
U2 R2 B' R F' U' D
U2 R2 B' R F' U' D'
U2 R2 B' R F' U' D2
U2 R2 B' R F' D U'
U2 R2 B' R F' D' U'
U2 R2 B' R F' D2 U'
U2 D R' D F' B' U'
U2 D R' D B' F' U'
U2 D R' D' F' B' U'
U2 D R' D' B' F' U'
U2 D R' D2 F' B' U'
U2 D R' D2 B' F' U'
U2 D R' F' D B' U'
U2 D R' F' D' B' U'
U2 D R' F' D2 B' U'
U2 D R' F' B' U' D
U2 D R' F' B' U' D'
U2 D R' F' B' U' D2
U2 D R' F' B' D U'
U2 D R' F' B' D' U'
U2 D R' F' B' D2 U'
R' D B' U2 R B U
U2 D R' B' D F' U'
U2 D R' B' D' F' U'
U2 D R' B' D2 F' U'
U2 D R' B' F' U' D
U2 D R' B' F' U' D'
U2 D R' B' F' U' D2
U2 D R' B' F' D U'
U2 D R' B' F' D' U'
U2 D R' B' F' D2 U'
U2 D R2 B' R F' U'
U2 D F R' F' B' U'
U2 D F R' B' F' U'
U2 D F' R' F' B' U'
U2 D F' R' B' F' U'
U2 D F2 R' F' B' U'
U2 D F2 R' B' F' U'
U2 D' R' D F' B' U'
U2 D' R' D B' F' U'
U2 D' R' D' F' B' U'
U2 D' R' D' B' F' U'
U2 D' R' D2 F' B' U'
U2 D' R' D2 B' F' U'
U2 D' R' F' D B' U'
U2 D' R' F' D' B' U'
U2 D' R' F' D2 B' U'
U2 D' R' F' B' U' D
U2 D' R' F' B' U' D'
U2 D' R' F' B' U' D2
U2 D' R' F' B' D U'
U2 D' R' F' B' D' U'
U2 D' R' F' B' D2 U'
U2 D' R' B' D F' U'
U2 D' R' B' D' F' U'
U2 D' R' B' D2 F' U'
U2 D' R' B' F' U' D
U2 D' R' B' F' U' D'
U2 D' R' B' F' U' D2
U2 D' R' B' F' D U'
U2 D' R' B' F' D' U'
U2 D' R' B' F' D2 U'
U2 D' R2 B' R F' U'
U2 D' F R' F' B' U'
U2 D' F R' B' F' U'
R' D' B' U2 R B U
U2 D' F' R' F' B' U'
U2 D' F' R' B' F' U'
L' D' B' U D L B'
L' D' B' D U L B'
L' D' B2 L B U L
U2 D' F2 R' F' B' U'
U2 D' F2 R' B' F' U'
D' U2 R' D F' B' U'
D' U2 R' D B' F' U'
D' U2 R' D' F' B' U'
D' U2 R' D' B' F' U'
D' U2 R' D2 F' B' U'
D' U2 R' D2 B' F' U'
D2 U2 R' D F' B' U'
D2 U2 R' D B' F' U'
D2 U2 R' D' F' B' U'
D' U2 R' F' D B' U'
D' U2 R' F' D' B' U'
D2 U2 R' D' B' F' U'
D' U2 R' F' D2 B' U'
D' U2 R' F' B' U' D
D' U2 R' F' B' U' D'
D' U2 R' F' B' U' D2
D' U2 R' F' B' D U'
D' U2 R' F' B' D' U'
D' U2 R' F' B' D2 U'
D2 U2 R' D2 F' B' U'
D2 U2 R' D2 B' F' U'
D2 U2 R' F' D B' U'
D2 U2 R' F' D' B' U'
D2 U2 R' F' D2 B' U'
D2 U2 R' F' B' U' D
D2 U2 R' F' B' U' D'
D2 U2 R' F' B' U' D2
D' U2 R' B' D F' U'
D2 U2 R' F' B' D U'
D2 U2 R' F' B' D' U'
D2 U2 R' F' B' D2 U'
D' U2 R' B' D' F' U'
D' U2 R' B' D2 F' U'
D' U2 R' B' F' U' D
D' U2 R' B' F' U' D'
D' U2 R' B' F' U' D2
D' U2 R' B' F' D U'
D' U2 R' B' F' D' U'
D' U2 R' B' F' D2 U'
D2 U2 R' B' D F' U'
D2 U2 R' B' D' F' U'
D2 U2 R' B' D2 F' U'
D2 U2 R' B' F' U' D
D2 U2 R' B' F' U' D'
D2 U2 R' B' F' U' D2
D2 U2 R' B' F' D U'
D2 U2 R' B' F' D' U'
D2 U2 R' B' F' D2 U'
U2 D2 R' D F' B' U'
U2 D2 R' D B' F' U'
U2 D2 R' D' F' B' U'
U2 D2 R' D' B' F' U'
U2 D2 R' D2 F' B' U'
U2 D2 R' D2 B' F' U'
U2 D2 R' F' D B' U'
U2 D2 R' F' D' B' U'
U2 D2 R' F' D2 B' U'
U2 D2 R' F' B' U' D
U2 D2 R' F' B' U' D'
U2 D2 R' F' B' U' D2
U2 D2 R' F' B' D U'
U2 D2 R' F' B' D' U'
U2 D2 R' F' B' D2 U'
U2 D2 R' B' D F' U'
U2 D2 R' B' D' F' U'
U2 D2 R' B' D2 F' U'
U2 D2 R' B' F' U' D
U2 D2 R' B' F' U' D'
U2 D2 R' B' F' U' D2
U2 D2 R' B' F' D U'
U2 D2 R' B' F' D' U'
U2 D2 R' B' F' D2 U'
D U2 R' D F' B' U'
D U2 R' D B' F' U'
D U2 R' D' F' B' U'
D U2 R' D' B' F' U'
D' U2 R2 B' R F' U'
D U2 R' D2 F' B' U'
D U2 R' D2 B' F' U'
D U2 R' F' D B' U'
D2 U2 R2 B' R F' U'
D U2 R' F' D' B' U'
D U2 R' F' D2 B' U'
D U2 R' F' B' U' D
D U2 R' F' B' U' D'
D U2 R' F' B' U' D2
D U2 R' F' B' D U'
D U2 R' F' B' D' U'
D U2 R' F' B' D2 U'
D U2 R' B' D F' U'
D U2 R' B' D' F' U'
D U2 R' B' D2 F' U'
D U2 R' B' F' U' D
D U2 R' B' F' U' D'
D U2 R' B' F' U' D2
D U2 R' B' F' D U'
D U2 R' B' F' D' U'
D U2 R' B' F' D2 U'
D' U2 F R' F' B' U'
D' U2 F R' B' F' U'
D2 U2 F R' F' B' U'
D2 U2 F R' B' F' U'
U2 D2 R2 B' R F' U'
U2 D2 F R' F' B' U'
U2 D2 F R' B' F' U'
D U2 R2 B' R F' U'
D' U2 F' R' F' B' U'
D' U2 F' R' B' F' U'
D2 U2 F' R' F' B' U'
D2 U2 F' R' B' F' U'
D U2 F R' F' B' U'
D U2 F R' B' F' U'
U2 D2 F' R' F' B' U'
U2 D2 F' R' B' F' U'
D' U2 F2 R' F' B' U'
D' U2 F2 R' B' F' U'
D2 U2 F2 R' F' B' U'
