D' B R' U L2 B'
F2 L B U' F' B2 U2
F2 L B U' B2 F' U2
F2 L B D' R2 U B
F L' U B U F L
B L' F2 L' U F' B'
B L' F2 L' U B' F'
F2 L' B R2 U F B
F2 L' B R2 U B F
F2 L' B U F D2 B2
F2 L' B U' F' U2 F2
D' L2 U' B R' U B2
D' L2 B' U' B2 R' U
L' U F2 B L U F'
L' U B F2 L U F'
D R2 F U' L' F2 U'
F U D' F B R' U
F U D' B R' F U
F U D' B F R' U
D' U B R' U L2 B'
F U F D' B R' U
D' U' B R' U L2 B'
U' D' B R' U L2 B'
U2 D' B R' U L2 B'
U D' B R' U L2 B'
D' U2 B R' U L2 B'
D F R2 U' L' F' U'
D' F U B R' U L2
F' D' L2 F' B R' U
F' D' L2 B F' R' U
F D' U F B R' U
F D' U B R' F U
F D' U B F R' U
L' F2 L' B U F' B2
L' F2 L' B U B2 F'
F' D' F' L2 B R' U
F' D' F' B L2 R' U
F' D' F' B R' L2 U
F' D' B L2 F' R' U
F' D' B F' L2 R' U
F' D' B F' R' L2 U
L' F2 B L' U F' B'
L' F2 B L' U B' F'
L2 F2 B L U F B2
L2 F2 B L U B2 F
D' B L R' U L B'
L2 B L F2 U F' B2
L2 B L F2 U B2 F'
D' B R' L U L B'
D' B R' U L2 D B'
D' B R' U L2 D' B'
D' B R' U L2 D2 B'
D' B R' U L2 B' D
D' B R' U L2 B' D'
D' B R' U L2 B' D2
D' B R' U B L2 B'
D' B R' U B' L2 B'
D' B R' U B2 L2 B'
D' B R' U' F U2 L2
F2 B L U' F' B' U2
F2 B L U' B' F' U2
F2 B L' R2 U F B
F2 B L' R2 U B F
F2 B L' U F D2 B2
F2 B L' U' F' U2 F2
F2 B R2 L' U F B
F2 B R2 L' U B F
L' B F2 L' U F' B'
L' B F2 L' U B' F'
L2 B F2 L U F B2
L2 B F2 L U B2 F
L2 B' L D' R2 F L2
L2 B' L D' F L2 R2
L2 B' L D' F R2 L2
L2 B' L' D' L2 R2 F
L2 B' L' D' L2 F R2
L2 B' L' D' R2 L2 F
L2 B' D' L R2 F L
L2 B' D' L F L R2
L2 B' D' L F R2 L
L2 B' D' R2 L F L
B F2 L U' F' B' U2
B F2 L U' B' F' U2
B F2 L' R2 U F B
B F2 L' R2 U B F
B F2 L' U F D2 B2
B F2 L' U' F' U2 F2
B F2 R2 L' U F B
B F2 R2 L' U B F
