D' L B' L U2 B2
D' L B' L U2 B2
D' L B' U2 B2 R'
D' L' U2 F B R'
D' L' U2 B R' F
D' L' U2 B F R'
U' L' F L' U' B
D' L2 U2 B R' F'
L' U' F L' U' B
U2 D F' B R F'
U2 D B R F' R
U2 D B F' R F'
F U' L' F U' B
D U2 F' B R F'
D U2 B R F' R
D U2 B F' R F'
U' F L' F U' B
D F' U2 B R F'
D' B R' F2 L' F
U2 B D R F' R
U2 B D F' R F'
D' B' L B' U2 B'
F' L U B' R U B2
F L U' L2 F U' B
D' L U2 B R' D2 F2
D' L U2 B D2 R' F2
D' L U2 B D2 F2 R'
D L U2 F' B R F'
D L U2 B R F' R
D L U2 B F' R F'
D' L F B' L U2 B2
D' L F B' U2 B2 R'
D L F' U2 B R F'
D' L F' B' L U2 B2
D' L F' B' U2 B2 R'
D' L F2 B' L U2 B2
D' L F2 B' U2 B2 R'
D' L B R' D2 F2 L'
D' L B D2 R' F2 L'
U2 L B D' L' R2 F
U2 L B D' L' F R2
U2 L B D' R2 L' F
D' L B' L U2 B2 D
D' L B' L U2 B2 D'
D' L B' L U2 B2 D2
D' L B' L D2 F2 U2
D' L B' L F U2 B2
D' L B' L F' U2 B2
D' L B' L F2 U2 B2
F' L B' R U B2 L
D' L B' U2 R B2 R'
D' L B' U2 R' B2 R'
D' L B' U2 R2 B2 R'
D' L B' U2 B2 R' D
D' L B' U2 B2 R' D'
D' L B' U2 B2 R' D2
D' L B' U2 B2 D R'
D' L B' U2 B2 D' R'
D' L B' U2 B2 D2 R'
D' L B' D2 L F2 U2
D' L B' D2 F2 L U2
D' L B' F L U2 B2
D' L B' F U2 B2 R'
D' L B' F' L U2 B2
D' L B' F' U2 B2 R'
D' L B' F2 L U2 B2
D' L B' F2 U2 B2 R'
B' L' U' F L' U' B2
F L' U' F U' F' B
F L' U' F U' B F'
D' L' U2 F B R' D
D' L' U2 F B R' D'
D' L' U2 F B R' D2
D' L' U2 F B D R'
D' L' U2 F B D' R'
D' L' U2 F B D2 R'
D' L' U2 F' B R' F2
D' L' U2 B R F R2
D' L' U2 B R' D F
D' L' U2 B R' D' F
D' L' U2 B R' D2 F
D' L' U2 B R' F D
D' L' U2 B R' F D'
D' L' U2 B R' F D2
D' L' U2 B D R' F
D' L' U2 B D F R'
D' L' U2 B D' R' F
D' L' U2 B D' F R'
D' L' U2 B D2 R' F
D' L' U2 B D2 F R'
D' L' U2 B F R' D
D' L' U2 B F R' D'
D' L' U2 B F R' D2
D' L' U2 B F D R'
D' L' U2 B F D' R'
D' L' U2 B F D2 R'
D' L' U2 B F' R' F2
D L' U2 F' B R F'
D L' U2 B R F' R
U L' U2 F L' U' B
D L' U2 B F' R F'
U' L' F L' U' D B
U' L' F L' U' D' B
U' L' F L' U' D2 B
U' L' F L' U' B D
U' L' F L' U' B D'
U' L' F L' U' B D2
U' L' F L' D U' B
U' L' F L' D' U' B
U' L' F L' D2 U' B
U2 L' F L' U' L2 B
U2 L' F L' U' B L2
U' L' F D L' U' B
U' L' F D' L' U' B
U' L' F D2 L' U' B
D' L' F' U2 F2 B R'
D' L' F' U2 B R' F2
D' L' F' U2 B F2 R'
D' L' F' B R' F2 L'
D L' F' U2 B R F'
D' L' F2 U2 F' B R'
D' L' F2 U2 B F' R'
D' L' B R' F2 L' F'
D' L' B F' R' F2 L'
D' L' B' U2 F B2 R'
D' L' B' U2 B2 R' F
D' L' B' U2 B2 F R'
D' L' B2 U2 F R B'
D' L' B2 U2 F B' R
D' L' B2 U2 B' F R
D' L2 U2 F B R' F'
D' L2 U2 F' B R' F'
D' L2 U2 F2 B R' F'
D' L2 U2 B R' D F'
D' L2 U2 B R' D' F'
D' L2 U2 B R' D2 F'
D' L2 U2 B R' F' D
D' L2 U2 B R' F' D'
D' L2 U2 B R' F' D2
D' L2 U2 B D R' F'
D' L2 U2 B D' R' F'
D' L2 U2 B D2 R' F'
D' L2 U2 B F R' F'
D' L2 U2 B F' R' F'
D' L2 U2 B F2 R' F'
D L2 U2 F' B R F'
D L2 U2 B R F' R
D L2 U2 B F' R F'
D' L2 F U2 B R' F'
D' L2 F' U2 B R' F'
D L2 F' U2 B R F'
D' L2 F2 U2 B R' F'
D' L2 B' L U2 F B2
D' L2 B' L U2 B2 F
D' L2 B' U2 B2 R' F'
L U' L2 F L' U' B
L' U' F L' U' D B
L' U' F L' U' D' B
L' U' F L' U' D2 B
L' U' F L' U' B D
L' U' F L' U' B D'
L' U' F L' U' B D2
L' U' F L' D U' B
L' U' F L' D' U' B
L' U' F L' D2 U' B
L2 U' F L' U' B R
L' U' F D L' U' B
L' U' F D' L' U' B
L' U' F D2 L' U' B
U2 R' D R F' B R
U2 R' D R B F' R
U2 R' D F' R F' B
U2 R' D F' R B F'
B R' D F' R F' L'
L' U2 F L' U' L B
L' U2 B U F L' U'
U2 R2 D R F' R B
R' D R U2 F' B R
R' D R U2 B F' R
F' U L B' R U B2
D' U L' U F B R'
D' U L' U B R' F
D' U L' U B F R'
F2 U L B' U F B2
F2 U L B' U B2 F
R' D F' R F' L' B
R' D F' R F' B L'
R' D F' R B F' L'
U2 D R F' R' B R2
U' D F' U' B R F'
U2 D F' B R D F'
U2 D F' B R D' F'
U2 D F' B R D2 F'
U2 D F' B R F' D
U2 D F' B R F' D'
U2 D F' B R F' D2
U2 D F' B' R F' B2
U2 D F' B' R B2 F'
U2 D F' B2 R F' B'
U2 D F' B2 R B' F'
D2 U B R' B U B'
U2 D B R F' R D
U2 D B R F' R D'
U2 D B R F' R D2
U2 D B R F' D R
U2 D B R F' D' R
U2 D B R F' D2 R
U2 D B F' R D F'
U2 D B F' R D' F'
U2 D B F' R D2 F'
U2 D B F' R F' D
U2 D B F' R F' D'
U2 D B F' R F' D2
U2 D B' R F' R B2
U2 D B' R F' B2 R
U2 D B' R B2 F' R
U2 D B' F' R F' B2
U2 D B' F' R B2 F'
U2 D B2 R F' R B'
U2 D B2 R F' B' R
U2 D B2 R B' F' R
U2 D B2 F' R F' B'
U2 D B2 F' R B' F'
U' D' L' U' F B R'
D' U' L' U' F B R'
U' D' L' U' B R' F
U' D' L' U' B F R'
D' U' L' U' B R' F
D' U' L' U' B F R'
U2 D' L' F L B R'
U D' L' U F B R'
U D' L' U B R' F
U D' L' U B F R'
B' U' L' F L' U' B2
F U' L' D F U' B
F U' L' D' F U' B
F U' L' D2 F U' B
F U' L' F U' D B
F U' L' F U' D' B
F U' L' F U' D2 B
F U' L' F U' B D
F U' L' F U' B D'
F U' L' F U' B D2
F U' L' F D U' B
F U' L' F D' U' B
F U' L' F D2 U' B
D U' F' U' B R F'
U2 D' B L' R' F L
U2 D' B L' F L R'
U2 D' B L' F R' L
U2 D' B R' L' F L
U2 D' B R2 D2 R F'
U2 D' B D2 R F' R2
F U' D' L' U' B R'
B' U' F L' F U' B2
F' U' F2 L' F U' B
D' U2 L' F L B R'
D U2 R F' R' B R2
F U2 L' F U' L B
D' U2 B L' R' F L
D' U2 B L' F L R'
D' U2 B L' F R' L
D U2 F' B R D F'
D U2 F' B R D' F'
D U2 F' B R D2 F'
D U2 F' B R F' D
D U2 F' B R F' D'
D U2 F' B R F' D2
D U2 F' B' R F' B2
D U2 F' B' R B2 F'
D' U2 B R' L' F L
D U2 F' B2 R F' B'
D U2 F' B2 R B' F'
D' U2 B R2 D2 R F'
D2 U2 B U' R' B U
D' U2 B D2 R F' R2
U2 D2 B U' R' B U
D U2 B R F' R D
D U2 B R F' R D'
D U2 B R F' R D2
D U2 B R F' D R
D U2 B R F' D' R
D U2 B R F' D2 R
U D2 B R' B U B'
D U2 B F' R D F'
D U2 B F' R D' F'
D U2 B F' R D2 F'
D U2 B F' R F' D
D U2 B F' R F' D'
D U2 B F' R F' D2
D U2 B' R F' R B2
D U2 B' R F' B2 R
D U2 B' R B2 F' R
B2 U2 D R F' R B'
B2 U2 D R F' B' R
B2 U2 D R B' F' R
B2 U2 D F' R F' B'
B2 U2 D F' R B' F'
B2 U2 D F' B' R F'
B2 U2 D B' R F' R
B2 U2 D B' F' R F'
D U2 B' F' R F' B2
D U2 B' F' R B2 F'
D U2 B2 R F' R B'
D U2 B2 R F' B' R
D U2 B2 R B' F' R
F' U2 D' B R' D' F2
D' F L B' L U2 B2
D' F L B' U2 B2 R'
D U2 B2 F' R F' B'
D U2 B2 F' R B' F'
U' F L' D F U' B
D' F L' U2 F B R'
D' F L' U2 B R' F
D' F L' U2 B F R'
U' F L' D' F U' B
U' F L' D2 F U' B
U' F L' F U' D B
U' F L' F U' D' B
U' F L' F U' D2 B
U' F L' F U' B D
U' F L' F U' B D'
U' F L' F U' B D2
U' F L' F D U' B
U' F L' F D' U' B
U' F L' F D2 U' B
U2 F L' F U' L B
D' F L2 U2 B R' F'
B2 U2 B' D R F' R
B2 U2 B' D F' R F'
F U2 B U L' F U'
U2 F U L' F U' B
B' U2 B2 D R F' R
B' U2 B2 D F' R F'
U' F D' L' U' B R'
D F U2 F2 B R F'
D F U2 B F2 R F'
D' F B R' F2 L' F
D F D2 L' U2 F B
D F D2 L' U2 B F
B D R F' R D2 L2
D' F B' L B' U2 B'
U2 F B U L' F U'
D' F' L B' L U2 B2
D' F' L B' U2 B2 R'
B2 D U2 R F' R B'
B2 D U2 R F' B' R
B2 D U2 R B' F' R
D' F' L' U2 F B R'
