B2 L U' R2 B' U
B2 L U' B' R2 U
B D' F2 B L R'
B D' F2 B R' L
B D' B L R' F2
B D' B L F2 R'
B D' B R' L F2
B D' B R' F2 L
B D' B F2 L R'
B D' B F2 R' L
B D' B F2 R' L
L B' R2 U B' L
B2 L R U' R B' U
B2 L R U' B' R U
R' L U R' B' U B'
B2 L R' U' R' B' U
B2 L U D2 L2 F U'
B2 L U' R B' R U
B2 L U' R2 D B' U
B2 L U' R2 D' B' U
B2 L U' R2 D2 B' U
B2 L U' R2 B' U D
B2 L U' R2 B' U D'
B2 L U' R2 B' U D2
B2 L U' R2 B' D U
B2 L U' R2 B' D' U
B2 L U' R2 B' D2 U
B2 L U' D' B' U F2
B2 L U' B R2 B2 U
B2 L U' B' R2 U D
B2 L U' B' R2 U D'
B2 L U' B' R2 U D2
B2 L U' B' R2 D U
B2 L U' B' R2 D' U
B2 L U' B' R2 D2 U
B2 L U' B' U D' F2
B2 L U' B' D' U F2
B2 L D' U' B' U F2
B2 L D' F2 U' B' U
B2 L D2 U L2 F U'
R2 L F2 B' U B' L'
B2 L F U' R2 B' U
B2 L F U' B' R2 U
B2 L F' U' R2 B' U
B2 L F' U' B' R2 U
R2 L B' U' R U2 B'
R2 L B' F2 U B' L'
B2 L F2 U' R2 B' U
B2 L F2 U' B' R2 U
B L B L D' R2 F2
B L B L D' F2 R2
B2 L B D' R2 F2 B'
B2 L B D' R2 B' F2
B2 L B D' F2 R2 B'
B2 L B D' F2 B' R2
B2 L B D' B' R2 F2
B2 L B D' B' F2 R2
L R' U R' B' U B'
B L B D' L R2 F2
B L B D' L F2 R2
B L B D' R2 L F2
B L B D' R2 F2 L
B L B D' F2 L R2
B L B D' F2 R2 L
F' L B' R2 U B' L
F2 L B' R2 U B' L
U' L B' R2 U B' L
U2 L B' R2 U B' L
F L B' R2 U B' L
U L B' R2 U B' L
L R2 F2 B' U B' L'
L R2 B' U' R U2 B'
L R2 B' F2 U B' L'
R' U L R' B' U B'
R' U R' L B' U B'
B2 R L U' R B' U
B2 R L U' B' R U
L U B' R2 U B' L
B2 R' L U' R' B' U
L U' B' R2 U B' L
L U2 B' R2 U B' L
D' R2 B U' F2 L' R'
D' R2 B U' F2 R' L'
L' D' R2 F U' F L'
R' D2 F2 U R' B U
L' F U' B2 L D' F2
L' F U' B2 D' L F2
L' F U' B2 D' F2 L
B2 D L F D2 F2 R
B2 D L F' R D2 F2
B2 D L F' D2 R F2
L' F D' R2 U' F2 L'
L F B' R2 U B' L
B2 D F L D2 R2 F2
B2 D F L D2 F2 R2
B2 D F D2 F2 L R
B2 D F D2 F2 R L
B2 D F' L R D2 F2
B2 D F' L D2 R F2
B2 D F' R L D2 F2
B2 D F' R D2 L F2
B2 D F' R D2 F2 L
B2 D F' D2 L R F2
B2 D F' D2 R L F2
B2 D F' D2 R F2 L
B D B L R2 F' R
B D B R2 L F' R
B D B R2 F' L R
B D B R2 F' R L
B2 D' L F' D2 F' R
B2 D' L F2 B R' B'
B2 D' L B R' F2 B'
B2 D' L B R' B' F2
B2 D' L B F2 R' B'
B D' L F2 B L R'
B D' L F2 B R' L
B D' L B L R' F2
B D' L B L F2 R'
B D' L B R' L F2
B D' L B R' F2 L
B D' L B F2 L R'
B D' L B F2 R' L
B D' L' F2 B L R'
B D' L' F2 B R' L
B D' L' B L R' F2
B D' L' B L F2 R'
B D' L' B R' L F2
B D' L' B R' F2 L
B D' L' B F2 L R'
B D' L' B F2 R' L
B D' L2 F2 B L R'
B D' L2 F2 B R' L
B D' L2 B L R' F2
B D' L2 B L F2 R'
B D' L2 B R' L F2
B D' L2 B R' F2 L
B D' L2 B F2 L R'
B D' L2 B F2 R' L
L F' B' R2 U B' L
R2 F2 L B' U B' L2
B2 D' F' L D2 F' R
B2 D' F' D2 L F' R
B2 D' F' D2 F' L R
B2 D' F' D2 F' R L
B D' F B R' F L
B2 D' F2 L B R' B'
B D' F' B L F' R'
B2 D' F2 B R' B' L
B D' F2 L B L R'
B D' F2 L B R' L
B D' F2 L' B L R'
B D' F2 L' B R' L
B D' F2 L2 B L R'
B D' F2 L2 B R' L
B2 D' B R' F2 B' L
B2 D' B R' B' L F2
B2 D' B R' B' F2 L
B D' F2 B L R' D
B D' F2 B L R' D'
B D' F2 B L R' D2
B D' F2 B L D R'
B D' F2 B L D' R'
B D' F2 B L D2 R'
B D' F2 B R' L D
B D' F2 B R' L D'
B D' F2 B R' L D2
B D' F2 B R' D L
B D' F2 B R' D' L
B D' F2 B R' D2 L
B D' F2 B D L R'
B D' F2 B D R' L
B D' F2 B D' L R'
B D' F2 B D' R' L
B D' F2 B D2 L R'
B D' F2 B D2 R' L
B2 D' B F2 R' B' L
B D' B L R F2 R2
B D' B L R' F2 D
B D' B L R' F2 D'
B D' B L R' F2 D2
B D' B L F R' F
B D' B L F2 R' D
B D' B L F2 R' D'
B D' B L F2 R' D2
B D' B L F2 D R'
B D' B L F2 D' R'
B D' B L F2 D2 R'
B D' B L' R' F2 L2
B D' B L' F2 L2 R'
B D' B L' F2 R' L2
B D' B R L F2 R2
B D' B R F2 L R2
B D' B R F2 R2 L
B D' B R' L F2 D
B D' B R' L F2 D'
B D' B R' L F2 D2
B D' B R' L' F2 L2
B D' B R' F' L F'
B D' B R' F2 L D
B D' B R' F2 L D'
B D' B R' F2 L D2
B D' B R' F2 D L
B D' B R' F2 D' L
B D' B R' F2 D2 L
B D' B F R' F L
B D' B F' L F' R'
B D' B F2 L R' D
B D' B F2 L R' D'
B D' B F2 L R' D2
B D' B F2 L D R'
B D' B F2 L D' R'
B D' B F2 L D2 R'
B D' B F2 R' L D
B D' B F2 R' L D'
B D' B F2 R' L D2
B D' B F2 R' D L
B D' B F2 R' D' L
B D' B F2 R' D2 L
B D' B F2 D L R'
B D' B F2 D R' L
B D' B F2 D' L R'
B D' B F2 D' R' L
B D' B F2 D2 L R'
B D' B F2 D2 R' L
L F2 B' R2 U B' L
B2 F L U' R2 B' U
B2 F L U' B' R2 U
U' B D' F2 B L R'
U' B D' F2 B R' L
U' B D' B L R' F2
U' B D' B L F2 R'
U' B D' B R' L F2
U' B D' B R' F2 L
U' B D' B F2 L R'
U' B D' B F2 R' L
U2 B D' F2 B L R'
U2 B D' F2 B R' L
U2 B D' B L R' F2
U2 B D' B L F2 R'
U2 B D' B R' L F2
U2 B D' B R' F2 L
U2 B D' B F2 L R'
U2 B D' B F2 R' L
U B D' F2 B L R'
U B D' F2 B R' L
L B D' F2 B L R2
L B D' F2 B R2 L
U B D' B L R' F2
U B D' B L F2 R'
L B D' B L R2 F2
L B D' B L F2 R2
U B D' B R' L F2
U B D' B R' F2 L
L B D' B R2 L F2
L B D' B R2 F2 L
U B D' B F2 L R'
U B D' B F2 R' L
L B D' B F2 L R2
L B D' B F2 R2 L
F' B D' F2 B L R'
F' B D' F2 B R' L
F' B D' B L R' F2
F' B D' B L F2 R'
F' B D' B R' L F2
F' B D' B R' F2 L
F' B D' B F2 L R'
F' B D' B F2 R' L
F2 B D' F2 B L R'
F2 B D' F2 B R' L
F2 B D' B L R' F2
F2 B D' B L F2 R'
F2 B D' B R' L F2
F2 B D' B R' F2 L
F2 B D' B F2 L R'
F2 B D' B F2 R' L
B F D' F2 B L R'
B F D' F2 B R' L
B F D' B L R' F2
B F D' B L F2 R'
B F D' B R' L F2
B F D' B R' F2 L
B F D' B F2 L R'
B F D' B F2 R' L
B2 F' L U' R2 B' U
F B D' F2 B L R'
F B D' F2 B R' L
F B D' B L R' F2
F B D' B L F2 R'
B2 F' L U' B' R2 U
F B D' B R' L F2
F B D' B R' F2 L
F B D' B F2 L R'
F B D' B F2 R' L
L2 B' R2 U B' L R'
L2 B' R2 U B' R' L
L B' R2 U B' L D
L B' R2 U B' L D'
L B' R2 U B' L D2
L B' R2 U B' D L
L B' R2 U B' D' L
L B' R2 U B' D2 L
L B' R2 F U B' L
L B' R2 F' U B' L
L B' R2 F2 U B' L
L B' U B' L D' F2
L B' U B' D' L F2
L B' U B' D' F2 L
U' B2 L U' R2 B' U
U' B2 L U' B' R2 U
L B' F R2 U B' L
L B' F' R2 U B' L
U2 B2 L U' R2 B' U
U2 B2 L U' B' R2 U
L B' F2 R2 U B' L
L B2 L U' B R2 U
U B2 L U' R2 B' U
U B2 L U' B' R2 U
B F' D' F2 B L R'
B F' D' F2 B R' L
B F' D' B L R' F2
B F' D' B L F2 R'
B F' D' B R' L F2
B F' D' B R' F2 L
B F' D' B F2 L R'
B F' D' B F2 R' L
F' B2 L U' R2 B' U
F' B2 L U' B' R2 U
B2 F2 L U' R2 B' U
B2 F2 L U' B' R2 U
F2 B2 L U' R2 B' U
F2 B2 L U' B' R2 U
F B2 L U' R2 B' U
F B2 L U' B' R2 U
B F2 D' F2 B L R'
B F2 D' F2 B R' L
B F2 D' B L R' F2
B F2 D' B L F2 R'
B F2 D' B R' L F2
B F2 D' B R' F2 L
B F2 D' B F2 L R'
B F2 D' B F2 R' L
