L R U' F B R'
L R U' B R' F
L R U' B F R'
R L U' F B R'
R L U' B R' F
R L U' B F R'
F' L R U' F B R'
F' L R U' B R' F
F' L R U' B F R'
F2 L R U' F B R'
F2 L R U' B R' F
F2 L R U' B F R'
F L R U' F B R'
F L R U' B R' F
F L R U' B F R'
D' L R F' U' F2 B
D' L R F' U' B F2
L' R U B' L U2 B2
L' R U B' U2 B2 R'
R' L U' R2 F B R'
R' L U' R2 B R' F
R' L U' R2 B F R'
R2 L U' R' F B R'
R2 L U' R' B R' F
R2 L U' R' B F R'
L' R U' B R' D2 F2
R2 L U' F R' B R'
L' R U' B D2 R' F2
L' R U' B D2 F2 R'
R2 L U' F B R' B
L R U' F B R' D
L R U' F B R' D'
L R U' F B R' D2
L R U' F B D R'
L R U' F B D' R'
L R U' F B D2 R'
L R U' F' B R' F2
R2 L U' B R' F B
R2 L U' B R' B F
L R U' B R F R2
L R U' B R' D F
L R U' B R' D' F
L R U' B R' D2 F
L R U' B R' F D
L R U' B R' F D'
L R U' B R' F D2
R2 L U' B F R' B
L R U' B D R' F
L R U' B D F R'
R L U' F B R' D
R L U' F B R' D'
R L U' F B R' D2
R L U' F B D R'
L R U' B D' R' F
R L U' F B D' R'
R L U' F B D2 R'
L R U' B D' F R'
L R U' B D2 R' F
L R U' B D2 F R'
L R U' B F R' D
L R U' B F R' D'
L R U' B F R' D2
L R U' B F D R'
L R U' B F D' R'
L R U' B F D2 R'
L R U' B F' R' F2
R L U' F' B R' F2
R L U' B R F R2
R L U' B R' D F
R L U' B R' D' F
R L U' B R' D2 F
R L U' B R' F D
R L U' B R' F D'
R L U' B R' F D2
R L U' B D R' F
R L U' B D F R'
R L U' B D' R' F
R L U' B D' F R'
R L U' B D2 R' F
R L U' B D2 F R'
R L U' B F R' D
R L U' B F R' D'
R L U' B F R' D2
R L U' B F D R'
R L U' B F D' R'
R L U' B F D2 R'
R L U' B F' R' F2
L R F' U' F2 B R'
L R F' U' B R' F2
L R F' U' B F2 R'
R L F' U' F2 B R'
R L F' U' B R' F2
R L F' U' B F2 R'
L R F2 U' F' B R'
L R F2 U' B F' R'
R L F2 U' F' B R'
R L F2 U' B F' R'
L' R' U F' B' L U2
R' L' U F' B' L U2
L' R' U B' L F' U2
R' L' U B' L F' U2
L' R' U B' F' L U2
R' L' U B' F' L U2
R L' U B' L U2 B2
R L' U B' U2 B2 R'
L R' U' R2 F B R'
L R' U' R2 B R' F
L R' U' R2 B F R'
R L' U' B R' D2 F2
R L' U' B D2 R' F2
R L' U' B D2 F2 R'
L R2 U' R' F B R'
L R2 U' R' B R' F
L R2 U' R' B F R'
L R2 U' F R' B R'
L R2 U' F B R' B
L R2 U' B R' F B
L R2 U' B R' B F
L R2 U' B F R' B
F' R L U' F B R'
F' R L U' B R' F
F' R L U' B F R'
F2 R L U' F B R'
F2 R L U' B R' F
F2 R L U' B F R'
D' R L F' U' F2 B
D' R L F' U' B F2
F R L U' F B R'
F R L U' B R' F
F R L U' B F R'
D' R F' L U' F B
D' R F' L U' B F
R U' F B R' D' F2
R U' B F R' D' F2
R2 U2 R' U F' B R'
R2 U2 R' U B F' R'
L D' R F' U' F2 B
L D' R F' U' B F2
L2 D2 R U' F' B R
L2 D2 R U' B F' R
R F L U' F B R'
R F L U' B R' F
R F L U' B F R'
R F' L U' F B R'
R F' L U' B R' F
R F' L U' B F R'
L F' R U' F2 B R'
L F' R U' B R' F2
L F' R U' B F2 R'
R F2 L U' F B R'
R F2 L U' B R' F
R F2 L U' B F R'
