U' L2 R F U'
U' R L2 F U'
L2 R F U R' U2
L2 R F B2 U' L
L2 R B2 F U' L
U' L2 R D F U'
U' L2 R D' F U'
U' L2 R D2 F U'
U' L2 R F U' D
U' L2 R F U' D'
U' L2 R F U' D2
U' L2 R F D U'
U' L2 R F D' U'
U' L2 R F D2 U'
U2 L2 R F U' L2
U' L2 R' F R2 U'
U' L2 R2 F R' U'
R L2 F U R' U2
R L2 F B2 U' L
U' L2 D R F U'
U' L2 D' R F U'
R L2 B2 F U' L
U' L2 D2 R F U'
U' R L2 D F U'
U' R L2 D' F U'
U' R L2 D2 F U'
U' R L2 F U' D
U' R L2 F U' D'
U' R L2 F U' D2
U' R L2 F D U'
U' R L2 F D' U'
U' R L2 F D2 U'
U2 R L2 F U' L2
L' U' L' R F U'
U' R F L2 F U'
L' U' R L' F U'
U' R F' L2 F U'
U' R F2 L2 F U'
L2 U' R F U' F'
U' R' L2 F R2 U'
U' R2 L2 F R' U'
B' U2 L2 R U' L2
B' U2 R L2 U' L2
U' F' L2 F R U'
U B' U2 L2 R U'
U B' U2 R L2 U'
U' L R D L F U'
U' L R D' L F U'
U' L R D2 L F U'
L2 R U R' U' F U'
U' L R F L F U'
U' L R F' L F U'
U' L R F2 L F U'
L2 R D F U R' U2
L2 R D F B2 U' L
L2 R D B2 F U' L
B' L U2 L R U' L'
B' L U2 R L U' L'
L2 R D' F U R' U2
L2 R D' F B2 U' L
L2 R D' B2 F U' L
U' L D L R F U'
L2 R D2 F U R' U2
L2 R D2 F B2 U' L
U' L D R L F U'
L2 R D2 B2 F U' L
L2 R F U R' U2 D
L2 R F U R' U2 D'
L2 R F U R' U2 D2
L2 R F U R' D U2
L2 R F U R' D' U2
L2 R F U R' D2 U2
L2 R F U D R' U2
L2 R F U D' R' U2
L2 R F U D2 R' U2
U' L D' L R F U'
L2 R F U' B2 L B2
L2 R F D U R' U2
U' L D' R L F U'
L2 R F D B2 U' L
L2 R F D' U R' U2
L2 R F D' B2 U' L
L2 R F D2 U R' U2
L2 R F D2 B2 U' L
L2 R F B2 U' L D
L2 R F B2 U' L D'
L2 R F B2 U' L D2
L2 R F B2 U' D L
L2 R F B2 U' D' L
L2 R F B2 U' D2 L
L2 R F B2 D U' L
L2 R F B2 D' U' L
L2 R F B2 D2 U' L
U' L D2 L R F U'
U' L D2 R L F U'
U' L F' L F R U'
L2 R B' D2 F U' L'
L' R B2 L' F U' L2
L2 R B2 D F U' L
L2 R B2 D' F U' L
L2 R B2 D2 F U' L
L2 R B2 F U' L D
L2 R B2 F U' L D'
L2 R B2 F U' L D2
L2 R B2 F U' D L
L2 R B2 F U' D' L
L2 R B2 F U' D2 L
L2 R B2 F D U' L
L2 R B2 F D' U' L
L2 R B2 F D2 U' L
B' L' U2 L' R U' L
F2 L' U2 L' F U' L
B' L' U2 R L' U' L
U L' U2 L' R F U'
U L' U2 R L' F U'
U' L' D2 L' R F' U'
U' L' D2 R L' F' U'
R L' B2 L' F U' L2
R L2 U R' U' F U'
L2 R2 D R' F B2 U'
R2 L2 D R' F B2 U'
L2 R2 D R' B2 F U'
R2 L2 D R' B2 F U'
L2 R2 D F R' B2 U'
R2 L2 D F R' B2 U'
R L2 D F U R' U2
R L2 D F B2 U' L
R L2 D B2 F U' L
B' L2 R U R' U2 R
R L2 D' F U R' U2
R L2 D' F B2 U' L
U' L2 R D F U' D
U' L2 R D F U' D'
U' L2 R D F U' D2
U' L2 R D F D U'
U' L2 R D F D' U'
U' L2 R D F D2 U'
U' L2 R D' F U' D
U' L2 R D' F U' D'
U' L2 R D' F U' D2
U' L2 R D' F D U'
U' L2 R D' F D' U'
U' L2 R D' F D2 U'
U' L2 R D2 F U' D
U' L2 R D2 F U' D'
U' L2 R D2 F U' D2
U' L2 R D2 F D U'
U' L2 R D2 F D' U'
U' L2 R D2 F D2 U'
R L2 D' B2 F U' L
L2 R2 D2 R' F U' L2
U2 L2 R D' F B2 U'
B L2 R U2 B2 U L
U2 L2 R D' B2 F U'
R2 L2 D2 R' F U' L2
U' L2 R F' U' D R2
U' L2 R F' D U' R2
U' L2 R F2 D F' U'
U2 L2 R F U' L2 D
U2 L2 R F U' L2 D'
U2 L2 R F U' L2 D2
U' L2 R F2 D' F' U'
U' L2 R F2 D2 F' U'
U2 L2 R F D' B2 U'
U2 L2 R F B U' L2
U2 L2 R F B' U' L2
U2 L2 R F B2 U' L2
L2 R2 D2 F R' U' L2
R2 L2 D2 F R' U' L2
U2 L2 R B F U' L2
U2 L2 R B' F U' L2
U L2 R F U2 F' U
U2 L2 R B2 F U' L2
R L2 D2 F U R' U2
R L2 D2 F B2 U' L
U' L2 R' D F U' B2
U' L2 R' F R2 U' D
U' L2 R' F R2 U' D'
U' L2 R' F R2 U' D2
U' L2 R' F R2 D U'
U' L2 R' F R2 D' U'
U' L2 R' F R2 D2 U'
U' L2 R' F U' D B2
U' L2 R' F D U' B2
U' L2 R' F' R2 F2 U'
R L2 D2 B2 F U' L
L2 R2 F R' U R' U2
U2 L2 R' F R2 U' L2
L2 R2 F R' B2 U' L
R2 L2 F R' U R' U2
R2 L2 F R' B2 U' L
U L2 R' F R2 B U'
L2 R2 F D R' B2 U'
R2 L2 F D R' B2 U'
R L2 F U R' U2 D
R L2 F U R' U2 D'
R L2 F U R' U2 D2
R L2 F U R' D U2
R L2 F U R' D' U2
R L2 F U R' D2 U2
R L2 F U D R' U2
R L2 F U D' R' U2
R L2 F U D2 R' U2
U' L2 R2 D R' F U'
U' L2 R2 D F R' U'
L2 R2 F D2 R' U' L2
U' L2 R2 D' R' F U'
R L2 F U' B2 L B2
U' L2 R2 D' F R' U'
R2 L2 F D2 R' U' L2
U' L2 R2 D2 R' F U'
U' L2 R2 D2 F R' U'
R L2 F D U R' U2
U' L2 R2 F R' U' D
U' L2 R2 F R' U' D'
U' L2 R2 F R' U' D2
U' L2 R2 F R' D U'
U' L2 R2 F R' D' U'
U' L2 R2 F R' D2 U'
U' L2 R2 F D R' U'
U' L2 R2 F D' R' U'
U' L2 R2 F D2 R' U'
R L2 F D B2 U' L
R L2 F D' U R' U2
U' L2 R2 F' R' F2 U'
R L2 F D' B2 U' L
R L2 F D2 U R' U2
U2 L2 R2 F R' U' L2
R L2 F D2 B2 U' L
R L2 F B2 U' L D
R L2 F B2 U' L D'
R L2 F B2 U' L D2
R L2 F B2 U' D L
R L2 F B2 U' D' L
R L2 F B2 U' D2 L
R L2 F B2 D U' L
R L2 F B2 D' U' L
R L2 F B2 D2 U' L
D L2 U' R F U' F
U' L2 D R D F U'
U' L2 D R D' F U'
U' L2 D R D2 F U'
U' L2 D R F U' D
U' L2 D R F U' D'
U' L2 D R F U' D2
U' L2 D R F D U'
U' L2 D R F D' U'
U' L2 D R F D2 U'
U' L2 D R' F R2 U'
U' L2 D R2 F R' U'
R L2 B' D2 F U' L'
U' L2 D' R D F U'
U' L2 D' R D' F U'
U' L2 D' R D2 F U'
U' L2 D' R F U' D
U' L2 D' R F U' D'
U' L2 D' R F U' D2
U' L2 D' R F D U'
U' L2 D' R F D' U'
U' L2 D' R F D2 U'
U' L2 D' R' F R2 U'
U' L2 D' R2 F R' U'
U2 L2 D' R F B2 U'
U2 L2 D' R B2 F U'
R L2 B2 D F U' L
R L2 B2 D' F U' L
R L2 B2 D2 F U' L
R L2 B2 F U' L D
R L2 B2 F U' L D'
R L2 B2 F U' L D2
R L2 B2 F U' D L
R L2 B2 F U' D' L
R L2 B2 F U' D2 L
R L2 B2 F D U' L
R L2 B2 F D' U' L
R L2 B2 F D2 U' L
U2 L2 D' B2 R F U'
U' L2 D2 R D F U'
U' L2 D2 R D' F U'
U' L2 D2 R D2 F U'
U' L2 D2 R F U' D
U' L2 D2 R F U' D'
U' L2 D2 R F U' D2
U' L2 D2 R F D U'
U' L2 D2 R F D' U'
U' L2 D2 R F D2 U'
U' L2 D2 R' F R2 U'
U' L2 D2 R2 F R' U'
F' L2 F R U R' U2
F' L2 F R B2 U' L
U' L2 F D R' U' B
F2 L2 F U2 L U L'
F L2 F U2 L' U L
U' L2 B R F B' U'
U' L2 B R B' F U'
R U R' U' L2 F U'
U2 L2 B R F U' L2
U2 L2 B' R F U' L2
U' L2 B2 R F B2 U'
U' L2 B2 R B2 F U'
D' L2 B2 U' R F U'
U2 L2 B2 R F U' L2
U' R L D L F U'
U' R L D' L F U'
U' R L D2 L F U'
U' R L F L F U'
U' R L F' L F U'
U' R L F2 L F U'
B' R L2 U R' U2 R
U' R L2 D F U' D
U' R L2 D F U' D'
U' R L2 D F U' D2
U' R L2 D F D U'
U' R L2 D F D' U'
U' R L2 D F D2 U'
U' R L2 D' F U' D
U' R L2 D' F U' D'
U' R L2 D' F U' D2
U' R L2 D' F D U'
U' R L2 D' F D' U'
U' R L2 D' F D2 U'
U' R L2 D2 F U' D
U' R L2 D2 F U' D'
U' R L2 D2 F U' D2
U' R L2 D2 F D U'
U' R L2 D2 F D' U'
U' R L2 D2 F D2 U'
U' R L2 F' U' D R2
U' R L2 F' D U' R2
U2 R L2 D' F B2 U'
U2 R L2 D' B2 F U'
U' R L2 F2 D F' U'
U' R L2 F2 D' F' U'
U' R L2 F2 D2 F' U'
B R L2 U2 B2 U L
U2 R L2 F U' L2 D
U2 R L2 F U' L2 D'
U2 R L2 F U' L2 D2
U2 R L2 F D' B2 U'
U2 R L2 F B U' L2
U2 R L2 F B' U' L2
U2 R L2 F B2 U' L2
U2 R L2 B F U' L2
U2 R L2 B' F U' L2
U2 R L2 B2 F U' L2
U R L2 F U2 F' U
U' R U2 D B' U F2
U' R U2 D2 R2 B' U
U' R U2 D2 B' R2 U
U' R U2 B' U D F2
U' R U2 B' U2 L2 U'
U' R U2 B' D U F2
U' R U2 B' D2 R2 U
U' R D L2 F U' F
U' R D U2 B' U F2
L U' L R F U' R
L' U' L' R D F U'
L' U' L' R D' F U'
L' U' L' R D2 F U'
L' U' L' R F U' D
L' U' L' R F U' D'
L' U' L' R F U' D2
L' U' L' R F D U'
L' U' L' R F D' U'
L' U' L' R F D2 U'
L' U' L' R' F R2 U'
U' R D2 U2 R2 B' U
U' R D2 U2 B' R2 U
L' U' L' R2 F R' U'
L' U' L' D R F U'
L' U' L' D' R F U'
L' U' L' D2 R F U'
U' R F L2 D F U'
U' R F L2 D' F U'
U' R F L2 D2 F U'
U' R F L2 F U' D
U' R F L2 F U' D'
U' R F L2 F U' D2
U' R F L2 F D U'
U' R F L2 F D' U'
U' R F L2 F D2 U'
U2 R F L2 F U' L2
U' R F' L2 D F U'
U' R F' L2 D' F U'
U' R F' L2 D2 F U'
U' R F' L2 F U' D
U' R F' L2 F U' D'
U' R F' L2 F U' D2
U' R F' L2 F D U'
U' R F' L2 F D' U'
U' R F' L2 F D2 U'
U2 R F' L2 F U' L2
L' U' R L' D F U'
L' U' R L' D' F U'
L' U' R L' D2 F U'
L' U' R L' F U' D
L' U' R L' F U' D'
L' U' R L' F U' D2
L' U' R L' F D U'
L' U' R L' F D' U'
L' U' R L' F D2 U'
U R F' L2 F B' U'
U R F' L2 B' F U'
U' R F2 L2 D F U'
U' R F2 L2 D' F U'
U' R F2 L2 D2 F U'
L U' R L F U' R
U' R F2 L2 F U' D
U' R F2 L2 F U' D'
U' R F2 L2 F U' D2
U' R F2 L2 F D U'
U' R F2 L2 F D' U'
U' R F2 L2 F D2 U'
L2 U' R D F U' F'
L2 U' R D' F U' F'
L2 U' R D2 F U' F'
L2 U' R F L U' F'
L2 U' R F L' U' F'
L2 U' R F L2 U' F'
L2 U' R F U' D F'
L2 U' R F U' D' F'
L2 U' R F U' D2 F'
L2 U' R F U' F' D
L2 U' R F U' F' D'
L2 U' R F U' F' D2
L2 U' R F D U' F'
L2 U' R F D' U' F'
L2 U' R F D2 U' F'
U2 R F2 L2 F U' L2
L' U' R' L' F R2 U'
L U' R F L U' R
L' U' R2 L' F R' U'
L2 U' D R F U' F'
L2 U' D' R F U' F'
L' U' D2 L' R F' U'
L' U' D2 R L' F' U'
L2 U' D2 R F U' F'
U' R' L2 D F U' B2
U' R' L2 F R2 U' D
U' R' L2 F R2 U' D'
U' R' L2 F R2 U' D2
U' R' L2 F R2 D U'
U' R' L2 F R2 D' U'
U' R' L2 F R2 D2 U'
U' R' L2 F U' D B2
U' R' L2 F D U' B2
U' R' L2 F' R2 F2 U'
U2 R' L2 F R2 U' L2
B' R' U D F2 L' B2
B' R' U D F2 B2 L'
B' R' U D B2 F2 L'
U2 R' U L2 R2 F U'
U R' L2 F R2 B U'
U2 R' U L2 F R2 U'
U2 R' U R2 L2 F U'
U R' U2 L2 R2 F U'
U R' U2 L2 F R2 U'
U R' U2 R2 L2 F U'
B' R' D U F2 L' B2
B' R' D U F2 B2 L'
B' R' D U B2 F2 L'
U R' D B' U F2 B'
U R' D B' U B' F2
L' U2 L' R F U' L
U' R' F L2 R2 F U'
U' R' F L2 F R2 U'
U R' D2 R2 B' L2 U
U' R' F R2 L2 F U'
U R' D2 B' L2 R2 U
U R' D2 B' R2 L2 U
U' R' F' L2 R2 F U'
U' R' F' L2 F R2 U'
U' R' F' R2 L2 F U'
L' U2 R L' F U' L
U' R' F2 L2 R2 F U'
U' R' F2 L2 F R2 U'
U' R' F2 R2 L2 F U'
U R' B' U D F2 B2
U R' B' U D B2 F2
U R' B' U2 L2 R2 U'
U R' B' U2 R2 L2 U'
U R' B' D U F2 B2
U R' B' D U B2 F2
U R' B' D2 L2 R2 U
U R' B' D2 R2 L2 U
U' R2 L2 D R' F U'
U' R2 L2 D F R' U'
U' R2 L2 D' R' F U'
U' R2 L2 D' F R' U'
U' R2 L2 D2 R' F U'
U' R2 L2 D2 F R' U'
U' R2 L2 F R' U' D
U' R2 L2 F R' U' D'
U' R2 L2 F R' U' D2
U' R2 L2 F R' D U'
U' R2 L2 F R' D' U'
U' R2 L2 F R' D2 U'
U' R2 L2 F D R' U'
U' R2 L2 F D' R' U'
U' R2 L2 F D2 R' U'
U' R2 L2 F' R' F2 U'
U2 R2 L2 F R' U' L2
U2 R2 U L2 R' F U'
U2 R2 U L2 F R' U'
U2 R2 U R' L2 F U'
U R2 U2 L2 R' F U'
U R2 U2 L2 F R' U'
U R2 U2 R' L2 F U'
U' R2 F L2 R' F U'
U' R2 F L2 F R' U'
U' R2 F R' L2 F U'
U' R2 F' L2 R' F U'
U' R2 F' L2 F R' U'
U' R2 F' R' L2 F U'
U' R2 F2 L2 R' F U'
U' R2 F2 L2 F R' U'
U' R2 F2 R' L2 F U'
L2 D R F U R' U2
L2 D R F B2 U' L
L2 D R B2 F U' L
L2 D U' R F U' F'
F2 U L' U2 L' F U'
U' D L2 R F U' F
U' D R L2 F U' F
U' D R U2 B' U F2
U' D R D' L2 F U'
R' D B' U F2 B' L'
R' D B' U B' F2 L'
D2 U R2 B2 L B U
F2 U D B' L' U F2
F2 U D2 R2 B' L' U
F2 U D2 B' L' R2 U
F2 U D2 B' R2 L' U
U2 D F2 U' B' L' U
F U D2 R2 B' L U
D2 U B R2 B2 L U
F U D2 B' L R2 U
F U D2 B' R2 L U
D2 U B' R2 U2 R' U'
L2 D' R F U R' U2
L2 D' R F B2 U' L
D U B' U2 R U' F2
L2 D' R B2 F U' L
U D B' U2 R U' F2
B2 U B U2 L2 R U'
B2 U B U2 R L2 U'
F2 U B' L' U2 L' U'
F2 U B' D L' U F2
F2 U B' D2 L' R2 U
F2 U B' D2 R2 L' U
L2 D' U' R F U' F'
D U' L2 R F U' F
B U B2 U2 L2 R U'
B U B2 U2 R L2 U'
U' D' R D L2 F U'
D' U' R D L2 F U'
D2 U' R U2 R B' U
D2 U' R U2 B' R U
D U' R L2 F U' F
D U' R U2 B' U F2
D U' R D' L2 F U'
B' U' L2 R U L2 U2
B' U' L2 R U' D2 R2
B' U' L2 R D F2 U'
B' U' L2 R D2 U' R2
F' U' L2 R F U' B
B' U' L2 D R F2 U'
B2 U' L2 R2 F' R' U'
B' U' L2 D2 R U' R
F' U' L2 F R U' B
F2 U' L2 F U2 L U
B U' L2 R U' D' R2
B U' L2 R U2 B2 U
B U' L2 R D' U' R2
B U' L2 R D2 F2 U'
B' U' R L2 U L2 U2
B' U' R L2 U' D2 R2
B' U' R L2 D F2 U'
B' U' R L2 D2 U' R2
F' U' R L2 F U' B
B U' L2 D' R U' R
B U' L2 D2 R F2 U'
F U' L2 F U2 L' U
F U' L2 F' R F2 U'
B U' R L2 U' D' R2
B U' R L2 U2 B2 U
B U' R L2 D' U' R2
B U' R L2 D2 F2 U'
B2 U' R2 L2 F' R' U'
B2 U' R2 F' L2 R' U'
B2 U' R2 F' R' L2 U'
B U' D2 R F2 L' U'
F2 U' F L2 F R U'
F2 U' F2 L2 R F U'
F2 U' F2 R L2 F U'
F U' F' L2 R F U'
L2 D2 R F U R' U2
F U' F' R L2 F U'
L2 D2 R F B2 U' L
L2 D2 R B2 F U' L
F U' F2 L2 F R U'
U' D2 R U2 R B' U
U' D2 R U2 B' R U
L' D2 U' L' R F' U'
L' D2 U' R L' F' U'
L2 D2 U' R F U' F'
B' U2 L2 R U' L2 D
B' U2 L2 R U' L2 D'
B' U2 L2 R U' L2 D2
B' U2 L2 R D' B2 U'
B' U2 L2 R B U' L2
B' U2 L2 R B' U' L2
B' U2 L2 R B2 U' L2
B' U2 L2 D' R B2 U'
U D2 R2 B2 L B U
B' U2 L2 D' B2 R U'
B' U2 L2 B R U' L2
B' U2 L2 B' R U' L2
B' U2 L2 B2 R U' L2
B' U2 R L2 U' L2 D
B' U2 R L2 U' L2 D'
B' U2 R L2 U' L2 D2
B' U2 R L2 D' B2 U'
B' U2 R L2 B U' L2
B' U2 R L2 B' U' L2
B' U2 R L2 B2 U' L2
B' U2 R B L2 U' L2
B' U2 R B' L2 U' L2
B' U2 R B2 L2 U' L2
D U2 F2 U' B' L' U
U D2 B R2 B2 L U
U D2 B' R2 U2 R' U'
R' F L2 R2 F U' L'
U' F L2 F U2 L' U
U' F L2 F' R F2 U'
R' F L2 F R2 U' L'
R F L2 F U R' U2
R F L2 F B2 U' L
B' U2 B L2 R U' L2
B' U2 B R L2 U' L2
R F L2 B2 F U' L
R' F R2 L2 F U' L'
B' U2 B' L2 R U' L2
B' U2 B' R L2 U' L2
B' U2 B2 L2 R U' L2
B' U2 B2 R L2 U' L2
L2 F U2 F L' U L
B D L2 U' R U' F2
F2 D U B' L' U F2
U' F' L2 R F R U'
U' F' L2 R' F R U'
U' F' L2 R2 F R U'
U' F' L2 D F R U'
U' F' L2 D' F R U'
U' F' L2 D2 F R U'
U' F' L2 F R U' D
U' F' L2 F R U' D'
U' F' L2 F R U' D2
U' F' L2 F R D U'
U' F' L2 F R D' U'
U' F' L2 F R D2 U'
U' F' L2 F D R U'
U' F' L2 F D' R U'
U' F' L2 F D2 R U'
U' F' R L2 F R U'
U2 F' L2 F R U' L2
U' F' R' L2 F R U'
U F' L2 F R B' U'
U F' L2 F B' R U'
R F' L2 F U R' U2
U F' L2 B' F R U'
R F' L2 F B2 U' L
U' F' R2 L2 F R U'
R F' L2 B2 F U' L
R' F2 L2 R2 F U' L
U' F2 L2 F U2 L U
R' F2 L2 F R2 U' L
R F2 L2 F U R' U2
R F2 L2 F B2 U' L
