B L D' B2 R' F' U'
B L B2 R' F' U' L2
L2 R' U2 F' L' U' L2
R' L2 U2 F' L' U' L2
U2 L' B' L' U L F
B' L2 R' U2 F' U' L
L2 R2 B' R' B U L
R2 L2 B' R' B U L
L2 U L R' F R F2
L2 U L R2 F R F'
L2 U L F R' F' R2
L2 U L F2 R' F' R
B L2 F U L F R
L2 U R' L F R F2
L2 U R' F L R F2
L2 U R' F R L F2
L2 U R' F R F2 L
L2 U R' F' L D2 R2
L2 U R2 L F R F'
L2 U R2 F L R F'
L2 U R2 F R L F'
L2 U R2 F R F' L
L2 U F L R' F' R2
L2 U F R' L F' R2
L2 U F R' F' L R2
L2 U F R' F' R2 L
L2 U F2 L R' F' R
L2 U F2 R' L F' R
L2 U F2 R' F' L R
L2 U F2 R' F' R L
L2 U' L' U2 L2 F R
L2 U' L' B' U2 L2 R'
L2 U' L' B' U2 R' L2
L2 U' L2 U2 L' F R
B' R B L2 R2 U L
B2 R B L2 R' U L
B' R B R2 L2 U L
B2 R B R' L2 U L
B' R' L2 U2 F' U' L
L2 U' B' U2 R' F' L'
R U2 B L2 U L F
U' D L F L2 B' R'
D U' L F L2 B' R'
R B L2 U L D F2
R B L2 U2 L' U' L2
R B L2 F U L F
R B L2 F2 R U L
L2 B' R B R2 U L
L2 B' R' U2 F' U' L'
R2 B' R' B L2 U L
R B' R' B2 L2 U L
