U R B L U' R
U L R B L U' R
B L R' D R' F B2
B L R' D R' B2 F
B L R' D F R' B2
B L R' F D R' B2
B L R2 U R' U' F
B L R2 F U R' U'
B L U R U' R F
B L F R' D R' B
L R B U' R F L
R L B U' R F L
B L' R U' L2 R F
B L' R U' R L2 F
U L' R B L U' R
B L2 R U' L' R F
B L2 R U' R L' F
U L2 R B L U' R
R2 U R B L R2 U'
R2 U R B R2 L U'
L U R B U' R F
B R L' U' L2 R F
B R L' U' R L2 F
U R L B L U' R
B R L2 U' L' R F
B R L2 U' R L' F
U R L' B L U' R
U R L2 B L U' R
U' R U' R' F' L' R2
U' R U' R' F' R2 L'
U R D B L U' R
U R D' B L U' R
U R D2 B L U' R
U R B L U' R D
U R B L U' R D'
U R B L U' R D2
U R B L U' D R
U R B L U' D' R
U R B L U' D2 R
U R B L D U' R
U R B L D' U' R
U R B L D2 U' R
U R B D L U' R
U R B D' L U' R
U R B D2 L U' R
B R' L D R' F B2
B R' L D R' B2 F
B R' L D F R' B2
B R' L F D R' B2
B' R' U2 D R' F' B2
B' R' U2 D R' B2 F'
B' R' D U2 R' F' B2
B' R' D U2 R' B2 F'
B R' D L R' F B2
B R' D L R' B2 F
B R' D L F R' B2
B R' D R' L F B2
B R' D R' L B2 F
U2 R' D F' L' R' B2
U2 R' D F' R' L' B2
U2 R' D F' R' B2 L'
F R' D R' B L F
B' R' D' F2 U2 R' F'
U2 R' F' L' D R' B2
U2 R' F' D L' R' B2
U2 R' F' D R' L' B2
U2 R' F' D R' B2 L'
R' U2 D R' F' L' B2
R' U2 D R' F' B2 L'
R' U2 D R' B2 F' L'
B R2 L U R' U' F
B R2 L F U R' U'
B R2 U R' U' L F
U R2 U R' B U' F'
F R2 D' B L F B'
F R2 D' B L B' F
R' D R' B L F B
R' D R' B L B F
F2 R2 B L D' F B2
F2 R2 B L D' B2 F
F2 R2 B L F D' B2
F R2 B D' L F B'
F R2 B D' L B' F
B2 R2 B' D L F B'
B2 R2 B' D L B' F
R' D U2 R' F' L' B2
R' D U2 R' F' B2 L'
R' D U2 R' B2 F' L'
D' U R F2 B L U'
D' U R B L F2 U'
D' U R B F2 L U'
B U R U' L R F
B U R U' R L F
U D' R F2 B L U'
U D' R B L F2 U'
U D' R B F2 L U'
R' D' F2 U2 R' F' L'
L F R' D R' B L
L F R2 D' B L B'
L F R2 B D' L B'
L F B R2 D' L B'
U B L R B U' R
R B L' U' L2 R F
R B L' U' R L2 F
R B L2 U' L' R F
R B L2 U' R L' F
U B R L B U' R
L B R U' R F L
F2 B L R2 D' F B2
F2 B L R2 D' B2 F
F2 B L R2 F D' B2
F2 B L F R2 D' B2
F2 B L' U L2 R2 F
F2 B L' U L2 F R2
F2 B L' U R2 L2 F
F2 B R2 L D' F B2
F2 B R2 L D' B2 F
F2 B R2 L F D' B2
B F R2 D' L F B'
B F R2 D' L B' F
L B F R2 D' L B'
F B R2 D' L F B'
F B R2 D' L B' F
L' B' R' U' R2 U' R
L' B' R' U2 D R' B2
L' B' R' D U2 R' B2
L' B' R' D' F2 U2 R'
R2 B' D B2 L F B'
R2 B' D B2 L B' F
B F2 L R2 D' F B2
B F2 L R2 D' B2 F
B F2 L R2 F D' B2
B F2 L F R2 D' B2
B F2 L' U L2 R2 F
B F2 L' U L2 F R2
B F2 L' U R2 L2 F
B F2 R2 L D' F B2
B F2 R2 L D' B2 F
B F2 R2 L F D' B2
