L2 R U F2 B R
L2 R U B F2 R
R L2 U F2 B R
R L2 U B F2 R
B2 R U F2 B R2
B2 R U B R2 F2
B2 R U B F2 R2
B R U F2 B R'
B R U B R' F2
B R U B F2 R'
R2 U F2 B2 R' B
R U F2 B2 R' B'
R2 U B2 R' F2 B
R2 U B2 R' B F2
R' U' L F' U2 F'
R U B2 R' F2 B'
R U B2 R' B' F2
R2 U B2 F2 R' B
R U B2 F2 R' B'
R U' L U2 F2 B
R U' L U2 B F2
R' U' F' L U2 F'
B2 R' F2 D' L2 B'
D R2 U B2 R' B
D R2 B2 U R' B
B2 U F2 D R' B
L2 F2 R D' L2 B
L2 F2 R D' B L2
L2 F2 R B D' L2
L2 F2 D' L2 R B
L2 F2 D' R L2 B
L2 F2 D' R B L2
U F2 D B2 R' B
U F2 B2 D R' B
R2 B2 U R' F2 B
R2 B2 U R' B F2
R2 B2 U F2 R' B
R B2 U R' F2 B'
R B2 U R' B' F2
R B2 U F2 R' B'
B2 L R U F2 B R2
B2 L R U B R2 F2
B2 L R U B F2 R2
B L R U F2 B R'
B L R U B R' F2
B L R U B F2 R'
U B2 F2 D R' B
L2 R U R' F2 R B
L' R U D2 B R2 F'
L' R U F2 D2 B R2
L' R U F2 B D2 R2
L' R U B F2 D2 R2
L2 R U F2 D B R
L2 R U F2 D' B R
L2 R U F2 D2 B R
L2 R U F2 B R D
L2 R U F2 B R D'
L2 R U F2 B R D2
L2 R U F2 B D R
L2 R U F2 B D' R
L2 R U F2 B D2 R
L2 R U F2 B' R B2
L2 R U F2 B2 R B'
L2 R U B R F2 R
L2 R U B R' F2 R
L2 R U B R2 F2 R
L2 R U B F2 R D
L2 R U B F2 R D'
L2 R U B F2 R D2
L2 R U B F2 D R
L2 R U B F2 D' R
L2 R U B F2 D2 R
L2 R U B' F2 R B2
L' R U' L2 U2 F2 B
L' R U' L2 U2 B F2
L2 R U B2 F2 R B'
L2 R U' L' U2 F2 B
L2 R U' L' U2 B F2
B2 L R' F2 D' L2 B'
U' L U R U F2 B
U' L U R U B F2
B2 L U F2 D R' B
F L U F' L' U F
U' L U' L' U' F2 B'
U' L U' L' U' B' F2
U2 L U' F2 D R2 B
L' R D2 U B R2 F'
R' L F' U F U F2
R' L F' U2 F' D' L2
L2 R F2 D' L2 B R
L2 R F2 D' B L2 R
L2 R F2 D' B R L2
L2 R F2 B R D' L2
L2 R F2 B D' L2 R
L2 R F2 B D' R L2
L2 R B F2 R D' L2
L2 R B F2 D' L2 R
L2 R B F2 D' R L2
L2 R B' U F2 R B2
L2 R B' U F2 B2 R
L2 R B' U B2 F2 R
L2 R B2 U F2 R B'
L2 R B2 U F2 B' R
L2 R B2 U B' F2 R
U' L B U L U F2
L2 R' U R F2 R B
L2 R' U R2 F2 B R
L2 R' U R2 B F2 R
R L' U D2 B R2 F'
R L' U F2 D2 B R2
R L' U F2 B D2 R2
R L' U B F2 D2 R2
R' L' U' L2 F' U2 F'
L' R' U' L2 F' U2 F'
U' L B' U' R' U' F2
L2 R' U' L' F' U2 F'
R L' U' L2 U2 F2 B
R L' U' L2 U2 B F2
R' L' U' F' L2 U2 F'
L' R' U' F' L2 U2 F'
L2 R' U' F' U2 F' R
B2 L' R U F2 B R2
B2 L' R U B R2 F2
B2 L' R U B F2 R2
B L' R U F2 B R'
B L' R U B R' F2
B L' R U B F2 R'
B2 L' R' F2 D' L2 B'
U2 L' U L2 F U2 F
R L' D2 U B R2 F'
B2 L' U F2 D R' B
U2 L' U' F2 D2 R2 B'
U2 L' U' F2 D2 B' R2
U2 L' U' F2 B' D2 R2
U2 L' U' B' F2 D2 R2
L R' F' U F U F2
