B L D2 B' U' B2 R'
B L F' B' U' R B2
B L F' B' U' B2 R
B L B' F' U' R B2
B L B' F' U' B2 R
B2 L' F' D' L2 R F'
B2 L' F' D' R L2 F'
B2 L' F' D' R F' L2
F' R B2 D L' F L'
F' R B2 D F L' F
L' F L2 U B2 R' F'
L' F U' L' B' U2 B'
L' F' B2 D' L2 R F'
L' F' B2 D' R L2 F'
L' F' B2 D' R F' L2
F' B L B' U' R B2
F' B L B' U' B2 R
B2 F D F L' F R
B F' L B' U' R B2
B F' L B' U' B2 R
B' F' R D' F2 B' L
B' F' R D' B' L F2
B' F' R D' B' F2 L
F' B' R D' F2 B' L
F' B' R D' B' L F2
F' B' R D' B' F2 L
B2 F' R D L' F L'
B2 F' R D F L' F
B2 F' D L' R F L'
B2 F' D R L' F L'
B2 F' D R F L' F
F' B2 R D L' F L'
F' B2 R D F L' F
F' B2 D L' R F L'
F' B2 D R L' F L'
F' B2 D R F L' F
B2 F2 D L' F L' R
B2 F2 D L' F R L'
F2 B2 D L' F L' R
F2 B2 D L' F R L'
B2 F2 D F L' R F
B2 F2 D F R L' F
F2 B2 D F L' R F
F2 B2 D F R L' F
L' B2 F' D' L2 R F'
L' B2 F' D' R L2 F'
L' B2 F' D' R F' L2
F B2 D F L' F R
