L' U R U2 B R'
B' L R U' L2 R2 U'
B' L R U' R2 L2 U'
B' L R U2 D F2 B2
B' L R U2 D B2 F2
B' L R D U2 F2 B2
B' L R D U2 B2 F2
B' L R D' F2 B2 U2
B' L R D' B2 F2 U2
B L U D F2 L' R'
B L U D F2 R' L'
B L D U F2 L' R'
B L D U F2 R' L'
B' L' R' U L2 R2 U2
B' L' R' U R2 L2 U2
B' L' R' U' D2 L2 R2
B' L' R' U' D2 R2 L2
B' L' R' D F2 B2 U'
B' L' R' D B2 F2 U'
B' L' R' D2 U' L2 R2
B' L' R' D2 U' R2 L2
B' L' D F2 R' U' L'
L' U L R U2 B R'
L' U L' R U2 B R'
L' U L2 R U2 B R'
L' U R L U2 B R'
L' U R L' U2 B R'
L' U R L2 U2 B R'
L' U R U2 B R' D
L' U R U2 B R' D'
L' U R U2 B R' D2
L' U R U2 B D R'
L' U R U2 B D' R'
L' U R U2 B D2 R'
L' U R F U2 B R'
L' U R F' U2 B R'
L' U R F2 U2 B R'
B' R L U' L2 R2 U'
B' R L U' R2 L2 U'
B' R L U2 D F2 B2
B' R L U2 D B2 F2
B' R L D U2 F2 B2
B' R L D U2 B2 F2
B' R L D' F2 B2 U2
B' R L D' B2 F2 U2
F2 R U L' R B R'
F2 R U R L' B R'
F2 R U R B L' R'
F2 R U R B R' L'
D' R U' L' F' U' B'
D R U' L' F U' B'
U R U' L' U' B R'
R U' L' U' B R' B2
F2 R B L U L2 R'
F2 R B L U R' L2
R U' D L' F U' B'
B' R' L' U L2 R2 U2
B' R' L' U R2 L2 U2
B' R' L' U' D2 L2 R2
B' R' L' U' D2 R2 L2
B' R' L' D F2 B2 U'
B' R' L' D B2 F2 U'
B' R' L' D2 U' L2 R2
B' R' L' D2 U' R2 L2
B' R' D B2 L' U' R'
R D U' L' F U' B'
F2 U R U L' B R'
F2 U R U B L' R'
F2 U R U B R' L'
U F2 R U L' B R'
U F2 R U B L' R'
U F2 R U B R' L'
L' F2 U' L' B R' B2
L' F2 U' B L' R' B'
L' F2 U' B R' L' B'
L' F2 U' B2 L' B' R'
R F2 U R U B R'
F2 B L R U L2 R2
F2 B L R U R2 L2
F2 B L' R' D' F2 B2
F2 B L' R' D' B2 F2
F2 B R L U L2 R2
F2 B R L U R2 L2
F2 B R' L' D' F2 B2
F2 B R' L' D' B2 F2
R B' L U' L2 R' U'
R B' L U' R' L2 U'
L' B' R' U L R2 U2
L' B' R' U R2 L U2
L' B' R' D B2 U' R'
B F2 L R U L2 R2
B F2 L R U R2 L2
B F2 L' R' D' F2 B2
B F2 L' R' D' B2 F2
B F2 R L U L2 R2
B F2 R L U R2 L2
B F2 R' L' D' F2 B2
B F2 R' L' D' B2 F2
