B2 L F' U' L' B' U
U L2 F' B2 L B' R'
F' L2 B D' R' B L
U L2 B2 L F' B' R'
U L2 B2 L B' F' R'
U L2 B2 F' L B' R'
R' U' R U' F' B R'
R' U' R U' B F' R'
U' R B D2 L2 R' F'
U' R B D2 R' L2 F'
U' R B D2 R' F' L2
R2 U' B R U2 B R2
U' R' U2 R2 B R' F'
U R' U2 R F' B R'
U R' U2 R B F' R'
U' R2 B R U2 R2 B
U' R2 B R F' U2 R2
D2 U' R' F' U2 R F'
D2 U' F' R D2 L2 B
D2 U' F' R D2 B L2
D2 U' F' R B D2 L2
D2 U' F' B R B L
D2 U' F' B2 L R B
D2 U' F' B2 R L B
D2 U' B F' R B L
D2 U' B2 L F' R B
D2 U' B2 F' L R B
D2 U' B2 F' R L B
U' D2 R' F' U2 R F'
U' D2 F' R D2 L2 B
U' D2 F' R D2 B L2
U' D2 F' R B D2 L2
U' D2 F' B R B L
U' D2 F' B2 L R B
U' D2 F' B2 R L B
U' D2 B F' R B L
U' D2 B2 L F' R B
U' D2 B2 F' L R B
U' D2 B2 F' R L B
D2 F' L D' B2 L R
D2 F' L D' B2 R L
U' F' R B D2 L2 R'
U' F' R B D2 R' L2
U F' L2 B2 L B' R'
U' F' B R B L R2
U' F' B R B R2 L
D2 F' B2 L R D' B2
D2 F' B2 L D' R B2
D2 F' B2 L D' B2 R
D2 F' B2 R L D' B2
U2 F' B2 D L B' R'
U F' B2 L' B' L2 R'
U F' B2 L' B' R' L2
U' B U2 F' L' R' B'
U' B U2 F' R' L' B'
F' B R' B L D' B2
U' B F' R B L R2
U' B F' R B R2 L
F2 B D R' F B L
F2 B D R' B F L
F2 B D F R' B L
B2 F' L D' B' R' B'
B2 F' L B D' B2 R'
B2 F' L B' R' D' B2
B2 F' L B' D' R' B2
B F' R' B L D' B2
B2 F' U' L' B' U L2
F' B2 L D' B' R' B'
F' B2 L B D' B2 R'
F' B2 L B' R' D' B2
F' B2 L B' D' R' B2
U B2 L' F' B' L2 R'
U B2 L' F' B' R' L2
U B2 L' B' L2 F' R'
U B2 L' B' F' L2 R'
U B2 L' B' F' R' L2
D2 B2 U' L F' R B
D2 B2 U' F' L R B
D2 B2 U' F' R L B
F' B2 U' L' B' U L2
U2 B2 D L F' B' R'
U2 B2 D L B' F' R'
U2 B2 D F' L B' R'
D2 B2 F' L R D' B2
D2 B2 F' L D' R B2
D2 B2 F' L D' B2 R
D2 B2 F' R L D' B2
B F2 D R' F B L
B F2 D R' B F L
B2 F2 D' F L B' R'
B F2 D F R' B L
F2 B2 D' F L B' R'
U2 B2 F' D L B' R'
U B2 F' L' B' L2 R'
U B2 F' L' B' R' L2
