U R U2 B
R2 U R' F' U2
U R U2 D B
U R U2 D' B
U R U2 D2 B
U R U2 B D
U R U2 B D'
U R U2 B D2
U R D U2 B
U R D' U2 B
U R D2 U2 B
U R F U2 B
U R F' U2 B
U R F2 U2 B
B' R' U R2 U2
B' R' U' D2 L2
B' R' D B2 U'
B' R' D2 U' L2
U R' F' R2 U2
U D R U2 B
D U R U2 B
D' U R U2 B
D2 U R U2 B
U D' R U2 B
U D2 R U2 B
U' F2 L' F2 B'
U' F2 L' B' F2
U F2 U2 L' B'
U2 L U' R U2 B
U' L U2 R F U2
U2 L' U' R U2 B
U' L' U2 R U2 B'
U' L' F2 B' L' F2
U' L' B' U2 R U2
U' L' B' F2 L' F2
U2 L2 U' R U2 B
R' U R' F' R' U2
R2 U R' D F' U2
R2 U R' D' F' U2
R2 U R' D2 F' U2
R2 U R' F' U2 D
R2 U R' F' U2 D'
R2 U R' F' U2 D2
R2 U R' F' D U2
R2 U R' F' D' U2
R2 U R' F' D2 U2
R2 U D R' F' U2
R2 U D' R' F' U2
R2 U D2 R' F' U2
R2 U F R' F' U2
R2 U F' R' F' U2
U R U L U B
U R U L' U B
U R U L2 U B
R2 U F2 R' F' U2
U R U2 L B L'
U R U2 L2 B L2
B R U2 L U L'
U R U2 D B D
U R U2 D B D'
U R U2 D B D2
U R U2 D' B D
U R U2 D' B D'
U R U2 D' B D2
U R U2 D2 B D
U R U2 D2 B D'
U R U2 D2 B D2
U R U2 B2 D B'
U R U2 B2 D' B'
U R U2 B2 D2 B'
U R D U2 B D
U R D U2 B D'
U R D U2 B D2
U R D F U2 B
U R D F' U2 B
U R D F2 U2 B
R' U' L D2 L2 B'
U R D' U2 B D
U R D' U2 B D'
U R D' U2 B D2
U R D' F U2 B
U R D' F' U2 B
U R D' F2 U2 B
R' U' L' D2 B' L2
R' U' L' B' D2 L2
U R D2 U2 B D
U R D2 U2 B D'
U R D2 U2 B D2
U R D2 F U2 B
U R D2 F' U2 B
U R D2 F2 U2 B
R2 U' L' B2 L B
U R F U2 D B
U R F U2 D' B
U R F U2 D2 B
U R F U2 B D
U R F U2 B D'
U R F U2 B D2
U R F D U2 B
U R F D' U2 B
U R F D2 U2 B
R2 U' L2 B2 L B'
U R F' U2 D B
U R F' U2 D' B
U R F' U2 D2 B
U R F' U2 B D
U R F' U2 B D'
U R F' U2 B D2
U R F' D U2 B
U R F' D' U2 B
U R F' D2 U2 B
U R F2 U2 D B
U R F2 U2 D' B
U R F2 U2 D2 B
U R F2 U2 B D
U R F2 U2 B D'
U R F2 U2 B D2
U R F2 D U2 B
U R F2 D' U2 B
U R F2 D2 U2 B
L2 U' D F2 L' B'
R' U' D2 L' B' L'
B' R' U R2 U2 D
B' R' U R2 U2 D'
B' R' U R2 U2 D2
B' R' U R2 D U2
B' R' U R2 D' U2
B' R' U R2 D2 U2
B' R' U' L D2 L2
B' R' U' L' D2 L2
B' R' U' L2 D2 L2
B' R' U' D2 L2 D
B' R' U' D2 L2 D'
B' R' U' D2 L2 D2
B' R' U2 D' F2 U
R2 U' B' L' B' L
B' R' D B2 U' D
B' R' D B2 U' D'
B' R' D B2 U' D2
B' R' D B2 D U'
B' R' D B2 D' U'
B' R' D B2 D2 U'
R2 U' B2 L' B' L2
B' R' D' U2 F2 U
B R' D B2 R' U'
B' R' D2 U' L2 D
B' R' D2 U' L2 D'
B' R' D2 U' L2 D2
B' R' D2 B U' L2
B' R' D2 B' U' L2
B' R' D2 B2 U' L2
R U2 L U L' B'
U R' D2 F' U2 L2
U R' F R2 F2 U2
U R' F' R2 U2 D
U R' F' R2 U2 D'
U R' F' R2 U2 D2
U R' F' R2 D U2
U R' F' R2 D' U2
U R' F' R2 D2 U2
U R' F' U2 D2 L2
U R' F' D2 U2 L2
U R' F2 R2 F U2
B' R' B U R2 U2
B' R' B U' D2 L2
B' R' B D B2 U'
B' R' B D2 U' L2
B' R' B' U R2 U2
B' R' B' U' D2 L2
B' R' B' D B2 U'
B' R' B' D2 U' L2
B' R' B2 U R2 U2
B' R' B2 U' D2 L2
B' R' B2 D B2 U'
B' R' B2 D2 U' L2
D2 R2 U R' F' U2
D' R2 U R' F' U2
R U2 F' L' U L
D R2 U R' F' U2
U R2 F R' U2 B
U R2 F' R' U2 B
U R2 F2 R' U2 B
B' R2 B2 R U' L
R2 D U R' F' U2
B R2 B2 R' U' L
L2 D U' F2 L' B'
B' U R U' R2 U'
B' U R U2 D B2
B' U R D U2 B2
B' U R D' F2 U2
D2 U R U2 D B
D2 U R U2 D' B
D2 U R U2 D2 B
D2 U R U2 B D
D2 U R U2 B D'
D2 U R U2 B D2
D2 U R D U2 B
D' U R U2 D B
D' U R U2 D' B
D' U R U2 D2 B
D2 U R D' U2 B
D' U R U2 B D
D' U R U2 B D'
D' U R U2 B D2
D' U R D U2 B
D2 U R D2 U2 B
D' U R D' U2 B
D2 U R F U2 B
D' U R D2 U2 B
D2 U R F' U2 B
D' U R F U2 B
D2 U R F2 U2 B
D' U R F' U2 B
D' U R F2 U2 B
R' D B' R' B' U'
B U R U L U
U D R U2 D B
U D R U2 D' B
U D R U2 D2 B
U D R U2 B D
U D R U2 B D'
U D R U2 B D2
U D R D U2 B
U D R D' U2 B
D U R U2 D B
D U R U2 D' B
D U R U2 D2 B
U D R D2 U2 B
D U R U2 B D
D U R U2 B D'
D U R U2 B D2
D U R D U2 B
D2 U R' F' R2 U2
U D R F U2 B
D U R D' U2 B
U D R F' U2 B
D U R D2 U2 B
U D R F2 U2 B
D U R F U2 B
D' U R' F' R2 U2
D U R F' U2 B
D U R F2 U2 B
U D R' F' R2 U2
D U R' F' R2 U2
B2 U D' R F' U2
U' D F2 L' F2 B'
U' D F2 L' B' F2
D2 U F2 U2 L' B'
D' U F2 U2 L' B'
D U F2 U2 L' B'
U D F2 U2 L' B'
R2 D' U R' F' U2
F2 U' L' D R2 B'
F2 U' L' D B' R2
U D' R U2 D B
U D' R U2 D' B
