D' R' B U L B'
D' L R' B U L B2
D L R' B' U B2 L
F L' R' B U L R'
F L' R' B U R' L
F L' D' R' B U L
F L' B U L R' F'
F L' B U R' L F'
F L' B U R' F' L
D' R' L B U L B2
D R' L B' U B2 L
F R' L' B U L R'
F R' L' B U R' L
D' R' F B U L B'
D' R' F' B U L B'
D' R' F2 B U L B'
D' R' B L' U L2 B'
D' R' B U L D B'
D' R' B U L D' B'
D' R' B U L D2 B'
D' R' B U L B' D
D' R' B U L B' D'
D' R' B U L B' D2
D' R' B F U L B'
D' R' B F' U L B'
D' R' B F2 U L B'
F R' B L' U L2 R'
F R' B L' U R' L2
B U L D R' F' B
B U L D R' B F'
B U R' D' L F' B'
B U R' D' L B' F'
B U R' D' F' L B'
B U D L R' F' B
B U D L R' B F'
B U D R' L F' B
B U D R' L B F'
B U D R' F' L B
B U D' L R' F' B'
B U D' L R' B' F'
B U D' R' L F' B'
B U D' R' L B' F'
B U D' R' F' L B'
L' D' R' B U L B'
L2 D' R' B U L B'
L D' R' B U L B'
B U' L D R' F B
B U' L D R' B F
B U' L D F R' B
B U' R' D' L F B'
B U' R' D' L B' F
B U' D L R' F B
B U' D L R' B F
B U' D L F R' B
B U' D R' L F B
B U' D R' L B F
B U' D' L R' F B'
B U' D' L R' B' F
B U' D' L F R' B'
B U' D' R' L F B'
B U' D' R' L B' F
R' F L' B U L R'
R' F L' B U R' L
D' F R' B U L B'
B' D L R' B' U2 B2
B2 D L B' U' R' B
B' D R' L B' U2 B2
R' F B L' U L2 R'
R' F B L' U R' L2
B D U L R' F' B
B D U L R' B F'
B D U R' L F' B
B D U R' L B F'
B D U R' F' L B
B D U' L R' F B
B D U' L R' B F
B D U' L F R' B
B D U' R' L F B
B D U' R' L B F
D' F' R' B U L B'
B' D' L R' B U2 B2
F D' L' R' B U L
B' D' R' L B U2 B2
F D' R' L' B U L
F D' R' B L' U L2
B D' U L R' F' B'
B D' U L R' B' F'
B D' U R' L F' B'
B D' U R' L B' F'
B D' U R' F' L B'
B D' U' L R' F B'
B D' U' L R' B' F
B D' U' L F R' B'
B D' U' R' L F B'
B D' U' R' L B' F
D' F2 R' B U L B'
R2 B R' D' L F2 B'
R2 B R' D' L B' F2
R2 B R' D' F2 L B'
R' B U L D R' B
R' B U R' D' L B'
R' B U D L R' B
R' B U D R' L B
R' B U D' L R' B'
R' B U D' R' L B'
R' B D U L R' B
R' B D U R' L B
B F L' U L2 R' F'
B F L' U R' L2 F'
B F L' U R' F' L2
R' B D' U L R' B'
R' B D' U R' L B'
F B L' U L2 R' F'
F B L' U R' L2 F'
F B L' U R' F' L2
F' B R U' L R2 F
F' B R U' L F R2
F' B R U' R2 L F
R' B F L' U L2 R'
R' B F L' U R' L2
R B D' L R' F2 B'
R B D' L R' B' F2
R B D' L F2 R' B'
R B D' R' L F2 B'
R B D' R' L B' F2
R B D' R' F2 L B'
R B D' F2 L R' B'
R B D' F2 R' L B'
B F' R U' L R2 F
B F' R U' L F R2
B F' R U' R2 L F
