B' L2 U' B' R'
B' L2 R' F' U' B'
B' L2 U' R B' R'
B' L2 U' R' B' R'
B' L2 U' R2 B' R'
B' L2 U' D B' R'
B' L2 U' D' B' R'
B' L2 U' D2 B' R'
B' L2 U' B' R' D
B' L2 U' B' R' D'
B' L2 U' B' R' D2
B' L2 U' B' D R'
B' L2 U' B' D' R'
B' L2 U' B' D2 R'
B' L2 D U' B' R'
B' L2 D' U' B' R'
B' L2 D2 U' B' R'
B' L2 F U' B' R'
B' L2 F' U' B' R'
B' L2 F2 U' B' R'
B' R' L2 F' U' B'
L2 U2 F U B' R'
F U' B' L2 U' R'
R' B' L2 F' U' B'
U' B' L2 U' R' B'
B' L R' F' L U' B'
L2 R U2 F B U B2
L2 R U2 B F U B2
B' L F L U' B' R'
B' L F' L U' B' R'
B' L F2 L U' B' R'
L2 R' F' U' D' B' L2
L2 R' F' U' B' D' L2
L2 R' F' U2 F2 U B'
L2 R' F' D' U' B' L2
L2 R' F' D2 B2 U' B
B' L' D L' U' B' R'
B' L' D' L' U' B' R'
B' L' D2 L' U' B' R'
B2 L' B L' U' B' R'
R L2 U2 F B U B2
R L2 U2 B F U B2
B L' B2 L' U' B' R'
B' L2 R U' B' D' R2
B' L2 R U2 B U B2
B' L2 R' D F' U' B'
B' L2 R' D' F' U' B'
B' L2 R' D2 F' U' B'
B' L2 R' F' R U' B'
B' L2 R' F' R' U' B'
B' L2 R' F' R2 U' B'
B' L2 R' F' U' D B'
B' L2 R' F' U' D' B'
B' L2 R' F' U' D2 B'
B' L2 R' F' U' B' D
B' L2 R' F' U' B' D'
B' L2 R' F' U' B' D2
B' L2 R' F' D U' B'
B' L2 R' F' D' U' B'
B' L2 R' F' D2 U' B'
B L2 R' F' B2 U' B
B L2 R' B2 F' U' B
R' L2 F' U' D' B' L2
R' L2 F' U' B' D' L2
R' L2 F' U2 F2 U B'
R' L2 F' D' U' B' L2
R' L2 F' D2 B2 U' B
B' L2 U L2 F U2 R
B' L2 U F U2 R B'
B' L2 U F U2 B' R
B' L2 U' R D B' R'
B' L2 U' R D' B' R'
B' L2 U' R D2 B' R'
B' L2 U' R B' R' D
B' L2 U' R B' R' D'
B' L2 U' R B' R' D2
B' L2 U' R B' D R'
B' L2 U' R B' D' R'
B' L2 U' R B' D2 R'
B' L2 U' R' D B' R'
B' L2 U' R' D' B' R'
B' L2 U' R' D2 B' R'
B' L2 U' R' B' R' D
B' L2 U' R' B' R' D'
B' L2 U' R' B' R' D2
B' L2 U' R' B' D R'
B' L2 U' R' B' D' R'
B' L2 U' R' B' D2 R'
B' L2 U' R2 D B' R'
B' L2 U' R2 D' B' R'
B' L2 U' R2 D2 B' R'
B' L2 U' R2 B' R' D
B' L2 U' R2 B' R' D'
B' L2 U' R2 B' R' D2
B' L2 U' R2 B' D R'
B' L2 U' R2 B' D' R'
B' L2 U' R2 B' D2 R'
B' L2 U' D R B' R'
B' L2 U' D R' B' R'
B' L2 U' D R2 B' R'
B' L2 U' D B' R' D
B' L2 U' D B' R' D'
B' L2 U' D B' R' D2
B' L2 U' D B' D R'
B' L2 U' D B' D' R'
B' L2 U' D B' D2 R'
B' L2 U' D' R B' R'
B' L2 U' D' R' B' R'
B' L2 U' D' R2 B' R'
B' L2 U' D' B' R' D
B' L2 U' D' B' R' D'
B' L2 U' D' B' R' D2
B' L2 U' D' B' D R'
B' L2 U' D' B' D' R'
B' L2 U' D' B' D2 R'
B' L2 U' D2 R B' R'
B' L2 U' D2 R' B' R'
B' L2 U' D2 R2 B' R'
B' L2 U' D2 B' R' D
B' L2 U' D2 B' R' D'
B' L2 U' D2 B' R' D2
B' L2 U' D2 B' D R'
B' L2 U' D2 B' D' R'
B' L2 U' D2 B' D2 R'
B' L2 U' F' B' R' F
B' L2 U' F2 B' R' F2
B' L2 U' B R B2 R'
B' L2 U' B R' B2 R'
B' L2 U' B R2 B2 R'
B L2 U' D B' L2 R'
B L2 U' D B' R' L2
B' L2 U' B' R2 D R
B' L2 U' B' R2 D' R
B' L2 U' B' R2 D2 R
B' L2 U' B' D R' D
B' L2 U' B' D R' D'
B' L2 U' B' D R' D2
B' L2 U' B' D' R' D
B' L2 U' B' D' R' D'
B' L2 U' B' D' R' D2
B' L2 U' B' D2 R' D
B' L2 U' B' D2 R' D'
B' L2 U' B' D2 R' D2
B' L2 U' B' F' R' F
B' L2 U' B' F2 R' F2
B2 L2 U' B' R' D L2
B2 L2 U' B' D L2 R'
B2 L2 U' B' D R' L2
U' L2 U2 F U R B'
U' L2 U2 F U B' R
B' L2 D R' F' U' B'
B' L2 D U' R B' R'
B' L2 D U' R' B' R'
B' L2 D U' R2 B' R'
B' L2 D U' B' R' D
B' L2 D U' B' R' D'
B' L2 D U' B' R' D2
B' L2 D U' B' D R'
B' L2 D U' B' D' R'
B' L2 D U' B' D2 R'
B' L2 D F U' B' R'
B' L2 D F' U' B' R'
B' L2 D F2 U' B' R'
B L2 D U' B' L2 R'
B L2 D U' B' R' L2
B' L2 D' R' F' U' B'
B' L2 D' U' R B' R'
B' L2 D' U' R' B' R'
B' L2 D' U' R2 B' R'
B' L2 D' U' B' R' D
B' L2 D' U' B' R' D'
B' L2 D' U' B' R' D2
B' L2 D' U' B' D R'
B' L2 D' U' B' D' R'
B' L2 D' U' B' D2 R'
B' L2 D' F U' B' R'
B' L2 D' F' U' B' R'
B' L2 D' F2 U' B' R'
B' L2 D2 R' F' U' B'
B' L2 D2 U' R B' R'
B' L2 D2 U' R' B' R'
B' L2 D2 U' R2 B' R'
B' L2 D2 U' B' R' D
B' L2 D2 U' B' R' D'
B' L2 D2 U' B' R' D2
B' L2 D2 U' B' D R'
B' L2 D2 U' B' D' R'
B' L2 D2 U' B' D2 R'
B' L2 D2 F U' B' R'
B' L2 D2 F' U' B' R'
B' L2 D2 F2 U' B' R'
B' L2 F R' F' U' B'
B' L2 F U' R B' R'
B' L2 F U' R' B' R'
B' L2 F U' R2 B' R'
B' L2 F U' D B' R'
B' L2 F U' D' B' R'
B' L2 F U' D2 B' R'
B' L2 F U' B' R' D
B' L2 F U' B' R' D'
B' L2 F U' B' R' D2
B' L2 F U' B' D R'
B' L2 F U' B' D' R'
B' L2 F U' B' D2 R'
B' L2 F D U' B' R'
B' L2 F D' U' B' R'
B' L2 F D2 U' B' R'
D L2 F U F R B'
D L2 F U F B' R
D L2 F U B' F R
B' L2 F' R' F' U' B'
B' L2 F' U' R B' R'
B' L2 F' U' R' B' R'
B' L2 F' U' R2 B' R'
B' L2 F' U' D B' R'
B' L2 F' U' D' B' R'
B' L2 F' U' D2 B' R'
B' L2 F' U' B' R' D
B' L2 F' U' B' R' D'
B' L2 F' U' B' R' D2
B' L2 F' U' B' D R'
B' L2 F' U' B' D' R'
B' L2 F' U' B' D2 R'
B' L2 F' D U' B' R'
B' L2 F' D' U' B' R'
B' L2 F' D2 U' B' R'
B' L2 F2 R' F' U' B'
B' L2 F2 U' R B' R'
B' L2 F2 U' R' B' R'
B' L2 F2 U' R2 B' R'
B' L2 F2 U' D B' R'
B' L2 F2 U' D' B' R'
B' L2 F2 U' D2 B' R'
B' L2 F2 U' B' R' D
B' L2 F2 U' B' R' D'
B' L2 F2 U' B' R' D2
B' L2 F2 U' B' D R'
B' L2 F2 U' B' D' R'
B' L2 F2 U' B' D2 R'
B' L2 F2 D U' B' R'
B' L2 F2 D' U' B' R'
B' L2 F2 D2 U' B' R'
B2 L2 B R' F' U' B2
B2 L2 B U' B' R' B'
B L2 B2 U' B' R' B2
B' R L2 U' B' D' R2
B' R L2 U' B' D' R2
B' R L2 U2 B U B2
R' U B' L2 F' U' B'
U' R B' L2 U' R' B'
B R B2 L2 F U' B'
B' R' L F' L U' B'
B' R' L2 D F' U' B'
B' R' L2 D' F' U' B'
B' R' L2 D2 F' U' B'
B' R' L2 F' R U' B'
B' R' L2 F' R' U' B'
B' R' L2 F' R2 U' B'
B' R' L2 F' U' D B'
B' R' L2 F' U' D' B'
B' R' L2 F' U' D2 B'
B' R' L2 F' U' B' D
B' R' L2 F' U' B' D'
B' R' L2 F' U' B' D2
B' R' L2 F' D U' B'
B' R' L2 F' D' U' B'
B' R' L2 F' D2 U' B'
B R' L2 F' B2 U' B
B R' L2 B2 F' U' B
R' U' B' L2 F' U' B'
F R' U' F' B' L2 U'
F R' U' B' L2 F' U'
F R' U' B' F' L2 U'
L2 U' B' R' U' F U
L2 U' B' U' F U R'
B' R' F' L2 U F2 U2
B' R' F' L2 U' D2 B2
B' R' F' L2 D R2 U'
B' R' F' L2 D2 U' B2
B' R' F' D R2 U' F2
F R' F' B' L2 U' B'
U' R' B' L2 U' R' B'
L2 U2 D F U B' R'
F R' B' F' L2 U' B'
B R' B2 L2 F' U' B'
L2 U2 D' F U B' R'
L2 U2 D2 F U B' R'
L2 U2 F U R B' R'
L2 U2 F U R' B' R'
L2 U2 F U R2 B' R'
L2 U2 F U D B' R'
L2 U2 F U D' B' R'
L2 U2 F U D2 B' R'
L2 U2 F U B' R' D
L2 U2 F U B' R' D'
L2 U2 F U B' R' D2
L2 U2 F U B' D R'
L2 U2 F U B' D' R'
L2 U2 F U B' D2 R'
L2 U2 F D U B' R'
L2 U2 F D' U B' R'
L2 U2 F D2 U B' R'
R' U2 B' L2 F' U' B'
U' R2 B' L2 U' R' B'
L2 D U2 F U B' R'
B' U D F U2 R F
B' U D' F B2 U2 R
B' U D' B2 F U2 R
L' D' L' U' B' L R'
L' D' L' U' B' R' L
B' U F U' L2 U' R
B' U F U2 R D F2
B' U F U2 D R F2
B' U F D U2 R F2
B' U F D' B2 U2 R
L2 D' U2 F U B' R'
B2 U' L2 B U' B2 R'
F U' L2 U2 F U R
B U' L2 B2 U' B R'
B U' D L2 F2 B' R'
B U' D L2 B' R' F2
B U' D L2 B' F2 R'
F U' D B' U' R' F2
F U' D B' U' F2 R'
F U' F B' L2 U' R'
F U' F' B' L2 U' R'
F U' F2 B' L2 U' R'
F U' B' L2 U' R' D
F U' B' L2 U' R' D'
F U' B' L2 U' R' D2
F U' B' L2 U' D R'
F U' B' L2 U' D' R'
F U' B' L2 U' D2 R'
F U' B' L2 D U' R'
F U' B' L2 D' U' R'
F U' B' L2 D2 U' R'
F U' B' L2 F U' R'
F U' B' L2 F' U' R'
F U' B' L2 F2 U' R'
F U' B' U' R' D F2
F U' B' U' D R' F2
F U' B' U' D F2 R'
F U' B' D U' R' F2
F U' B' D U' F2 R'
F U' B' F L2 U' R'
F U' B' F' L2 U' R'
F U' B' F2 L2 U' R'
F U' B2 L2 B U' R'
L2 D2 U2 F U B' R'
R' F U' F2 B' L2 U'
R' F U' B' L2 F2 U'
R' F U' B' F2 L2 U'
D F U' B' U' R' F
D F U' B' U' F R'
U F U' B' L2 U' R
B' D L2 U' F2 B' R'
B' D L2 U' B' R' F2
B' D L2 U' B' F2 R'
B' D U F U2 R F
B D U' L2 F2 B' R'
B D U' L2 B' R' F2
B D U' L2 B' F2 R'
F D U' B' U' R' F2
F D U' B' U' F2 R'
L2 F' U' D' B' L2 R'
L2 F' U' D' B' R' L2
L2 F' U' B' R' D' L2
L2 F' U' B' D' L2 R'
L2 F' U' B' D' R' L2
R' F' D R2 B' U' F2
L2 F' U2 F2 U B' R'
R' F' D B' R2 U' F2
L2 F' D' U' B' L2 R'
L2 F' D' U' B' R' L2
R' F' B' L2 U F2 U2
R' F' B' L2 U' D2 B2
R' F' B' L2 D R2 U'
R' F' B' L2 D2 U' B2
R' F' B' D R2 U' F2
B' D' U F B2 U2 R
B' D' U B2 F U2 R
L2 F2 U2 F' U B' R'
R' B L2 F' B2 U' B
R' B L2 B2 F' U' B
U' B D L2 F2 R B'
U' B D L2 F2 B' R
U' B D L2 B' F2 R
R B U D L2 F2 B'
R B U D L2 B' F2
R B U2 L2 B2 U' B
R B U2 B2 L2 U' B'
B' F R' F' L2 U' B'
R B D U L2 F2 B'
R B D U L2 B' F2
R B D2 F2 R2 U B
R' B' L F' L U' B'
U2 B' L F L U' B'
U' B' L2 R U' R2 B'
U' B' L2 R U' B' R2
U' B' L2 R2 U' R B'
U' B' L2 R2 U' B' R
U' B' L2 U' R B' R2
U' B' L2 U' R' D B'
U' B' L2 U' R' D' B'
U' B' L2 U' R' D2 B'
U' B' L2 U' R' B' D
U' B' L2 U' R' B' D'
U' B' L2 U' R' B' D2
U' B' L2 U' R2 B' R
U' B' L2 U' D R' B'
U' B' L2 U' D' R' B'
U' B' L2 U' D2 R' B'
R' B' L2 R U' B' R'
U' B' L2 D U' R' B'
U' B' L2 D' U' R' B'
U' B' L2 D2 U' R' B'
U' B' L2 F U' R' B'
D' B' L2 U' F B' R'
D' B' L2 U' B' R' F
U' B' L2 F' U' R' B'
D' B' L2 U' B' F R'
R' B' L2 D F' U' B'
U' B' L2 F2 U' R' B'
R' B' L2 D' F' U' B'
R' B' L2 D2 F' U' B'
R' B' L2 F' R U' B'
R' B' L2 F' R' U' B'
R' B' L2 F' R2 U' B'
R' B' L2 F' U' D B'
R' B' L2 F' U' D' B'
R' B' L2 F' U' D2 B'
R' B' L2 F' U' B' D
R' B' L2 F' U' B' D'
R' B' L2 F' U' B' D2
R' B' L2 F' D U' B'
R' B' L2 F' D' U' B'
R' B' L2 F' D2 U' B'
U' B' R L2 U' R2 B'
U' B' R L2 U' B' R2
R' B' R L2 U' B' R'
R2 B' L2 R F' U' B'
R2 B' L2 R2 U' B' R'
D B' L2 U' F2 B' R'
D B' L2 U' B' R' F2
D B' L2 U' B' F2 R'
R2 B' R L2 F' U' B'
U' B' R2 L2 U' R B'
U' B' R2 L2 U' B' R
U B' L2 F U' R B'
U B' L2 F U' B' R
R B' L2 U' D' R2 B'
R B' L2 U' D' B' R2
R B' L2 U2 B2 U B
R B' L2 D' U' R2 B'
R B' L2 D' U' B' R2
R B' L2 D2 F2 U' B'
R2 B' R2 L2 U' B' R'
D' B' U F B' U2 R
D' B' U B' F U2 R
F2 B' L2 U F' L' U2
D B' U F U2 R F
D2 B' D2 L2 U' B' R'
F B' R' F' L2 U' B'
D B' D' L2 U' B' R'
R' B' F' L2 U F2 U2
R' B' F' L2 U' D2 B2
R' B' F' L2 D R2 U'
R' B' F' L2 D2 U' B2
R' B' F' D R2 U' F2
U' B2 L2 B U' R' B2
R' B2 L2 F' B U' B2
R' B2 L2 B F' U' B2
B' F2 L2 U F' L' U2
R B2 L2 F B U' B2
R B2 L2 B F U' B2
