D' F' R U B R'
F' L R B' U F' B2
F' L R B' U B2 F'
L' R F U' F2 B L
L' R F U' B L F2
L' R F U' B F2 L
D' L F' R U B R'
L R B' U F' L' B2
L R B' U F' B2 L'
L R B' U B2 F' L'
R L B' U F' L' B2
R L B' U F' B2 L'
R L B' U B2 F' L'
F' L B' R U F' B
F' L B' R U B F'
R L' F U' F2 B L
R L' F U' B L F2
R L' F U' B F2 L
D' L' F' R U B R'
D' L2 F' R U B R'
R U D F' L' B R
R U D F' B L' R
R U D F' B R L'
R U D B F' L' R
R U D B F' R L'
R U D' F' L' B R'
R U D' F' B L' R'
R U D' F' B R' L'
F' R L B' U F' B2
F' R L B' U B2 F'
R U D' B F' L' R'
R U D' B F' R' L'
F' R U D F' B R
F' R U D B F' R
F' R U D' F' B R'
F' R U D' B F' R'
F' R U F' D' B R'
F' R U B D F' R
R U F' D' L' B R'
R U F' D' B L' R'
R U F' D' B R' L'
R U B D F' L' R
R U B D F' R L'
F' R D U F' B R
F' R D U B F' R
F' R D' U F' B R'
F' R D' U B F' R'
F R D' L2 F' B R'
F R D' L2 B F' R'
F R D' F' L2 B R'
F R D' F' B L2 R'
F R D' F' B R' L2
F R D' B L2 F' R'
F R D' B F' L2 R'
F R D' B F' R' L2
F2 R F' D' L2 B R'
F2 R F' D' B L2 R'
F2 R F' D' B R' L2
R U' D F' B L R
R U' D F' B R L
R U' D B L F' R
R U' D B F' L R
R U' D B F' R L
R U' D' F' B L R'
R U' D' F' B R' L
R U' D' B L F' R'
R U' D' B F' L R'
R U' D' B F' R' L
R U' F' D' B L R'
R U' F' D' B R' L
R U' B D L F' R
R U' B D F' L R
R U' B D F' R L
R D U F' L' B R
R D U F' B L' R
R D U F' B R L'
R D U B F' L' R
R D U B F' R L'
R D U' F' B L R
R D U' F' B R L
R D U' B L F' R
R D U' B F' L R
R D U' B F' R L
R' D F' B R' U2 R2
R' D B F' R' U2 R2
R2 D B R' U' F' R
R D' U F' L' B R'
R D' U F' B L' R'
R D' U F' B R' L'
R D' U B F' L' R'
R D' U B F' R' L'
R D' U' F' B L R'
R D' U' F' B R' L
R D' U' B L F' R'
R D' U' B F' L R'
R D' U' B F' R' L
R' D' F' B R U2 R2
L D' F' R B' U B2
L D' F' B' R U B
R' D' B F' R U2 R2
L D' B' F' R U B
D' F' L R U B R'
D' F' L' R U B R'
D' F' L2 R U B R'
D' F' R L U B R'
D' F' R L' U B R'
D' F' R L2 U B R'
D' F' R U B R' D
D' F' R U B R' D'
D' F' R U B R' D2
D' F' R U B D R'
D' F' R U B D' R'
D' F' R U B D2 R'
D' F' R B' U B2 R'
L F' R B' U F' B2
L F' R B' U B2 F'
D' F' B R U B R2
D F' B R' U R2 B
L F' B' R U F' B
L F' B' R U B F'
B' D' F' R U B R'
B2 D' F' R U B R'
B D' F' R U B R'
D' B F' R U B R2
D B F' R' U R2 B
L B' R U F' L' B
L B' R U F' B L'
L B' R U B F' L'
L B' D' F' R U B
L B' F' R U F' B
L B' F' R U B F'
