U' R2 B R' F' U2
U F' B' D2 L B'
U B' D2 L F' B'
U B' D2 L B' F'
U B' D2 F' L B'
U B' F' D2 L B'
D2 L U D2 F' B' L
D2 L U D2 B' L F'
D2 L U D2 B' F' L
D2 L U F B' L' F2
D2 L U B' F L' F2
D2 L D2 U F' B' L
D2 L D2 U B' L F'
D2 L D2 U B' F' L
D2 L F U B' L' F2
U L F' B' D2 L B'
U L B' D2 L F' B'
U L B' D2 L B' F'
U L B' D2 F' L B'
U L B' F' D2 L B'
D2 L' U' F U2 L' F2
D L' D2 F L' U F2
U' L' F' B2 R' B L
U L' F' B' D2 L B'
U L' B' D2 L F' B'
U L' B' D2 L B' F'
U L' B' D2 F' L B'
U L' B' F' D2 L B'
U' L' B2 F' R' B L
U L2 F' B' D2 L B'
U L2 B' D2 L F' B'
U L2 B' D2 L B' F'
U L2 B' D2 F' L B'
U L2 B' F' D2 L B'
R' U D2 L' F L' B
R' U D2 L' F B L'
R' U D2 L' B F L'
R' U D2 F L' F B
R' U D2 F L' B F
R' U D2 F B L' F
R' U D2 B L' F L'
R' U D2 B F L' F
L' U F' B' D2 L B'
L2 U F' B' D2 L B'
L U F' B' D2 L B'
F R U F2 L2 B' L
R' U B U2 R' B U2
L' U B' D2 L F' B'
L' U B' D2 L B' F'
L' U B' D2 F' L B'
L' U B' F' D2 L B'
L2 U B' D2 L F' B'
L2 U B' D2 L B' F'
L2 U B' D2 F' L B'
L2 U B' F' D2 L B'
L U B' D2 L F' B'
L U B' D2 L B' F'
L U B' D2 F' L B'
L U B' F' D2 L B'
U' R D2 F' R B U2
U' R F' R B R' U2
U' R F' B R' U2 F'
U' R F' B' U2 L F
R' U' R' B R' F' U2
U' R B F' R' U2 F'
L' U' R2 B R' F' U2
L2 U' R2 B R' F' U2
U' R B' F' U2 L F
L U' R2 B R' F' U2
F' R B2 D' R2 B L
F2 R' U D2 F L' B
F2 R' U D2 F B L'
F2 R' U D2 B F L'
F2 R' U F B' L B2
F2 R' U B' F L B2
R' U' B R' B U2 B'
F R' U F2 B' L B2
F R' U B' L F2 B2
F R' U B' L B2 F2
F R' U B' F2 L B2
R2 U' B R' U L U
F2 R' D2 U F L' B
F2 R' D2 U F B L'
F2 R' D2 U B F L'
U' R' B R' B U2 B'
U R' B R D2 L2 F'
U R' B R D2 F' L2
U R' B R F' D2 L2
U R' B' L R F' B2
U R' B' L R B2 F'
U R' B' L B2 R F'
U R' B' R L F' B2
U R' B' R L B2 F'
U R' B' R F' L B2
U' R2 F B R' F' U2
U' R2 F' B R' F' U2
U' R2 F2 B R' F' U2
U' R2 B R' D F' U2
U' R2 B R' D' F' U2
U' R2 B R' D2 F' U2
U' R2 B R' F' U2 D
U' R2 B R' F' U2 D'
U' R2 B R' F' U2 D2
U' R2 B R' F' D U2
U' R2 B R' F' D' U2
U' R2 B R' F' D2 U2
U' R2 B D R' F' U2
U' R2 B D' R' F' U2
U' R2 B D2 R' F' U2
U' R2 B F R' F' U2
U' R2 B F' R' F' U2
U' R2 B F2 R' F' U2
U R2 B R' F' U2 R'
D2 U L D2 F' B' L
D2 U L D2 B' L F'
D2 U L D2 B' F' L
D2 U L F B' L' F2
D2 U L B' F L' F2
D2 U L2 F L' F2 B'
D2 U L2 F L' B' F2
D2 U F L F2 B' L2
D2 U F L B' L2 F2
D2 U F L B' F2 L2
F2 U D2 F L B' L2
F2 U F B' D2 L B'
F U F2 B' D2 L B'
F2 U B' D2 F L B'
F2 U B' F D2 L B'
F U B' F2 D2 L B'
R' D2 L' U F L' B
R' D2 L' U F B L'
R' D2 L' U B F L'
U D2 L D2 F' B' L
U D2 L D2 B' L F'
U D2 L D2 B' F' L
U D2 L F B' L' F2
U D2 L B' F L' F2
F2 U' B R' U2 F B
F2 U' B R' U2 B F
R' D2 U L' F L' B
R' D2 U L' F B L'
R' D2 U L' B F L'
R' D2 U F L' F B
R' D2 U F L' B F
R' D2 U F B L' F
F U' B R' U2 F2 B
F U' B R' U2 B F2
R' D2 U B L' F L'
R' D2 U B F L' F
U D2 L2 F L' F2 B'
U D2 L2 F L' B' F2
R' D2 F U L' F B
R' D2 F U L' B F
R' D2 F U B L' F
U D2 F L F2 B' L2
U D2 F L B' L2 F2
U D2 F L B' F2 L2
D2 F L U F2 B' L2
D2 F L U B' L2 F2
D2 F L U B' F2 L2
D' F L' R F' U F'
D' F R L' F' U F'
D2 F U L F2 B' L2
D2 F U L B' L2 F2
D2 F U L B' F2 L2
U' F B R' U2 F2 B
U' F B R' U2 B F2
U' F' L' B2 R' B L
U F' L B' D2 L B'
U F' L' B' D2 L B'
U F' L2 B' D2 L B'
U F' R' B R D2 L2
U F' R' B' L R B2
U F' R' B' L B2 R
U F' R' B' R L B2
U F' D2 L D2 B' L
U F' B U2 R' U2 B
U F' B D2 B2 L B'
U F' B' L R' B R
U F' B' R' L B R
U F' B' D2 L D B'
U F' B' D2 L D' B'
U F' B' D2 L D2 B'
U F' B' D2 L B' D
U F' B' D2 L B' D'
U F' B' D2 L B' D2
U F' B2 R' B L R
U F' B2 R' B R L
U F' B2 D2 B L B'
D' F2 R F' L' U F2
D' F2 U D' F L' B'
B' D2 L F' B' D' R2
B' D2 L B' D' F' R2
B' D2 L B' F' D' R2
D' F2 D' U F L' B'
U' F2 B R' U2 F B
U' F2 B R' U2 B F
U F2 D2 F L B' L2
F2 D2 U F L B' L2
U F2 B' D2 F L B'
B' D2 F' L B' D' R2
U' B R2 B R U2 B
R2 B R' F' U B' U
U B R' U2 B R F'
U' B F R' U2 F2 B
U' B F R' U2 B F2
U' B F2 R' U2 F B
