F L U' R B U' F
F' L U2 F D' L' B2
F' L U2 F D' B2 L'
F2 L D R F' U2 F2
B2 L F L2 R' D B2
B2 L F R' L2 D B2
F' L F D' L' B2 R'
F' L' U' L2 U2 F L'
L2 U L' U2 F B' L2
L2 U L' U2 B' F L2
F2 R D' L U2 F B'
F2 R D' L U2 B' F
L U' R U' F L2 B
L U' R U' F B L2
L U' R U' B F L2
L' U2 B' L2 U' R' U'
F2 D L R F' U2 F2
F2 D R L F' U2 F2
F2 D R F' L U2 F
L F' U L' U L' F2
F2 D' L R U2 F B'
F2 D' L R U2 B' F
F2 D' R L U2 F B'
F2 D' R L U2 B' F
U2 B2 L' D' R' F' B
U2 B2 L' D' R' B F'
U B2 R' D L' F B'
U B2 R' D L' B' F
U2 B2 D' L' R' F' B
U2 B2 D' L' R' B F'
U2 B2 D' R' L' F' B
U2 B2 D' R' L' B F'
U2 B2 D' R' B L' F'
U B2 D L' R' F B'
U B2 D L' R' B' F
U B2 D L' F R' B'
U B2 D R' L' F B'
U B2 D R' L' B' F
