U2 L U' L' B'
U2 L R U' L' B'
U2 L R' U' L' B'
U2 L R2 U' L' B'
U2 L U' L' D B'
U2 L U' L' D' B'
U2 L U' L' D2 B'
U2 L U' L' B' D
U2 L U' L' B' D'
U2 L U' L' B' D2
U2 L U' D L' B'
U2 L U' D' L' B'
U2 L U' D2 L' B'
U2 L U' B L' B'
U2 L U' B' L' B'
U2 L U' B2 L' B'
U2 L D U' L' B'
U2 L D U' L' B'
U2 L D' U' L' B'
U2 L D2 U' L' B'
U2 L B' R' U' L'
F' L' U2 L2 U' L2
U2 R L U' L' B'
U2 R' L U' L' B'
U2 R2 L U' L' B'
U2 D L U' L' B'
U2 D' L U' L' B'
U2 D2 L U' L' B'
D2 U2 L U' L' B'
D' U2 L U' L' B'
D U2 L U' L' B'
F U2 L R U' L'
F U2 R L U' L'
U' L R U L' U2 B
U2 L R U' L' D B'
U2 L R U' L' D' B'
U2 L R U' L' D2 B'
U2 L R U' L' B' D
U2 L R U' L' B' D'
U2 L R U' L' B' D2
U2 L R U' D L' B'
U2 L R U' D' L' B'
U2 L R U' D2 L' B'
U2 L R U' B L' B'
U2 L R U' B' L' B'
U2 L R U' B2 L' B'
F L R U R' U2 R
U2 L R D U' L' B'
U2 L R D' U' L' B'
L R U R' U2 R B
U2 L R D2 U' L' B'
R L U R' U2 R B
U' L R F2 U' B R
U2 L R B' R' U' L'
U' L R' U L' F' U2
U2 L R' U' L' D B'
U2 L R' U' L' D' B'
U2 L R' U' L' D2 B'
U2 L R' U' L' B' D
U2 L R' U' L' B' D'
U2 L R' U' L' B' D2
U2 L R' U' D L' B'
U2 L R' U' D' L' B'
U2 L R' U' D2 L' B'
U2 L R' U' B L' B'
U2 L R' U' B' L' B'
U2 L R' U' B2 L' B'
U2 L R' D U' L' B'
U2 L R' D' U' L' B'
U2 L R' D2 U' L' B'
L R U' R' F' U2 F
U2 L R' B' R' U' L'
R L U' R' F' U2 F
U2 L R2 U' L' D B'
U2 L R2 U' L' D' B'
U2 L R2 U' L' D2 B'
U2 L R2 U' L' B' D
U2 L R2 U' L' B' D'
U2 L R2 U' L' B' D2
U2 L R2 U' D L' B'
U2 L R2 U' D' L' B'
U2 L R2 U' D2 L' B'
U2 L R2 U' B L' B'
U2 L R2 U' B' L' B'
U2 L R2 U' B2 L' B'
U2 L R2 D U' L' B'
U2 L R2 D' U' L' B'
U2 L R2 D2 U' L' B'
U2 L R2 B' R' U' L'
U2 L U R U2 L' B
U2 L U R U2 B L'
U2 L U F2 R U2 B
U2 L U' L B L2 B'
U2 L U' L B' L2 B'
U2 L U' L B2 L2 B'
U2 L U' L' R' B' R
U2 L U' L' R2 B' R2
U2 L U' L' D B' D
U2 L U' L' D B' D'
U2 L U' L' D B' D2
U2 L U' L' D' B' D
U2 L U' L' D' B' D'
U2 L U' L' D' B' D2
U2 L U' L' D2 B' D
U2 L U' L' D2 B' D'
U2 L U' L' D2 B' D2
U2 L U' L' B2 D B
U2 L U' L' B2 D' B
U2 L U' L' B2 D2 B
U2 L U' R' L' B' R
U2 L U' R2 L' B' R2
U2 L U' D L' D B'
U2 L U' D L' D' B'
U2 L U' D L' D2 B'
U2 L U' D L' B' D
U2 L U' D L' B' D'
U2 L U' D L' B' D2
U2 L U' D B L' B'
U2 L U' D B' L' B'
U2 L U' D B2 L' B'
U2 L U' D' L' D B'
U2 L U' D' L' D' B'
U2 L U' D' L' D2 B'
U2 L U' D' L' B' D
U2 L U' D' L' B' D'
U2 L U' D' L' B' D2
U2 L U' D' B L' B'
U2 L U' D' B' L' B'
U2 L U' D' B2 L' B'
U2 L U' D2 L' D B'
U2 L U' D2 L' D' B'
U2 L U' D2 L' D2 B'
U2 L U' D2 L' B' D
U2 L U' D2 L' B' D'
U2 L U' D2 L' B' D2
U2 L U' D2 B L' B'
U2 L U' D2 B' L' B'
U2 L U' D2 B2 L' B'
U2 L U' B L' D B'
U2 L U' B L' D' B'
U2 L U' B L' D2 B'
U2 L U' B L' B' D
U2 L U' B L' B' D'
U2 L U' B L' B' D2
U2 L U' B D L' B'
U2 L U' B D' L' B'
U2 L U' B D2 L' B'
U2 L U' B' L' D B'
U2 L U' B' L' D' B'
U2 L U' B' L' D2 B'
U2 L U' B' L' B' D
U2 L U' B' L' B' D'
U2 L U' B' L' B' D2
U2 L U' B' D L' B'
U2 L U' B' D' L' B'
U2 L U' B' D2 L' B'
U2 L U' B2 L' D B'
U2 L U' B2 L' D' B'
U2 L U' B2 L' D2 B'
U2 L U' B2 L' B' D
U2 L U' B2 L' B' D'
U2 L U' B2 L' B' D2
U2 L U' B2 D L' B'
U2 L U' B2 D' L' B'
U2 L U' B2 D2 L' B'
U2 L D R U' L' B'
U2 L D R' U' L' B'
U2 L D R2 U' L' B'
U2 L D U' L' D B'
U2 L D U' L' D' B'
U2 L D U' L' D2 B'
U2 L D U' L' B' D
U2 L D U' L' B' D'
U2 L D U' L' B' D2
U2 L D U' B L' B'
U2 L D U' B' L' B'
U2 L D U' B2 L' B'
U2 L D B' R' U' L'
U2 L D' R U' L' B'
U2 L D' R' U' L' B'
U2 L D' R2 U' L' B'
U2 L D' U' L' D B'
U2 L D' U' L' D' B'
U2 L D' U' L' D2 B'
U2 L D' U' L' B' D
U2 L D' U' L' B' D'
U2 L D' U' L' B' D2
U2 L D' U' B L' B'
U2 L D' U' B' L' B'
U2 L D' U' B2 L' B'
U2 L D' B' R' U' L'
U2 L D2 R U' L' B'
U2 L D2 R' U' L' B'
U2 L D2 R2 U' L' B'
U2 L D2 U' L' D B'
U2 L D2 U' L' D' B'
U2 L D2 U' L' D2 B'
U2 L D2 U' L' B' D
U2 L D2 U' L' B' D'
U2 L D2 U' L' B' D2
U2 L D2 U' B L' B'
U2 L D2 U' B' L' B'
U2 L D2 U' B2 L' B'
U2 L D2 B' R' U' L'
U' L F2 R' U' R2 B
U' L F2 R2 U' R' B
U2 L B U' L' D' B2
U2 L B U2 L U L2
L' R' U D F2 L' B'
R' L' U D F2 L' B'
U2 L B' R' U' L' D
U2 L B' R' U' L' D'
U2 L B' R' U' L' D2
U2 L B' R' U' D L'
U2 L B' R' U' D' L'
U2 L B' R' U' D2 L'
U2 L B' R' D U' L'
U2 L B' R' D' U' L'
U2 L B' R' D2 U' L'
U2 L B' R' B U' L'
U2 L B' R' B' U' L'
U2 L B' R' B2 U' L'
U2 L B' D R' U' L'
U2 L B' D' R' U' L'
U2 L B' D2 R' U' L'
R' L' D U F2 L' B'
L' R' D U F2 L' B'
F' L' R' U D F2 L'
F' L' R' D U F2 L'
F' L' R2 D2 R2 U L2
F' L' U D F2 D' L2
U L' U L2 U' L2 B'
F' L' U2 L2 U' L2 D
F' L' U2 L2 U' L2 D'
F' L' U2 L2 U' L2 D2
F' L' U2 L2 D' B2 U'
F' L' U2 L2 B U' L2
F' L' U2 L2 B' U' L2
F' L' U2 L2 B2 U' L2
F L' U2 L2 R U' L2
F L' U2 R L2 U' L2
F' L' U2 B L2 U' L2
F' L' U2 B' L2 U' L2
F' L' U2 B2 L2 U' L2
F' L' D R' U F2 L'
F' L' D U F2 D' L2
U L' D F2 D' B' L2
U L' D F2 B' D' L2
U L' D B' F2 D' L2
F' L' D2 R2 U D2 L2
F' L' D2 R2 U' R2 U2
F' L' D2 R2 D' F2 U
F' L' D2 R2 D2 U L2
U L' D2 R2 U R2 B'
U L' D2 R2 U B' R2
F' L' F U2 L2 U' L2
F' L' F' U2 L2 U' L2
F' L' F2 U2 L2 U' L2
U L' F2 D' B' L2 F
U L' B' U L2 U' L2
U L' B' D F2 D' L2
F L2 U2 L' R U' L
F L2 U2 R L' U' L
R' U L' D F2 B' L'
R' U L' D B' F2 L'
R' U L' B' D F2 L'
U2 L2 B' L' R' U' L'
U2 L2 B' R' L' U' L'
U' R L U L' U2 B
U2 R L U' L' D B'
U2 R L U' L' D' B'
U2 R L U' L' D2 B'
U2 R L U' L' B' D
U2 R L U' L' B' D'
U2 R L U' L' B' D2
U2 R L U' D L' B'
U2 R L U' D' L' B'
U2 R L U' D2 L' B'
U2 R L U' B L' B'
U2 R L U' B' L' B'
U2 R L U' B2 L' B'
U2 R L D U' L' B'
U2 R L D' U' L' B'
F R L U R' U2 R
U' R L F2 U' B R
U2 R L D2 U' L' B'
U2 R L B' R' U' L'
R' U F2 L' D F2 B'
R' U F2 L' D B' F2
R' U F2 L' B' D F2
U' R U' L U' L' B
U' R U' L U' B L'
U2 R D L U' L' B'
U2 R D' L U' L' B'
U2 R D2 L U' L' B'
R' U' R U' L U' B
R U' R' F' U' L U'
U' R' L U L' F' U2
U2 R' L U' L' D B'
U2 R' L U' L' D' B'
U2 R' L U' L' D2 B'
U2 R' L U' L' B' D
U2 R' L U' L' B' D'
U2 R' L U' L' B' D2
U2 R' L U' D L' B'
U2 R' L U' D' L' B'
U2 R' L U' D2 L' B'
U2 R' L U' B L' B'
U2 R' L U' B' L' B'
U2 R' L U' B2 L' B'
U2 R' L D U' L' B'
U2 R' L D' U' L' B'
U2 R' L D2 U' L' B'
F' R' L' U D F2 L'
U2 R' L B' R' U' L'
F' R' L' D U F2 L'
U2 R' D L U' L' B'
U2 R' D' L U' L' B'
R' U2 L U R U2 B
U2 R' D2 L U' L' B'
R U2 L U R' F' U2
L2 U2 L' U' L' B' L2
L' U2 L2 U' L' B' L'
L' U2 L2 B' R' U' L2
U' R' F' U' L U' L'
B2 R' B2 U' R U2 B
U2 R2 L U' L' D B'
U2 R2 L U' L' D' B'
U2 R2 L U' L' D2 B'
U2 R2 L U' L' B' D
U2 R2 L U' L' B' D'
U2 R2 L U' L' B' D2
U2 R2 L U' D L' B'
U2 R2 L U' D' L' B'
U2 R2 L U' D2 L' B'
U2 R2 L U' B L' B'
U2 R2 L U' B' L' B'
U2 R2 L U' B2 L' B'
U2 R2 L D U' L' B'
U2 R2 L D' U' L' B'
U2 R2 L D2 U' L' B'
U2 R2 L B' R' U' L'
F' R2 L' D2 R2 U L2
L' U2 B' L2 R' U' L2
L' U2 B' R' L2 U' L2
L2 U2 B' L' R' U' L
L2 U2 B' R' L' U' L
U2 R2 D L U' L' B'
U2 R2 D' L U' L' B'
U2 R2 D2 L U' L' B'
L' D R' U F2 L' B'
U2 D L R U' L' B'
U2 D L R' U' L' B'
U2 D L R2 U' L' B'
U2 D L U' L' D B'
U2 D L U' L' D' B'
U2 D L U' L' D2 B'
U2 D L U' L' B' D
U2 D L U' L' B' D'
U2 D L U' L' B' D2
U2 D L U' D L' B'
U2 D L U' D' L' B'
U2 D L U' D2 L' B'
U2 D L U' B L' B'
U2 D L U' B' L' B'
U2 D L U' B2 L' B'
U2 D L D U' L' B'
U2 D L D' U' L' B'
U2 D L D2 U' L' B'
U2 D L B' R' U' L'
B2 U L' R' B2 U B
F' U L' D2 R2 U R2
U2 D R L U' L' B'
B2 U R' L' B2 U B
U2 D R' L U' L' B'
B2 U R' B2 L' U B'
U2 D R2 L U' L' B'
U2 D' L R U' L' B'
U2 D' L R' U' L' B'
U2 D' L R2 U' L' B'
U2 D' L U' L' D B'
U2 D' L U' L' D' B'
U2 D' L U' L' D2 B'
U2 D' L U' L' B' D
U2 D' L U' L' B' D'
U2 D' L U' L' B' D2
U2 D' L U' D L' B'
U2 D' L U' D' L' B'
U2 D' L U' D2 L' B'
U2 D' L U' B L' B'
U2 D' L U' B' L' B'
U2 D' L U' B2 L' B'
U2 D' L D U' L' B'
U2 D' L D' U' L' B'
U2 D' L D2 U' L' B'
U2 D' L B' R' U' L'
F' U B2 L' R' U R
F' U B2 R' L' U R
U2 D' R L U' L' B'
F2 U' L F2 U' R B
F U' L R U L' U2
F U' L R F2 U' R
U2 D' R' L U' L' B'
U2 D' R2 L U' L' B'
F U' R L U L' U2
F U' R L F2 U' R
D' U2 L R U' L' B'
D' U2 L R' U' L' B'
D' U2 L R2 U' L' B'
D2 U2 L R U' L' B'
D' U2 L U' L' D B'
D' U2 L U' L' D' B'
D' U2 L U' L' D2 B'
D' U2 L U' L' B' D
D' U2 L U' L' B' D'
D' U2 L U' L' B' D2
D' U2 L U' D L' B'
D' U2 L U' D' L' B'
D' U2 L U' D2 L' B'
D2 U2 L R' U' L' B'
D' U2 L U' B L' B'
D' U2 L U' B' L' B'
D' U2 L U' B2 L' B'
D2 U2 L R2 U' L' B'
D' U2 L D U' L' B'
D2 U2 L U' L' D B'
D2 U2 L U' L' D' B'
D2 U2 L U' L' D2 B'
D2 U2 L U' L' B' D
D2 U2 L U' L' B' D'
D2 U2 L U' L' B' D2
D' U2 L D' U' L' B'
D2 U2 L U' D L' B'
D2 U2 L U' D' L' B'
D2 U2 L U' D2 L' B'
D2 U2 L U' B L' B'
D2 U2 L U' B' L' B'
D2 U2 L U' B2 L' B'
D' U2 L D2 U' L' B'
D2 U2 L D U' L' B'
D2 U2 L D' U' L' B'
D2 U2 L D2 U' L' B'
U2 D2 L R U' L' B'
D' U2 L B' R' U' L'
U2 D2 L R' U' L' B'
U2 D2 L R2 U' L' B'
U2 D2 L U' L' D B'
U2 D2 L U' L' D' B'
U2 D2 L U' L' D2 B'
U2 D2 L U' L' B' D
U2 D2 L U' L' B' D'
U2 D2 L U' L' B' D2
D2 U2 L B' R' U' L'
U2 D2 L U' D L' B'
U2 D2 L U' D' L' B'
U2 D2 L U' D2 L' B'
U2 D2 L U' B L' B'
