U' L' R2 F B' U'
U' L' R2 B' F U'
B L' R2 F U' L2
R2 L' F B U' L
R2 L' B F U' L
U' L' F R2 B' U'
U' L' F B' R2 U'
B L' F R2 U' L2
U' L' B' R2 F U'
U' L' B' F R2 U'
L' R2 F B U' L
L' R2 B F U' L
U' R2 L' F B' U'
U' R2 L' B' F U'
B R2 L' F U' L2
L' F R2 B U' L
L' F B R2 U' L
R2 B L' F U' L2
L' B R2 F U' L
L' B F R2 U' L
B L U L2 R2 F U'
B L U L2 F R2 U'
B L U R2 L2 F U'
L' R B R F U' L
U' L' R B' R F U'
U L' R B R F U'
R2 L' D F B U' L
U' L' R' F R' B' U'
R2 L' D B F U' L
B L' R' F R' U' L2
U' L' R2 D F B' U'
U' L' R2 D B' F U'
U' L' R2 D' F B' U'
U' L' R2 D' B' F U'
U' L' R2 D2 F B' U'
U' L' R2 D2 B' F U'
U' L' R2 F D B' U'
U' L' R2 F D' B' U'
U' L' R2 F D2 B' U'
U' L' R2 F B' U' D
U' L' R2 F B' U' D'
U' L' R2 F B' U' D2
U' L' R2 F B' D U'
U' L' R2 F B' D' U'
U' L' R2 F B' D2 U'
B2 L' R2 D2 F U' L'
R2 L' D' F B U' L
U2 L' R2 F U R U2
B L' R2 D' F B2 U'
B L' R2 D' B2 F U'
B2 L' R2 F B' U' L
U L' R2 D' F U' L'
B L' R2 F U' L2 D
B L' R2 F U' L2 D'
B L' R2 F U' L2 D2
B L' R2 F D' B2 U'
B L' R2 F B U' L2
B L' R2 F B' U' L2
B L' R2 F B2 U' L2
R2 L' D' B F U' L
U' L' R2 B' D F U'
U' L' R2 B' D' F U'
U' L' R2 B' D2 F U'
U' L' R2 B' F U' D
U' L' R2 B' F U' D'
U' L' R2 B' F U' D2
U' L' R2 B' F D U'
U' L' R2 B' F D' U'
U' L' R2 B' F D2 U'
B2 L' R2 B' F U' L
B L' R2 B F U' L2
B L' R2 B' F U' L2
B L' R2 B2 F U' L2
R2 L' D2 F B U' L
R2 L' D2 B F U' L
R' L' F R' B U' L
L' R' F R' B U' L
R2 L' F U2 F' U L'
R2 L' F D B U' L
R2 L' F D' B U' L
R2 L' F D2 B U' L
R2 L' F B U' L D
R2 L' F B U' L D'
R2 L' F B U' L D2
R2 L' F B U' D L
R2 L' F B U' D' L
R2 L' F B U' D2 L
R2 L' F B D U' L
R2 L' F B D' U' L
R2 L' F B D2 U' L
R2 L' F B' U R' U2
B' L' D F U' B2 L
U' L' D F B' U' B'
U' L' D B' F U' B'
R L' B R F U' L
R2 L' B D F U' L
R2 L' B D' F U' L
R2 L' B D2 F U' L
R2 L' B F U' L D
R2 L' B F U' L D'
R2 L' B F U' L D2
R2 L' B F U' D L
R2 L' B F U' D' L
R2 L' B F U' D2 L
R2 L' B F D U' L
R2 L' B F D' U' L
R2 L' B F D2 U' L
R2 L' B' F U R' U2
U' L' F R B' R U'
B' L' F R2 U R U2
U' L' F R2 D B' U'
U' L' F R2 D' B' U'
U' L' F R2 D2 B' U'
U' L' F R2 B' U' D
U' L' F R2 B' U' D'
U' L' F R2 B' U' D2
U' L' F R2 B' D U'
U' L' F R2 B' D' U'
U' L' F R2 B' D2 U'
U2 L' F R2 U R' U2
B' L' F U' D B2 L
U2 L' F R2 B2 U' L
B2 L' F R2 B' U' L
B L' F R2 U' L2 D
B L' F R2 U' L2 D'
B L' F R2 U' L2 D2
B L' F R2 D' B2 U'
B L' F R2 B U' L2
B' L' F D U' B2 L
B L' F R2 B' U' L2
B L' F R2 B2 U' L2
U' L' F D B' U' B'
U L' F R B R U'
B L' F U' L2 D B2
U' L' F B R2 B2 U'
R2 L' B2 D2 F U' L'
U' L' F B' R2 U' D
U' L' F B' R2 U' D'
U' L' F B' R2 U' D2
U' L' F B' R2 D U'
U' L' F B' R2 D' U'
U' L' F B' R2 D2 U'
U' L' F B' U' D B2
U' L' F B' D U' B2
B' L' F B2 R2 U' L
B2 L' F B' R2 U' L
B L' F B R2 U' L2
B L' F B' R2 U' L2
B L' F B2 R2 U' L2
B' L' F' R2 F2 U' L'
U' L' F' R2 F2 B' U'
U' L' F' R2 B' F2 U'
B L' F' R2 F2 U' L2
U' L' F' B' R2 F2 U'
U' L' B R2 F B2 U'
U' L' B R2 B2 F U'
B L' B R2 F U' L2
U' L' B F R2 B2 U'
B L' B F R2 U' L2
U' L' B' R' F R' U'
U' L' B' R2 D F U'
U' L' B' R2 D' F U'
U' L' B' R2 D2 F U'
U' L' B' R2 F U' D
U' L' B' R2 F U' D'
U' L' B' R2 F U' D2
U' L' B' R2 F D U'
U' L' B' R2 F D' U'
U' L' B' R2 F D2 U'
L' R2 D F B U' L
B2 L' B' R2 F U' L
B L' B' R2 F U' L2
L' R2 D B F U' L
U' L' B' D F U' B2
U' L' B' F R2 U' D
U' L' B' F R2 U' D'
U' L' B' F R2 U' D2
U' L' B' F R2 D U'
U' L' B' F R2 D' U'
U' L' B' F R2 D2 U'
U' L' B' F U' D B2
U' L' B' F D U' B2
U' L' B' F' R2 F2 U'
B2 L' B' F R2 U' L
B L' B' F R2 U' L2
B' L' B2 R2 F U' L
L' R2 D' F B U' L
L' R2 D' B F U' L
B L' B2 R2 F U' L2
B' L' B2 F R2 U' L
B L' B2 F R2 U' L2
L' R2 D2 F B U' L
L' R2 D2 B F U' L
L' R2 F U2 F' U L'
L' R2 F D B U' L
L' R2 F D' B U' L
L' R2 F D2 B U' L
L' R2 F B U' L D
L' R2 F B U' L D'
L' R2 F B U' L D2
L' R2 F B U' D L
L' R2 F B U' D' L
L' R2 F B U' D2 L
L' R2 F B D U' L
L' R2 F B D' U' L
L' R2 F B D2 U' L
L' R2 F B' U R' U2
L' R2 B D F U' L
L' R2 B D' F U' L
L' R2 B D2 F U' L
L' R2 B F U' L D
L' R2 B F U' L D'
L' R2 B F U' L D2
L' R2 B F U' D L
L' R2 B F U' D' L
L' R2 B F U' D2 L
L' R2 B F D U' L
L' R2 B F D' U' L
L' R2 B F D2 U' L
L' R2 B' F U R' U2
L' R2 B2 D2 F U' L'
R U L' R F B U'
R U L' R B F U'
R U R L' F B U'
R U R L' B F U'
R U R B L' F U'
U' R L' B' R F U'
U R L' B R F U'
R' U' L' R' F B' U'
R' U' L' R' B' F U'
R' U' L' F R' B' U'
R U' L' R F B' U'
R U' L' R B' F U'
R2 U' L' F B' U' B
R2 U' L' B' F U' B
R U' L' B' R F U'
R U' R L' F B' U'
R U' R L' B' F U'
R' U' R' L' F B' U'
R' U' R' L' B' F U'
U R B L' R F U'
U R B R L' F U'
L' U' R2 F U' F' L'
U' R' L' F R' B' U'
B R' L' F R' U' L2
B' R' U' L' R' F U'
B' R' U' L' F R' U'
B' R' U' R' L' F U'
U' R2 L' D F B' U'
U' R2 L' D B' F U'
U' R2 L' D' F B' U'
U' R2 L' D' B' F U'
U' R2 L' D2 F B' U'
U' R2 L' D2 B' F U'
U' R2 L' F D B' U'
U' R2 L' F D' B' U'
U' R2 L' F D2 B' U'
U' R2 L' F B' U' D
U' R2 L' F B' U' D'
U' R2 L' F B' U' D2
U' R2 L' F B' D U'
U' R2 L' F B' D' U'
U' R2 L' F B' D2 U'
B2 R2 L' D2 F U' L'
B2 R2 L' F B' U' L
U' R2 L' B' D F U'
U' R2 L' B' D' F U'
U' R2 L' B' D2 F U'
U' R2 L' B' F U' D
U' R2 L' B' F U' D'
U' R2 L' B' F U' D2
U' R2 L' B' F D U'
U' R2 L' B' F D' U'
U' R2 L' B' F D2 U'
U2 R2 L' F U R U2
B R2 L' D' F B2 U'
B R2 L' D' B2 F U'
B2 R2 L' B' F U' L
B R2 L' F U' L2 D
B R2 L' F U' L2 D'
B R2 L' F U' L2 D2
B R2 L' F D' B2 U'
B R2 L' F B U' L2
B R2 L' F B' U' L2
B R2 L' F B2 U' L2
B R2 L' B F U' L2
U R2 L' D' F U' L'
B R2 L' B' F U' L2
B R2 L' B2 F U' L2
U' R2 B L' F B' U'
U' R2 B L' B' F U'
U' R2 B' L' F B' U'
U' R2 B' L' B' F U'
B2 R2 B' L' F U' L2
U' R2 B2 L' F B' U'
U' R2 B2 L' B' F U'
L' D F B U' L B
B U L' R2 F U' L2
B U L' F R2 U' L2
L' D B F U' L B
B U R2 L' F U' L2
R2 D' L' B U' L R'
R2 D' L' B U' R' L
B U' L' R2 F U' L2
B U' L' F R2 U' L2
R2 D' B L' U' L2 R'
R2 D' B L' U' R' L2
B U' R2 L' F U' L2
B U2 L' R2 F U' L2
B U2 L' F R2 U' L2
B U2 R2 L' F U' L2
L' F R B R U' L
L' F R2 U2 F' U L'
L' F R2 D B U' L
L' F R2 D' B U' L
L' F R2 D2 B U' L
L' F R2 B U' L D
L' F R2 B U' L D'
L' F R2 B U' L D2
L' F R2 B U' D L
L' F R2 B U' D' L
L' F R2 B U' D2 L
L' F R2 B D U' L
L' F R2 B D' U' L
L' F R2 B D2 U' L
L' F R2 B' U R' U2
L' F D B U' L B
L' F B R2 U' L D
L' F B R2 U' L D'
L' F B R2 U' L D2
L' F B R2 U' D L
L' F B R2 U' D' L
L' F B R2 U' D2 L
L' F B R2 D U' L
L' F B R2 D' U' L
L' F B R2 D2 U' L
L' F B U' L D B2
L' F B U' D L B2
L' F B D U' L B2
L' F B' R2 U R U2
L' F B' U' D B2 L
L' F B' D U' B2 L
L' F B2 R2 B' U' L
L' F' R2 F2 B U' L
L' F' R2 B F2 U' L
L' F' B R2 F2 U' L
L' F' B' R2 F2 U' L'
U' B L' R2 F B' U'
U' B L' R2 B' F U'
U' B L' F R2 B' U'
U' B L' F B' R2 U'
U' B L' B' R2 F U'
U' B L' B' F R2 U'
R2 B L' D' F B2 U'
R2 B L' D' B2 F U'
R2 B L' F U' L2 D
R2 B L' F U' L2 D'
R2 B L' F U' L2 D2
R2 B L' F D' B2 U'
R2 B L' F B U' L2
R2 B L' F B' U' L2
R2 B L' F B2 U' L2
R2 B L' B F U' L2
R2 B L' B' F U' L2
R2 B L' B2 F U' L2
R B L' R F U' L2
L' B R' F R' U' L
U' B R2 L' F B' U'
U' B R2 L' B' F U'
L' B R2 D F U' L
R B R L' F U' L2
L' B R2 D' F U' L
L' B R2 D2 F U' L
L' B R2 F U' L D
L' B R2 F U' L D'
L' B R2 F U' L D2
L' B R2 F U' D L
L' B R2 F U' D' L
L' B R2 F U' D2 L
