R' U L' D R2 B'
R' U L' D B' R2
R' U L' B' D R2
R' U D L' R2 B'
R' U D L' B' R2
R' U D R2 L' B'
D R' U L' R' B'
D R' U R' L' B'
D2 R' B2 U L' B'
R' D U L' R2 B'
R' D U L' B' R2
R' D U R2 L' B'
R' D2 B2 U L' B'
B2 L F R F U' L2
R2 L' U F2 L' U' B'
U' L' R D B R2 F'
D L' R2 U' R U B
L' R2 U F2 L' U' B'
R' U L' R D R2 B'
R' U L' R D B' R2
R' U L' R B' D R2
R' U L' R' D R2 B'
R' U L' R' D B' R2
R' U L' R' B' D R2
R' U L' R2 D R2 B'
R' U L' R2 D B' R2
R' U L' R2 B' D R2
R' U L' U F2 U' B'
R' U L' D R B' R
R' U L' D R2 D B'
R' U L' D R2 D' B'
R' U L' D R2 D2 B'
R' U L' D R2 B' D
R' U L' D R2 B' D'
R' U L' D R2 B' D2
R' U L' D B R2 B2
R' U L' D B' R2 D
R' U L' D B' R2 D'
R' U L' D B' R2 D2
R' U L' D' B' D2 R2
R' U L' B' R D R2
R' U L' B' R' D R2
R' U L' B' R2 D R2
R' U L' B' U F2 U'
R' U L' B' D R2 D
R' U L' B' D R2 D'
R' U L' B' D R2 D2
R' U L' B2 D B R2
R' U R L' D R2 B'
R' U R L' D B' R2
R' U R L' B' D R2
R' U R D L' R2 B'
R' U R D L' B' R2
R' U R D R2 L' B'
R' U R' L' D R2 B'
R' U R' L' D B' R2
R' U R' L' B' D R2
R' U R' D L' R2 B'
R' U R' D L' B' R2
R' U R' D R2 L' B'
R' U R2 L' D R2 B'
R' U R2 L' D B' R2
R' U R2 L' B' D R2
R' U R2 D L' R2 B'
R' U R2 D L' B' R2
R' U R2 D R2 L' B'
L' U R2 F2 L' U' B'
R' U D L' R B' R
R' U D L' R2 D B'
R' U D L' R2 D' B'
R' U D L' R2 D2 B'
R' U D L' R2 B' D
R' U D L' R2 B' D'
R' U D L' R2 B' D2
R' U D L' B R2 B2
R' U D L' B' R2 D
R' U D L' B' R2 D'
R' U D L' B' R2 D2
R' U D R L' B' R
R' U D R2 L' D B'
R' U D R2 L' D' B'
R' U D R2 L' D2 B'
R' U D R2 L' B' D
R' U D R2 L' B' D'
R' U D R2 L' B' D2
R' U D R2 D L' B'
R' U D R2 D' L' B'
R' U D R2 D2 L' B'
R' U D R2 B L' B'
R' U D R2 B' L' B'
R' U D R2 B2 L' B'
R' U D B L' R2 B'
R' U D B L' B' R2
R' U D B R2 L' B'
R' U D B' L' R2 B'
R' U D B' L' B' R2
R' U D B' R2 L' B'
R' U D B2 L' R2 B'
R' U D B2 L' B' R2
R' U D B2 R2 L' B'
R' U D2 L' D' R2 B'
R' U D2 L' D' B' R2
R U D' L' F2 R B'
R U D' L' F2 B' R
R U D' L' B' F2 R
U' R L' D B R2 F'
R' U B L' D R2 B'
R' U B L' D B' R2
R' U B L' B' D R2
R' U B D L' R2 B'
R' U B D L' B' R2
R' U B D R2 L' B'
R' U B' L' D R2 B'
R' U B' L' D B' R2
R' U B' L' B' D R2
R' U B' D L' R2 B'
R' U B' D L' B' R2
R' U B' D R2 L' B'
U' R D L' B R2 F'
R' U B2 L' D R2 B'
R' U B2 L' D B' R2
R' U B2 L' B' D R2
U' R D B L' R2 F'
U' R D B R2 L' F'
R' U B2 D L' R2 B'
R' U B2 D L' B' R2
R' U B2 D R2 L' B'
U' R D' L' F2 B R
U' R D' L' B F2 R
U' R D' B L' F2 R
U R D' L' F2 R B'
U R D' L' F2 B' R
U R D' L' B' F2 R
F R F U' D' F2 L'
F R F D' U' F2 L'
L' U' R' U D R2 B
L' U' R' D U R2 B
U' R B D' L' F2 R
D2 R B2 R2 U L' B'
R U' D' L' F2 R B
D2 R' U L' D' R2 B'
D2 R' U L' D' B' R2
U' R' U L' D R2 B
D2 R' U D' L' R2 B'
D2 R' U D' L' B' R2
D2 R' U D' R2 L' B'
U' R' U D L' R2 B
D' R' U D2 L' R2 B'
U' R' U D R2 L' B
D' R' U D2 L' B' R2
U' R' U D R2 B L'
D' R' U D2 R2 L' B'
D R' U L' R B' R2
D R' U L' R' D B'
D R' U L' R' D' B'
D R' U L' R' D2 B'
D R' U L' R' B' D
D R' U L' R' B' D'
D R' U L' R' B' D2
D R' U L' R2 B' R
D R' U L' D R' B'
D R' U L' D' R' B'
D R' U L' D2 R' B'
D R' U R L' B' R2
D R' U R' L' D B'
D R' U R' L' D' B'
D R' U R' L' D2 B'
D R' U R' L' B' D
D R' U R' L' B' D'
D R' U R' L' B' D2
D R' U R' D L' B'
D R' U R' D' L' B'
D R' U R' D2 L' B'
D R' U R' B L' B'
D R' U R' B' L' B'
D R' U R' B2 L' B'
D R' U R2 L' B' R
D R' U D L' R' B'
D R' U D R' L' B'
D R' U D' L' R' B'
D R' U D' R' L' B'
D R' U D2 L' R' B'
D R' U D2 R' L' B'
D R' U B L' B' R'
U' R' D U L' R2 B
U' R' D U R2 L' B
U' R' D U R2 B L'
D R' D U L' R' B'
D R' D U R' L' B'
D2 R' D' U L' R2 B'
D2 R' D' U L' B' R2
D2 R' D' U R2 L' B'
D' R' D' B2 U L' B'
D R' D' U L' R' B'
D R' D' U R' L' B'
D' R' D2 U L' R2 B'
D' R' D2 U L' B' R2
D' R' D2 U R2 L' B'
D R' D2 U L' R' B'
D R' D2 U R' L' B'
D2 R' B2 U L' D B'
D2 R' B2 U L' D' B'
D2 R' B2 U L' D2 B'
D2 R' B2 U L' B' D
D2 R' B2 U L' B' D'
D2 R' B2 U L' B' D2
D2 R' B2 U D L' B'
D2 R' B2 U D' L' B'
D2 R' B2 U D2 L' B'
D2 R' B2 U B L' B'
