U L' U L F B'
U L' U L B' F
F' U F R U B'
R B U2 B2 D L2
U2 B' U B L U'
L' R U' L B U2 B2
L2 R U' L2 B U2 B2
L2 R U' F L2 B U2
L2 R U' F B L2 U2
L2 R U' B L2 U2 B'
L2 R U' B F L2 U2
L2 R' U F' D2 R2 B2
L2 R' U F' D2 B2 R2
L' R' U' L U2 F' B'
L' R' U' L U2 B' F'
R' L' U' L U2 F' B'
R' L' U' L U2 B' F'
R L' U' L B U2 B2
L2 R' U' L2 U2 F' B'
L2 R' U' L2 U2 B' F'
L2 R' U' F L2 U2 F2
U L' R U L F B'
U L' R U L B' F
B L' R' U F' B2 R'
B L' R' U B2 F' R'
U L' R' U L F B'
U L' R' U L B' F
U L' R2 U L F B'
U L' R2 U L B' F
U L' U L D F B'
U L' U L D B' F
U L' U L D' F B'
U L' U L D' B' F
U L' U L D2 F B'
U L' U L D2 B' F
U L' U L F D B'
U L' U L F D' B'
U L' U L F D2 B'
U L' U L F B' D
U L' U L F B' D'
U L' U L F B' D2
U L' U L B' D F
U L' U L B' D' F
U L' U L B' D2 F
U L' U L B' F D
U L' U L B' F D'
U L' U L B' F D2
U L' U F L F B'
U L' U F L B' F
U L' U F' L F B'
U L' U F' L B' F
U L' U F2 L F B'
U L' U F2 L B' F
U L' F R U L B'
R' L2 U F' D2 R2 B2
R' L2 U F' D2 B2 R2
R' L2 U' L2 U2 F' B'
R' L2 U' L2 U2 B' F'
R' L2 U' F L2 U2 F2
R L2 U' L2 B U2 B2
R L2 U' F L2 B U2
R L2 U' F B L2 U2
R L2 U' B L2 U2 B'
R L2 U' B F L2 U2
U L2 U L F L B'
R' U L' U L F' B'
R' U L' U L B' F'
R' U L' U F' L B'
R' U L2 U L2 F' B'
R' U L2 U L2 B' F'
U R L' U L F B'
U R L' U L B' F
R' U F' B' U' B U
U' R U R' U2 F' B'
U' R U R' U2 B' F'
R' U F' B2 D' B R2
U' R U' B2 L F B
U' R U' B2 L B F
R' U B' U' B U F'
R2 U B' R D' F' R
R' U B' F' U' B U
B R U2 B2 D L2 F
F2 R D R2 U2 F' B'
F2 R D R2 U2 B' F'
F2 R D B R2 U2 B2
R' U B2 D' F' B R2
R' U B2 D' B F' R2
R' U B2 F' D' B R2
F2 R D' B U2 L2 B2
F2 R D' B U2 B2 L2
F' R B U F U B2
D2 R B U2 B2 D L2
D' R B U2 B2 D L2
F2 R B U F2 U B2
F2 R B U2 B2 D' L2
D R B U2 B2 D L2
B R' L' U F' B2 R'
B R' L' U B2 F' R'
U R' L' U L F B'
U R' L' U L B' F
U' R' U R B U2 B2
F' R' U F U F2 B'
F' R' U F U B' F2
F2 R' U F2 U F B'
F2 R' U F2 U B' F
B R' U F' B2 D' R2
B R' U B2 D' F' R2
B R' U B2 F' D' R2
F' R' U2 F' D' B' L2
F' R' U2 F' B' D' L2
F2 R' U2 D' F' B' L2
F2 R' U2 D' B' L2 F'
F2 R' U2 D' B' F' L2
F' R' U2 B' F' D' L2
R U' B U2 B2 D' R2
F2 R' U2 B' D' L2 F'
F2 R' U2 B' D' F' L2
F R' U2 D F' B' L
F R' U2 D B' L F'
B R' U2 F' B2 D L2
F R' U2 D B' F' L
F R' U2 F' D B' L
B R' U2 B2 D L2 F'
B R' U2 B2 D F' L2
B R' U2 B2 F' D L2
F2 R' D R2 B U2 B2
F R' D U2 F' B' L
F R' D U2 B' L F'
F R' D U2 B' F' L
F2 R' D' U2 F' B' L2
F2 R' D' U2 B' L2 F'
F2 R' D' U2 B' F' L2
R2 U2 R U' F' R' B'
R' U2 R' U' R F' B'
R' U2 R' U' R B' F'
R' U2 R' U' B' R F'
R' U2 R2 U' R2 F' B'
R' U2 R2 U' R2 B' F'
R U2 R2 U' F' R2 B'
R U2 R2 U' F' B' R2
R U2 R2 U' B' F' R2
U R2 L' U L F B'
U R2 L' U L B' F
R' U2 F' B' U B U'
R' U2 F' B2 D L2 B
R' U2 F' B2 D B L2
R' U2 B' U B U' F'
R' U2 B' F' U B U'
R' U2 B2 D L2 F' B
R' U2 B2 D L2 B F'
R' U2 B2 D F' L2 B
R' U2 B2 D F' B L2
R' U2 B2 D B L2 F'
R' U2 B2 D B F' L2
R' U2 B2 F' D L2 B
R' U2 B2 F' D B L2
R U2 B2 D L2 F B
R U2 B2 D L2 B F
D' U L' U L F B'
D' U L' U L B' F
D2 U L' U L F B'
D2 U L' U L B' F
B2 U L' U L F B
B2 U L' U L B F
B U L' U L F B2
B U L' U L B2 F
D U L' U L F B'
D U L' U L B' F
U D L' U L F B'
U D L' U L B' F
F' U R F R U B'
F' U R' F R U B'
F' U R2 F R U B'
R D B U2 B2 D L2
F' U D F R U B'
F' U D' F R U B'
F' U D2 F R U B'
F' U F R U D B'
F' U F R U D' B'
F' U F R U D2 B'
F' U F R U B' D
F' U F R U B' D'
F' U F R U B' D2
F' U F R D U B'
F' U F R D' U B'
F' U F R D2 U B'
F2 U F R F U B'
F' U F D R U B'
F' U F D' R U B'
F' U F D2 R U B'
F U F R F2 U B'
U2 D B' U B L U'
U D' L' U L F B'
U D' L' U L B' F
B U' R U' B2 L F
R D' B U2 B2 D L2
F U' R2 B L U' B2
U2 D' B' U B L U'
U D2 L' U L F B'
U D2 L' U L B' F
F' U2 L D F L' B'
B U2 L F B2 D L2
B U2 L B2 D F L2
B U2 L B2 F D L2
D' U2 B' U B L U'
D2 U2 B' U B L U'
U2 D2 B' U B L U'
R D2 B U2 B2 D L2
D U2 B' U B L U'
F2 U2 D' B' L F L
U F L' R U L B'
U F L2 R U L2 B'
U F R L' U L B'
U F R L2 U L2 B'
F' U2 B' L D F L'
F2 U2 B' L D' F L2
F2 U2 B' L' D' L2 F
F' U2 B' U' F R U
R' F U F' U F' B'
R' F U F' U B' F'
F2 U2 B' D' L F L
F U2 B' L F D' L2
B U2 B2 L D F L2
B U2 B2 L F D L2
B U2 B2 L' D L2 F
B U2 B2 D L F L
F2 D R B R U2 B2
U2 F B' U B L U'
F' D U F R U B'
R F B U F' U B2
U F B' U' B R U
D2 F' U F R U B'
D' F' U F R U B'
D F' U F R U B'
F2 D' R B U2 L2 B2
F2 D' R B U2 B2 L2
F2 D' R' U2 F' B' L2
F2 D' R' U2 B' L2 F'
F2 D' R' U2 B' F' L2
U2 F' B' U B L U'
F' D' U F R U B'
R F' B U F U B2
F2 D' U2 B' L F L
R' F2 U F2 U F' B'
R' F2 U F2 U B' F'
R' F2 U2 D' F B' L2
R' F2 U2 D' B' F L2
R' F2 U2 B' D' F L2
R' F2 D R2 U2 F B'
R' F2 D R2 U2 B' F
R' F2 D' U2 F B' L2
R' F2 D' U2 B' F L2
R F2 D R2 U2 F' B'
R F2 D R2 U2 B' F'
R F2 D B R2 U2 B2
R F2 D' B U2 L2 B2
R F2 D' B U2 B2 L2
U2 F2 B' U B L U'
F' D2 U F R U B'
U' B L R U' B2 L
U' B L U' B2 D L2
R F2 B U F2 U B2
R F2 B U2 B2 D' L2
R' B L' U F' B2 R'
R' B L' U B2 F' R'
U' B R L U' B2 L
R B R U2 B2 D L2
R' B U F' B2 D' R2
R' B U B2 D' F' R2
R' B U B2 F' D' R2
R B R' U2 B2 D L2
R B R2 U2 B2 D L2
R B U L U L' B2
R B U L U B2 L'
R B U L' U L B2
R' B U2 F' B2 D L2
R B U L2 U L2 B2
R B U L2 U B2 L2
R' B U2 B2 D L2 F'
R' B U2 B2 D F' L2
R' B U2 B2 F' D L2
R B U D L2 U L2
R B U' R U' B2 L
R B U2 L B2 D L2
R B U2 L' B2 D L2
R B U2 L2 B2 D L2
R B U2 B2 L D L2
R B U2 B2 L' D L2
R B U2 B2 L2 D L2
R B U2 B2 U B2 U'
R B U2 B2 D L2 D
R B U2 B2 D L2 D'
R B U2 B2 D L2 D2
R B D U L2 U L2
F' B U F R U B2
R B D2 F2 U F2 U
R B D2 F2 U2 D' L2
R B D2 F2 D R2 U2
R B D2 F2 D' U2 L2
R B F U F' U B2
U2 B' L U B U' F
R B F' U F U B2
U2 B' L F U B U'
R B F2 U F2 U B2
R B F2 U2 B2 D' L2
U2 B' U L B L U'
U2 B' U L' B L U'
U2 B' U L2 B L U'
U2 B' U D B L U'
U2 B' U D' B L U'
U2 B' U D2 B L U'
U2 B' U B L U' D
U2 B' U B L U' D'
U2 B' U B L U' D2
U2 B' U B L D U'
U2 B' U B L D' U'
U2 B' U B L D2 U'
U2 B' U B D L U'
U2 B' U B D' L U'
U2 B' U B D2 L U'
U B' U' B R' U F'
U2 B' D U B L U'
U2 B' D' U B L U'
U2 B' D2 U B L U'
B F' U F R U B2
U2 B' F U B L U'
U2 B' F' U B L U'
U B' F U' B R U
U2 B' F2 U B L U'
U2 B2 L D F L2 B
U2 B2 L D F B L2
U2 B2 L D B F L2
U2 B2 L F D L2 B
U2 B2 L F D B L2
U2 B2 L' D L2 F B
U2 B2 L' D L2 B F
U2 B2 D L F L B
U2 B2 D B L F L
