D' L B' D L2 F R
F' L' U' L' B R U'
F' L' U' B L' R U'
F' L' U' B R L' U'
F L' U2 L' B U' R
F L' U2 B L' U' R
U' L2 R' F' R B U'
U' L2 D2 B R' F' U'
B L2 F U2 L' U R
B L2 F' R U L' U2
B L2 F' R F2 U' R
U' L2 B R' F' R U'
F' L2 B D' R F' U'
F' L2 B2 R B' U' R2
F L2 B2 R' B' U' R2
U' R' L2 F' R B U'
U' R' F' L2 R B U'
U' R' F' R L2 B U'
U' R' F' R B L2 U'
L2 D2 F B R' U' R2
L2 D2 B R' F U' R
L2 D2 B F R' U' R2
L2 F B U2 L' U R
F' D B R U' F2 R
L2 F' B R U L' U2
L2 F' B R F2 U' R
F D2 L' R2 F' U R'
F D2 R2 L' F' U R'
U' B L2 R' F' R U'
U2 B L2 F2 U' R B
U' B R' L2 F' R U'
U' B R' F' L2 R U'
U' B R' F' R L2 U'
F' B L2 R U L U2
B' F L2 B2 R' U' R2
F' B R L2 U L U2
F' B R U' D F2 R
F' B R D U' F2 R
B F L2 U2 L U R
F' B R F2 L2 U' R
F B L2 U2 L U R
L2 B F U2 L' U R
L2 B F' R U L' U2
L2 B F' R F2 U' R
F' B D R U' F2 R
B' F' L2 R B2 U' R'
F' B' L2 R B2 U' R'
B' F' L2 B2 R U' R2
B' F' R L2 B2 U' R'
F' B' L2 B2 R U' R2
F' B' R L2 B2 U' R'
B F' L2 R U L U2
B F' R L2 U L U2
B F' R U' D F2 R
B F' R D U' F2 R
F B' L2 B2 R' U' R2
U2 B' D L2 R' F2 B
U2 B' D L2 R' B F2
U2 B' D L2 F2 R' B
U2 B' D R' L2 F2 B
U2 B' D R' L2 B F2
U2 B' D R' F2 L2 B
U2 B' D R' F2 B L2
U2 B' D R' B L2 F2
B F' R F2 L2 U' R
U2 B' D R' B F2 L2
U2 B' D F2 L2 R' B
U2 B' D F2 R' L2 B
U2 B' D F2 R' B L2
B F' D R U' F2 R
