D F' R U B R'
L' R F' U' F2 B L
L' R F' U' B L F2
L' R F' U' B F2 L
D L F' R U B R'
R L' F' U' F2 B L
R L' F' U' B L F2
R L' F' U' B F2 L
D L' F' R U B R'
D L2 F' R U B R'
R U F' U' L' F B
R U F' U' L' B F
R U F' U' B L' F
D F' L R U B R'
D F' L' R U B R'
B' D F' R U B R'
U F' L' R' B U F
U F' L' R2 U F R
B2 D F' R U B R'
D F' L2 R U B R'
R F' L' U' F B L
R F' L' U' B F L
B D F' R U B R'
D F' R L U B R'
D F' R L' U B R'
D F' R L2 U B R'
D F' R U B R' D
D F' R U B R' D'
D F' R U B R' D2
D F' R U B D R'
D F' R U B D' R'
D F' R U B D2 R'
D F' R B' U B2 R'
U F' R' L' B U F
U F' R' B L' U F
U F' R2 L' U F R
R F' U' L' F B L
R F' U' L' B F L
R F' U' L2 B L F
R F' U' B L' F L2
D' F' B R' U R2 B
D F' B R U B R2
R B U F' U' L' F
D' B F' R' U R2 B
D B F' R U B R2
