U2 L F' U L' R
U2 L F' U R L'
B' U R' F' U2 R
U2 F' L U L2 R
U2 F' L U R L2
U2 L F U' L' R U2
U' L F U F2 R F
U2 L F U' R L' U2
U' L F U' L' U2 F'
U2 L F' U L' R D
U2 L F' U L' R D'
U2 L F' U L' R D2
U2 L F' U L' D R
U2 L F' U L' D' R
U2 L F' U L' D2 R
U2 L F' U R L' D
U2 L F' U R L' D'
U2 L F' U R L' D2
U2 L F' U R D L'
U2 L F' U R D' L'
U2 L F' U R D2 L'
U2 L F' U D L' R
U2 L F' U D R L'
U2 L F' U D' L' R
U2 L F' U D' R L'
U2 L F' U D2 L' R
U2 L F' U D2 R L'
U2 L F' D U L' R
U2 L F' D U R L'
U2 L F' D' U L' R
U2 L F' D' U R L'
U2 L F' D2 U L' R
U2 L F' D2 U R L'
U2 L F' B U L' R
U2 L F' B U R L'
U2 L F' B' U L' R
U2 L F' B' U R L'
U2 L F' B2 U L' R
U2 L F' B2 U R L'
U2 L B F' U L' R
U2 L B F' U R L'
U2 L B' F' U L' R
U2 L B' F' U R L'
U2 L B2 F' U L' R
U2 L B2 F' U R L'
U2 L' F' L2 U L R
U2 L' F' L2 U R L
F' R U' L F U F'
U R' U L F' U R
U R' U F' L U R
R' U2 L F' U L' R
R' U2 L F' U R L'
R2 U2 L F' U L' R
R2 U2 L F' U R L'
R U2 L F' U L' R
R U2 L F' U R L'
L U2 L' F' U' L' R
L U2 L' F' U' R L'
B2 R' F' B' U' L R
B2 R' F' B' U' R L
B2 R' B' F' U' L R
B2 R' B' F' U' R L
R' U2 F' L U L2 R
R' U2 F' L U R L2
R2 U2 F' L U L2 R
R2 U2 F' L U R L2
R U2 F' L U L2 R
R U2 F' L U R L2
B' U L R' F' U2 R
B' U L' R' F' U2 R
B' U L2 R' F' U2 R
B' U R' L F' U2 R
B' U R' L' F' U2 R
B' U R' L2 F' U2 R
B' U R' F L' F2 U2
B' U R' F' L U2 R
B' U R' F' L' U2 R
B' U R' F' L2 U2 R
B' U R' F' U2 R D
B' U R' F' U2 R D'
B' U R' F' U2 R D2
B' U R' F' U2 D R
B' U R' F' U2 D' R
B' U R' F' U2 D2 R
B' U R' F' D U2 R
B' U R' F' D' U2 R
B' U R' F' D2 U2 R
B' U F L' R' F' U2
B' U F R' L' F' U2
B' U F' R' U2 R2 B
B' U F' R' F' U2 R2
B' U F2 R' F' L' U2
D' U' L F B' U F'
U' D' L F B' U F'
D' U' L B' F U F'
U' D' L B' F U F'
U2 D' L F' B' U L'
U2 D' L B' F' U L'
F' U' L F U F' R
U2 D' F' L B' U L2
D' U2 L F' B' U L'
D' U2 L B' F' U L'
D' U2 F' L B' U L2
U2 F L U' L2 R U2
U2 F L U' R L2 U2
B D R F' U' L B'
B D R2 U' L B' R'
U2 F' L U L2 R D
U2 F' L U L2 R D'
U2 F' L U L2 R D2
U2 F' L U L2 D R
U2 F' L U L2 D' R
U2 F' L U L2 D2 R
U2 F' L U R L2 D
U2 F' L U R L2 D'
U2 F' L U R L2 D2
U2 F' L B U L2 R
U2 F' L B U R L2
U2 F' L B' U L2 R
U2 F' L B' U R L2
U2 F' L B2 U L2 R
U2 F' L B2 U R L2
U2 F' U L' R D' B2
U2 F' U L' D' R B2
U2 F' U L' D' B2 R
U2 F' U R L' D' B2
U2 F' D L U L2 R
U2 F' D L U R L2
U2 F' D' L U L2 R
U2 F' D' L U R L2
U2 F' D2 L U L2 R
U2 F' D2 L U R L2
B2 D' R' D' B U' R'
U2 F' B' U L' R B
U2 F' B' U R L' B
U2 F' B' U R B L'
U' F2 L F U R F
U2 F2 L F U L' R
U2 F2 L F U R L'
D2 B U' L D' R' B
D2 B U' R' D L B'
D2 B U' D L R' B'
D2 B U' D R' L B'
D2 B U' D' L R' B
D2 B U' D' R' L B
D2 B D U' L R' B'
D2 B D U' R' L B'
D2 B D' U' L R' B
D2 B D' U' R' L B
B' F U L' R' F' U2
B' F U R' L' F' U2
F' B U' R D L B'
F' B U' D L R B'
F' B U' D L B' R
F' B U' D R L B'
F' B D U' L R B'
F' B D U' L B' R
F' B D U' R L B'
D2 B' U L R' F' U2
D2 B' U R' L F' U2
R' B' U R' F' U2 R
D2 B' U R' F' L U2
R2 B' U R' F' U2 R
R B' U R' F' U2 R
B2 F' R' B' U' L R2
B2 F' R' B' U' R2 L
B' F' U R' U2 R2 B
B' F' U R' F' U2 R2
F' B' U R' U2 R2 B
F' B' U R' F' U2 R2
F B' U L' R' F' U2
F B' U R' L' F' U2
B F' U' R D L B'
B F' U' D L R B'
B F' U' D L B' R
B F' U' D R L B'
U2 B' F' U L' R B
U2 B' F' U R L' B
U2 B' F' U R B L'
B2 F' D' R' B U' R2
B F' D U' L R B'
B F' D U' L B' R
B F' D U' R L B'
D2 B2 R' B' U' L R'
D2 B2 R' B' U' R' L
F' B2 R' B' U' L R2
F' B2 R' B' U' R2 L
D' B2 D' R' B U' R'
F' B2 D' R' B U' R2
