U L' F L' D R2
U L' F D L' R2
U L' F D R2 L'
U2 L' F' U' F2 L'
R U L' F L' R
R U L' F R L'
R U F L' R F
R U F R L' F
D R F' R B U
F U L' D R2 F
F U L' D F R2
U F L' D R2 F
U F L' D F R2
R F U L' F R
R2 F B U L' F
U2 F' U' F2 L' F
R2 B U L' F L'
R2 B U F L' F
R2 B F U L' F
U2 L F' U R B' U2
U2 L F' U B' R U2
F L F2 R U' L2 F
U L' U F' U' F2 L'
U2 L' U' F L' D R2
U2 L' U' F D L' R2
U2 L' U' F D R2 L'
U' L' U' F' U' F2 L'
U' L' U2 F L' D R2
U' L' U2 F D L' R2
U' L' U2 F D R2 L'
U' L' F L' D R2 B
U L' F L' R D R2
U L' F L' R' D R2
U L' F L' R2 D R2
U L' F L' U F2 U'
U L' F L' D R2 D
U L' F L' D R2 D'
U L' F L' D R2 D2
U L' F L2 D L R2
U L' F L2 D R2 L
U' L' F D L' R2 B
U L' F R L' D R2
U' L' F D R2 L' B
U' L' F D R2 B L'
U L' F R D L' R2
U L' F R D R2 L'
U L' F R' L' D R2
U L' F R' D L' R2
U L' F R' D R2 L'
U L' F R2 L' D R2
U L' F R2 D L' R2
U L' F R2 D R2 L'
U L' F D L' R2 D
U L' F D L' R2 D'
U L' F D L' R2 D2
U L' F D R2 L' D
U L' F D R2 L' D'
U L' F D R2 L' D2
U L' F D R2 D L'
U L' F D R2 D' L'
U L' F D R2 D2 L'
U2 L' F' L U' F2 L'
U L' F D2 L' D' R2
U2 L' F' L' U' F2 L'
U2 L' F' L2 U' F2 L'
U2 L' F' U R U2 F2
U2 L' F' U' L F2 L'
U2 L' F' U' L' F2 L'
U2 L' F' U' L2 F2 L'
U2 L' F' U' F2 L' D
U2 L' F' U' F2 L' D'
U2 L' F' U' F2 L' D2
U2 L' F' U' F2 D L'
U2 L' F' U' F2 D' L'
U2 L' F' U' F2 D2 L'
U2 L' F' B U' F2 L'
U2 L' F' B' U' F2 L'
U2 L' F' B2 U' F2 L'
U2 L' B F' U' F2 L'
U2 L' B' F' U' F2 L'
U2 L' B2 F' U' F2 L'
F L2 D' L F B2 R'
F L2 D' L B2 R' F
F L2 D' L B2 F R'
R U L' R F L' R
R U L' R F R L'
R U L' R' F L' R
R U L' R' F R L'
R U L' R2 F L' R
R U L' R2 F R L'
R U L' F L' R D
R U L' F L' R D'
R U L' F L' R D2
R U L' F L' D R
R U L' F L' D' R
R U L' F L' D2 R
R U L' F R L' D
R U L' F R L' D'
R U L' F R L' D2
R U L' F R D L'
R U L' F R D' L'
R U L' F R D2 L'
R U L' F D L' R
R U L' F D R L'
R U L' F D' L' R
R U L' F D' R L'
R U L' F D2 L' R
R U L' F D2 R L'
R U R L' F L' R
R U R L' F R L'
R U R F L' R F
R U R F R L' F
R U R' L' F L' R
R U R' L' F R L'
R U R' F L' R F
R U R' F R L' F
R U R2 L' F L' R
R U R2 L' F R L'
R U R2 F L' R F
R U R2 F R L' F
R U F L' R D F
R U F L' R D' F
R U F L' R D2 F
R U F L' R F D
R U F L' R F D'
R U F L' R F D2
R U F L' R' F R2
R U F L' R2 F R'
R U F L' D R F
R U F L' D' R F
R U F L' D2 R F
R U F R L' D F
R U F R L' D' F
R U F R L' D2 F
R U F R L' F D
R U F R L' F D'
R U F R L' F D2
R U F R' L' F R2
R U F R2 L' F R'
R U F D2 L' R F'
R U F D2 R L' F'
B' R U L' F L' R
B' R U L' F R L'
B2 R U L' F L' R
B2 R U L' F R L'
B R U L' F L' R
B R U L' F R L'
B' R U F L' R F
B' R U F R L' F
F R U L' D R2 F
F R U L' D F R2
B2 R U F L' R F
B2 R U F R L' F
B R U F L' R F
B R U F R L' F
B' R F U L' F R
B2 R F U L' F R
R U' L' U2 F L' R
R U' L' U2 F R L'
B R F U L' F R
D R F' R D B U
D R F' R D' B U
D R F' R D2 B U
D R F' R B U D
D R F' R B U D'
D R F' R B U D2
D R F' R B D U
D R F' R B D' U
D R F' R B D2 U
D R F' D R B U
D R F' D' R B U
D R F' D2 R B U
D R F' B R B U
D R F' B' R B U
D R F' B2 R B U
D R B F' R B U
D R B' F' R B U
D R B2 F' R B U
F R' U L' D R2 F
F R' U L' D F R2
R U2 F U' L' F R
F R2 U L' D R2 F
F R2 U L' D F R2
D R2 D2 B R' F' U
B' R2 F B U L' F
B2 R2 F B U L' F
B R2 F B U L' F
B' R2 B U L' F L'
B' R2 B U F L' F
R D R F' B R U
R D R B F' R U
B2 R2 B U L' F L'
B2 R2 B U F L' F
B' R2 B F U L' F
D R2 B R' F' R U
B2 R2 B F U L' F
B R2 B U L' F L'
B R2 B U F L' F
B R2 B F U L' F
B' U L' F L' D R2
B' U L' F D L' R2
B' U L' F D R2 L'
B2 U L' F L' D R2
B2 U L' F D L' R2
B2 U L' F D R2 L'
F U L' R D R2 F
F U L' R D F R2
F U L' R' D R2 F
F U L' R' D F R2
F U L' R2 D R2 F
F U L' R2 D F R2
F U L' U F2 U' F'
B U L' F L' D R2
B U L' F D L' R2
B U L' F D R2 L'
F U L' D R' F R'
F U L' D R2 D F
F U L' D R2 D' F
F U L' D R2 D2 F
F U L' D R2 F D
F U L' D R2 F D'
F U L' D R2 F D2
F U L' D F R2 D
F U L' D F R2 D'
F U L' D F R2 D2
F U L' D F' R2 F2
F U L' D' F D2 R2
F U L' D2 F D' R2
F U L' F U F U'
F U L2 D L R2 F
F U L2 D L F R2
F U L2 D R2 L F
R2 D F' B R F' U
R D F' R F' B U
R D F' R B F' U
F U R L' D R2 F
F U R L' D F R2
R2 D B R F' R U
F U R' L' D R2 F
F U R' L' D F R2
R2 D B F' R F' U
F U R2 L' D R2 F
F U R2 L' D F R2
F U D R2 D' L' F
U2 D F' U2 R F' U
B' U F L' D R2 F
B' U F L' D F R2
B2 U F L' D R2 F
B2 U F L' D F R2
B U F L' D R2 F
B U F L' D F R2
U2 D' L F' B' L U'
U2 D' L B' L F' U'
U2 D' L B' F' L U'
F' U' L B' R U2 R'
F' U' L' R U2 R' F
F' U' L' R U2 F R'
F' U' L2 R U2 R' F'
F U' L' D F R2 B
F' U' R L' U2 R' F
F' U' R L' U2 F R'
F' U' R L2 U2 R' F'
F' U' R B2 L B' U2
U2 D' F' L B' L U'
U2 D' F' B' L B' U'
F' U' D2 R U2 F' R'
U2 D' B' L F' B' U'
U2 D' B' L B' F' U'
U2 D' B' F' L B' U'
D' U2 L F' B' L U'
D' U2 L B' L F' U'
D' U2 L B' F' L U'
F' U' F2 L' D2 F B2
F' U' F2 L' D2 B2 F
B' U2 L' F' U' F2 L'
D' U2 F' L B' L U'
B2 U2 L' F' U' F2 L'
F U2 L F2 U' L2 F
D' U2 F' B' L B' U'
B U2 L' F' U' F2 L'
D U2 F' U2 R F' U
D' U2 B' L F' B' U'
D' U2 B' L B' F' U'
R2 D2 B U' R' B U2
D' U2 B' F' L B' U'
U' F L' D R2 F B
U' F L' D R2 B F
U2 F L F2 U' L2 F
L' F L' D R2 D2 B2
L' F L' D' B2 D2 R2
U F L' R D R2 F
U F L' R D F R2
U F L' R' D R2 F
U F L' R' D F R2
U F L' R2 D R2 F
U F L' R2 D F R2
U F L' U F2 U' F'
B' U2 F' U' F2 L' F
U F L' D R' F R'
U F L' D R2 D F
U F L' D R2 D' F
U F L' D R2 D2 F
U F L' D R2 F D
U F L' D R2 F D'
U F L' D R2 F D2
U F L' D F R2 D
U F L' D F R2 D'
U F L' D F R2 D2
U F L' D F' R2 F2
U F L' D' F D2 R2
U F L' D2 F D' R2
U F L' F U F U'
B2 U2 F' U' F2 L' F
U F L2 D L R2 F
U F L2 D L F R2
U F L2 D R2 L F
B U2 F' U' F2 L' F
R' F R' B U L' F
U F R L' D R2 F
U F R L' D F R2
R' F R2 U L' F R
R2 F R' U L' F R
F U2 F2 U' F2 L' F
U F R' L' D R2 F
U F R' L' D F R2
R F R B U L' F
U F R2 L' D R2 F
U F R2 L' D F R2
U2 F U' L' D R2 F
U2 F U' L' D F R2
R F U L' R F R
R F U L' R' F R
R F U L' R2 F R
R F U L' D F R
R F U L' D' F R
R F U L' D2 F R
R F U L' F R D
R F U L' F R D'
