D' B' L2 U L' F'
B' L D' L2 F U F2
B' L' D' F L2 U F2
B' L' D2 F U F2 B2
B' L' D2 F U B2 F2
B' L' F L2 U F2 B'
B' L' F L2 U B' F2
B' L' F U' F U2 F
B L' F' D' L2 R2 B
B L' F' D' R2 L2 B
B L' F' D' R2 B L2
B' L2 U' F2 U2 F L'
D L2 F R2 U' L' F2
D L2 F' D R2 B2 L
L2 U F' D R2 B L
L2 U' F' L' D R2 B
L2 U' F' D L' R2 B
L2 U' F' D R2 L' B
L2 U' F' D R2 B L'
F2 U D B' U F L'
F2 U D' B' U F L
D' U B' L2 U L' F'
F2 U B' U D F L'
F2 U B' D U F L'
U' D' B' L2 U L' F'
D' U' B' L2 U L' F'
U2 D' B' L2 U L' F'
U D' B' L2 U L' F'
B' U' F2 U2 D F L'
B' U' F2 D U2 F L'
D' U2 B' L2 U L' F'
L' F L2 U F2 B' R'
L' F L2 U B' R' F2
L' F L2 U B' F2 R'
D' F B' L2 U L' F2
F2 D U B' U F L'
L' F' R2 D' L2 B R'
L' F' R2 D' B L2 R'
L' F' R2 D' B R' L2
D' F' U' B' L2 U L'
L' F' D' L2 R2 B R'
L' F' D' R2 L2 B R'
L' F' D' R2 B L2 R'
L' F' D' R2 B R' L2
F D' L2 F U' B' L
D' F' B D' B2 L R2
D' F' B D' B2 R2 L
F2 D' U B' U F L
L2 F2 U' F' U' L' F2
D' B L2 B2 U L F'
D' B L2 B2 U F' L
D' B D' F' B2 L R2
D' B D' F' B2 R2 L
D' B D' B2 L F' R2
D' B D' B2 F' L R2
D' B D' B2 F' R2 L
D' B F' D' B2 L R2
D' B F' D' B2 R2 L
D' B' L2 U L F' L2
D' B' L2 U L' D F'
D' B' L2 U L' D' F'
D' B' L2 U L' D2 F'
D' B' L2 U L' F' D
D' B' L2 U L' F' D'
D' B' L2 U L' F' D2
D' B' L2 U L2 F' L
D' B' L2 U D L' F'
D' B' L2 U D' L' F'
D' B' L2 U D2 L' F'
D' B' L2 D U L' F'
D' B' L2 D' U L' F'
D' B' L2 D2 U L' F'
F' B D' R2 B' L B2
F' B D' B' L R2 B
F' B D' B' R2 L B
F' B D' B2 R2 B L
D2 B' U D F' B' L
D2 B' U D B' L F'
D2 B' U D B' F' L
D' B' U D' L F' B2
D' B' U D' L B2 F'
D' B' U D' F' L B2
D2 B' U F' D B' L
D' B' U F' D' L B2
L B' U F2 U2 F R
D2 B' D U F' B' L
D2 B' D U B' L F'
D2 B' D U B' F' L
D' B' D' U L F' B2
D' B' D' U L B2 F'
D' B' D' U F' L B2
D' B' F L2 U L' F2
B F' D' R2 B' L B2
B F' D' B' L R2 B
B F' D' B' R2 L B
D' B2 L2 B U L F'
D' B2 L2 B U F' L
B F' D' B2 R2 B L
