F' L' U2 L' U' R
L2 U2 F' U R B
F' D L' U R F2
F' D2 L' R2 U R'
F' D2 R2 L' U R'
F' L B2 L2 R' U R2
F' L B2 R' L2 U R2
F' L' R' U2 L' U' R2
F' L' R2 U2 L' U' R'
F' L' U R U L' U'
F L' U F2 L' R U
F L' U F2 R L' U
F' L' U2 L' U' R D
F' L' U2 L' U' R D'
F' L' U2 L' U' R D2
F' L' U2 L' U' D R
F' L' U2 L' U' D' R
F' L' U2 L' U' D2 R
F' L' U2 L' D U' R
F' L' U2 L' D' U' R
F' L' U2 L' D2 U' R
F' L' U2 D L' U' R
F' L' U2 D' L' U' R
F' L' U2 D2 L' U' R
F' L' D U2 L' U' R
F' L' D' U2 L' U' R
F' L' D2 U2 L' U' R
F' L' F2 R F2 U R
F' L' B U2 L' U' R
F' L' B' U2 L' U' R
F' L' B2 U2 L' U' R
F L2 R D2 B2 U' R'
B' L2 U2 F' U R B
B2 L2 U2 F' U R B
U2 L2 U2 F' L' U R
B L2 U2 F' U R B
F L2 D2 R B2 U' R'
F L2 D2 B2 R U' R2
F R L2 D2 B2 U' R'
F' R D2 L' R2 U R2
F' R D2 R2 L' U R2
F' R' L' U2 L' U' R2
F' R' D L' B2 U F2
F' R' D B2 L' U F2
L2 U2 L F' U R B
L2 U2 L' F' U R B
L2 U2 L2 F' U R B
F' R2 L' U2 L' U' R'
L2 U2 F' L U R B
L2 U2 F' L' U R B
L2 U2 F' L2 U R B
L2 U2 F' U R D B
L2 U2 F' U R D' B
L2 U2 F' U R D2 B
L2 U2 F' U R B D
L2 U2 F' U R B D'
L2 U2 F' U R B D2
L2 U2 F' U D R B
L2 U2 F' U D' R B
L2 U2 F' U D2 R B
L2 U2 F' U B R B
L2 U2 F' U B' R B
L2 U2 F' U B2 R B
L2 U2 F' D U R B
L2 U2 F' D' U R B
L2 U2 F' D2 U R B
L2 U2 F' B L U R
L2 U2 B L F' U R
L2 U2 B F' L U R
F' R2 D L' U R' F2
F' R2 D L' U F2 R'
F' R2 D2 L' R2 U R
F' R2 D2 R2 L' U R
F' U2 L2 U2 L U R
L2 F R U2 F2 U R
F' D L' R' U R2 F2
F' D L' R' U F2 R2
F' D L' R2 U R' F2
F' D L' R2 U F2 R'
F' D L' U R F2 D
F' D L' U R F2 D'
F' D L' U R F2 D2
F' D L' U R' F2 R2
F' D L' U R2 F2 R'
F' D L' D R2 U R'
L2 F U2 F2 L' U R
F' D L' B U R F2
F' D L' B' U R F2
F' D L' B2 U R F2
F' D R' L' U R2 F2
F' D R' L' U F2 R2
F D R U' F2 L' R
F D R U' F2 R L'
F' D R2 L' U R' F2
F' D R2 L' U F2 R'
D' F' L B' L2 U F
D2 F' L' R2 B U R'
L' F' L' U D R F'
L' F' L' D U R F'
D2 F' L' B R2 U R
L2 F' L' U2 L U' R
D F' L' U D' F' R
L2 F' L' B2 R' U R2
D F' L' D' U F' R
L F' L' U R D F2
L F' L' U D R F2
L F' L' U2 L2 U' R
L F' L' D U R F2
L F' L' D2 R2 U R'
F' D B L' U R F2
D2 F' R2 L' B U R'
D2 F' R2 B L' U R'
F' D B' L' U R F2
F' D B2 L' U R F2
U2 F' U R D F2 B
U2 F' U R D B F2
U2 F' U R B D F2
U2 F' U D R F2 B
U2 F' U D R B F2
U2 F' U2 L2 U' R B
F' D' L' U R D2 F2
F' D' L' U D2 R F2
F' D' L' U' B2 U2 R
F' D' L' D' R2 U R'
L' F' D L' U R F'
F' D' L' D2 U R F2
U2 F' D U R F2 B
U2 F' D U R B F2
L' F' D' L' U R F
U' F' D2 R2 U R' B
D F' D' L' U F' R
D2 F' B L' R2 U R
D2 F' B R2 L' U R
L F' B2 L' R' U R2
L F' B2 R' L' U R2
L' F2 R F L' U R
F' D2 L' R2 U R' D
F' D2 L' R2 U R' D'
F' D2 L' R2 U R' D2
F' D2 L' R2 U D R'
F' D2 L' R2 U D' R'
F' D2 L' R2 U D2 R'
F' D2 L' R2 D U R'
F' D2 L' R2 D' U R'
F' D2 L' R2 D2 U R'
F' D2 L' U D' R F2
F' D2 L' D' U R F2
F' D2 L' B R2 U R'
F' D2 L' B' R2 U R'
F' D2 L' B2 R2 U R'
F' D2 R2 L' U R' D
F' D2 R2 L' U R' D'
F' D2 R2 L' U R' D2
F' D2 R2 L' U D R'
F' D2 R2 L' U D' R'
F' D2 R2 L' U D2 R'
F' D2 R2 L' D U R'
F' D2 R2 L' D' U R'
F' D2 R2 L' D2 U R'
F' D2 R2 D L' U R'
F' D2 R2 D' L' U R'
F' D2 R2 D2 L' U R'
F' D2 B L' R2 U R'
F' D2 B R2 L' U R'
F' D2 B' L' R2 U R'
F' D2 B' R2 L' U R'
F' D2 B2 L' R2 U R'
F' D2 B2 R2 L' U R'
F' B L' U2 L' U' R
L2 B U2 F' U R B
D2 B F' L' R2 U R
D2 B F' R2 L' U R
F' B D L' U R F2
F' B D2 L' R2 U R'
F' B D2 R2 L' U R'
B' F' L' U2 L' U' R
F' B' L' U2 L' U' R
B2 F' L' U2 L' U' R
B F' L' U2 L' U' R
L2 B' U2 F' U R B
B' F' D L' U R F2
F' B' D L' U R F2
B2 F' D L' U R F2
B F' D L' U R F2
B' F' D2 L' R2 U R'
B' F' D2 R2 L' U R'
F' B' D2 L' R2 U R'
B2 F' D2 L' R2 U R'
F' B' D2 R2 L' U R'
B2 F' D2 R2 L' U R'
B F' D2 L' R2 U R'
B F' D2 R2 L' U R'
F' B2 L' U2 L' U' R
L2 B2 U2 F' U R B
F' B2 D L' U R F2
F' B2 D2 L' R2 U R'
F' B2 D2 R2 L' U R'
L B2 F' L' R' U R2
L B2 F' R' L' U R2
