F' R B R2 U
F' R' U2 F' U'
F' R D' B U F2
F2 R F B R2 U
F' R B R2 U D
F' R B R2 U D'
F' R B R2 U D2
F' R B R2 D U
F' R B R2 D' U
F' R B R2 D2 U
F' R B U D' F2
F2 R B R2 F U
B' R B R' F' U
F' R B D' U F2
F2 R B F R2 U
F R F2 B R2 U
F' R B' R2 B2 U
F R B R2 F2 U
F' R B2 R2 B' U
F R B F2 R2 U
F' R' U2 D F' U'
F' R' U2 D' F' U'
F' R' U2 D2 F' U'
F' R' U2 F' U' D
F' R' U2 F' U' D'
F' R' U2 F' U' D2
F' R' U2 F' D U'
F' R' U2 F' D' U'
F' R' U2 F' D2 U'
F' R' D U2 F' U'
F' R' D' U2 F' U'
F' R' D2 U2 F' U'
F2 R' F U D R2
F2 R' F U2 F2 U'
F2 R' F D U R2
F2 R' F D2 B2 U
F' R' B U2 F' U'
F R' F2 U2 F U'
F' R' B' U2 F' U'
F' R' B2 U2 F' U'
F' U F R D' F2
U F R D' L2 F2
U F R D' F2 L2
F' D R B R2 U
F' D R' U2 F' U'
D2 F' R B R2 U
D' F' R B R2 U
D2 F' R' U2 F' U'
D' F' R' U2 F' U'
D F' R B R2 U
D F' R' U2 F' U'
F' D' R B R2 U
F' D' R' U2 F' U'
F' D2 R B R2 U
F' D2 R' U2 F' U'
B' D2 F' R B U
R B R' F' R' U
F' B' R B R' U
B' F' R B R' U
B2 F' U2 L F U'
F' B2 U2 L F U'
F' L R B L' R2 U
F' L R B R2 L' U
B2 L U2 L' F' B' U
B2 L U2 L' B' F' U
U L F R D' L2 F2
U L F R D' F2 L2
U2 L F U2 R' F2 U
U2 L F U2 F2 R' U
U2 L F D2 B2 L U'
U2 L' U2 F' R' B' U
U L' F R D' L2 F2
U L' F R D' F2 L2
F' L2 R B L2 R2 U
F' L2 R B R2 L2 U
F L2 R' F2 L2 B' U
U L2 F R D' L2 F2
U L2 F R D' F2 L2
R' U R2 U' B U L
F' R L B L' R2 U
F' R L B R2 L' U
F' R L2 B L2 R2 U
F' R L2 B R2 L2 U
F' R D B R2 U F'
F' R D B U' B U2
F' R D' B R U F2
F' R D' B R' U F2
F' R D' B R2 U F2
F' R D' B U F2 D
F' R D' B U F2 D'
F' R D' B U F2 D2
F' R D' B D R2 U
F2 R D' F B U F
F2 R D' B F U F
F R D' B U L2 F2
F R D' B U F2 L2
F' R D2 B U D F2
F' R D2 B U2 L2 U'
F' R D2 B D U F2
F' R D2 B D2 R2 U
F2 R F R2 U2 F' U'
B' R F B R' F' U
F2 R F D' B U F2
F2 R F B R2 U D
F2 R F B R2 U D'
F2 R F B R2 U D2
F2 R F B R2 D U
F2 R F B R2 D' U
F2 R F B R2 D2 U
F2 R F B U D' F2
F2 R F B D' U F2
F2 R F B' R2 B2 U
F2 R F B2 R2 B' U
F R F B R2 F U
B' R F' B R' F' U
F' R F' B R2 F U
F2 R F' B R2 F2 U
B' R F2 B R' F' U
F' R F2 B R2 F2 U
F R F2 R2 U2 F' U'
D2 R B R' F' R' U
D' R B R' F' R' U
F' R B R D R U
F' R B R D' R U
B' R B R' D F' U
F' R B R D2 R U
B' R B R' D' F' U
B' R B R' D2 F' U
B' R B R' F' U D
B' R B R' F' U D'
B' R B R' F' U D2
B' R B R' F' D U
B' R B R' F' D' U
B' R B R' F' D2 U
F' R B R' D R' U
F' R B R' D' R' U
F' R B R' D2 R' U
F R F2 D' B U F2
F' R B U D' F2 D
F' R B U D' F2 D'
F' R B U D' F2 D2
F' R B U F D' F2
F' R B U F' D' F2
F' R B U F2 D' F2
F' R B U' D B2 U2
F R F2 B R2 U D
F R F2 B R2 U D'
F R F2 B R2 U D2
F R F2 B R2 D U
F R F2 B R2 D' U
F R F2 B R2 D2 U
F2 R B R' F R' U
F R F2 B U D' F2
F R F2 B D' U F2
B' R B D R' F' U
F' R B U2 D2 L2 U'
F2 R B R2 D F U
F R F2 B' R2 B2 U
F2 R B R2 D' F U
F2 R B R2 D2 F U
F2 R B R2 F U D
F2 R B R2 F U D'
F2 R B R2 F U D2
F2 R B R2 F D U
F2 R B R2 F D' U
F2 R B R2 F D2 U
B' R B D' R' F' U
F' R B D U' B2 U2
F R F2 B2 R2 B' U
D R B R' F' R' U
F' R B D' R U F2
F' R B D' R' U F2
