F2 R U' B L U2
F2 R' U D' F' R
F2 R' D' U F' R
F2 R2 D B R' U
F2 R2 B R U F'
F2 U2 L F' U' F2
F2 U2 F' L U' F
R' F2 R U F R
R' F2 R2 B U F
R' F2 U F D R2
R' F2 U2 F' U' F2
R F2 R2 B U F'
U2 L' U' D' L2 F R
U2 L' D' U' L2 F R
L2 R' B' L2 F2 U F
F L' B2 R' U' F' L'
D' L2 U' B' L2 R' U
D' L2 U' B' R' L2 U
R' L2 B' L2 F2 U F
R' U D' F' L2 D R2
R' U D2 F' D L2 R2
R' U D2 F' D R2 L2
F' R U D R2 F' L'
F2 R U R F R F'
F2 R U R2 F R F2
F2 R U F R2 F' R'
F2 R U F2 R2 F' R
F2 R U' L B L U2
F2 R U' L' B L U2
F2 R U' L2 B L U2
F2 R U' D B L U2
F2 R U' D' B L U2
F2 R U' D2 B L U2
F2 R U' B L U2 D
F2 R U' B L U2 D'
F2 R U' B L U2 D2
F2 R U' B L D U2
F2 R U' B L D' U2
F2 R U' B L D2 U2
F2 R U' B D L U2
F2 R U' B D' L U2
F2 R U' B D2 L U2
F' R D U R2 F' L'
F2 R D U' B L U2
F2 R D' U' B L U2
F2 R D2 U' B L U2
F R F R2 B U F'
B' R F2 R2 B U F'
B2 R F2 R2 B U F'
B R F2 R2 B U F'
F2 R B2 U' B' U2 R'
D' R' U F' L2 D R2
D2 R' U F' D L2 R2
D2 R' U F' D R2 L2
F2 R' U D' F' R D
F2 R' U D' F' R D'
F2 R' U D' F' R D2
F2 R' U D' F' D R
F2 R' U D' F' D' R
F2 R' U D' F' D2 R
L2 U' F2 B' L2 R' U
L2 U' F2 B' R' L2 U
D' R' U2 F U' L2 F2
D' R' U2 F U' F2 L2
F R' U' F' D' L2 B'
D2 R' U2 F B2 U' F2
D2 R' U2 B2 F U' F2
L2 U' B' L2 R' F2 U
L2 U' B' L2 F2 R' U
L2 U' B' R' L2 F2 U
L2 U' B' R' F2 L2 U
L2 U' B' F2 L2 R' U
L2 U' B' F2 R' L2 U
F2 R' D B U F' R'
F2 R' D' U F' R D
F2 R' D' U F' R D'
F2 R' D' U F' R D2
F2 R' D' U F' D R
F2 R' D' U F' D' R
F2 R' D' U F' D2 R
F2 R' D' B U F' R
F2 R' D' B' U F' R
F2 R' D' B2 U F' R
F R' F R2 B U F2
F R' F U2 F' U' F'
F R' F D R2 B U
B' R' F2 R U F R
B' R' F2 R2 B U F
B' R' F2 U F D R2
B2 R' F2 R U F R
B' R' F2 U2 F' U' F2
B2 R' F2 R2 B U F
B2 R' F2 U F D R2
B R' F2 R U F R
B2 R' F2 U2 F' U' F2
B R' F2 R2 B U F
B R' F2 U F D R2
B R' F2 U2 F' U' F2
F2 R' B U D' F' R
F2 R' B D' U F' R
F2 R' B' U D' F' R
F2 R' B' D' U F' R
R' U2 D' F U' L2 F2
R' U2 D' F U' F2 L2
F2 R' B2 U D' F' R
F2 R' B2 D' U F' R
R2 U2 D' F L' U' L'
R' U2 D2 F B2 U' F2
R' U2 D2 B2 F U' F2
R' U2 F L2 B' U' F2
R' U2 F U2 F U F
R' U2 F D' L2 B' U'
L' U2 F2 L U F R
F2 R2 U R D' F' R
F2 R2 D B R' U D
F2 R2 D B R' U D'
F2 R2 D B R' U D2
F2 R2 D B R' D U
F2 R2 D B R' D' U
F2 R2 D B R' D2 U
F2 R2 D B D R' U
F2 R2 D B D' R' U
F2 R2 D B D2 R' U
F2 R2 B R U D F'
F2 R2 B R U D' F'
F2 R2 B R U D2 F'
F2 R2 B R U F' D
F2 R2 B R U F' D'
F2 R2 B R U F' D2
F2 R2 B R D U F'
F2 R2 B R D' U F'
F2 R2 B R D2 U F'
F2 R2 B R' U' B U2
F2 R2 B U R F' R'
F2 R2 B' R B2 U F'
F2 R2 B2 R B' U F'
F2 U F U F2 L' U'
F2 U F2 U F L' U'
R' D' U F' L2 D R2
R' D' U2 F U' L2 F2
R' D' U2 F U' F2 L2
R2 D' U2 F L' U' L'
U2 D' F L U' F L
F2 U' B U' L F' U'
F2 U' B U' F' L U'
R' D2 U F' D L2 R2
R' D2 U F' D R2 L2
R' D2 U2 F B2 U' F2
F2 U2 L U' F D R2
D' U2 F L U' F L
R' D2 U2 B2 F U' F2
F2 U2 L D F' U' F2
F2 U2 L D' F' U' F2
F2 U2 L D2 F' U' F2
D2 U2 F L B2 U' F
F2 U2 L F' L U' F2
F2 U2 L F' L' U' F2
F2 U2 L F' L2 U' F2
F2 U2 L F' U' F2 D
F2 U2 L F' U' F2 D'
F2 U2 L F' U' F2 D2
F2 U2 L F' D' L2 U'
U2 D2 F L B2 U' F
D2 U2 F B2 L U' F
F2 U2 L' F' L2 U' F
F2 U2 L' F' U B' U2
U2 D2 F B2 L U' F
F2 U2 L2 F' L' U' F
F2 U2 D L F' U' F2
D2 U2 B2 F L U' F
F2 U2 D F' L U' F
F2 U2 D' L F' U' F2
U2 D2 B2 F L U' F
F2 U2 D' F' L U' F
U2 F L U' D F L'
U2 F L D U' F L'
F2 U2 D2 L F' U' F2
F2 U2 D2 F' L U' F
U2 F L' U B' R' U2
D2 F L' B2 R' U' F'
F2 U2 F L F2 U' F'
F2 U2 F' L U' D F
F2 U2 F' L U' D' F
F2 U2 F' L U' D2 F
F2 U2 F' L U' F D
F2 U2 F' L U' F D'
F2 U2 F' L U' F D2
F2 U2 F' L D U' F
F2 U2 F' L D' U' F
F2 U2 F' L D2 U' F
F2 U2 F' L' U B' U2
U2 F L2 D' B' L U'
U2 F L2 B' L' U' F
F2 U2 F' U2 R' U F'
F2 U2 F' D L U' F
F2 U2 F' D' L U' F
F2 U2 F' D2 L U' F
D' F R' U' F' L2 B'
U F U' R F U R'
U2 F U2 R' F U F2
U2 F U2 F R' U F'
R' F D F R2 B U
F2 D R U' B L U2
F2 D R' U D' F' R
F2 D R' D' U F' R
F2 D R2 D B R' U
F2 D R2 B R U F'
F2 D U2 L F' U' F2
F2 D U2 F' L U' F
F' D F' R' U F' R'
R' F' D F' U R2 F
R' F' D F' U F R2
F2 D' R U' B L U2
R' F' D2 F' B2 U F
R' F' D2 B2 F' U F
R F' D F' U R2 F'
F2 D' R' U D' F' R
F2 D' R' D' U F' R
F2 D' R2 D B R' U
F2 D' R2 B R U F'
F2 D' U2 L F' U' F2
F2 D' U2 F' L U' F
R' F2 R U R F R
R' F2 R U R' F R
R' F2 R U R2 F R
R' F2 R U D F R
R' F2 R U D' F R
R' F2 R U D2 F R
R' F2 R U F R D
R' F2 R U F R D'
R' F2 R U F R D2
R' F2 R U F D R
R' F2 R U F D' R
R' F2 R U F D2 R
R' F2 R D U F R
R' F2 R D' U F R
R' F2 R D2 U F R
R' F2 R B U F R
R' F2 R B' U F R
R' F2 R B2 U F R
R2 F2 R U F R F2
R' F2 R2 D B U F
R' F2 R2 D' B U F
R' F2 R2 D2 B U F
R F2 R U F R F'
L2 F2 R' B' L2 U F'
R' F2 R2 B R U F
R' F2 R2 B R' U F
R' F2 R2 B R2 U F
R' F2 R2 B U D F
R' F2 R2 B U D' F
R' F2 R2 B U D2 F
R' F2 R2 B U F D
R' F2 R2 B U F D'
R' F2 R2 B U F D2
R' F2 R2 B D U F
R' F2 R2 B D' U F
R' F2 R2 B D2 U F
R' F2 U D F D R2
R' F2 U D' F D R2
R' F2 U D2 F D R2
R' F2 U F R D R2
R' F2 U F R' D R2
R' F2 U F R2 D R2
R' F2 U F U F2 U'
R' F2 U F D R2 D
R' F2 U F D R2 D'
R' F2 U F D R2 D2
R2 F2 R2 B R' U F'
R F2 R2 D B U F'
R F2 R2 D' B U F'
R F2 R2 D2 B U F'
R F2 R2 B U D F'
R F2 R2 B U D' F'
R F2 R2 B U D2 F'
R F2 R2 B U F' D
R F2 R2 B U F' D'
R F2 R2 B U F' D2
R F2 R2 B D U F'
R F2 R2 B D' U F'
R F2 R2 B D2 U F'
R' F2 U2 D F' U' F2
R' F2 U2 D' F' U' F2
R' F2 U2 D2 F' U' F2
R' F2 U2 F' L U' F2
R' F2 U2 F' L' U' F2
R' F2 U2 F' L2 U' F2
R' F2 U2 F' U' F2 D
R' F2 U2 F' U' F2 D'
R' F2 U2 F' U' F2 D2
R' F2 U2 F' D' L2 U'
R F2 U F D R2 F'
R' F2 D R U F R
R' F2 D R2 B U F
R' F2 D U F D R2
R' F2 D U2 F' U' F2
R' F2 D' R U F R
R F2 U' B U' F' U'
R' F2 D' R2 B U F
R' F2 D' U F D R2
R' F2 D' U2 F' U' F2
R2 F2 D R2 B R' U
R F2 U2 F' U B U2
R' F2 D2 R U F R
R' F2 D2 R2 B U F
R' F2 D2 U F D R2
F2 D2 R U' B L U2
R' F2 D2 U2 F' U' F2
R F2 D R2 B U F'
R' F2 B R U F R
F2 D2 R' U D' F' R
R' F2 B R2 B U F
R' F2 B U F D R2
R' F2 B U2 F' U' F2
F2 D2 R' D' U F' R
R F2 D' R2 B U F'
R' F2 B' R U F R
R' F2 B' R2 B U F
R' F2 B' U F D R2
R' F2 B' U2 F' U' F2
F2 D2 R2 D B R' U
L2 F2 B' L2 R' U F'
R' F2 B2 R U F R
R F2 D2 R2 B U F'
F2 D2 R2 B R U F'
L2 F2 B' R' L2 U F'
R' F2 B2 R2 B U F
R' F2 B2 U F D R2
R' F2 B2 U2 F' U' F2
R F2 B U2 F' U' F
F2 D2 U2 L F' U' F2
R F2 B' D' R2 B U
F2 D2 U2 F' L U' F
F' D2 F' R' B2 U F'
F' D2 F' B2 R' U F'
F' D2 B2 F' R' U F'
F2 B R U' B L U2
F2 B R' U D' F' R
F2 B R' D' U F' R
F2 B R2 D B R' U
R' B F2 R U F R
F2 B R2 B R U F'
R' B F2 R2 B U F
R' B F2 U F D R2
R' B F2 U2 F' U' F2
F2 B U2 L F' U' F2
F2 B U2 F' L U' F
R B F2 U2 F' U' F
L2 B' L2 R' F2 U F
L2 B' L2 F2 R' U F'
L2 B' R' L2 F2 U F
F2 B' R U' B L U2
F2 B' R' U D' F' R
F2 B' R' D' U F' R
F2 B' R2 D B R' U
F2 B' R2 B R U F'
F2 B' U2 L F' U' F2
R' B' F2 R U F R
R' B' F2 R2 B U F
R' B' F2 U F D R2
R' B' F2 U2 F' U' F2
F2 B' U2 F' L U' F
L2 B' F2 L2 R' U F'
L2 B' F2 R' L2 U F'
R B' F2 D' R2 B U
B' F2 R U' B L U2
B2 F2 R U' B L U2
F2 B2 R U' B L U2
B' F2 R' U D' F' R
B' F2 R' D' U F' R
B2 F2 R' U D' F' R
B F2 R U' B L U2
F2 B2 R' U D' F' R
B2 F2 R' D' U F' R
F2 B2 R' D' U F' R
B' F2 R2 D B R' U
B' F2 R2 B R U F'
B F2 R' U D' F' R
B2 F2 R2 D B R' U
B F2 R' D' U F' R
F2 B2 R2 D B R' U
B2 F2 R2 B R U F'
F2 B2 R2 B R U F'
B F2 R2 D B R' U
B F2 R2 B R U F'
B' F2 U2 L F' U' F2
B' F2 U2 F' L U' F
B2 F2 U2 L F' U' F2
F2 B2 U2 L F' U' F2
B2 F2 U2 F' L U' F
F2 B2 U2 F' L U' F
B F2 U2 L F' U' F2
B F2 U2 F' L U' F
R' B2 F2 R U F R
R' B2 F2 R2 B U F
R' B2 F2 U F D R2
R' B2 F2 U2 F' U' F2
