U' L' U' D' R2 B'
U' L' U' D' B' R2
U' L' U2 B2 U B
U' L' D' U' R2 B'
U' L' D' U' B' R2
U' L' D2 F2 U' B'
F2 U R B2 U B'
U' D' L' U' R2 B'
U' D' L' U' B' R2
D' U' L' U' R2 B'
D' U' L' U' B' R2
D2 U' L' F2 U' B'
F2 U B2 R U B
U' D2 L' F2 U' B'
U B2 U2 L' U' B'
F2 L U R B2 U B'
F2 L U B2 R U B
B L B U2 L2 U' L2
U' L' R U' D' R2 B'
U' L' R U' D' B' R2
U' L' R U2 B2 U B
U' L' R D' U' R2 B'
U' L' R D' U' B' R2
U' L' R D2 F2 U' B'
U' L' R' U' D' R2 B'
U' L' R' U' D' B' R2
U' L' R' U2 B2 U B
U' L' R' D' U' R2 B'
U' L' R' D' U' B' R2
U' L' R' D2 F2 U' B'
D2 L' R' F2 U' L' B'
U' L' R2 U' D' R2 B'
U' L' R2 U' D' B' R2
U' L' R2 U2 B2 U B
U' L' R2 D' U' R2 B'
U' L' R2 D' U' B' R2
U' L' R2 D2 F2 U' B'
F2 L' U R B2 U B'
U' L' U D L2 F U2
R' L' D2 F2 U' L' B'
L' R' D2 F2 U' L' B'
F2 L' U B2 R U B
B L' U B L2 U F
U' L' U' R D' R2 B'
U' L' U' R D' B' R2
U' L' U' R' D' R2 B'
U' L' U' R' D' B' R2
U' L' U' R2 D' R2 B'
U' L' U' R2 D' B' R2
U' L' U' D B' D2 R2
U' L' U' D' R B' R
U' L' U' D' R2 D B'
U' L' U' D' R2 D' B'
U' L' U' D' R2 D2 B'
U' L' U' D' R2 B' D
U' L' U' D' R2 B' D'
U' L' U' D' R2 B' D2
U' L' U' D' B R2 B2
U' L' U' D' B' R2 D
U' L' U' D' B' R2 D'
U' L' U' D' B' R2 D2
U' L' U' D2 B' D R2
U' L' U' B' U' B' U
B L' U2 L2 B U L2
U' L' U2 B2 L U B
U' L' U2 B2 L' U B
U' L' U2 B2 L2 U B
U' L' U2 B2 U D B
U' L' U2 B2 U D' B
U' L' U2 B2 U D2 B
U' L' U2 B2 U B D
U' L' U2 B2 U B D'
U' L' U2 B2 U B D2
U' L' U2 B2 D U B
U' L' U2 B2 D' U B
U' L' U2 B2 D2 U B
B L' U2 B L2 U L2
U' L' D U L2 F U2
U' L' D U' B' D2 R2
U' L' D' R U' R B'
U' L' D' R U' B' R
U' L' D' R' U' R' B'
U' L' D' U' R B' R
U' L' D' U' R2 D B'
U' L' D' U' R2 D' B'
U' L' D' U' R2 D2 B'
U' L' D' U' R2 B' D
U' L' D' U' R2 B' D'
U' L' D' U' R2 B' D2
U' L' D' U' B R2 B2
U' L' D' U' B' R2 D
U' L' D' U' B' R2 D'
U' L' D' U' B' R2 D2
U' L' D' F U' R2 B'
U' L' D' F U' B' R2
U' L' D' F' U' R2 B'
U' L' D' F' U' B' R2
U' L' D' F2 U' R2 B'
U' L' D' F2 U' B' R2
U' L' D2 R F2 U' B'
U' L' D2 R' F2 U' B'
U' L' D2 R2 F2 U' B'
U' L' D2 U' B' D R2
U' L' D2 F2 R U' B'
U' L' D2 F2 R' U' B'
U' L' D2 F2 R2 U' B'
U' L' D2 F2 U' D B'
U' L' D2 F2 U' D' B'
U' L' D2 F2 U' D2 B'
U' L' D2 F2 U' B' D
U' L' D2 F2 U' B' D'
U' L' D2 F2 U' B' D2
U' L' D2 F2 D U' B'
U' L' D2 F2 D' U' B'
U' L' D2 F2 D2 U' B'
U' L' F U' D' R2 B'
U' L' F U' D' B' R2
U' L' F U2 B2 U B
U' L' F D' U' R2 B'
U' L' F D' U' B' R2
U' L' F D2 F2 U' B'
U' L' F' U' D' R2 B'
U' L' F' U' D' B' R2
U' L' F' U2 B2 U B
U' L' F' D' U' R2 B'
U' L' F' D' U' B' R2
U' L' F' D2 F2 U' B'
U' L' F2 U' D' R2 B'
U' L' F2 U' D' B' R2
U' L' F2 U2 B2 U B
U' L' F2 D' U' R2 B'
U' L' F2 D' U' B' R2
U' L' F2 D2 F2 U' B'
D2 L' B' R' F2 U' L'
U L2 R B2 R' U B'
F2 L2 U R B2 U B'
U L2 R2 B2 R' U B
F2 L2 U B2 R U B
B' L2 U' R' F L U'
D L2 U' L U F U2
B' L2 U' F L R' U'
B' L2 U' F R' L U'
L2 U R B2 R' U B'
L2 U R2 B2 R' U B
U L2 B2 R' U' F' U2
U' R L' U' D' R2 B'
U' R L' U' D' B' R2
U' R L' U2 B2 U B
U' R L' D' U' R2 B'
U' R L' D' U' B' R2
U' R L' D2 F2 U' B'
U R L2 B2 R' U B'
U' R D' L' U' R2 B'
U' R D' L' U' B' R2
L2 U B2 R' U' F' U2
U' R D2 L' F2 U' B'
F2 R B L B U L
F2 R B2 U D L B'
F2 R B2 D U L B'
U' R' L' U' D' R2 B'
U' R' L' U' D' B' R2
U' R' L' U2 B2 U B
U' R' L' D' U' R2 B'
U' R' L' D' U' B' R2
U' R' L' D2 F2 U' B'
D2 R' L' F2 U' L' B'
U' R' D' L' U' R2 B'
U' R' D' L' U' B' R2
U' R' D2 L' F2 U' B'
L' U2 L B2 U L' B'
U' R2 L' U' D' R2 B'
U' R2 L' U' D' B' R2
U' R2 L' U2 B2 U B
U' R2 L' D' U' R2 B'
U' R2 L' D' U' B' R2
U' R2 L' D2 F2 U' B'
L' U2 F' B2 L' U L
U R2 L2 B2 R' U B
L' U2 B2 L U L' B'
U' R2 D' L' U' R2 B'
U' R2 D' L' U' B' R2
L' U2 B2 F' L' U L
U' R2 D2 L' F2 U' B'
L2 D L2 U' L' U' B'
F2 U L R B2 U B'
B U L D B U F2
F2 U L B2 R U B
F2 U L' R B2 U B'
B U L D2 B R2 U
B U L B U D F2
B U L B U2 L2 U'
B U L B D U F2
B U L B D2 R2 U
U' D L' F2 U' R B'
U' D L' F2 U' B' R
F2 U L' B2 R U B
F2 U L2 R B2 U B'
F2 U L2 B2 R U B
F2 U R L B2 U B'
F2 U R L' B2 U B'
F2 U R L2 B2 U B'
F2 U R U D' B R2
F2 U R D' U B R2
F2 U R B2 U D B'
F2 U R B2 U D' B'
F2 U R B2 U D2 B'
F2 U R B2 U B' D
F2 U R B2 U B' D'
F2 U R B2 U B' D2
F2 U R B2 D U B'
F2 U R B2 D' U B'
F2 U R B2 D2 U B'
F2 U R' B2 R2 U B
F2 U D' R U B R
D' U' L' R U' R B'
D' U' L' R U' B' R
U' D' L' R U' R B'
U' D' L' R U' B' R
U' D' L' R' U' R' B'
D' U' L' R' U' R' B'
D2 U' L' R F2 U' B'
D2 U' L' R' F2 U' B'
D2 U' L' R2 F2 U' B'
F2 U B' R B' U B2
U' D' L' U' R B' R
D' U' L' U' R B' R
U' D' L' U' R2 D B'
U' D' L' U' R2 D' B'
U' D' L' U' R2 D2 B'
U' D' L' U' R2 B' D
U' D' L' U' R2 B' D'
U' D' L' U' R2 B' D2
D' U' L' U' R2 D B'
D' U' L' U' R2 D' B'
D' U' L' U' R2 D2 B'
D' U' L' U' R2 B' D
D' U' L' U' R2 B' D'
D' U' L' U' R2 B' D2
U' D' L' U' B R2 B2
D' U' L' U' B R2 B2
U' D' L' U' B' R2 D
U' D' L' U' B' R2 D'
U' D' L' U' B' R2 D2
D' U' L' U' B' R2 D
D' U' L' U' B' R2 D'
D' U' L' U' B' R2 D2
D2 U' L' U' D R2 B'
D2 U' L' U' D B' R2
D2 U' L' U' B' D R2
U' D' L' D' F2 U' B'
D' U' L' D' F2 U' B'
D2 U' L' D U' R2 B'
D2 U' L' D U' B' R2
U' D' L' F U' R2 B'
U' D' L' F U' B' R2
D' U' L' F U' R2 B'
D' U' L' F U' B' R2
D' U' L' F' U' R2 B'
U' D' L' F' U' R2 B'
U' D' L' F' U' B' R2
D' U' L' F' U' B' R2
D' U' L' F2 U' R2 B'
U' D' L' F2 U' R2 B'
D' U' L' F2 U' B' R2
U' D' L' F2 U' B' R2
D2 U' L' F2 R U' B'
D2 U' L' F2 R' U' B'
D2 U' L' F2 R2 U' B'
D2 U' L' F2 U' D B'
D2 U' L' F2 U' D' B'
D2 U' L' F2 U' D2 B'
D2 U' L' F2 U' B' D
D2 U' L' F2 U' B' D'
D2 U' L' F2 U' B' D2
D2 U' L' F2 D U' B'
D2 U' L' F2 D' U' B'
D2 U' L' F2 D2 U' B'
F2 U B2 L R U B
F2 U B2 L' R U B
F2 U B2 L2 R U B
F2 U B2 R L U B
F2 U B2 R L' U B
F2 U B2 R L2 U B
F2 U B2 R U D B
F2 U B2 R U D' B
F2 U B2 R U D2 B
F2 U B2 R U B D
F2 U B2 R U B D'
F2 U B2 R U B D2
F2 U B2 R D U B
F2 U B2 R D' U B
F2 U B2 R D2 U B
F2 U B2 D R U B
F2 U B2 D' R U B
F2 U B2 D2 R U B
D2 U' L2 F2 L U' B'
D U' L' F2 U' R B'
D U' L' F2 U' B' R
U' D' R L' U' R B'
U' D' R L' U' B' R
D' U' R L' U' R B'
D' U' R L' U' B' R
D2 U' R L' F2 U' B'
U' D' R' L' U' R' B'
D' U' R' L' U' R' B'
D2 U' R' L' F2 U' B'
B' U' L2 R' F L U'
B U' L' U2 L2 B U
B U' L' U2 B L2 U
D2 U' R2 L' F2 U' B'
B' U' L2 F L R' U'
B' U' L2 F R' L U'
B U' L' D2 R2 F' U'
U2 D' R2 U L' U' B'
R2 D' F2 R U R B
B' U' R' L2 F L U'
