F' L R' B' L2 U'
F' L' R' U2 F U
F' R' L B' L2 U'
F' R' L' U2 F U
D2 F' L' R' B U'
L2 F' L' R' B' U'
D2 F' R' L' B U'
L2 F' R' L' B' U'
D2 F' R' B L' U'
L F' R' B' L' U'
F' D2 L' R' B U'
F' D2 R' L' B U'
F' D2 R' B L' U'
F' L R B' L2 R2 U'
F' L R B' R2 L2 U'
F' L R' D B' U' F2
F' L R' B L2 B2 U'
F' L R' B' L2 U' D
F' L R' B' L2 U' D'
F' L R' B' L2 U' D2
F' L R' B' L2 D U'
F' L R' B' L2 D' U'
F' L R' B' L2 D2 U'
F' L R' B' U' D F2
F' L R' B' D U' F2
F' L R' B2 L2 B U'
F' L R2 B' L2 R U'
F' L R2 B' R L2 U'
F' L D R' B' U' F2
D2 L F' L' R' B U'
D2 L F' R' L' B U'
D2 L F' R' B L' U'
U' L F' R' B' U' F'
U L F' R' B' U' F2
B L F' B' L' R' U'
B L F' B' R' L' U'
F L F2 R' B' L' U'
B L B' F' L' R' U'
B L B' F' R' L' U'
F' L' R' U2 D F U
F' L' R' U2 D' F U
F' L' R' U2 D2 F U
F' L' R' U2 F U D
F' L' R' U2 F U D'
F' L' R' U2 F U D2
F' L' R' U2 F D U
F' L' R' U2 F D' U
F' L' R' U2 F D2 U
F' L' R' D U2 F U
F' L' R' D' U2 F U
F' L' R' D2 U2 F U
F' L' R' B U2 F U
F' L' R' B' U2 F U
F' L' R' B2 U2 F U
F' L' U2 F U2 R' U'
F' L' D R' U2 F U
F' L' D' R' U2 F U
F' L' D2 R' U2 F U
D2 L' F' L' R' B U'
D2 L' F' R' L' B U'
D2 L' F' R' B L' U'
F' L' B2 U2 F L U
D2 L2 F' L' R' B U'
D2 L2 F' R' L' B U'
D2 L2 F' R' B L' U'
U' L2 F' R' U' F' L'
B L2 F' L' B' R' U'
F L2 F2 L' R' B' U'
F L2 F2 R' L' B' U'
F' R L B' L2 R2 U'
F' R L B' R2 L2 U'
F' R' L D B' U' F2
F' R' L B L2 B2 U'
F' R' L B' L2 U' D
F' R' L B' L2 U' D'
F' R' L B' L2 U' D2
F' R' L B' L2 D U'
F' R' L B' L2 D' U'
F' R' L B' L2 D2 U'
F' R' L B' U' D F2
F' R' L B' D U' F2
F' R' L B2 L2 B U'
F' R' L' U2 D F U
F' R' L' U2 D' F U
F' R' L' U2 D2 F U
F' R' L' U2 F U D
F' R' L' U2 F U D'
F' R' L' U2 F U D2
F' R' L' U2 F D U
F' R' L' U2 F D' U
F' R' L' U2 F D2 U
F' R' L' D U2 F U
F' R' L' D' U2 F U
F' R' L' D2 U2 F U
F' R' L' B U2 F U
F' R' L' B' U2 F U
F' R' L' B2 U2 F U
L2 U' F' R' U' L' F'
L U' F' R' B' U' F'
D2 R' D B U' R' F'
F' R' D' L' B' U' L
F' R' D' B' L' U' L2
F2 R' F L B' L2 U'
F2 R' F L' U2 F U
F' R' B L B' L2 U'
F' R' B L' U2 F U
F' R' B' L B' L2 U'
F' R' B' L' U2 F U
F' R' B2 L B' L2 U'
F' R' B2 L' U2 F U
F' R2 L B' L2 R U'
F' R2 L B' R L2 U'
L2 D F' L' R' B' U'
L2 D F' R' L' B' U'
L D F' R' B' L' U'
L2 D' F' L' R' B' U'
L2 D' F' R' L' B' U'
L D' F' R' B' L' U'
D2 U' F' R' B U' F'
U' D2 F' R' B U' F'
D2 U2 F' R' B L U'
L2 D2 F' L' R' B' U'
U2 D2 F' R' B L U'
L2 D2 F' R' L' B' U'
L D2 F' R' B' L' U'
L' F R U D R2 B2
L' F R U D B2 R2
L' F R U2 R2 F2 U'
L' F R U2 F2 R2 U'
L' F R D U R2 B2
L' F R D U B2 R2
L' F R D2 L2 B2 U
L' F R D2 B2 L2 U
L' F U2 F2 L' R' U'
L' F U2 F2 R' L' U'
F' D L' D R' B U'
L' F D2 B2 L R U
L' F D2 B2 R L U
U' F' L R' B' U' F'
D2 F' L R' B L2 U'
D2 F' L' R' D B U'
D2 F' L' R' D' B U'
D2 F' L' R' D2 B U'
D' F' L' R' B' U' L
D2 F' L' R' B U' D
D2 F' L' R' B U' D'
D2 F' L' R' B U' D2
D2 F' L' R' B D U'
D2 F' L' R' B D' U'
D2 F' L' R' B D2 U'
L' F' L' R' U' D' L2
L' F' L' R' U2 F2 U
L' F' L' R' D' U' L2
L' F' L' R' D2 B2 U'
D' F' L' D' R' B U'
L' F' L' D' R' U' L2
L' F' L' D2 R' B2 U'
L2 F' L' R B' R2 U'
U' F' L2 R' U' F' L'
L2 F' L' R' D B' U'
L2 F' L' R' D' B' U'
L2 F' L' R' D2 B' U'
L2 F' L' R' B' U' D
L2 F' L' R' B' U' D'
L2 F' L' R' B' U' D2
L2 F' L' R' B' D U'
L2 F' L' R' B' D' U'
L2 F' L' R' B' D2 U'
L2 F' L' R2 B' R U'
U F' L R' B' U' F
L2 F' L' D R' B' U'
L2 F' L' D' R' B' U'
L2 F' L' D2 R' B' U'
