F' U R' B U L'
F' L U R' B U L2
F' R U R2 B U L'
F R' D' L2 F2 B U
F R' D' L2 B F2 U
F R' D' F2 L2 B U
F R' D' F2 B L2 U
F R' D' B L2 F2 U
F R' D' B F2 L2 U
U2 R' D2 B U L B'
F R' D2 B U L2 B
F R' D2 B U B L2
F2 R' B U' F U2 L'
U2 R' B U D2 L B'
U2 R' B D2 U L B'
F R' B U D2 L2 B2
F R' B U D2 B2 L2
F R' B U' R2 F2 U2
F R' B U' F2 R2 U2
F R' B D' L2 F2 U
F R' B D' F2 L2 U
F R' B D2 U L2 B2
F R' B D2 U B2 L2
F' U R' D B U L'
F' U R' D' B U L'
F' U R' D2 B U L'
F' U R' B U L' D
F' U R' B U L' D'
F' U R' B U L' D2
F' U R' B U D L'
F' U R' B U D' L'
F' U R' B U D2 L'
F' U R' B D U L'
F' U R' B D' U L'
F' U R' B D2 U L'
F' U2 L' U' R' B U
F' U2 R' B U B' L'
R' F B U' R F' U2
D' F' U R' U L' R2
D' F' U R' U R2 L'
L' F' U R' B U L'
U2 F' U R' F' B U
U2 F' U R' B F' U
L2 F' U R' B U L'
D' F' U2 L' R D' F2
U F' U R' B U L
D' F' U2 R L' D' F2
D' F' U2 R D' L' F2
L F' U R' B U L'
B' D' R F' L' R B
B' D' R F' R L' B
B' D' R F' R B L'
B' D' F' U2 L' R F'
B' D' F' U2 R L' F'
R' B F U' R F' U2
