B' L2 U' R' B2 U'
B D L2 F2 R U'
B L U L B2 U2 B2
B L U B2 U2 R' B2
B L U' L B2 U2 L'
B' L U' R' B2 U' R'
B L' D2 R2 U' F2 R
B' L2 R U' R2 B2 U'
B' L2 R U' B2 R2 U'
B' L2 R U2 D L2 B2
B' L2 R U2 D B2 L2
B' L2 R D U2 L2 B2
B' L2 R D U2 B2 L2
B' L2 R D' R2 F2 U2
B' L2 R D' F2 R2 U2
B' L2 R' U' B2 U' B2
B' L2 R2 U' R B2 U'
B' L2 R2 U' B2 R U'
B' L2 U' R B2 R2 U'
B' L2 U' R' U' D L2
B' L2 U' R' D U' L2
B' L2 U' R' B2 U' D
B' L2 U' R' B2 U' D'
B' L2 U' R' B2 U' D2
B' L2 U' R' B2 D U'
B' L2 U' R' B2 D' U'
B' L2 U' R' B2 D2 U'
B' L2 U' R2 B2 R U'
B' L2 U' D R' U' L2
B' L2 U' B2 U2 L U
B' L2 D U' R' U' L2
B' L2 D' R2 U' R U'
B' L2 F U' R' B2 U'
B' L2 F' U' R' B2 U'
B' L2 F2 U' R' B2 U'
B' R L2 U' R2 B2 U'
B' R L2 U' B2 R2 U'
B' R L2 U2 D L2 B2
B' R L2 U2 D B2 L2
B' R L2 D U2 L2 B2
B' R L2 D U2 B2 L2
B' R L2 D' R2 F2 U2
B' R L2 D' F2 R2 U2
B R D L2 F2 R U'
B' R' L2 U' B2 U' B2
B R' D L2 F2 R U'
B' R' B2 U L2 B2 U2
B' R' B2 U B2 L2 U2
B' R' B2 U' D2 R2 F2
B' R' B2 U' D2 F2 R2
B' R' B2 D L2 F2 U'
B' R' B2 D F2 L2 U'
B' R' B2 D2 U' R2 F2
B' R' B2 D2 U' F2 R2
B' R2 L2 U' R B2 U'
B' R2 L2 U' B2 R U'
L2 U2 F U B R U'
B R2 D L2 F2 R U'
B U L2 B2 U L' U
B U B2 L2 U' R' U'
B' U' R' D F2 U' L2
B' U' R' B2 U L2 U2
B' U' R' B2 U' D2 R2
B' U' R' B2 D F2 U'
B' U' R' B2 D2 U' R2
B' U' D R' F2 U' L2
B' U' D F2 R' U' L2
B U2 L U' L B2 U2
B U2 L U' B2 U2 R'
B U2 D' L R2 B2 U
B U2 D' L B2 R2 U
B U2 D' R2 L B2 U
B U2 D2 L U R2 F2
B U2 D2 L U F2 R2
B D L2 R F2 R U'
B D L2 R' F2 R U'
B D L2 R2 F2 R U'
B D L2 F2 R U' D
B D L2 F2 R U' D'
B D L2 F2 R U' D2
B D L2 F2 R D U'
B D L2 F2 R D' U'
B D L2 F2 R D2 U'
B D L2 F2 D R U'
B D L2 F2 D' R U'
B D L2 F2 D2 R U'
B D R L2 F2 R U'
B D R' L2 F2 R U'
B D R2 L2 F2 R U'
B' D U' R' F2 U' L2
B' D U' F2 R' U' L2
B D F2 L2 U2 L' U
B D' U2 L R2 B2 U
B D' U2 L B2 R2 U
B D' U2 R2 L B2 U
B D2 U2 L U R2 F2
B D2 U2 L U F2 R2
B' F L2 U' R' B2 U'
F' B D L2 F2 R U'
F2 B D L2 F2 R U'
B F D L2 F2 R U'
F B D L2 F2 R U'
R B' L2 U' R' B U'
B' F' L2 U' R' B2 U'
F' B' L2 U' R' B2 U'
F2 B' L2 U' R' B2 U'
L2 B' U' R' B2 U' F
D B' U' R' F2 B2 U'
D B' U' R' B2 F2 U'
F B' L2 U' R' B2 U'
D B' U' F2 R' B2 U'
B F' D L2 F2 R U'
B' F2 L2 U' R' B2 U'
B F2 D L2 F2 R U'
