D' F' R2 U B R'
R2 L D L2 F B U'
R2 L D L2 B F U'
F' L D2 B' L2 U F2
R2 L B U' D' R2 F'
R2 L B D' U' R2 F'
D' L F' R2 U B R'
F' L B' D2 L2 U F
R2 L' D F L2 B U'
R2 L' D F B L2 U'
R2 L' D B F L2 U'
B L' R2 F B U' F2
B L' R2 B F U' F2
R2 L' D2 F B U' F
R2 L' D2 B F U' F
B2 L' U' R2 F B U'
B2 L' U' R2 B F U'
R2 L' F D L2 B U'
R2 L' F D B L2 U'
R2 L' F D2 B U' F2
R2 L' F B U B U2
R2 L' B F U B U2
F' L' D2 L2 B' U F2
D' L' F' R2 U B R'
L R2 D L2 F B U'
L R2 D L2 B F U'
L' R2 D F L2 B U'
L' R2 D F B L2 U'
L' R2 D B F L2 U'
L' R2 D2 F B U' F
L' R2 D2 B F U' F
L' R2 F D L2 B U'
L' R2 F D B L2 U'
L' R2 F D2 B U' F2
L' R2 F B U B U2
B' L2 R2 B U' F R
L2 R2 B U B L U2
L' R2 B F U B U2
R2 L2 B U B L U2
L R2 B U' D' R2 F'
L R2 B D' U' R2 F'
D L2 U2 F' U R B2
D L2 U2 F' U B2 R
D' L2 F' R2 U B R'
D2 L2 F' U D' F' R
D2 L2 F' D' U F' R
D L2 F' U' R B2 L
B R2 L' F B U' F2
B R2 L' B F U' F2
B' R2 L2 B U' F R
B R2 D B U' F' R
B R2 D' B U' F' R'
R2 D L2 D2 B U' R'
R2 D L2 F' B U' R
R2 D L2 B F' U' R
B2 R2 B L2 U' F R
B R2 B L' F U' F2
B R2 B U' D F' R
B R2 B D U' F' R
R2 D F' L2 B U' R
R2 D F' B L2 U' R
R2 D B L2 F' U' R
R2 D B F' L2 U' R
B2 U D F' U R B2
B2 U D F' U B2 R
D' U F' R2 U B R'
L D' F' R2 B' U B2
L D' F' B' R2 U B
U' D' F' R2 U B R'
D' U' F' R2 U B R'
R2 D' B U' D' R' F2
R2 D' B U' D' F2 R'
R2 D' B U2 R2 U R
U2 D' F' R2 U B R'
R2 D' B D' U' R' F2
R2 D' B D' U' F2 R'
R2 D' B D2 L2 U' R'
B2 U' R2 D' B U' R'
U D' F' R2 U B R'
L D' B' F' R2 U B
L' D2 L2 F' B' U F'
L' D2 L2 B' F' U F'
R D2 R F' B U' F'
R D2 R B F' U' F'
D' U2 F' R2 U B R'
L D2 F' B' L2 U F'
L D2 B' L2 F' U F'
L D2 B' F' L2 U F'
L' F R2 D2 B2 U' F2
D2 F D' F L2 B2 R'
B2 D U F' U R B2
B2 D U F' U B2 R
D' F' L R2 U B R'
D' F' L' R2 U B R'
D' F' L2 R2 U B R'
D2 F' L2 U D' F' R
D2 F' L2 D' U F' R
D F' L2 U' R B2 L
D' F' R2 L U B R'
D' F' R2 L' U B R'
D' F' R2 L2 U B R'
D' F' R2 U B R' D
D' F' R2 U B R' D'
D' F' R2 U B R' D2
D' F' R2 U B D R'
D' F' R2 U B D' R'
D' F' R2 U B D2 R'
D' F' R2 B' U B2 R'
D2 F' U D' F' R B2
D2 F' U D' F' B2 R
D2 F' U D' B2 F' R
D F' U R B2 D F2
D F' U B2 R D F2
D F' U B2 D R F2
D F' U2 L2 U' R B2
D F' U2 L2 U' B2 R
D2 F' D' U F' R B2
D2 F' D' U F' B2 R
D2 F' D' U B2 F' R
D F' D L2 U R F2
L' F' D2 L2 B2 U F2
L' F' D2 B2 L2 U F2
D' F' B R2 U B R
L F' D2 B' L2 U F2
L F' B' D2 L2 U F
F' D2 L2 R' B U F2
F' D2 R' L2 B U F2
F' D2 R' B L2 U F2
R2 B L' F U B U2
R2 B L2 U B L U2
L' B R2 F B U' F2
L' B R2 B F U' F2
R2 B U D' B U2 R'
R2 B U' R2 D F' R
R2 B U' D R2 F' R
R2 B D U' R2 F' R
R2 B D' U B U2 R'
D' B F' R2 U B R
R2 B' L2 B2 U' F R
L B' D2 L2 F' U F2
L B' D2 F' L2 U F
L B' F' D2 L2 U F
L' B2 U' R2 F B U'
L' B2 U' R2 B F U'
L B2 U' R2 F' B U'
L B2 U' R2 B F' U'
