F' D R U2 F'
U' L' U F' R U2
L' U L F' R U2
L' U F' L R U2
L' U F' R L U2
F' R2 D R' B U2
F' U2 D' F2 L' F
F' D R U2 D F'
F' D R U2 D' F'
F' D R U2 D2 F'
F' D R U2 F' D
F' D R U2 F' D'
F' D R U2 F' D2
F' D R D U2 F'
F' D R D' U2 F'
F' D R D2 U2 F'
F' D R B U2 F'
F' D R B' U2 F'
F' D R B2 U2 F'
F' D R' B R2 U2
F' D B R U2 F'
F' D B' R U2 F'
F' D B2 R U2 F'
F' D' U2 F2 L' F
F' B D R U2 F'
F' B' D R U2 F'
B' F' D R U2 F'
B2 F' D R U2 F'
B F' D R U2 F'
F' B2 D R U2 F'
F' L R D' L' U2 F
F' L D L' R U2 F'
F' L D R L' U2 F'
F' L D' L' R U2 F
F' L D' R L' U2 F
F' L' R D' L B' U2
B' L' U L F' R U2
B2 L' U L F' R U2
B L' U L F' R U2
B' L' U F' L R U2
B' L' U F' R L U2
U' L' U F' R U2 D
U' L' U F' R U2 D'
U' L' U F' R U2 D2
U' L' U F' R D U2
U' L' U F' R D' U2
U' L' U F' R D2 U2
U' L' U F' D R U2
U' L' U F' D' R U2
U' L' U F' D2 R U2
B2 L' U F' L R U2
B2 L' U F' R L U2
B L' U F' L R U2
B L' U F' R L U2
U L' U F' R U2 R'
U L' U' F' R U2 F
F' L' D L R U2 F'
F' L' D R L U2 F'
U' L' D R2 U' B L
F' L' D' L R B' U2
F' L' D' L B' R U2
F' L' D' R L B' U2
U' L' B U F' R U2
U' L' B' U F' R U2
U' L' B2 U F' R U2
L' U L F' R U2 D
L' U L F' R U2 D'
L' U L F' R U2 D2
L' U L F' R D U2
L' U L F' R D' U2
L' U L F' R D2 U2
L' U L F' D R U2
L' U L F' D' R U2
L' U L F' D2 R U2
L' U L' F' L2 R U2
L' U L' F' R L2 U2
F' R L D' L' U2 F
L' U F L F2 U2 L2
F' R L' D' L B' U2
L' U F' L R U2 D
L' U F' L R U2 D'
L' U F' L R U2 D2
L' U F' L R D U2
L' U F' L R D' U2
L' U F' L R D2 U2
L' U F' L D R U2
L' U F' L D' R U2
L' U F' L D2 R U2
L' U F' R L U2 D
L' U F' R L U2 D'
L' U F' R L U2 D2
L' U F' R L D U2
L' U F' R L D' U2
L' U F' R L D2 U2
L' U F' R D L U2
L' U F' R D' L U2
L' U F' R D2 L U2
L' U F' D L R U2
L' U F' D R L U2
L' U F' D' L R U2
L' U F' D' R L U2
L' U F' D2 L R U2
L' U F' D2 R L U2
F' R U D R U F'
F' R U F' R F U
F' R U' D' L' U' F
F' R U' F L' F' U'
F' R U2 L D' L' F
F' R U2 R' D R F'
F' R U2 D R F' R'
F' R U2 D' L' F L
F' R U2 F U L' U'
F' R U2 F' U' R U
F' R D R' B R U2
F' R D U R U F'
F' R D U2 R F' R'
F' R D' L B' L' U2
F' R D' U' L' U' F
F' R D' U2 L' F L
L' U' L F' R U2 F
F' R D2 B U R' U
F' R D2 B' U' L U'
F2 R F R U R' U
F R F2 D R U2 F'
F2 R' D F R B2 U2
F2 R' D F B2 R U2
F2 R' D B2 F R U2
F2 R' D' F R U2 F
F2 R' F R U R U
F2 R' F U2 D' F2 L'
F2 R' F D R B2 U2
F2 R' F D B2 R U2
F2 R' F D' R U2 F2
F2 R' F D' U2 F2 L'
F R' F2 D R U2 F'
F' R2 D R' D B U2
F' R2 D R' D' B U2
F' R2 D R' D2 B U2
F' R2 D R' B U2 D
F' R2 D R' B U2 D'
F' R2 D R' B U2 D2
F' R2 D R' B D U2
F' R2 D R' B D' U2
F' R2 D R' B D2 U2
F2 R2 F R U R2 U
F2 R2 F R U2 D' F2
F2 R2 F R D B2 U2
F2 R2 F R D' U2 F2
F R2 F2 D R U2 F'
U' D L' R2 U' B L
F U L U F L2 B'
F2 U R U' F R U2
U' D R2 L' U' B L
F' U D' F2 U L' F
F' U F' R F' U L'
F' U F2 U L F L2
D U' L' R2 U' B L
B' U' L' U F' R U2
B2 U' L' U F' R U2
B U' L' U F' R U2
D U' R2 L' U' B L
F' U2 L D' F2 L' F
F' U2 L' D' F2 L' F
F' U2 L2 D' F2 L' F
F' U2 D F2 D2 L' F
F' U2 D' L' F2 L' F'
F' U2 D' F L' F L'
F' U2 D' F2 L' D F
F' U2 D' F2 L' D' F
F' U2 D' F2 L' D2 F
F' U2 D' F2 L' F D
F' U2 D' F2 L' F D'
F' U2 D' F2 L' F D2
F' U2 D2 F2 D L' F
F U2 D2 B2 D L' F
L' F U L F2 U2 L2
L' F U F2 L R U2
L' F U F2 R L U2
L' F U' L' D2 R2 B2
L' F U' L' D2 B2 R2
L' F U' D2 B2 L' R'
L' F U' D2 B2 R' L'
U F U L F L2 B'
U F U' F2 R B U2
R2 F U2 B L' D F2
F' D R U' L U' F'
F' D R U' L' U' F'
F' D R U' L2 U' F'
F' D R U2 L' F' L
F' D R U2 L2 F' L2
F' D R U2 D F' D
F' D R U2 D F' D'
F' D R U2 D F' D2
F' D R U2 D' F' D
F' D R U2 D' F' D'
F' D R U2 D' F' D2
F' D R U2 D2 F' D
F' D R U2 D2 F' D'
F' D R U2 D2 F' D2
F' D R U2 F2 D F
F' D R U2 F2 D' F
F' D R U2 F2 D2 F
F' D R D U2 F' D
F' D R D U2 F' D'
F' D R D U2 F' D2
F' D R D B U2 F'
F' D R D B' U2 F'
F' D R D B2 U2 F'
F' D R D' U2 F' D
F' D R D' U2 F' D'
F' D R D' U2 F' D2
F' D R D' B U2 F'
F' D R D' B' U2 F'
F' D R D' B2 U2 F'
F' D R D2 U2 F' D
F' D R D2 U2 F' D'
F' D R D2 U2 F' D2
F' D R D2 B U2 F'
F' D R D2 B' U2 F'
F' D R D2 B2 U2 F'
F' D R B U2 D F'
F' D R B U2 D' F'
F' D R B U2 D2 F'
F' D R B U2 F' D
F' D R B U2 F' D'
F' D R B U2 F' D2
F' D R B D U2 F'
F' D R B D' U2 F'
F' D R B D2 U2 F'
F' D R B' U2 D F'
F' D R B' U2 D' F'
F' D R B' U2 D2 F'
F' D R B' U2 F' D
F' D R B' U2 F' D'
F' D R B' U2 F' D2
F' D R B' D U2 F'
F' D R B' D' U2 F'
F' D R B' D2 U2 F'
F' D R B2 U2 D F'
F' D R B2 U2 D' F'
F' D R B2 U2 D2 F'
F' D R B2 U2 F' D
F' D R B2 U2 F' D'
F' D R B2 U2 F' D2
F' D R B2 D U2 F'
F' D R B2 D' U2 F'
F' D R B2 D2 U2 F'
